B L' U L2 F
B L' R U L2 F
B L' R' U L2 F
B L' R2 U L2 F
B L' U L2 D F
B L' U L2 D' F
B L' U L2 D2 F
B L' U L2 F D
B L' U L2 F D'
B L' U L2 F D2
B L' U F L2 F
B L' U F' L2 F
B L' U F2 L2 F
B L' U' B' U2 L2
B L' F U L2 F
B L' F' U L2 F
B L' F2 U L2 F
B R L' U L2 F
B R' L' U L2 F
B R2 L' U L2 F
B D L' U L2 F
B D' L' U L2 F
B D2 L' U L2 F
D2 B L' U L2 F
D' B L' U L2 F
D B L' U L2 F
L' B U L D2 F2
L' B U D2 L F2
L' B U D2 F2 L
L' B U' B2 R' U2
L' B D' R2 U L
L' B D2 U L F2
L' B D2 U F2 L
D2 B L' U L2 D' F
D2 B L' U L2 D2 F
D2 B L' U L2 F D
D2 B L' U L2 F D'
D2 B L' U L2 F D2
D2 B L' U F L2 F
D2 B L' U F' L2 F
D2 B L' U F2 L2 F
D' B L' U L2 D F
D' B L' U L2 D' F
D' B L' U L2 D2 F
D' B L' U L2 F D
D' B L' U L2 F D'
D' B L' U L2 F D2
D' B L' U F L2 F
D' B L' U F' L2 F
D' B L' U F2 L2 F
D2 B L' U' B' U2 L2
D' B L' U' B' U2 L2
D2 B L' F U L2 F
D' B L' F U L2 F
D2 B L' F' U L2 F
D' B L' F' U L2 F
D2 B L' F2 U L2 F
D' B L' F2 U L2 F
D B L' R U L2 F
D B L' R' U L2 F
D B L' R2 U L2 F
D B L' U L2 D F
D B L' U L2 D' F
D B L' U L2 D2 F
D B L' U L2 F D
D B L' U L2 F D'
D B L' U L2 F D2
D B L' U F L2 F
D B L' U F' L2 F
D B L' U F2 L2 F
D B L' U' B' U2 L2
D2 B R L' U L2 F
D B L' F U L2 F
D' B R L' U L2 F
D B L' F' U L2 F
D B L' F2 U L2 F
L' B R U L D2 F2
L' B R U D2 L F2
L' B R U D2 F2 L
L' B R U' B2 R' U2
L' B R D' R2 U L
L' B R D2 U L F2
L' B R D2 U F2 L
D2 B R' L' U L2 F
D' B R' L' U L2 F
L B L2 U L2 F L
L' B R' U L D2 F2
L B L2 U' B' U2 L'
L' B R' U D2 L F2
L' B R' U D2 F2 L
L' B R' U' B2 R' U2
D B R L' U L2 F
L' B R' D' R2 U L
L' B R' D2 U L F2
L' B R' D2 U F2 L
D2 B R2 L' U L2 F
D' B R2 L' U L2 F
L' B R2 U L D2 F2
L' B R2 U D2 L F2
L' B R2 U D2 F2 L
L' B R2 U' B2 R' U2
D B R' L' U L2 F
L' B R2 D' R2 U L
L' B R2 D2 U L F2
L' B R2 D2 U F2 L
L' B U L U2 B2 U2
L' B U L D2 F2 D
L' B U L D2 F2 D'
L' B U L D2 F2 D2
L' B U L F D2 F2
L' B U L F' D2 F2
L' B U L F2 D2 F2
L' B U L2 D2 L' F2
D B R2 L' U L2 F
L' B U D' L D' F2
L' B U D2 L F2 D
L' B U D2 L F2 D'
L' B U D2 L F2 D2
L' B U D2 L' F2 L2
L' B U D2 F' L F'
L' B U D2 F2 L D
L' B U D2 F2 L D'
L' B U D2 F2 L D2
L' B U D2 F2 D L
L' B U D2 F2 D' L
L' B U D2 F2 D2 L
L' B U F L D2 F2
L' B U F D2 L F2
L' B U F D2 F2 L
L' B U F' L D2 F2
L' B U F' D2 L F2
L' B U F' D2 F2 L
L' B U F2 L D2 F2
L' B U F2 D2 L F2
L' B U F2 D2 F2 L
L' B U' R B2 R' U2
L' B U' R' B2 R' U2
L' B U' R2 B2 R' U2
L' B U' B2 R' U2 D
L' B U' B2 R' U2 D'
L' B U' B2 R' U2 D2
L' B U' B2 R' D U2
L' B U' B2 R' D' U2
L' B U' B2 R' D2 U2
L' B U' B2 D R' U2
L' B U' B2 D' R' U2
L' B U' B2 D2 R' U2
L' B U2 D L2 U' L'
L B U D' F L B2
L B U F D' L B2
D2 B D L' U L2 F
D' B D L' U L2 F
L' B D U2 L2 U' L'
D2 B D' L' U L2 F
D' B D' L' U L2 F
L' B D' R2 U L D
L' B D' R2 U L D'
L' B D' R2 U L D2
L' B D' R2 U D L
L' B D' R2 U D' L
L' B D' R2 U D2 L
L' B D' R2 D U L
L' B D' R2 D' U L
L' B D' R2 D2 U L
L' B D' R2 F U L
L' B D' R2 F' U L
D B D L' U L2 F
L' B D' R2 F2 U L
L' B D' U L D' F2
L' B D' F R2 U L
L' B D' F' R2 U L
L' B D' F2 R2 U L
D2 B D2 L' U L2 F
B F L2 U L' F B'
B F L2 U L' B' F
D' B D2 L' U L2 F
L' B D2 R U L F2
L' B D2 R U F2 L
L' B D2 R' U L F2
L' B D2 R' U F2 L
L' B D2 R2 U L F2
L' B D2 R2 U F2 L
D B D' L' U L2 F
F B L2 U L' F B'
F B L2 U L' B' F
L' B D2 U L F2 D
L' B D2 U L F2 D'
L' B D2 U L F2 D2
L' B D2 U L' F2 L2
L' B D2 U F' L F'
L' B D2 U F2 L D
L' B D2 U F2 L D'
L' B D2 U F2 L D2
L' B D2 U F2 D L
L' B D2 U F2 D' L
L' B D2 U F2 D2 L
L' B D2 F U F L
L' B D2 F' U L F'
L' B D2 F' U F' L
D B D2 L' U L2 F
L B D' U F L B2
L' B F U L D2 F2
L' B F U D2 L F2
L' B F U D2 F2 L
L' B F U' B2 R' U2
L' B F D' R2 U L
L' B F D2 U L F2
L' B F D2 U F2 L
L' B F' U L D2 F2
L' B F' U D2 L F2
L' B F' U D2 F2 L
L' B F' U' B2 R' U2
L' B F' D' R2 U L
L' B F' D2 U L F2
L' B F' D2 U F2 L
L' B F2 U L D2 F2
L' B F2 U D2 L F2
L' B F2 U D2 F2 L
L' B F2 U' B2 R' U2
L' B F2 D' R2 U L
L' B F2 D2 U L F2
L' B F2 D2 U F2 L
L B F' L2 U L' F2
L B F2 L2 U L' F'
U B' L' R' F' B2 U
U B' L' R' B2 F' U
L' B' R' U B2 U B2
U B' R' L' F' B2 U
U B' R' L' B2 F' U
L' B' U B2 U L B2
U B' R' B2 L' F' U
L B' D' F B2 L R2
L B' D' F B2 R2 L
L B' D' B2 R2 F L
L B' D' B2 F L R2
L B' D' B2 F R2 L
L B' F D' B2 L R2
L B' F D' B2 R2 L
L' B2 R2 B' U L F'
L' B2 R2 B' U F' L
