R' L U' F L
L R' U' F L
R' L U' D F L
R' L U' D' F L
R' L U' D2 F L
R' L U' F L D
R' L U' F L D'
R' L U' F L D2
R' L U' F D L
R' L U' F D' L
R' L U' F D2 L
R' L U' F' L F2
R' L U' F2 L F'
D' L R' B2 U' F
R' L D U' F L
R' L D' U' F L
R' L D2 U' F L
R' L' U B' U2 L'
L' R' U B' U2 L'
R' L' U' L2 F L
L' R' U' L2 F L
L R' U' D F L
L R' U' D' F L
L R' U' D2 F L
L R' U' F L D
L R' U' F L D'
L R' U' F L D2
L R' U' F D L
L R' U' F D' L
L R' U' F D2 L
L R' U' F' L F2
L R' U' F2 L F'
L R' D U' F L
L R' D' U' F L
L R' D2 U' F L
D' R' L B2 U' F
U2 R' U F' L2 B'
R' U2 R' U L2 F'
R' U2 R' U F' L2
D' R' B2 L U' F
L D R' U' F L
R' D' L B2 U' F
L D' R' U' F L
R' D' B2 L U' F
L D2 R' U' F L
R' B L U' F L
R' B' L U' F L
R' B2 L U' F L
L R' U' D' F D' L
L R' U' D' F D2 L
L R' U' D' F' L F2
L R' U' D' F2 L F'
L R' U' D2 F L D
L R' U' D2 F L D'
L R' U' D2 F L D2
L R' U' D2 F D L
L R' U' D2 F D' L
L R' U' D2 F D2 L
L R' U' D2 F' L F2
L R' U' D2 F2 L F'
L R' U' F L2 D L'
L R' U' F L2 D' L'
L R' U' F L2 D2 L'
L R' U' F D L D
L R' U' F D L D'
L R' U' F D L D2
L R' U' F D' L D
L R' U' F D' L D'
L R' U' F D' L D2
L R' U' F D2 L D
L R' U' F D2 L D'
L R' U' F D2 L D2
L R' U' F' L F2 D
L R' U' F' L F2 D'
L R' U' F' L F2 D2
L R' U' F' L' F2 L2
L R' U' F2 L D F'
L R' U' F2 L D' F'
L R' U' F2 L D2 F'
L R' U' F2 L F' D
L R' U' F2 L F' D'
L R' U' F2 L F' D2
L R' U' F2 L' F' L2
L R' U' F2 D L F'
L R' U' F2 D F' L
L R' U' F2 D' L F'
L R' U' F2 D' F' L
L R' U' F2 D2 L F'
L R' U' F2 D2 F' L
L R' U2 R U F L
L R' U2 R' U F L
L R' U2 R2 U F L
L R' U2 F' U L F2
L R' U2 F' U F2 L
L R' U2 F2 U L F'
L R' U2 F2 U F' L
R' L' D L2 U' F L
L' R' D L2 U' F L
D' L' R B2 R2 U' F'
D2 L' R' U R' B' U2
R' L' D U B' U2 L'
L' R' D U B' U2 L'
R' L' D U' L2 F L
L' R' D U' L2 F L
D' L' R' U' D L2 F
D' L' R' D U' L2 F
L R' D U' F L D
L R' D U' F L D'
L R' D U' F L D2
L R' D U' F D L
L R' D U' F D' L
L R' D U' F D2 L
L R' D U' F' L F2
L R' D U' F2 L F'
D L' R' U' D' L2 F
D L' R' D' U' L2 F
R' L' D' L2 U' F L
L' R' D' L2 U' F L
D' L' R' B2 U B U2
R' L' D' U B' U2 L'
R' L' D' U' L2 F L
L' R' D' U B' U2 L'
L' R' D' U' L2 F L
L R' D' U' F L D
L R' D' U' F L D'
L R' D' U' F L D2
L R' D' U' F D L
L R' D' U' F D' L
L R' D' U' F D2 L
L R' D' U' F' L F2
L R' D' U' F2 L F'
L2 R' D' B' L U' L'
R' L' D2 L2 U' F L
L' R' D2 L2 U' F L
R' L' D2 U B' U2 L'
R' L' D2 U' L2 F L
L' R' D2 U B' U2 L'
L' R' D2 U' L2 F L
L R' D2 U' F L D
L R' D2 U' F L D'
L R' D2 U' F L D2
L R' D2 U' F D L
L R' D2 U' F D' L
L R' D2 U' F D2 L
L R' D2 U' F' L F2
L R' D2 U' F2 L F'
B L' U B' U2 L' B'
B L' U' L2 F L B'
B2 L' U2 L2 U F L
D' L' D R' U' L2 F
L2 R' B L' U' F L
R' L' B U B2 U2 L'
R' L' B U' L' D2 F2
R' L' B U' D2 L' F2
L' R' B U B2 U2 L'
L' R' B U' L' D2 F2
L' R' B U' D2 L' F2
R' L' B D L2 U' L
L' R' B D L2 U' L
D L' D' R' U' L2 F
R' L' B D2 U' L' F2
L' R' B D2 U' L' F2
L R' B U' D2 F L'
L R' B D2 U' F L'
L2 R' B' L' U' F L
D2 L' D2 R' U' L2 F
L2 R' B2 L' U' F L
R' L' B2 U B U2 L'
L' R' B2 U B U2 L'
L R' B2 U R' U2 F
R L' B2 R2 U' L' F'
L R2 U' F D' L B'
L R2 D R U' F L
L R2 D' R U' F L
R' L2 D' B' L U' L'
L R2 D2 R U' F L
D' L2 R' B2 L' U' F
U' L2 U L R' U' F
U' L2 U R' L U' F
R' L2 B L' U' F L
R' L2 B' L' U' F L
R' L2 B2 L' U' F L
U' L2 F' U L' R' U'
U' L2 F' U R' L' U'
D' R L B2 R2 U' F
D' R L' B2 R2 U' F'
R' U B U' L U' L
U2 R U2 R2 U' L2 F'
U2 R U2 R2 U' F' L2
R' U B' U R' U L2
R' U' L F' L D F2
R' U' L2 U L U' F
R' U' L2 U' R' U F'
R' U' L2 F U' R U
R' U' L2 F' U L' U'
R2 U' R U' L2 R' F'
R2 U' R U' R' L2 F'
R2 U' R U' R' F' L2
L U' R' U' R F L
D' R B2 L R2 U' F
D' R B2 R2 L U' F
D2 R' L U R' U2 F
D' R' L U' D F L2
D' R' L U' F D L2
D' R' L D U' F L2
D R' L U' D' F L2
D R' L U2 F2 U F'
D2 R' L B2 U' F L
D' R' L B2 U' D F
D' R' L B2 U' D' F
D' R' L B2 U' D2 F
D' R' L B2 U' F D
D' R' L B2 U' F D'
D' R' L B2 U' F D2
D' R' L B2 D U' F
D' R' L B2 D' U' F
D' R' L B2 D2 U' F
D2 R' L' U R' B' U2
D R' L D' U' F L2
D' R' L' U' D L2 F
F2 R' L F2 U' L F'
F2 R' L F2 U' F' L
D R' L D2 B2 U' F
R' U' F L2 U' R U
D' R' L' D U' L2 F
R' U' F U' R U L2
D R' L' U' D' L2 F
D' R' L' B2 U B U2
D R' L' D' U' L2 F
L U' F L U R' U'
R' U' F' L D L F2
R' U' F' L D F2 L
R' U' F' L2 U L U'
L U' F U R' U' L
R' U' F' U L' U' L'
D' R' L2 B2 L' U' F
R' U' F2 L' D' L' F
U2 R' U F' L2 D B'
U2 R' U F' L2 D' B'
U2 R' U F' L2 D2 B'
U2 R' U F' L2 B' D
U2 R' U F' L2 B' D'
U2 R' U F' L2 B' D2
U2 R' U F' B L2 B'
U2 R' U F' B' L2 B'
U2 R' U F' B2 L2 B'
U' R' U' L2 R' F' R2
U2 R' U B F' L2 B'
U2 R' U B' F' L2 B'
U' R' U' R' L2 F' R2
U2 R' U B2 F' L2 B'
U' R' U' R' F' L2 R2
U' R' U' R' F' R2 L2
U2 R' U' L2 D2 F' R2
U2 R' U' L2 F' D2 R2
U2 R' U' F' L2 D2 R2
D R' U2 R' F2 U F
D' R' D L U' F L
D R' U2 F2 R' U F'
D R' D' L U' F L
D R' D2 L B2 U' F
F' R' F L U' F L
D R' D2 B2 L U' F
R' U2 R U' B U2 L2
F2 R' F2 L U' F L
R' U2 R' U L F' L
R' U2 R' U L2 D F'
R' U2 R' U L2 D' F'
R' U2 R' U L2 D2 F'
R' U2 R' U L2 F' D
R' U2 R' U L2 F' D'
R' U2 R' U L2 F' D2
R' U2 R' U F L2 F2
R' U2 R' U F' L2 D
R' U2 R' U F' L2 D'
R' U2 R' U F' L2 D2
R' U2 R' D F2 U F
R' U2 R' F U L2 F2
R' U2 R' F U F2 L2
D' R' B L B U' F
R' U2 R' F2 U F L2
R' U2 D R' F2 U F
R' U2 D F2 R' U F'
D' R' B2 L U' D F
D' R' B2 L U' D' F
D' R' B2 L U' D2 F
D' R' B2 L U' F D
D' R' B2 L U' F D'
D' R' B2 L U' F D2
D2 R' B2 L' U' L2 F
D' R' B2 L D U' F
D' R' B2 L D' U' F
D' R' B2 L D2 U' F
D' R' B2 L' U B' U2
D2 R' B2 L2 U' L' F
D' R' B2 U2 R' U F'
D' R' B2 D L U' F
D' R' B2 D' L U' F
D' R' B2 D2 L U' F
D' R2 L B2 R U' F
R' U2 F R' U L2 F'
R' U2 F R' U F' L2
R' U2 F' R' U L2 F'
R' U2 F' R' U F' L2
R' U2 F2 R' U L2 F'
R' U2 F2 R' U F' L2
D2 R2 U' R U' R' F'
U2 R2 U2 R U' L2 F'
U2 R2 U2 R U' F' L2
R' D L U' D' F L2
R' D L U2 F2 U F'
R' D L D' U' F L2
R' D L D2 B2 U' F
R' D L' U' D' L2 F
R' D L' D' U' L2 F
L' D L2 R' U' F L
L' D R' L2 U' F L
L' D R' U B' U2 L'
L' D R' U' L2 F L
L D R' U' D F L
L D R' U' D' F L
L D R' U' D2 F L
L D R' U' F L D
L D R' U' F L D'
L D R' U' F L D2
L D R' U' F D L
L D R' U' F D' L
L D R' U' F D2 L
L D R' U' F' L F2
L D R' U' F2 L F'
L D R' D U' F L
L D R' D' U' F L
L D R' D2 U' F L
D' R2 B2 L R U' F
D' R2 B2 R L U' F
R' D U2 R' F2 U F
R' D U2 F2 R' U F'
R' D' L U' D F L2
R' D' L U' F D L2
R' D' L D U' F L2
R' D' L B2 U' D F
R' D' L B2 U' D' F
R' D' L B2 U' D2 F
R' D' L B2 U' F D
R' D' L B2 U' F D'
R' D' L B2 U' F D2
R' D' L B2 D U' F
R' D' L B2 D' U' F
R' D' L B2 D2 U' F
R2 D' L R B2 U' F
R' D' L' U' D L2 F
R' D' L' D U' L2 F
R' D' L' B2 U B U2
R2 D' L B2 R U' F
L' D' L2 R' U' F L
R' D' L2 B2 L' U' F
R2 D' R L B2 U' F
L' D' R' L2 U' F L
L' D' R' U B' U2 L'
L' D' R' U' L2 F L
R2 D' R B2 L U' F
L2 D' R' B' L U' L'
L D' R' U' D F L
L D' R' U' D' F L
L D' R' U' D2 F L
L D' R' U' F L D
L D' R' U' F L D'
L D' R' U' F L D2
L D' R' U' F D L
L D' R' U' F D' L
L D' R' U' F D2 L
L D' R' U' F' L F2
L D' R' U' F2 L F'
L D' R' D U' F L
L D' R' D' U' F L
L D' R' D2 U' F L
R' D' B L B U' F
R' D' B2 L U' D F
R' D' B2 L U' D' F
R' D' B2 L U' D2 F
R' D' B2 L U' F D
R' D' B2 L U' F D'
R' D' B2 L U' F D2
R' D' B2 L D U' F
R' D' B2 L D' U' F
R' D' B2 L D2 U' F
R' D' B2 L' U B' U2
R' D' B2 U2 R' U F'
R' D' B2 D L U' F
R' D' B2 D' L U' F
R' D' B2 D2 L U' F
R2 D' B2 L R U' F
R' D2 L U R2 U2 F
R2 D' B2 R L U' F
R' D2 L U' D2 F L2
R' D2 L U' F D2 L2
R' D2 L D B2 U' F
R' D2 L D2 U' F L2
R' D2 L' U R2 B' U2
R' D2 L' U B' R2 U2
R' D2 L' U' D2 L2 F
R' D2 L' D2 U' L2 F
L' D2 L2 R' U' F L
F U' F' L' R' U' L'
L' D2 R' L2 U' F L
F U' F' R' L' U' L'
L' D2 R' U B' U2 L'
L' D2 R' U' L2 F L
L D2 R' U' D F L
L D2 R' U' D' F L
L D2 R' U' D2 F L
L D2 R' U' F L D
L D2 R' U' F L D'
L D2 R' U' F L D2
L D2 R' U' F D L
L D2 R' U' F D' L
L D2 R' U' F D2 L
L D2 R' U' F' L F2
L D2 R' U' F2 L F'
L D2 R' D U' F L
L D2 R' D' U' F L
L D2 R' D2 U' F L
B2 U2 L R' U L F'
B2 U2 L R' U F' L
B2 U2 R' L U L F'
B2 U2 R' L U F' L
F' U2 R' F U' L2 F2
F' U2 R' F U' F2 L2
F2 U2 R' F2 U' F L2
R' F L F' U' L F2
R' F L F' U' F2 L
L F L U F' R' U'
F' U2 F R' U' L2 F'
F' U2 F R' U' F' L2
F2 U2 F2 R' U' L2 F'
F2 U2 F2 R' U' F' L2
F U2 F' R' U' L2 F'
F U2 F' R' U' F' L2
U2 F R' U F' L2 B'
L F U F' R' U' L
U' F' L' R' U' L' R
U' F' L' R' U' R L'
U' F' L2 U L R' U'
U' F' L2 U R' L U'
U' F' R' L' U' L' R
U' F' R' L' U' R L'
U2 F' R' U F' L2 B'
U' F' U L' R' U' L'
U' F' U R' L' U' L'
L F' R' F U' F L
R' F2 L F2 U' L F'
R' F2 L F2 U' F' L
U2 F2 R' U F' L2 B'
B2 D' B2 L R' U' F
B2 D' B2 R' L U' F
D F2 U2 R' F2 U' F
D F2 U2 F2 R' U' F'
D F2 D2 B2 L U F
R' B L U' D F L
R' B L U' D' F L
R' B L U' D2 F L
R' B L U' F L D
R' B L U' F L D'
R' B L U' F L D2
R' B L U' F D L
R' B L U' F D' L
R' B L U' F D2 L
R' B L U' F' L F2
R' B L U' F2 L F'
R' B L D U' F L
R' B L D' U' F L
R' B L D2 U' F L
R' B L' U B' U2 L'
R' B L' U' L2 F L
R2 B L R U' F L
R B L R2 U' F L
R2 B R L U' F L
L' B U B2 U2 L' B'
L' B U' L' D2 F2 B'
L' B U' L' D2 B' F2
R B R2 L U' F L
L' B U' D2 L' F2 B'
L' B U' D2 L' B' F2
R' B U2 R' U L2 F'
R' B U2 R' U F' L2
L B U' L' B' L F
L B U' D2 F L' B'
L B U' F L' B' L
R' B D' L B2 U' F
R' B D' B2 L U' F
L' B D2 U' L' F2 B'
L' B D2 U' L' B' F2
L B D2 U' F L' B'
R' B' L U' D F L
R' B' L U' D' F L
R' B' L U' D2 F L
R' B' L U' F L D
R' B' L U' F L D'
R' B' L U' F L D2
R' B' L U' F D L
R' B' L U' F D' L
R' B' L U' F D2 L
R' B' L U' F' L F2
R' B' L U' F2 L F'
R' B' L D U' F L
R' B' L D' U' F L
R' B' L D2 U' F L
R' B' L' U B' U2 L'
R' B' L' U' L2 F L
R2 B' L R U' F L
R B' L R2 U' F L
R2 B' R L U' F L
R B' R2 L U' F L
R' B' U2 R' U L2 F'
R' B' U2 R' U F' L2
R' B' D' L B2 U' F
R' B' D' B2 L U' F
R' B2 L U' D F L
R' B2 L U' D' F L
R' B2 L U' D2 F L
R' B2 L U' F L D
R' B2 L U' F L D'
R' B2 L U' F L D2
R' B2 L U' F D L
R' B2 L U' F D' L
R' B2 L U' F D2 L
R' B2 L U' F' L F2
R' B2 L U' F2 L F'
R' B2 L D U' F L
R' B2 L D' U' F L
R' B2 L D2 U' F L
R' B2 L' U B' U2 L'
R' B2 L' U' L2 F L
D' B2 L' U2 L2 U F
R2 B2 L R U' F L
D' B2 L2 U2 L' U F
R B2 L R2 U' F L
R2 B2 R L U' F L
R B2 R2 L U' F L
D' B2 U2 L R' U F'
R' B2 U2 R' U L2 F'
R' B2 U2 R' U F' L2
D' B2 U2 R' L U F'
R' B2 D' L B2 U' F
R' B2 D' B2 L U' F
