L2 B' U F B
L2 B' U B F
L2 R B' U F B
L2 R B' U B F
L2 R' B' U F B
L2 R' B' U B F
R' L2 B' U F B
R' L2 B' U B F
L2 R2 B' U F B
L2 R2 B' U B F
R2 L2 B' U F B
R2 L2 B' U B F
R L2 B' U F B
R L2 B' U B F
D' L2 B' U F B
D' L2 B' U B F
D2 L2 B' U F B
D2 L2 B' U B F
D L2 B' U F B
D L2 B' U B F
L2 D B' U F B
L2 D B' U B F
L2 D' B' U F B
L2 D' B' U B F
L2 D2 B' U F B
L2 D2 B' U B F
B' U2 F U' F' B
B' U2 F U' B F'
U F L2 U' F L2
U2 F U F' B' U2
U2 F U B' F' U2
L2 F U' F' B' U
L2 F U' B' F' U
F2 D' L2 F D R2
L2 B' U D F B
L2 B' U D B F
L2 B' U D B F
L2 B' U D' F B
L2 B' U D' B F
L2 B' U D2 F B
L2 B' U D2 B F
L2 B' U F D B
L2 B' U F D' B
L2 B' U F D2 B
L2 B' U F B D
L2 B' U F B D'
L2 B' U F B D2
L2 B' U B D F
L2 B' U B D' F
L2 B' U B D' F
L2 B' U B D2 F
L2 B' U B F D
L2 B' U B F D'
L2 B' U B F D2
U2 B' U' F B U'
U2 B' U' B F U'
L2 B' D U F B
L2 B' D U B F
L2 B' D' U F B
L2 B' D' U B F
L2 B' D2 U F B
L2 B' D2 U B F
L2 R' B' U F B D
L2 R' B' U F B D'
L2 R' B' U F B D2
L2 R' B' U B D F
L2 R' B' U B D' F
L2 R' B' U B D2 F
L2 R' B' U B F D
L2 R' B' U B F D'
L2 R' B' U B F D2
L2 R' B' D U F B
L2 R' B' D U B F
L2 R' B' D' U F B
L2 R' B' D' U B F
L2 R' B' D2 U F B
L2 R' B' D2 U B F
R' L2 D B' U F B
R' L2 D B' U B F
L2 R2 D B' U F B
L2 R2 D B' U B F
R2 L2 D B' U F B
R2 L2 D B' U B F
R L2 D B' U F B
R L2 D B' U B F
R' L2 D' B' U F B
R' L2 D' B' U B F
L2 R2 D' B' U F B
L2 R2 D' B' U B F
R2 L2 D' B' U F B
R2 L2 D' B' U B F
R L2 D' B' U F B
R L2 D' B' U B F
D2 L2 R B' U F B
D2 L2 R B' U B F
D' L2 R B' U F B
D' L2 R B' U B F
R' L2 D2 B' U F B
R' L2 D2 B' U B F
D L2 R B' U F B
D L2 R B' U B F
L2 R2 D2 B' U F B
L2 R2 D2 B' U B F
R2 L2 D2 B' U F B
R2 L2 D2 B' U B F
R' L2 F U' F' B' U
R' L2 F U' B' F' U
R L2 D2 B' U F B
R L2 D2 B' U B F
D2 L2 R' B' U F B
D2 L2 R' B' U B F
D' L2 R' B' U F B
D' L2 R' B' U B F
L2 R2 F U' F' B' U
L2 R2 F U' B' F' U
R2 L2 F U' F' B' U
R2 L2 F U' B' F' U
D L2 R' B' U F B
D L2 R' B' U B F
R L2 F U' F' B' U
R L2 F U' B' F' U
D2 L2 R2 B' U F B
D2 L2 R2 B' U B F
D' L2 R2 B' U F B
D' L2 R2 B' U B F
B2 L2 R2 B' U F' B'
B2 L2 R2 B' U B' F'
D L2 R2 B' U F B
D L2 R2 B' U B F
F L2 R2 B U' F B'
F L2 R2 B U' B' F
F' L2 U F2 B' U' F'
F' L2 U B' F2 U' F'
R' L2 B' U D F B
R' L2 B' U D B F
R' L2 B' U D' F B
R' L2 B' U D' B F
R' L2 B' U D2 F B
R' L2 B' U D2 B F
R' L2 B' U F D B
R' L2 B' U F D' B
R' L2 B' U F D2 B
R' L2 B' U F B D
R' L2 B' U F B D'
R' L2 B' U F B D2
R' L2 B' U B D F
R' L2 B' U B D' F
R' L2 B' U B D2 F
R' L2 B' U B F D
R' L2 B' U B F D'
R' L2 B' U B F D2
R' L2 B' D U F B
R' L2 B' D U B F
R' L2 B' D' U F B
R' L2 B' D' U B F
R' L2 B' D2 U F B
R' L2 B' D2 U B F
U2 L2 U2 B' U F B
U2 L2 U2 B' U B F
L2 R2 B' U D F B
L2 R2 B' U D B F
L2 R2 B' U D' F B
L2 R2 B' U D' B F
L2 R2 B' U D2 F B
L2 R2 B' U D2 B F
L2 R2 B' U F D B
L2 R2 B' U F D' B
L2 R2 B' U F D2 B
L2 R2 B' U F B D
L2 R2 B' U F B D'
L2 R2 B' U F B D2
L2 R2 B' U B D F
L2 R2 B' U B D' F
L2 R2 B' U B D2 F
L2 R2 B' U B F D
L2 R2 B' U B F D'
L2 R2 B' U B F D2
R2 L2 B' U D F B
R2 L2 B' U D B F
R2 L2 B' U D' F B
R2 L2 B' U D' B F
R2 L2 B' U D2 F B
R2 L2 B' U D2 B F
R2 L2 B' U F D B
R2 L2 B' U F D' B
R2 L2 B' U F D2 B
R2 L2 B' U F B D
R2 L2 B' U F B D'
R2 L2 B' U F B D2
R2 L2 B' U B D F
R2 L2 B' U B D' F
R2 L2 B' U B D2 F
R2 L2 B' U B F D
R2 L2 B' U B F D'
R2 L2 B' U B F D2
L2 R2 B' D U F B
L2 R2 B' D U B F
R2 L2 B' D U F B
R2 L2 B' D U B F
L2 R2 B' D' U F B
L2 R2 B' D' U B F
R L2 B' U D F B
R L2 B' U D B F
R L2 B' U D' F B
R L2 B' U D' B F
R L2 B' U D2 F B
R L2 B' U D2 B F
R L2 B' U F D B
R L2 B' U F D' B
R L2 B' U F D2 B
R L2 B' U F B D
R L2 B' U F B D'
R L2 B' U F B D2
U L2 U2 B' U F L2
L2 R2 B' D2 U F B
R2 L2 B' D' U F B
R2 L2 B' D' U B F
L2 R2 B' D2 U B F
R L2 B' U B D F
R L2 B' U B D' F
R L2 B' U B D2 F
R L2 B' U B F D
R L2 B' U B F D'
R L2 B' U B F D2
R2 L2 B' D2 U F B
R2 L2 B' D2 U B F
R L2 B' D U F B
R L2 B' D U B F
R L2 B' D' U F B
R L2 B' D' U B F
D2 L2 D B' U F B
D2 L2 D B' U B F
R L2 B' D2 U F B
R L2 B' D2 U B F
D' L2 D B' U F B
D' L2 D B' U B F
D L2 D B' U F B
D L2 D B' U B F
F2 L2 D' F L2 D R2
D2 L2 D' B' U F B
D2 L2 D' B' U B F
D' L2 D' B' U F B
D' L2 D' B' U B F
L2 U L U' L' F R
D L2 D' B' U F B
D L2 D' B' U B F
D2 L2 D2 B' U F B
D2 L2 D2 B' U B F
D' L2 D2 B' U F B
D' L2 D2 B' U B F
F2 L2 D2 F D L2 R2
F2 L2 D2 F D R2 L2
D L2 D2 B' U F B
D L2 D2 B' U B F
D2 L2 F U' F' B' U
D2 L2 F U' B' F' U
D' L2 F U' F' B' U
D' L2 F U' B' F' U
F' L2 F U F B' U'
F' L2 F U B' F U'
L U L' F U' L F
D L2 F U' F' B' U
D L2 F U' B' F' U
L2 U L2 F U' L2 F
F' L2 F2 B' U' F' B
F' L2 F2 B' U' B F'
D2 L2 B' U D F B
D2 L2 B' U D B F
D2 L2 B' U D' F B
D2 L2 B' U D' B F
D2 L2 B' U D2 F B
D2 L2 B' U D2 B F
D2 L2 B' U F D B
D2 L2 B' U F D' B
D2 L2 B' U F D2 B
D2 L2 B' U F B D
D2 L2 B' U F B D'
D2 L2 B' U F B D2
D2 L2 B' U B D F
D2 L2 B' U B D' F
B' L2 B' R2 U F' B2
D2 L2 B' U B D2 F
D2 L2 B' U B F D
D2 L2 B' U B F D'
D2 L2 B' U B F D2
B' L2 B' R2 U B2 F'
D' L2 B' U D F B
D' L2 B' U D B F
D' L2 B' U D' F B
D' L2 B' U D' B F
D' L2 B' U D2 F B
D' L2 B' U D2 B F
D' L2 B' U F D B
D' L2 B' U F D' B
D' L2 B' U F D2 B
D' L2 B' U F B D
D' L2 B' U F B D'
D' L2 B' U F B D2
D' L2 B' U B D F
D' L2 B' U B D' F
D' L2 B' U B D2 F
D' L2 B' U B F D
D' L2 B' U B F D'
D' L2 B' U B F D2
D2 L2 B' D U F B
D2 L2 B' D U B F
B' L2 B' U' B U2 B
B L2 B' L2 U F B'
B L2 B' L2 U B' F
D2 L2 B' D' U F B
D2 L2 B' D' U B F
D' L2 B' D U F B
D' L2 B' D U B F
B2 L2 B' U D2 F2 B'
B2 L2 B' U D2 B' F2
D2 L2 B' D2 U F B
D2 L2 B' D2 U B F
D' L2 B' D' U F B
D' L2 B' D' U B F
B2 L2 B' U' B2 U2 B
D' L2 B' D2 U F B
D' L2 B' D2 U B F
D L2 B' U D F B
D L2 B' U D B F
D L2 B' U D' F B
D L2 B' U D' B F
D L2 B' U D2 F B
D L2 B' U D2 B F
D L2 B' U F D B
D L2 B' U F D' B
D L2 B' U F D2 B
D L2 B' U F B D
D L2 B' U F B D'
D L2 B' U F B D2
D L2 B' U B D F
D L2 B' U B D' F
D L2 B' U B D2 F
D L2 B' U B F D
D L2 B' U B F D'
D L2 B' U B F D2
B2 L2 B' D' R2 U B'
B L2 B' U' F B' U2
F' L2 B' F2 U' F' B
F' L2 B' F2 U' B F'
B L2 B' U' B' F U2
B2 L2 B' D2 U F2 B'
B2 L2 B' D2 U B' F2
D L2 B' D U F B
D L2 B' D U B F
D L2 B' D' U F B
D L2 B' D' U B F
D L2 B' D2 U F B
D L2 B' D2 U B F
R' U F L2 U' F L2
R2 U F L2 U' F L2
L2 U F U' B' U B
R U F L2 U' F L2
D2 R L2 B' U F B
D2 R L2 B' U B F
D' R L2 B' U F B
D' R L2 B' U B F
D R L2 B' U F B
D R L2 B' U B F
U2 R F U F' B' U2
U2 R F U B' F' U2
U2 R B' U' F B U'
U2 R B' U' B F U'
D2 R' L2 B' U F B
D2 R' L2 B' U B F
D' R' L2 B' U F B
D' R' L2 B' U B F
D R' L2 B' U F B
D R' L2 B' U B F
F2 R' D' L2 F' R F2
F2 R' D' F' L2 R F
F2 R' D' F' R L2 F
F2 R' D' F2 L2 F R
U2 R' F U F' B' U2
U2 R' F U B' F' U2
U2 R' B' U' F B U'
U2 R' B' U' B F U'
R' U2 F U F' B' U2
R' U2 F U B' F' U2
R2 U2 F U F' B' U2
R2 U2 F U B' F' U2
D2 R2 L2 B' U F B
D2 R2 L2 B' U B F
D' R2 L2 B' U F B
D' R2 L2 B' U B F
R U2 F U F' B' U2
R U2 F U B' F' U2
B2 R2 L2 B' U F' B'
B2 R2 L2 B' U B' F'
D R2 L2 B' U F B
D R2 L2 B' U B F
F R2 L2 B U' F B'
F R2 L2 B U' B' F
B2 R2 U F' B2 D R2
B2 R2 U B2 F' D R2
R' U2 B' U' F B U'
R' U2 B' U' B F U'
B2 R2 U2 F U' F2 B2
B2 R2 U2 F U' B2 F2
B2 R2 D L2 B' U F'
R2 U2 B' U' F B U'
R2 U2 B' U' B F U'
R U2 B' U' F B U'
R U2 B' U' B F U'
U2 R2 F U F' B' U2
U2 R2 F U B' F' U2
R' D L2 B' U F B
R' D L2 B' U B F
R2 D L2 B' U F B
R2 D L2 B' U B F
R D L2 B' U F B
R D L2 B' U B F
U R2 F' D B2 R2 F'
L2 D R B' U F B
L2 D R B' U B F
L2 D R' B' U F B
L2 D R' B' U B F
F R2 B U B2 U2 B
F R2 B U' D2 F2 B'
F R2 B U' D2 B' F2
F R2 B D2 U' F2 B'
F R2 B D2 U' B' F2
L2 D R2 B' U F B
L2 D R2 B' U B F
U2 R2 B' U' F B U'
U2 R2 B' U' B F U'
L2 D F U' F' B' U
L2 D F U' B' F' U
F' U L2 F2 B' U' F'
B' U L2 B' U L2 B2
B' U L2 B' U B2 L2
F' U L2 B' F2 U' F'
B2 U R2 F' B2 D R2
D' U F L2 U' F L2
L2 D B' U D F B
L2 D B' U D B F
L2 D B' U D' F B
L2 D B' U D' B F
L2 D B' U D2 F B
L2 D B' U D2 B F
L2 D B' U F D B
L2 D B' U F D' B
L2 D B' U F D2 B
L2 D B' U F B D
L2 D B' U F B D'
L2 D B' U F B D2
L2 D B' U B D F
L2 D B' U B D' F
L2 D B' U B D2 F
L2 D B' U B F D
L2 D B' U B F D'
L2 D B' U B F D2
D2 U F L2 U' F L2
B2 U R2 B2 F' D R2
L2 D B' D U F B
L2 D B' D U B F
L2 D B' D' U F B
L2 D B' D' U B F
L2 D B' D2 U F B
L2 D B' D2 U B F
U2 D F U F' B' U2
U2 D F U B' F' U2
D U F L2 U' F L2
U D F L2 U' F L2
F2 U D' F' U' L2 F
R' D' L2 B' U F B
R' D' L2 B' U B F
R2 D' L2 B' U F B
R2 D' L2 B' U B F
U2 D B' U' F B U'
U2 D B' U' B F U'
R D' L2 B' U F B
R D' L2 B' U B F
L2 D' R B' U F B
L2 D' R B' U B F
B' U B U F U' F'
L2 D' R' B' U F B
L2 D' R' B' U B F
L2 D' R2 B' U F B
L2 D' R2 B' U B F
L2 D' F U' F' B' U
L2 D' F U' B' F' U
F U' L2 F D' L2 B2
F U' L2 F D' B2 L2
L' D' B R' U B' R'
U2 D' F U F' B' U2
U2 D' F U B' F' U2
U D' F L2 U' F L2
L2 D' B' U D F B
L2 D' B' U D B F
L2 D' B' U D' F B
L2 D' B' U D' B F
L2 D' B' U D2 F B
L2 D' B' U D2 B F
L2 D' B' U F D B
L2 D' B' U F D' B
L2 D' B' U F D2 B
L2 D' B' U F B D
L2 D' B' U F B D'
L2 D' B' U F B D2
L2 D' B' U B D F
L2 D' B' U B D' F
L2 D' B' U B D2 F
L2 D' B' U B F D
L2 D' B' U B F D'
L2 D' B' U B F D2
L2 D' B' D U F B
L2 D' B' D U B F
L2 D' B' D' U F B
L2 D' B' D' U B F
L2 D' B' D2 U F B
L2 D' B' D2 U B F
U2 D' B' U' F B U'
U2 D' B' U' B F U'
R' D2 L2 B' U F B
R' D2 L2 B' U B F
R2 D2 L2 B' U F B
R2 D2 L2 B' U B F
L2 D2 R B' U F B
L2 D2 R B' U B F
R D2 L2 B' U F B
R D2 L2 B' U B F
B2 U' B U' F U' B
L2 D2 R' B' U F B
L2 D2 R' B' U B F
L2 D2 R2 B' U F B
L2 D2 R2 B' U B F
B U' B2 U' F U' B
D' U2 F U F' B' U2
D' U2 F U B' F' U2
D2 U2 F U F' B' U2
D2 U2 F U B' F' U2
U2 D2 F U F' B' U2
U2 D2 F U B' F' U2
L2 D2 F U' F' B' U
L2 D2 F U' B' F' U
D U2 F U F' B' U2
D U2 F U B' F' U2
U D2 F L2 U' F L2
D' U2 B' U' F B U'
D' U2 B' U' B F U'
D2 U2 B' U' F B U'
D2 U2 B' U' B F U'
B2 U2 R2 F U' F2 B2
B2 U2 R2 F U' B2 F2
L2 D2 B' U D F B
L2 D2 B' U D B F
L2 D2 B' U D' F B
L2 D2 B' U D' B F
L2 D2 B' U D2 F B
L2 D2 B' U D2 B F
L2 D2 B' U F D B
L2 D2 B' U F D' B
L2 D2 B' U F D2 B
L2 D2 B' U F B D
L2 D2 B' U F B D'
L2 D2 B' U F B D2
L2 D2 B' U B D F
L2 D2 B' U B D' F
L2 D2 B' U B D2 F
L2 D2 B' U B F D
L2 D2 B' U B F D'
L2 D2 B' U B F D2
U2 D2 B' U' F B U'
U2 D2 B' U' B F U'
L2 D2 B' D U F B
L2 D2 B' D U B F
L2 D2 B' D' U F B
L2 D2 B' D' U B F
L2 D2 B' D2 U F B
L2 D2 B' D2 U B F
B' U2 D F U' F' B
B' U2 D F U' B F'
D U2 B' U' F B U'
D U2 B' U' B F U'
B' U2 D' F U' F' B
B' U2 D' F U' B F'
B2 U2 D' R2 F U' F2
B2 U2 D' F R2 U' F'
B' U2 D2 F U' F' B
B' U2 D2 F U' B F'
B' U2 F L U' F' B
B' U2 F L U' B F'
B' U2 F L' U' F' B
B' U2 F L' U' B F'
B' U2 F L2 U' F' B
B' U2 F L2 U' B F'
B' U2 F U' D F' B
B' U2 F U' D B F'
B' U2 F U' D' F' B
B' U2 F U' D' B F'
B' U2 F U' D2 F' B
B' U2 F U' D2 B F'
B' U2 F U' F' D B
B' U2 F U' F' D' B
B' U2 F U' F' D2 B
B' U2 F U' F' B D
B' U2 F U' F' B D'
B' U2 F U' F' B D2
B' U2 F U' B D F'
B' U2 F U' B D' F'
B' U2 F U' B D2 F'
B' U2 F U' B F' D
B' U2 F U' B F' D'
B' U2 F U' B F' D2
B' U2 F D U' F' B
B' U2 F D U' B F'
B2 U2 F R2 U' F' B2
B2 U2 F R2 U' B2 F'
B' U2 F D' U' F' B
B' U2 F D' U' B F'
B2 U2 F U B U2 B
B' U2 F D2 U' F' B
B' U2 F D2 U' B F'
B U2 D2 F U' F B'
B U2 D2 F U' B' F
B2 U2 F D' R2 U' F'
U2 F L2 R2 U' F B
U2 F L2 R2 U' B F
U2 F L2 U F' U2 F2
U F L' U' L' F L2
U2 F L2 U' F D2 B2
B U2 F U B2 U2 B
B U2 F U' D2 F2 B'
B U2 F U' D2 B' F2
B U2 F D2 U' F2 B'
B U2 F D2 U' B' F2
U F L2 U' F L2 D
U F L2 U' F L2 D'
U F L2 U' F L2 D2
U F L2 U' F' L2 F2
U F L2 U' F2 L2 F'
U F L2 D' B2 U' F
F U2 F' L2 U F B'
F U2 F' L2 U B' F
U F L2 B U' F L2
U F L2 B' U' F L2
U F L2 B2 U' F L2
F U2 F' U' F B' U2
F U2 F' U' B' F U2
B' U2 B U F B' U'
B' U2 B U B' F U'
U2 F R2 L2 U' F B
U2 F R2 L2 U' B F
U2 F R2 U B' U2 B2
U2 F R2 U' B D2 F2
U2 F U D F' B' U2
U2 F U D B' F' U2
U2 F U D' F' B' U2
U2 F U D' B' F' U2
U2 F U D2 F' B' U2
U2 F U D2 B' F' U2
U2 F U F' D B' U2
U2 F U F' D' B' U2
U2 F U F' D2 B' U2
U2 F U F' B' U2 D
U2 F U F' B' U2 D'
U2 F U F' B' U2 D2
U2 F U F' B' D U2
U2 F U F' B' D' U2
U2 F U F' B' D2 U2
U2 F U B' D F' U2
U2 F U B' D' F' U2
F U2 B' U F' B U
U2 F U B' D2 F' U2
U2 F U B' F' U2 D
U2 F U B' F' U2 D'
U2 F U B' F' U2 D2
F U2 B' U B F' U
U2 F U B' F' D U2
U2 F U B' F' D' U2
U2 F U B' F' D2 U2
L2 F U' D F' B' U
L2 F U' D B' F' U
L2 F U' D' F' B' U
L2 F U' D' B' F' U
L2 F U' D2 F' B' U
L2 F U' D2 B' F' U
L2 F U' F' D B' U
L2 F U' F' D' B' U
L2 F U' F' D2 B' U
L2 F U' F' B' U D
L2 F U' F' B' U D'
L2 F U' F' B' U D2
L2 F U' F' B' D U
L2 F U' F' B' D' U
L2 F U' F' B' D2 U
L2 F U' B' D F' U
L2 F U' B' D' F' U
L2 F U' B' D2 F' U
L2 F U' B' F' U D
L2 F U' B' F' U D'
L2 F U' B' F' U D2
L2 F U' B' F' D U
L2 F U' B' F' D' U
L2 F U' B' F' D2 U
U F U B' U' B U'
U F U' F2 D' L2 F
B2 D L2 R2 B' U F'
U2 F D U F' B' U2
U2 F D U B' F' U2
L2 F D U' F' B' U
L2 F D U' B' F' U
B2 D L2 B' U D2 F2
B2 D L2 B' U' B2 U2
B2 D L2 B' D' R2 U
B2 D L2 B' D2 U F2
U F D L2 U' F L2
U2 F D' U F' B' U2
U2 F D' U B' F' U2
L2 F D' U' F' B' U
L2 F D' U' B' F' U
U F D' L2 U' F L2
U2 F D2 U F' B' U2
U2 F D2 U B' F' U2
L2 F D2 U' F' B' U
L2 F D2 U' B' F' U
U F D2 L2 U' F L2
B2 D R2 L2 B' U F'
F' D R2 F' D' L2 F
U F B D L2 U' L2
B' D U2 F U' F' B
B' D U2 F U' B F'
F' D F' R2 D' L2 F
U2 F' L2 F2 U' F' B'
U2 F' L2 F2 U' B' F'
U F' L2 F2 U' L2 F'
U F' L2 F2 U' F' L2
B2 D B2 L2 B' U F
U F' R2 D B2 R2 F'
L2 F' U' F B' U F
L2 F' U' B' F U F
F2 D' L2 U F' U' F2
F2 D' L2 D F D R2
F2 D' L2 D' F D R2
F2 D' L2 D2 F D R2
F2 D' L2 F R D R2
F2 D' L2 F R' D R2
F2 D' L2 F R2 D R2
F2 D' L2 F U F2 U'
F2 D' L2 F D R2 D
F2 D' L2 F D R2 D'
F2 D' L2 F D R2 D2
B D' R2 U2 F U' B'
F2 D' U F' U' L2 F
B' D' U2 F U' F' B
B' D' U2 F U' B F'
B2 D' U2 R2 F U' F2
B2 D' U2 F R2 U' F'
F2 D' F L2 D R2 F
F2 D' F L2 D F R2
B2 D' F R2 B U' F'
U F2 L2 F' U' L2 F2
U F2 L2 F' U' F2 L2
L2 F2 U' F2 B' U F
L2 F2 U' B' F2 U F
R' F2 D' L2 F D R2
D2 F2 D' L2 F D R2
D' F2 D' L2 F D R2
F2 D2 L2 F D L2 R2
F2 D2 L2 F D R2 L2
L2 F2 D' L2 F' D R2
R2 F2 D' L2 F D R2
D F2 D' L2 F D R2
R F2 D' L2 F D R2
B' D2 U2 F U' F' B
B' D2 U2 F U' B F'
B D2 U2 F U' F B'
B D2 U2 F U' B' F
F2 D2 F D L2 R2 F
F2 D2 F D L2 F R2
F2 D2 F D R2 L2 F
F' D2 F' D' L2 R2 F
F' D2 F' D' L2 F R2
F' D2 F' D' R2 L2 F
L2 B R B2 U F B
L2 B R B2 U B F
L2 B R' B2 U F B
L2 B R' B2 U B F
L2 B R2 B2 U F B
L2 B R2 B2 U B F
L2 B U D' R2 F B'
L2 B U D' R2 B' F
L2 B U D' F R2 B'
L2 B U D' F B' R2
L2 B U D' B' R2 F
L2 B U D' B' F R2
L2 B U F D' R2 B'
L2 B U F D' B' R2
L2 B D' U R2 F B'
L2 B D' U R2 B' F
L2 B D' U F R2 B'
L2 B D' U F B' R2
L2 B D' U B' R2 F
L2 B D' U B' F R2
U B D F L2 U' L2
B2 F R2 B U' F' B
B2 F R2 B U' B F'
U B F D L2 U' L2
B' F U2 F' U F B
B' F U2 F' U B F
U' B' L2 U B' L2 U
L' B' L' B' U F B2
L' B' L' B' U B2 F
L2 B' L2 U B D2 F2
L B' L B' U F B2
L B' L B' U B2 F
L2 B' L2 U' B' U2 B2
B2 F D' R2 B U' F'
U' B' U L2 B' U B
L2 B' R2 U F D2 B2
L2 B' R2 U' F' U2 F2
L2 B' U L B L' F
L2 B' U R F R' B
U' B' U' F R2 U' B
U' B' U' F U F' U2
L2 B' U D F D B
L2 B' U D F D' B
L2 B' U D F D2 B
L2 B' U D F B D
L2 B' U D F B D'
L2 B' U D F B D2
L2 B' U D B D F
L2 B' U D B D' F
L2 B' U D B D2 F
L2 B' U D B F D
L2 B' U D B F D'
L2 B' U D B F D2
L2 B' U D' F D B
L2 B' U D' F D' B
L2 B' U D' F D2 B
L2 B' U D' F B D
L2 B' U D' F B D'
L2 B' U D' F B D2
L2 B' U D' B D F
L2 B' U D' B D' F
L2 B' U D' B D2 F
L2 B' U D' B F D
L2 B' U D' B F D'
L2 B' U D' B F D2
L2 B' U D2 F D B
L2 B' U D2 F D' B
L2 B' U D2 F D2 B
L2 B' U D2 F B D
L2 B' U D2 F B D'
L2 B' U D2 F B D2
L2 B' U D2 B D F
L2 B' U D2 B D' F
L2 B' U D2 B D2 F
L2 B' U D2 B F D
L2 B' U D2 B F D'
L2 B' U D2 B F D2
L2 B' U F L B L'
L2 B' U F L2 B L2
L2 B' U F D B D
L2 B' U F D B D'
L2 B' U F D B D2
L2 B' U F D' B D
L2 B' U F D' B D'
L2 B' U F D' B D2
L2 B' U F D2 B D
L2 B' U F D2 B D'
L2 B' U F D2 B D2
L2 B' U F B2 D B'
L2 B' U F B2 D' B'
L2 B' U F B2 D2 B'
L2 B' U F2 D F' B
L2 B' U F2 D B F'
L2 B' U F2 D' F' B
L2 B' U F2 D' B F'
L2 B' U F2 D2 F' B
L2 B' U F2 D2 B F'
L2 B' U F2 B D F'
L2 B' U F2 B D' F'
L2 B' U F2 B D2 F'
L2 B' U B R F R'
L2 B' U B R2 F R2
L2 B' U B D F D
L2 B' U B D F D'
L2 B' U B D F D2
L2 B' U B D' F D
L2 B' U B D' F D'
L2 B' U B D' F D2
L2 B' U B D2 F D
L2 B' U B D2 F D'
L2 B' U B D2 F D2
L2 B' U B F2 D F'
L2 B' U B F2 D' F'
L2 B' U B F2 D2 F'
L2 B' U B2 D F B'
L2 B' U B2 D B' F
L2 B' U B2 D' F B'
L2 B' U B2 D' B' F
L2 B' U B2 D2 F B'
L2 B' U B2 D2 B' F
L2 B' U B2 F D B'
L2 B' U B2 F D' B'
L2 B' U B2 F D2 B'
U2 B' U' D F B U'
U2 B' U' D B F U'
U2 B' U' D' F B U'
U2 B' U' D' B F U'
U2 B' U' D2 F B U'
U2 B' U' D2 B F U'
U2 B' U' F D B U'
U2 B' U' F D' B U'
U2 B' U' F D2 B U'
U2 B' U' F B U' D
U2 B' U' F B U' D'
U2 B' U' F B U' D2
U2 B' U' F B D U'
U2 B' U' F B D' U'
U2 B' U' F B D2 U'
R' B' U2 F U' F' B
R' B' U2 F U' B F'
L2 B' U' F' U2 F2 B
L2 B' U' F' U2 B F2
D2 B' U2 F U' F' B
D2 B' U2 F U' B F'
L2 B' U' F2 U2 F' B
L2 B' U' F2 U2 B F'
D' B' U2 F U' F' B
D' B' U2 F U' B F'
U2 B' U' B D F U'
U2 B' U' B D' F U'
U2 B' U' B D2 F U'
U2 B' U' B F U' D
