D' L' F L' R B2
D' L' F L' B2 R
D' L' F R L' B2
D' L' F R B2 L'
D' L' F B2 L' R
D' L' F B2 R L'
D' L' B2 F L' R
D' L' B2 F R L'
D' F L' R F B2
D' F L' R B2 F
D' F L' B2 R F
D' F R L' F B2
D' F R L' B2 F
D' F R B2 L' F
D' F B2 L' R F
D' F B2 R L' F
D' B2 L' F L' R
D' B2 L' F R L'
D' B2 F L' R F
D' B2 F R L' F
D' L' B2 F L' R D2
D' L' B2 F L' D R
D' L' B2 F L' D' R
D' L' B2 F L' D2 R
D' L' B2 F R L' D
D' L' B2 F R L' D'
D' L' B2 F R L' D2
D' L' B2 F R D L'
D' L' B2 F R D' L'
D' L' B2 F R D2 L'
D' L' B2 F D L' R
D' L' B2 F D R L'
D' L' B2 F D' L' R
D' L' B2 F D' R L'
D' L' B2 F D2 L' R
D' L' B2 F D2 R L'
F' L2 R F' U' L U2
F' L2 R F' B2 U R'
U' L2 R F' B R U
U' L2 R B F' R U
F' L2 R B2 F' U R'
R L2 F' R U' L' U2
U' L2 F' R F' B U
U' L2 F' R B F' U
D' L2 B2 L F L' R
D' L2 B2 L F R L'
F' L2 B2 R F' U R2
D' R L' F L' R B2
D' R L' F L' B2 R
D' R L' F R L' B2
D' R L' F R B2 L'
D' R L' F B2 L' R
D' R L' F B2 R L'
D' R L' B2 F L' R
D' R L' B2 F R L'
F' R L2 F' U' L U2
F' R L2 F' B2 U R'
U' R L2 F' B R U
U' R L2 B F' R U
F' R L2 B2 F' U R'
D' R F L' R F B2
D' R F L' R B2 F
D' R F L' B2 R F
D' R F R L' F B2
D' R F R L' B2 F
D' R F R B2 L' F
D' R F B2 L' R F
D' R F B2 R L' F
U' R F' L2 B R U
U' R F' B L2 R U
U' R F' B R L2 U
R U' L2 F' R B U
U' R B L2 F' R U
U' R B F' L2 R U
U' R B F' R L2 U
D' R B2 L' F L' R
D' R B2 L' F R L'
D' R B2 F L' R F
D' R B2 F R L' F
D' R' L' F L' R B2
D' R' L' F L' B2 R
D' R' L' F R L' B2
D' R' L' F R B2 L'
D' R' L' F B2 L' R
D' R' L' F B2 R L'
D' R' L' B2 F L' R
D' R' L' B2 F R L'
R U' F' L2 R B U
R U' F' R L2 B U
R U' F' R B L2 U
D' R' F L' R F B2
D' R' F L' R B2 F
D' R' F L' B2 R F
D' R' F R L' F B2
D' R' F R L' B2 F
D' R' F R B2 L' F
D' R' F B2 L' R F
D' R' F B2 R L' F
D' R' B2 L' F L' R
D' R' B2 L' F R L'
D' R' B2 F L' R F
D' R' B2 F R L' F
D' R2 L' F L' R B2
D' R2 L' F L' B2 R
D' R2 L' F R L' B2
D' R2 L' F R B2 L'
D' R2 L' F B2 L' R
D' R2 L' F B2 R L'
D' R2 L' B2 F L' R
D' R2 L' B2 F R L'
D' R2 F L' R F B2
D' R2 F L' R B2 F
D' R2 F L' B2 R F
D' R2 F R L' F B2
D' R2 F R L' B2 F
D' R2 F R B2 L' F
D' R2 F B2 L' R F
D' R2 F B2 R L' F
D' R2 B2 L' F L' R
D' R2 B2 L' F R L'
D' R2 B2 F L' R F
D' R2 B2 F R L' F
L2 D' F U L' R F
L2 D' F U R L' F
D' F L' R F B2 D
D' F L' R F B2 D'
D' F L' R F B2 D2
D' F L' R B2 D F
D' F L' R B2 D' F
D' F L' R B2 D2 F
D' F L' R B2 F D
D' F L' R B2 F D'
D' F L' R B2 F D2
D' F L' R' F R2 B2
D' F L' R' F B2 R2
D' F L' R' B2 R2 F
D' F L' R' B2 F R2
D' F L' R2 F R' B2
D' F L' B' R F B'
D' F L' B' R B' F
D' F L' B2 R D F
D' F L' B2 R D' F
D' F L' B2 R D2 F
D' F L' B2 R F D
D' F L' B2 R F D'
D' F L' B2 R F D2
D' F L' B2 R' F R2
D' F L' B2 R2 F R'
D' F L' B2 D R F
D' F L' B2 D' R F
D' F L' B2 D2 R F
D' F R L' F B2 D
D' F R L' F B2 D'
D' F R L' F B2 D2
D' F R L' B2 D F
D' F R L' B2 D' F
D' F R L' B2 D2 F
D' F R L' B2 F D
D' F R L' B2 F D'
D' F R L' B2 F D2
D F L2 R F' B' L
D F L2 R B' L F'
D F L2 R B' F' L
D' F R B L' F B
D' F R B L' B F
D' F R B2 L' D F
D' F R B2 L' D' F
D' F R B2 L' D2 F
D' F R B2 L' F D
D' F R B2 L' F D'
D' F R B2 L' F D2
D' F R' L' F R2 B2
D' F R' L' F B2 R2
D' F R' L' B2 R2 F
D' F R' L' B2 F R2
D F L2 B' L R F'
D F L2 B' R L F'
D F L2 B' R F' L
D F R L2 F' B' L
D F R L2 B' L F'
D F R L2 B' F' L
D' F R' B2 L' R2 F
D' F R' B2 L' F R2
D' F R' B2 R2 L' F
D' F R2 L' F R' B2
D' F U L' R F B2
D' F U L' R B2 F
D' F U L' B2 R F
D' F U R L' F B2
D' F U R L' B2 F
D' F U R B2 L' F
D' F U B2 L' R F
D' F U B2 R L' F
D' F U' L' R F B2
D' F U' L' R B2 F
D' F U' L' B2 R F
D' F U' R L' F B2
D' F U' R L' B2 F
D' F U' R B2 L' F
D' F U' B2 L' R F
D' F U' B2 R L' F
D' F U2 L' R F B2
D' F U2 L' R B2 F
D' F U2 L' B2 R F
D' F U2 R L' F B2
D' F U2 R L' B2 F
D' F U2 R B2 L' F
D' F U2 B2 L' R F
D' F U2 B2 R L' F
D' F B L' B R F
D' F B' R B' L' F
D' F B2 L' R D F
D' F B2 L' R D' F
D' F B2 L' R D2 F
D' F B2 L' R F D
D' F B2 L' R F D'
D' F B2 L' R F D2
D' F B2 L' R' F R2
D' F B2 L' R2 F R'
D' F B2 L' D R F
D' F B2 L' D' R F
D' F B2 L' D2 R F
D' F B2 R L' D F
D' F B2 R L' D' F
D' F B2 R L' D2 F
D' F B2 R L' F D
D' F B2 R L' F D'
D' F B2 R L' F D2
D' F B2 R' L' F R2
D' F B2 R2 L' F R'
D' F B2 D2 L' R F'
D' F B2 D2 R L' F'
D' F' L' R U2 F B2
D' F' L' R U2 B2 F
U' F' L2 R F' B U
U' F' L2 R B F' U
U' F' R L2 F' B U
U' F' R L2 B F' U
D' F' R L' U2 F B2
D' F' R L' U2 B2 F
U' F' R F' L2 B U
U' F' R F' B L2 U
U' F' R B L2 F' U
U' F' R B F' L2 U
R F' L2 R U' L U2
R F' L2 R B2 U R'
R F' L2 B2 R U R2
R F' R L2 U' L U2
R F' R L2 B2 U R'
B' D' L' F L' R B2
B' D' L' F L' B2 R
B' D' L' F R L' B2
B' D' L' F R B2 L'
B' D' L' F B2 L' R
B' D' L' F B2 R L'
B' D' L' B2 F L' R
B' D' L' B2 F R L'
B2 D' L' F L' R B2
B2 D' L' F L' B2 R
B2 D' L' F R L' B2
B2 D' L' F R B2 L'
B2 D' L' F B2 L' R
B2 D' L' F B2 R L'
B2 D' L' B2 F L' R
B2 D' L' B2 F R L'
B D' L' F L' R B2
B D' L' F L' B2 R
B D' L' F R L' B2
B D' L' F R B2 L'
B D' L' F B2 L' R
B D' L' F B2 R L'
B D' L' B2 F L' R
B D' L' B2 F R L'
B' D' F L' R F B2
B' D' F L' R B2 F
B' D' F L' B2 R F
B' D' F R L' F B2
B' D' F R L' B2 F
B' D' F R B2 L' F
B2 D' F L' R F B2
B2 D' F L' R B2 F
B2 D' F L' B2 R F
B2 D' F R L' F B2
B2 D' F R L' B2 F
B2 D' F R B2 L' F
B' D' F B2 L' R F
B' D' F B2 R L' F
B2 D' F B2 L' R F
B2 D' F B2 R L' F
B D' F L' R F B2
B D' F L' R B2 F
B D' F L' B2 R F
B D' F R L' F B2
B D' F R L' B2 F
B D' F R B2 L' F
B D' F B2 L' R F
B D' F B2 R L' F
B' D' B2 L' F L' R
B' D' B2 L' F R L'
B2 D' B2 L' F L' R
B2 D' B2 L' F R L'
B' D' B2 F L' R F
B' D' B2 F R L' F
B2 D' B2 F L' R F
B2 D' B2 F R L' F
B D' B2 L' F L' R
B D' B2 L' F R L'
B D' B2 F L' R F
B D' B2 F R L' F
D' B L' F L' B R
D' B L' F B L' R
D' B L' F B R L'
D' B L' B F L' R
D' B L' B F R L'
D' B F L' B R F
D' B' F R B' L' F
D' B2 L' R F L' R
D' B2 L' R F R L'
D' B2 L' R' F L' R
D' B2 L' R' F R L'
D' B2 L' R2 F L' R
D' B2 L' R2 F R L'
D' B2 L' F L' R D
D' B2 L' F L' R D'
D' B2 L' F L' R D2
D' B2 L' F L' D R
D' B2 L' F L' D' R
D' B2 L' F L' D2 R
D' B2 L' F R L' D
D' B2 L' F R L' D'
D' B2 L' F R L' D2
D' B2 L' F R D L'
D' B2 L' F R D' L'
D' B2 L' F R D2 L'
D' B2 L' F D L' R
D' B2 L' F D R L'
D' B2 L' F D' L' R
D' B2 L' F D' R L'
D' B2 L' F D2 L' R
D' B2 L' F D2 R L'
D' B2 R L' F L' R
D' B2 R L' F R L'
D' B2 R F L' R F
D' B2 R F R L' F
D' B2 R' L' F L' R
D' B2 R' L' F R L'
D' B2 R' F L' R F
D' B2 R' F R L' F
D' B2 R2 L' F L' R
D' B2 R2 L' F R L'
D' B2 R2 F L' R F
D' B2 R2 F R L' F
D' B2 F L' R D F
D' B2 F L' R D' F
D' B2 F L' R D2 F
D' B2 F L' R F D
D' B2 F L' R F D'
D' B2 F L' R F D2
D' B2 F L' R' F R2
D' B2 F L' R2 F R'
D' B2 F L' D R F
D' B2 F L' D' R F
D' B2 F L' D2 R F
D' B2 F R L' D F
D' B2 F R L' D' F
D' B2 F R L' D2 F
D' B2 F R L' F D
D' B2 F R L' F D'
D' B2 F R L' F D2
D' B2 F R' L' F R2
D' B2 F R2 L' F R'
D' B2 F D2 L' R F'
D' B2 F D2 R L' F'
