D B U2 L R'
D B U2 R' L
D L B U2 L R'
D L B U2 R' L
D L' B U2 L R'
D L' B U2 R' L
D L2 B U2 L R'
D L2 B U2 R' L
B R U' F' U' L
B' R' B2 U B' U
D' R2 U2 F' L' R
D' R2 U2 F' R L'
L' D B U2 L R'
L' D B U2 R' L
L D B U2 L R'
L D B U2 R' L
L2 D B U2 L R'
L2 D B U2 R' L
U2 D' R2 F' L' R
U2 D' R2 F' R L'
D' U2 R2 F' L' R
D' U2 R2 F' R L'
D B L' U2 L2 R'
D B L' U2 R' L2
D B L2 U2 L' R'
D B L2 U2 R' L'
D B R U2 L R2
D B R U2 R2 L
D B R2 U2 L R
D B R2 U2 R L
D B U2 L R' D
D B U2 L R' D'
D B U2 L R' D2
D B U2 L D R'
D B U2 L D' R'
D B U2 L D2 R'
D B U2 R' L D
D B U2 R' L D'
D B U2 R' L D2
D B U2 R' D L
D B U2 R' D' L
D B U2 R' D2 L
D B U2 D L R'
D B U2 D R' L
D B U2 D' L R'
D B U2 D' R' L
D B U2 D2 L R'
D B U2 D2 R' L
D B D U2 L R'
D B D U2 R' L
D B D' U2 L R'
D B D' U2 R' L
D B D2 U2 L R'
D B D2 U2 R' L
D B' L R' B2 U2
D B' L B2 U2 L
D B' R' L B2 U2
D B' R' B2 U2 R'
D R' B' R' L U2 F'
U R' B F' R' U F'
B2 R' B' D' U2 L R2
B2 R' B' D' U2 R2 L
B' R' B2 L2 U' F U'
B' R' B2 U D B' U
B' R' B2 U D' B' U
B' R' B2 U D2 B' U
B' R' B2 U B' U D
B' R' B2 U B' U D'
B' R' B2 U B' U D2
B' R' B2 U B' D U
B' R' B2 U B' D' U
B' R' B2 U B' D2 U
B' R' B2 D U B' U
B' R' B2 D' U B' U
L' U2 D' R2 F' L' R
L' U2 D' R2 F' R L'
B' R' B2 D2 U B' U
D' R2 L U2 F' L' R
D' R2 L U2 F' R L'
L2 U2 D' R2 F' L' R
L2 U2 D' R2 F' R L'
L U2 D' R2 F' L' R
L U2 D' R2 F' R L'
D' R2 L' U2 F' L' R
D' R2 L' U2 F' R L'
D' R2 L2 U2 F' L' R
D' R2 L2 U2 F' R L'
R2 U2 F' L' U' B' U
B R2 U F U L R
B R2 U F U R L
D' R2 U2 L F' L' R
D' R2 U2 L F' R L'
D' R2 U2 L' F' L' R
D' R2 U2 L' F' R L'
D' R2 U2 L2 F' L' R
D' R2 U2 L2 F' R L'
D2 R2 U2 D F' L' R
D2 R2 U2 D F' R L'
D' R2 U2 F' L' R D
D' R2 U2 F' L' R D'
D' R2 U2 F' L' R D2
D' R2 U2 F' L' D R
D' R2 U2 F' L' D' R
D' R2 U2 F' L' D2 R
D' R2 U2 F' R L' D
D' R2 U2 F' R L' D'
D' R2 U2 F' R L' D2
D' R2 U2 F' R D L'
D' R2 U2 F' R D' L'
D' R2 U2 F' R D2 L'
D' R2 U2 F' D L' R
D' R2 U2 F' D R L'
D' R2 U2 F' D' L' R
D' R2 U2 F' D' R L'
D' R2 U2 F' D2 L' R
D' R2 U2 F' D2 R L'
B R2 U2 L U F U'
D R2 U2 D2 F' L' R
D R2 U2 D2 F' R L'
D2 R2 D U2 F' L' R
D2 R2 D U2 F' R L'
L' D L B U2 L R'
L' D L B U2 R' L
L2 D L B U2 L R'
L2 D L B U2 R' L
D R2 D2 U2 F' L' R
D R2 D2 U2 F' R L'
L' D L' B U2 L R'
L' D L' B U2 R' L
L D L B U2 L R'
L D L B U2 R' L
L2 D L' B U2 L R'
L2 D L' B U2 R' L
L' D L2 B U2 L R'
L' D L2 B U2 R' L
L D L' B U2 L R'
L D L' B U2 R' L
L2 D L2 B U2 L R'
L2 D L2 B U2 R' L
L D L2 B U2 L R'
L D L2 B U2 R' L
D' R2 B U2 L F' R
D' R2 B U2 F' L R
D' R2 B U2 F' R L
D R2 B U2 L F' R'
D R2 B U2 F' L R'
D R2 B U2 F' R' L
B' R2 B2 R U B U
L' D B L' U2 L2 R'
L' D B L' U2 R' L2
L' D B L2 U2 L' R'
L' D B L2 U2 R' L'
L' D B R U2 L R2
L' D B R U2 R2 L
L' D B R2 U2 L R
L' D B R2 U2 R L
L' D B U2 L R' D
L' D B U2 L R' D'
L' D B U2 L R' D2
L' D B U2 L D R'
L' D B U2 L D' R'
L' D B U2 L D2 R'
L' D B U2 R' L D
L' D B U2 R' L D'
L' D B U2 R' L D2
L' D B U2 R' D L
L' D B U2 R' D' L
L' D B U2 R' D2 L
L' D B U2 D L R'
L' D B U2 D R' L
L' D B U2 D' L R'
L' D B U2 D' R' L
L' D B U2 D2 L R'
L' D B U2 D2 R' L
L2 D B L' U2 L2 R'
L2 D B L' U2 R' L2
L' D B D U2 L R'
L' D B D U2 R' L
L2 D B L2 U2 L' R'
L2 D B L2 U2 R' L'
L' D B D' U2 L R'
L' D B D' U2 R' L
L2 D B R U2 L R2
L2 D B R U2 R2 L
L' D B D2 U2 L R'
L' D B D2 U2 R' L
L2 D B R2 U2 L R
L2 D B R2 U2 R L
L' D B' L R' B2 U2
L' D B' L B2 U2 L
L2 D B U2 L R' D
L2 D B U2 L R' D'
L2 D B U2 L R' D2
L2 D B U2 L D R'
L2 D B U2 L D' R'
L2 D B U2 L D2 R'
L2 D B U2 R' L D
L2 D B U2 R' L D'
L2 D B U2 R' L D2
L2 D B U2 R' D L
L2 D B U2 R' D' L
L2 D B U2 R' D2 L
L2 D B U2 D L R'
L2 D B U2 D R' L
L2 D B U2 D' L R'
L2 D B U2 D' R' L
L2 D B U2 D2 L R'
L2 D B U2 D2 R' L
L2 D B D U2 L R'
L2 D B D U2 R' L
L2 D B D' U2 L R'
L2 D B D' U2 R' L
L' D B' R' L B2 U2
L2 D B D2 U2 L R'
L2 D B D2 U2 R' L
L' D B' R' B2 U2 R'
L D B L' U2 L2 R'
L D B L' U2 R' L2
L D B L2 U2 L' R'
L D B L2 U2 R' L'
L D B R U2 L R2
L D B R U2 R2 L
L2 D B' L R' B2 U2
L2 D B' L B2 U2 L
L D B R2 U2 L R
L D B R2 U2 R L
L2 D B' R' L B2 U2
L D B U2 L R' D
L D B U2 L R' D'
L D B U2 L R' D2
L D B U2 L D R'
L D B U2 L D' R'
L D B U2 L D2 R'
L D B U2 R' L D
L D B U2 R' L D'
L D B U2 R' L D2
L D B U2 R' D L
L D B U2 R' D' L
L D B U2 R' D2 L
L D B U2 D L R'
L D B U2 D R' L
L D B U2 D' L R'
L D B U2 D' R' L
L D B U2 D2 L R'
L D B U2 D2 R' L
L2 D B' R' B2 U2 R'
L D B D U2 L R'
L D B D U2 R' L
U2 D R2 D2 F' L' R
U2 D R2 D2 F' R L'
L D B D' U2 L R'
L D B D' U2 R' L
L D B D2 U2 L R'
L D B D2 U2 R' L
L D B' L R' B2 U2
L D B' L B2 U2 L
L D B' R' L B2 U2
L D B' R' B2 U2 R'
B U D' F' U L R
B U D' F' U R L
L' D' R2 U2 F' L' R
L' D' R2 U2 F' R L'
U2 D' L R2 F' L' R
U2 D' L R2 F' R L'
L2 D' R2 U2 F' L' R
L2 D' R2 U2 F' R L'
U2 D' L' R2 F' L' R
U2 D' L' R2 F' R L'
L D' R2 U2 F' L' R
L D' R2 U2 F' R L'
U2 D' L2 R2 F' L' R
U2 D' L2 R2 F' R L'
L' D' U2 R2 F' L' R
L' D' U2 R2 F' R L'
L2 D' U2 R2 F' L' R
L2 D' U2 R2 F' R L'
U2 D' R F' L' R F'
U2 D' R F' R L' F'
L D' U2 R2 F' L' R
L D' U2 R2 F' R L'
U2 D' R2 L F' L' R
U2 D' R2 L F' R L'
U2 D' R2 L' F' L' R
U2 D' R2 L' F' R L'
U2 D' R2 L2 F' L' R
U2 D' R2 L2 F' R L'
U2 D' R2 F' L' R D
U2 D' R2 F' L' R D'
U2 D' R2 F' L' R D2
U2 D' R2 F' L' D R
U2 D' R2 F' L' D' R
U2 D' R2 F' L' D2 R
U2 D' R2 F' R L' D
U2 D' R2 F' R L' D'
U2 D' R2 F' R L' D2
U2 D' R2 F' R D L'
U2 D' R2 F' R D' L'
U2 D' R2 F' R D2 L'
U2 D' R2 F' D L' R
U2 D' R2 F' D R L'
U2 D' R2 F' D' L' R
U2 D' R2 F' D' R L'
U2 D' R2 F' D2 L' R
U2 D' R2 F' D2 R L'
B U' R F' R' U' L
U2 D' F' L' R2 F' R'
U2 D' F' R D2 L' F
U2 D' F' R2 L' F' R'
B U' D' F' U' L R
B U' D' F' U' R L
D' U2 L R2 F' L' R
D' U2 L R2 F' R L'
D' U2 L' R2 F' L' R
D' U2 L' R2 F' R L'
D' U2 L2 R2 F' L' R
D' U2 L2 R2 F' R L'
D' U2 R F' L' R F'
D' U2 R F' R L' F'
D' U2 R2 L F' L' R
D' U2 R2 L F' R L'
D' U2 R2 L' F' L' R
D' U2 R2 L' F' R L'
D' U2 R2 L2 F' L' R
D' U2 R2 L2 F' R L'
D2 U2 R2 D F' L' R
D2 U2 R2 D F' R L'
D' U2 R2 F' L' R D
D' U2 R2 F' L' R D'
D' U2 R2 F' L' R D2
D' U2 R2 F' L' D R
D' U2 R2 F' L' D' R
D' U2 R2 F' L' D2 R
D' U2 R2 F' R L' D
D' U2 R2 F' R L' D'
D' U2 R2 F' R L' D2
D' U2 R2 F' R D L'
D' U2 R2 F' R D' L'
D' U2 R2 F' R D2 L'
D' U2 R2 F' D L' R
D' U2 R2 F' D R L'
D' U2 R2 F' D' L' R
D' U2 R2 F' D' R L'
D' U2 R2 F' D2 L' R
D' U2 R2 F' D2 R L'
U2 D2 R2 D F' L' R
U2 D2 R2 D F' R L'
B U2 L R U F' U'
B U2 L R' U' B U
B U2 L D B R' B'
B U2 L D' F' R F
D U2 R2 D2 F' L' R
D U2 R2 D2 F' R L'
B U2 L F D' F' R
D' U2 F' L' R2 F' R'
D' U2 F' R D2 L' F
B U2 L B' D B R'
D' U2 F' R2 L' F' R'
B U2 R L U F' U'
B U2 R U F' U' L
B U2 R' L U' B U
B U2 D L B R' B'
B U2 D B R' B' L
B U2 D' L F' R F
B U2 D' F' R F L
D' F L' F' B U2 L
D' F L' B F' U2 L
B U2 D2 L U' B' U
B U2 F L D' F' R
B U2 F D' L F' R
B U2 F D' F' L R
B U2 F D' F' R L
D F R2 F' B L R'
D F R2 F' B R' L
D F R2 B L F' R'
D F R2 B F' L R'
D F R2 B F' R' L
B U2 B' D B L R'
B U2 B' D B R' L
D' F B L' F' U2 L2
F D R2 F' B L R'
F D R2 F' B R' L
F D R2 B L F' R'
F D R2 B F' L R'
F D R2 B F' R' L
B D U2 L B R' B'
U2 F' L' D' R2 F' R
F' D F B U2 L R'
F' D F B U2 R' L
B D U2 B R' B' L
F D F' B U2 L R'
F D F' B U2 R' L
F' D B F U2 L R'
F' D B F U2 R' L
B2 D B' L U' B' U'
B D B' L B U2 L
F D B F' U2 L R'
F D B F' U2 R' L
U2 F' D' L' R2 F' R
U2 F' D' R2 L' F' R
F D' R2 F' B L R
F D' R2 F' B R L
F D' R2 B L F' R
F D' R2 B F' L R
F D' R2 B F' R L
B D' U F' U L R
B D' U F' U R L
B D' U' F' U' L R
B D' U' F' U' R L
F' D' F L' B U2 L
B D' U2 L F' R F
F' D' F B L' U2 L2
B D' U2 F' R F L
B D' F L' F' U2 L2
F D' F' B U2 L R
F D' F' B U2 R L
F' D' B F L' U2 L2
F D' B F' U2 L R
F D' B F' U2 R L
B D2 L' U' F U' L2
D2 B L' U' F U' L2
B D2 U2 L U' B' U
D B L' R U2 L2 R2
D B L' R U2 R2 L2
D B L' R2 U2 L2 R
D B L' R2 U2 R L2
D B L' U2 L2 R' D
D B L' U2 L2 R' D'
D B L' U2 L2 R' D2
D B L' U2 L2 D R'
D B L' U2 L2 D' R'
D B L' U2 L2 D2 R'
D B L' U2 R' L2 D
D B L' U2 R' L2 D'
D B L' U2 R' L2 D2
D B L' D2 R2 U2 R
L' B R U' F' U' L
D B L2 R U2 L' R2
D B L2 R U2 R2 L'
D B L2 R2 U2 L' R
D B L2 R2 U2 R L'
D B L2 U2 L' R' D
D B L2 U2 L' R' D'
D B L2 U2 L' R' D2
D B L2 U2 L' D R'
D B L2 U2 L' D' R'
D B L2 U2 L' D2 R'
D B L2 U2 R' L' D
D B L2 U2 R' L' D'
D B L2 U2 R' L' D2
D B L2 U2 R' D L'
D B L2 U2 R' D' L'
D B L2 U2 R' D2 L'
D B L2 U2 D L' R'
D B L2 U2 D R' L'
D B L2 U2 D' L' R'
D B L2 U2 D' R' L'
D B L2 U2 D2 L' R'
D B L2 U2 D2 R' L'
D B L2 D U2 L' R'
D B L2 D U2 R' L'
D B L2 D' U2 L' R'
D B L2 D' U2 R' L'
D B L2 D2 U2 L' R'
D B L2 D2 U2 R' L'
L2 B R U' F' U' L
D B R L' U2 L2 R2
D B R L' U2 R2 L2
D B R L2 U2 L' R2
D B R L2 U2 R2 L'
D B R U2 L R2 D
D B R U2 L R2 D'
D B R U2 L R2 D2
D B R U2 R2 L D
D B R U2 R2 L D'
D B R U2 R2 L D2
D B R U2 R2 D L
D B R U2 R2 D' L
D B R U2 R2 D2 L
D B R D2 L2 U2 L'
L B R U' F' U' L
D B R2 L' U2 L2 R
D B R2 L' U2 R L2
D B R2 L2 U2 L' R
D B R2 L2 U2 R L'
D' B U F' U L R
D' B U F' U R L
D B R2 U2 L R D
D B R2 U2 L R D'
D B R2 U2 L R D2
D B R2 U2 L D R
D B R2 U2 L D' R
D B R2 U2 L D2 R
D B R2 U2 R L D
D B R2 U2 R L D'
D B R2 U2 R L D2
D B R2 U2 R D L
D B R2 U2 R D' L
D B R2 U2 R D' L
D B R2 U2 R D2 L
D B R2 U2 D L R
D B R2 U2 D R L
D B R2 U2 D' L R
D B R2 U2 D' R L
D B R2 U2 D2 L R
D B R2 U2 D2 R L
D B R2 D U2 L R
D B R2 D U2 R L
D B R2 D' U2 L R
D B R2 D' U2 R L
D B R2 D2 U2 L R
D B R2 D2 U2 R L
D' B U' F' U' L R
D' B U' F' U' R L
D2 B U2 L U' B' U
D' B U2 L F' R F
D B U F U L R'
D B U F U R' L
D B U F' U L R'
D B U F' U R' L
D B U F2 U L R'
D B U F2 U R' L
D' B U2 F' R F L
D B U' F U' L R'
D B U' F U' R' L
D B U' F' U' L R'
D B U' F' U' R' L
D B U' F2 U' L R'
D B U' F2 U' R' L
R2 B U2 L F' D R2
D B U2 L R2 D R
D B U2 L R2 D' R
D B U2 L R2 D' R
D B U2 L R2 D2 R
D B U2 L D R' D
D B U2 L D R' D'
D B U2 L D R' D2
D B U2 L D' R' D
D B U2 L D' R' D'
D B U2 L D' R' D2
D B U2 L D2 R' D
D B U2 L D2 R' D'
D B U2 L D2 R' D2
D B U2 L F' R' F
D B U2 L F2 R' F2
D B U2 L2 R' D L'
D B U2 L2 R' D' L'
D B U2 L2 R' D2 L'
D B U2 L2 D L' R'
D B U2 L2 D R' L'
D B U2 L2 D' L' R'
D B U2 L2 D' R' L'
D B U2 L2 D2 L' R'
D B U2 L2 D2 R' L'
D B U2 R' L2 D L'
D B U2 R' L2 D' L'
D B U2 R' L2 D2 L'
D B U2 R' D L D
D B U2 R' D L D'
D B U2 R' D L D2
D B U2 R' D' L D
D B U2 R' D' L D'
D B U2 R' D' L D2
D B U2 R' D2 L D
D B U2 R' D2 L D'
D B U2 R' D2 L D2
D B U2 R' F L F'
D B U2 R' F2 L F2
D B U2 R2 L D R
D B U2 R2 L D' R
D B U2 R2 L D2 R
D B U2 R2 D L R
D B U2 R2 D R L
D B U2 R2 D' L R
D B U2 R2 D' R L
D B U2 R2 D2 L R
D B U2 R2 D2 R L
D B U2 D L R' D
D B U2 D L R' D'
D B U2 D L R' D2
D B U2 D L D R'
D B U2 D L D' R'
D B U2 D L D2 R'
D B U2 D R' L D
D B U2 D R' L D'
D B U2 D R' L D2
D B U2 D R' D L
D B U2 D R' D' L
D B U2 D R' D2 L
D B U2 D' L R' D
D B U2 D' L R' D'
D B U2 D' L R' D2
D B U2 D' L D R'
D B U2 D' L D' R'
D B U2 D' L D2 R'
D B U2 D' R' L D
D B U2 D' R' L D'
D B U2 D' R' L D2
D B U2 D' R' D L
D B U2 D' R' D' L
D B U2 D' R' D2 L
D B U2 D2 L R' D
D B U2 D2 L R' D'
D B U2 D2 L R' D2
D B U2 D2 L D R'
D B U2 D2 L D' R'
D B U2 D2 L D2 R'
D B U2 D2 R' L D
D B U2 D2 R' L D'
D B U2 D2 R' L D2
D B U2 D2 R' D L
D B U2 D2 R' D' L
D B U2 D2 R' D2 L
D B U2 F L F' R'
D B U2 F' R' F L
D B U2 F2 L R' F2
D B U2 F2 L F2 R'
D B U2 F2 R' L F2
D B U2 F2 R' F2 L
D B D L' U2 L2 R'
D B D L' U2 R' L2
D B D L2 U2 L' R'
D B D L2 U2 R' L'
D B D R U2 L R2
D B D R U2 R2 L
D B D R2 U2 L R
D B D R2 U2 R L
D B D U2 L R' D
D B D U2 L R' D'
D B D U2 L R' D2
D B D U2 L D R'
D B D U2 L D' R'
D B D U2 L D2 R'
D B D U2 R' L D
D B D U2 R' L D'
D B D U2 R' L D2
D B D U2 R' D L
D B D U2 R' D' L
D B D U2 R' D2 L
D B D' L' U2 L2 R'
D B D' L' U2 R' L2
D B D' L2 U2 L' R'
D B D' L2 U2 R' L'
D B D' R U2 L R2
D B D' R U2 R2 L
D B D' R2 U2 L R
D B D' R2 U2 R L
D B D' U2 L R' D
D B D' U2 L R' D'
D B D' U2 L R' D2
D B D' U2 L D R'
D B D' U2 L D' R'
D B D' U2 L D2 R'
D B D' U2 R' L D
D B D' U2 R' L D'
D B D' U2 R' L D2
D B D' U2 R' D L
D B D' U2 R' D' L
D B D' U2 R' D2 L
D' B F L' F' U2 L2
D B D2 L' U2 L2 R'
D B D2 L' U2 R' L2
D B D2 L2 U2 L' R'
D B D2 L2 U2 R' L'
D B D2 R U2 L R2
D B D2 R U2 R2 L
D B D2 R2 U2 L R
D B D2 R2 U2 R L
D B D2 U2 L R' D
D B D2 U2 L R' D'
D B D2 U2 L R' D2
D B D2 U2 L D R'
D B D2 U2 L D' R'
D B D2 U2 L D2 R'
D B D2 U2 R' L D
D B D2 U2 R' L D'
D B D2 U2 R' L D2
D B D2 U2 R' D L
D B D2 U2 R' D' L
D B D2 U2 R' D2 L
D B' L R B2 R2 U2
D B' L R' U2 D2 F2
D B' L R' D2 U2 F2
D B' L R' B2 U2 D
D B' L R' B2 U2 D'
D B' L R' B2 U2 D2
D B' L R' B2 D U2
D B' L R' B2 D' U2
D B' L R' B2 D2 U2
D B' L R2 B2 R U2
D B' L D2 R' U2 F2
D B' L B2 R U2 L
D B' L B2 R' U2 L
D B' L B2 R2 U2 L
D B' L B2 U2 L D
D B' L B2 U2 L D'
D B' L B2 U2 L D2
D B' L B2 U2 D L
D B' L B2 U2 D' L
D B' L B2 U2 D2 L
D B' L B2 D U2 L
D B' L B2 D' U2 L
D B' L B2 D2 U2 L
D B' L' R' B2 L2 U2
D B' L' B2 L2 U2 L'
D B' L2 R' B2 L' U2
F' B D' F L' U2 L2
R' B' R' U B2 U F'
R' B' R' U2 D' F' R2
R' B' R' U2 F' D' R2
R' B' R' D L2 U2 F'
R' B' R' D' U2 F' R2
D B' L2 B2 L' U2 L2
D B' R L B2 R2 U2
B F D' F' U2 L R
B F D' F' U2 R L
L' B' R' B2 U B' U
D B' R B2 R2 U2 R
D B' R' L U2 D2 F2
D B' R' L D2 U2 F2
D B' R' L B2 U2 D
D B' R' L B2 U2 D'
D B' R' L B2 U2 D2
D B' R' L B2 D U2
D B' R' L B2 D' U2
D B' R' L B2 D2 U2
D B' R' L' B2 L2 U2
F B D' F' U2 L R
F B D' F' U2 R L
D B' R' L2 B2 L' U2
L2 B' R' B2 U B' U
D B' R' D2 L U2 F2
D B' R' B2 L U2 R'
D B' R' B2 L' U2 R'
D B' R' B2 L2 U2 R'
D B' R' B2 U2 R' D
D B' R' B2 U2 R' D'
D B' R' B2 U2 R' D2
D B' R' B2 U2 D R'
D B' R' B2 U2 D' R'
D B' R' B2 U2 D2 R'
D B' R' B2 D U2 R'
D B' R' B2 D' U2 R'
D B' R' B2 D2 U2 R'
D B' R2 L B2 R U2
R' B' U B2 U L F
L B' R' B2 U B' U
R B' R' D B U2 R'
D B' R2 B2 R U2 R2
R' B' D L2 R' U2 F'
R' B' D R' L2 U2 F'
R' B' D' R' U2 F' R'
D B' D2 L R' U2 F2
D B' D2 R' L U2 F2
B F' D' F L' U2 L2
D B2 R B' U2 L R'
D B2 R B' U2 R' L
D B2 R' B' U2 L R'
D B2 R' B' U2 R' L
R' B2 U B' U L F
D B2 R2 B' U2 L R'
D B2 R2 B' U2 R' L
