B2 L F U D R2
B2 L F U2 F2 U'
B2 L F D U R2
B2 L F D2 B2 U
F R' F2 L' B' U'
L' U2 F' R' B' U'
L F U2 R' F2 U'
L F U2 F2 R' U'
L F D2 B2 L U
U2 F' R B R2 U'
U2 F' R' U2 F' U
F D2 B2 L F U
F' R' F2 L' F2 B' U'
F' R' F2 L' B' F2 U'
F2 R' F2 L' F' B' U'
F2 R' F2 L' B' F' U'
R' U2 R' F' B R2 U
F R' F2 L' D B' U'
F R' F2 L' D' B' U'
F R' F2 L' D2 B' U'
F R' F2 L' B' U' D
F R' F2 L' B' U' D'
F R' F2 L' B' U' D2
F R' F2 L' B' D U'
F R' F2 L' B' D' U'
F R' F2 L' B' D2 U'
R' U2 R' B F' R2 U
F R' F2 D L' B' U'
F R' F2 D' L' B' U'
F R' F2 D2 L' B' U'
F R' F2 B L' B' U'
F R' F2 B' L' B' U'
F R' F2 B2 L' B' U'
F R' B F2 L' B' U'
L' U2 D F' R' B' U'
F R' B' F2 L' B' U'
L' U2 D' F' R' B' U'
L' U2 D2 F' R' B' U'
B2 R2 L F B R2 U
F R' B2 F2 L' B' U'
B2 R2 L B R2 F U
B2 R2 L B F R2 U
L2 U2 D2 F' R' B U'
L' U2 F R' F2 B' U'
L' U2 F R' B' F2 U'
L' U2 F' R B' R2 U'
L' U2 F' R' D B' U'
L' U2 F' R' D' B' U'
L' U2 F' R' D2 B' U'
L' U2 F' R' B' U' D
L' U2 F' R' B' U' D'
L' U2 F' R' B' U' D2
L' U2 F' R' B' D U'
L' U2 F' R' B' D' U'
L' U2 F' R' B' D2 U'
L' U2 F' R2 B' R U'
L' U2 F' D R' B' U'
L' U2 F' D' R' B' U'
L' U2 F' D2 R' B' U'
L2 U2 F' D2 R' B U'
L U2 F' R' U' D' L2
L U2 F' R' U2 F2 U
L U2 F' R' D' U' L2
L U2 F' R' D2 B2 U'
L' U2 F2 R' F B' U'
L' U2 F2 R' B' F U'
L U2 F' D' R' U' L2
L U2 F' D2 R' B2 U'
L' U2 B' D2 F' R U'
B R2 B L R2 F U
B R2 B L F R2 U
B R2 B R2 L F U
L' D U2 F' R' B' U'
L D F U2 R' F2 U'
L D F U2 F2 R' U'
L D F D2 B2 L U
U2 D F' R B R2 U'
U2 D F' R' U2 F' U
L' D' U2 F' R' B' U'
L D' F U2 R' F2 U'
L D' F U2 F2 R' U'
L D' F D2 B2 L U
U2 D' F' R B R2 U'
U2 D' F' R' U2 F' U
L' D2 U2 F' R' B' U'
L2 D2 U2 F' R' B U'
D' U2 F' R B R2 U'
D' U2 F' R' U2 F' U
D2 U2 F' R B R2 U'
D2 U2 F' R' U2 F' U
U2 D2 F' R B R2 U'
U2 D2 F' R' U2 F' U
R' D2 F2 L' F B' U'
R' D2 F2 L' B' F U'
L D2 F U2 R' F2 U'
L D2 F U2 F2 R' U'
D U2 F' R B R2 U'
D U2 F' R' U2 F' U
L D2 F D2 B2 L U
B' U2 R B R' F' U'
F2 U2 R F B R2 U'
F2 U2 R B R2 F U'
F2 U2 R B F R2 U'
F2 U2 R' F U' D' L2
F2 U2 R' F U2 F2 U
F2 U2 R' F D' U' L2
F2 U2 R' F D2 B2 U'
F U2 R F2 B R2 U'
F U2 R B R2 F2 U'
F U2 R B F2 R2 U'
F U2 R' F2 U2 F U
B' U2 D2 F' R B U'
L F L U2 R' F2 U'
L F L U2 F2 R' U'
F2 U2 F R B R2 U'
F2 U2 F R' U2 F' U
L F L D2 B2 L U
B' U2 F' R B R' U'
B U2 F R F2 B U'
B U2 F R B F2 U'
U' F R U' R2 F2 U'
U' F R U' F2 R2 U'
L F L' U2 R' F2 U'
L F L' U2 F2 R' U'
U' F R U2 D R2 B2
U' F R U2 D B2 R2
U' F R D U2 R2 B2
U' F R D U2 B2 R2
U' F R D' L2 F2 U2
U' F R D' F2 L2 U2
L F L' D2 B2 L U
B2 U2 F' U2 L F U
L F L2 U2 R' F2 U'
L F L2 U2 F2 R' U'
L F L2 D2 B2 L U
U2 F R F2 B R2 U'
U2 F R B R2 F2 U'
U2 F R B F2 R2 U'
D' F R' F2 L' B' U'
D2 F R' F2 L' B' U'
L' F R' F2 B' L' U'
L' F R' B' F2 L' U'
F U2 F2 R B R2 U'
F U2 F2 R' U2 F' U
U2 F R' F2 U2 F U
D F R' F2 L' B' U'
U' F U' F2 R' U' L'
L F U R D R2 B2
L F U R D B2 R2
B2 D L F U D R2
B2 D L F U2 F2 U'
B2 D L F D U R2
B2 D L F D2 B2 U
L' F U2 R' F2 B' U'
L' F U2 R' B' F2 U'
L' F U2 F2 R' B' U'
L F U2 R F2 R2 U'
L F U2 R' U' D R2
L F U2 R' D U' R2
L F U2 R' F2 U' D
L F U2 R' F2 U' D'
L F U2 R' F2 U' D2
L F U2 R' F2 D U'
L F U2 R' F2 D' U'
L F U2 R' F2 D2 U'
L F U2 D R' U' R'
L F U2 F R' F U'
L F U2 F2 R' U' D
L F U2 F2 R' U' D'
L F U2 F2 R' U' D2
L F U2 F2 R' D U'
L F U2 F2 R' D' U'
L F U2 F2 R' D2 U'
L F U2 F2 D R' U'
L F U2 F2 D' R' U'
L F U2 F2 D2 R' U'
L F D U2 R' U' R'
L F D B2 L U R2
D' F D2 B2 L F U
D2 F D2 B2 L F U
L F D2 L B2 L U
L F D2 L' B2 L U
L F D2 L2 B2 L U
D F D2 B2 L F U
L F D2 B2 L U D
L F D2 B2 L U D'
L F D2 B2 L U D2
L F D2 B2 L D U
L F D2 B2 L D' U
L F D2 B2 L D2 U
L F D2 B2 D L U
L F D2 B2 D' L U
L F D2 B2 D2 L U
L F B2 L U D R2
L F B2 L U2 F2 U'
L F B2 L D U R2
L F B2 L D2 B2 U
L F B2 D L U R2
L F B2 D2 L B2 U
U2 F' R D B U' B
U2 F' R B R2 U' D
U2 F' R B R2 U' D'
U2 F' R B R2 U' D2
U2 F' R B R2 D U'
U2 F' R B R2 D' U'
U2 F' R B R2 D2 U'
U2 F' R B U' D B2
U2 F' R B D U' B2
U2 F' R B' R2 B2 U'
U2 F' R B2 R2 B' U'
L' F' R' B' U2 R U
U2 F' R' U2 D F' U
U2 F' R' U2 D' F' U
U2 F' R' U2 D2 F' U
U2 F' R' U2 F' U D
U2 F' R' U2 F' U D'
U2 F' R' U2 F' U D2
U2 F' R' U2 F' D U
U2 F' R' U2 F' D' U
U2 F' R' U2 F' D2 U
U2 F' R' D U2 F' U
U2 F' R' D' U2 F' U
U2 F' R' D2 U2 F' U
U2 F' R' B U2 F' U
U2 F' R' B' U2 F' U
U2 F' R' B2 U2 F' U
L F' R' U2 R F2 U
U F' R' B U' F L
U' F' U' R' U' L' R
U' F' U' R' U' R L'
F D B2 L F U R2
B2 D' L F U D R2
B2 D' L F U2 F2 U'
B2 D' L F D U R2
B2 D' L F D2 B2 U
U2 F' D R B R2 U'
U2 F' D R' U2 F' U
U2 F' D' R B R2 U'
U2 F' D' R' U2 F' U
U2 F' D2 R B R2 U'
U2 F' D2 R' U2 F' U
U2 F' B' R B R' U'
U2 F' B2 U2 L F U
U2 F2 R F B R2 U'
U2 F2 R B R2 F U'
U2 F2 R B F R2 U'
U2 F2 R' F U' D' L2
U2 F2 R' F U2 F2 U
U2 F2 R' F D' U' L2
U2 F2 R' F D2 B2 U'
U' F2 U' R' F U' L'
U' F2 U' F R' U' L'
L' F2 U2 R' F B' U'
L' F2 U2 R' B' F U'
B2 D2 L F U D R2
B2 D2 L F U2 F2 U'
B2 D2 L F D U R2
B2 D2 L F D2 B2 U
L' F2 U2 F R' B' U'
F D2 L F B2 L U
F D2 L B2 F L U
R' F2 D2 L' F B' U'
R' F2 D2 L' B' F U'
B' D2 U2 F' R B U'
F D2 F B2 L F U
F D2 F' B2 L F U
F D2 F2 B2 L F U
B2 F L D F U R2
F D2 B2 L D F U
F D2 B2 L D' F U
F D2 B2 L D2 F U
F D2 B2 L F U D
F D2 B2 L F U D'
F D2 B2 L F U D2
F D2 B2 L F D U
F D2 B2 L F D' U
F D2 B2 L F D2 U
B2 F L D2 F B2 U
B2 F L D2 B2 F U
B2 F L F U2 F U'
F D2 B2 D L F U
F D2 B2 D' L F U
F D2 B2 D2 L F U
F D2 B2 F L F U
F D2 B2 F' L F U
F D2 B2 F2 L F U
F2 B U2 F R B U'
B2 F D L F U R2
B2 F D2 L F B2 U
B2 F D2 L B2 F U
U2 B' R B R' F' U'
B2 F' L F U2 F' U'
R2 B' R2 B2 L F U
U2 B' D2 F' R B U'
U2 B' F' R B R' U'
D2 B2 L F U D R2
D2 B2 L F U2 F2 U'
D2 B2 L F D U R2
L' B2 L U2 F' B U'
D2 B2 L F D2 B2 U
L' B2 L U2 B F' U'
D' B2 L F U D R2
D' B2 L F U2 F2 U'
D' B2 L F D U R2
D' B2 L F D2 B2 U
L2 B2 L U2 F' B' U'
L2 B2 L U2 B' F' U'
D B2 L F U D R2
D B2 L F U2 F2 U'
D B2 L F D U R2
D B2 L F D2 B2 U
F' B2 L F U2 F' U'
F B2 L D F U R2
F B2 L D2 F B2 U
F B2 L D2 B2 F U
F B2 L F U2 F U'
B2 F2 L2 B' L' F U
F2 B2 L2 B' L' F U
B F2 U2 F R B U'
F B2 D L F U R2
U2 B2 F' U2 L F U
L B2 F L U D R2
L B2 F L U2 F2 U'
L B2 F L D U R2
L B2 F L D2 B2 U
L B2 F D L U R2
L B2 F D2 L B2 U
F B2 D2 L F B2 U
F B2 D2 L B2 F U
