U' L' U2 F' L'
U F2 R F L'
U L D2 F' L' R2
U L D2 F' R2 L'
U L F' D2 L' R2
U L F' D2 R2 L'
U' L' R2 B U2 L
U' L' U2 L F' L'
U' L' U2 L' F' L'
U' L' U2 L2 F' L'
U' L' U2 D F' L'
U' L' U2 D' F' L'
U' L' U2 D2 F' L'
U' L' U2 F' L' D
U' L' U2 F' L' D'
U' L' U2 F' L' D2
U' L' U2 F' D L'
U' L' U2 F' D' L'
U' L' U2 F' D2 L'
U' L' D U2 F' L'
U' L' D' U2 F' L'
U' L' D2 U2 F' L'
U' L' B U2 L F'
U' L' B U2 F' L
U L2 F' L' D2 R2
F' R' F' U R F
F2 R' F' U R2 F2
F2 R' F' U F2 R2
U' R2 L' B U2 L
U' R2 B L' U2 L2
U' D L' U2 F' L'
F2 U R F' L' F2
D2 U F2 R F L'
D' U F2 R F L'
D U F2 R F L'
U D F2 R F L'
B2 U F2 R F L'
B' U F2 R F L'
B U F2 R F L'
U' D' L' U2 F' L'
D2 U' L' U2 F' L'
D' U' L' U2 F' L'
D U' L' U2 F' L'
B2 U' L' U2 F' L'
B' U' L' U2 F' L'
B U' L' U2 F' L'
U D' F2 R F L'
U' D2 L' U2 F' L'
U D2 F2 R F L'
R' F' R U F' R
U F' L' F' R F
R' F' U R F' R
R' F' U F' R F'
U F2 R F L' D
U F2 R F L' D'
U F2 R F L' D2
U F2 R F D L'
U F2 R F D' L'
U F2 R F D2 L'
U F2 R' F L' R2
U F2 R' F R2 L'
U F2 R2 F L' R'
U F2 R2 F R' L'
U' B L' U2 L2 F'
U' B L' U2 F' L2
U' L' D' R2 B U2 L
U' L' D' U2 L F' L'
U' L' D' U2 L' F' L'
U' L' D' U2 L2 F' L'
U' L' D' U2 F' L' D
U' L' D' U2 F' L' D'
U' L' D' U2 F' L' D2
U' L' D' U2 F' D L'
U' L' D' U2 F' D' L'
U' L' D' U2 F' D2 L'
U' L' D' B U2 L F'
U' L' D' B U2 F' L
U' L' D2 R2 B U2 L
U' L' D2 U2 L F' L'
U' L' D2 U2 L' F' L'
U' L' D2 U2 L2 F' L'
U' L' D2 U2 F' L' D
U' L' D2 U2 F' L' D'
U' L' D2 U2 F' L' D2
U' L' D2 U2 F' D L'
U' L' D2 U2 F' D' L'
U' L' D2 U2 F' D2 L'
U' L' D2 B U2 L F'
U' L' D2 B U2 F' L
U L' F L F2 L' R
U L' F L F2 R L'
U L' F' L' U2 L U2
U L' F' L' B2 R' B2
U L' F' L2 D2 L R2
U L' F' L2 D2 R2 L
U L' F' B2 L' B2 R'
U' L' B R U2 L F
U' L' B U2 L D F'
U' L' B U2 L D' F'
U' L' B U2 L D2 F'
U' L' B U2 L F' D
U' L' B U2 L F' D'
U' L' B U2 L F' D2
U' L' B U2 L' F' L2
U' L' B U2 D L F'
U' L' B U2 D F' L
U' L' B U2 D' L F'
U' L' B U2 D' F' L
U' L' B U2 D2 L F'
U' L' B U2 D2 F' L
U' L' B U2 F L F2
U' L' B U2 F' L D
U' L' B U2 F' L D'
U' L' B U2 F' L D2
U' L' B U2 F' D L
U' L' B U2 F' D' L
U' L' B U2 F' D2 L
U' L' B D U2 L F'
U' L' B D U2 F' L
U' L' B D' U2 L F'
U' L' B D' U2 F' L
U' L' B D2 U2 L F'
U' L' B D2 U2 F' L
U' L' B' R2 B R U2
U L' B' U2 F' B L
U L' B' U2 B L F'
U L' B' U2 B F' L
U' L' B2 R2 B R' U2
U L' B2 F' L' B2 R'
U L2 U2 L U2 F' L'
U' L2 U2 F' L' D2 R2
U' L2 D L U2 F' L'
U' L2 D' L U2 F' L'
U L2 D F' L' D2 R2
L' U L F U F2 L'
U' L2 D2 L U2 F' L'
L' U L F2 U F L'
U L2 D' F' L' D2 R2
U L2 D2 F' L' D2 R2
U L2 F L2 F2 L' R
U L2 F L2 F2 R L'
U L2 F' L' R D2 R2
U L2 F' L' R' D2 R2
U L2 F' L' R2 D2 R2
U L2 F' L' U2 L2 U2
U L2 F' L' D2 R2 D
U L2 F' L' D2 R2 D'
U L2 F' L' D2 R2 D2
U L2 F' R L' D2 R2
U L2 F' R' L' D2 R2
U L2 F' R2 L' D2 R2
U L2 F' U2 L U2 L2
U L2 F' D L' D2 R2
U L2 F' D' L' D2 R2
U L2 F' D2 L' D2 R2
U L2 F' B2 L' R' B2
U L2 F' B2 R' L' B2
U L2 F' B2 R' B2 L'
L2 U D' F' B2 L' R'
L2 U D' F' B2 R' L'
L2 U D' B2 F' L' R'
L2 U D' B2 F' R' L'
U L2 B2 F' L' R' B2
U L2 B2 F' R' L' B2
U L2 B2 F' R' B2 L'
L' U F L U F2 L'
U' R L' B U2 L F
U' R L' B' R' U2 F'
L2 U F' D' B2 L' R'
L2 U F' D' B2 R' L'
R' U F2 R F' D' L2
F2 R U B U' F B'
F2 R U B U' B' F
U R U2 L' B' R' U2
R2 U' L' D B R' U2
F2 R F U B U' B'
U R F' L' R' F' R
U R F' R' L' F' R
U' R B' L' R' U2 F'
U' R B' R' L' U2 F'
R2 U' D L' B R' U2
R2 U' D B L' R' U2
R2 U' D B R' L' U2
U' R' L' B' R' B U2
F2 R' U F R2 D' L2
F2 R' D F' B2 U F2
F2 R' D B2 F' U F2
D2 R' F' R U F' R
D' R' F' R U F' R
B' R' F' R U F' R
F' R' F' R' U R2 F
F' R' F' R' U F R2
D2 R' F' U R F' R
D' R' F' U R F' R
D2 R' F' U F' R F'
D' R' F' U F' R F'
F' R' F' R2 U R' F
F' R' F' R2 U F R'
B' R' F' U R F' R
F' R' F' U R D F
F' R' F' U R D' F
F' R' F' U R D2 F
F' R' F' U R F D
F' R' F' U R F D'
F' R' F' U R F D2
F' R' F' U R' F R2
B' R' F' U F' R F'
F' R' F' U R2 F R'
F' R' F' U D R F
B2 R' F' R U F' R
F' R' F' U D' R F
F' R' F' U D2 R F
F2 R' F' R U R F2
F2 R' F' R' U R' F2
F2 R' F' R' U F2 R'
F' R' F' D U R F
B2 R' F' U R F' R
B2 R' F' U F' R F'
F' R' F' D' U R F
F2 R' F' U R' F2 R'
F2 R' F' U R2 F2 D
F2 R' F' U R2 F2 D'
F2 R' F' U R2 F2 D2
F2 R' F' U F R2 F
F2 R' F' U F2 R2 D
F2 R' F' U F2 R2 D'
F2 R' F' U F2 R2 D2
D R' F' R U F' R
F' R' F' D2 U R F
B R' F' R U F' R
F' R' F' B U R F
F' R' F' B' U R F
F2 R' F' D R2 B2 U
F' R' F' B2 U R F
D R' F' U R F' R
F2 R' F' D B2 R2 U
D R' F' U F' R F'
B R' F' U R F' R
U R' F' L' R F' R
B R' F' U F' R F'
U R' F' L' F' R F'
F2 R' F' B U R2 F2
F2 R' F' B U F2 R2
U R' F' R L' F' R
F2 R' F' B' U R2 F2
F2 R' F' B' U F2 R2
F2 R' F' B2 U R2 F2
F2 R' F' B2 U F2 R2
F R' F' U F2 R F
F R' F' U' L' U2 F'
U R' F2 R F L' F2
F' R' B F' U R F
U' R' B' L' R' B U2
F2 R' B F' U R2 F2
F2 R' B F' U F2 R2
U' R' B' R' L' B U2
U' R' B' R' B L' U2
F' R' B' F' U R F
F2 R' B' F' U R2 F2
F2 R' B' F' U F2 R2
F' R' B2 F' U R F
F2 R' B2 F' U R2 F2
F2 R' B2 F' U F2 R2
U' R2 L B L2 U2 L'
U' R2 L' D B U2 L
U' R2 L' D' B U2 L
U' R2 L' D2 B U2 L
U R2 L D2 R2 F' L'
U' R2 L' B R U2 L
U' R2 L' B R' U2 L
U' R2 L' B R2 U2 L
U' R2 L' B U2 L D
U' R2 L' B U2 L D'
U' R2 L' B U2 L D2
U' R2 L' B U2 D L
U' R2 L' B U2 D' L
U' R2 L' B U2 D2 L
U' R2 L' B D U2 L
U' R2 L' B D' U2 L
U' R2 L' B D2 U2 L
U' R2 L' B' R' B2 U2
F2 R2 U D' R' F L'
F2 R2 U D' F L' R'
F2 R2 U D' F R' L'
U' R2 D L' B U2 L
U R2 U2 L' B U2 L
U' R2 D B L' U2 L2
U R2 U2 B L' U2 L2
U' R2 D' L' B U2 L
F2 R2 D' U R' F L'
F2 R2 D' U F L' R'
F2 R2 D' U F R' L'
U' R2 D' B L' U2 L2
U' R2 D2 L' B U2 L
U' R2 D2 B L' U2 L2
U R2 F' L' R2 F' R
U R2 F' R2 L' F' R
U' R2 B L' R U2 L2
U' R2 B L' R' U2 L2
U' R2 B L' R2 U2 L2
U' R2 B L' U2 L2 D
U' R2 B L' U2 L2 D'
U' R2 B L' U2 L2 D2
U' R2 B L' D2 R2 U2
U' R2 B R L' U2 L2
U' R2 B R' L' U2 L2
U' R2 B R2 L' U2 L2
U' R2 B U2 L D2 R2
U' R2 B D L' U2 L2
U' R2 B D' L' U2 L2
U' R2 B D2 L' U2 L2
U' R2 B' L' R' B2 U2
U' R2 B' L' B2 U2 L
U' R2 B' R' L' B2 U2
U' R2 B' R' B2 L' U2
R2 D U' L' B R' U2
F2 U L R F' L' F
D' U L D2 F' L' R2
D' U L D2 F' R2 L'
D2 U L D2 F' L' R2
D2 U L D2 F' R2 L'
B' U L D2 F' L' R2
B' U L D2 F' R2 L'
D' U L F' D2 L' R2
D' U L F' D2 R2 L'
D2 U L F' D2 L' R2
D2 U L F' D2 R2 L'
R2 D U' B L' R' U2
R2 D U' B R' L' U2
B' U L F' D2 L' R2
B' U L F' D2 R2 L'
B2 U L D2 F' L' R2
B2 U L D2 F' R2 L'
F2 U L D2 R F' L'
B2 U L F' D2 L' R2
B2 U L F' D2 R2 L'
F2 U L F' L' F R
U' D L' R2 B U2 L
U' D L' U2 L F' L'
U' D L' U2 L' F' L'
U' D L' U2 L2 F' L'
U' D L' U2 D F' L'
U' D L' U2 D' F' L'
U' D L' U2 D2 F' L'
U' D L' U2 F' L' D
U' D L' U2 F' L' D'
U' D L' U2 F' L' D2
U' D L' U2 F' D L'
U' D L' U2 F' D' L'
U' D L' U2 F' D2 L'
B U L D2 F' L' R2
B U L D2 F' R2 L'
U' D L' D U2 F' L'
D U L D2 F' L' R2
D U L D2 F' R2 L'
U' D L' D' U2 F' L'
U' D L' D2 U2 F' L'
B U L F' D2 L' R2
B U L F' D2 R2 L'
D U L F' D2 L' R2
D U L F' D2 R2 L'
U' D L' B U2 L F'
U' D L' B U2 F' L
U D L D2 F' L' R2
U D L D2 F' R2 L'
U D L F' D2 L' R2
U D L F' D2 R2 L'
D' U L2 F' L' D2 R2
D2 U L2 F' L' D2 R2
B' U L2 F' L' D2 R2
B2 U L2 F' L' D2 R2
F2 U R L F' L' F
B U L2 F' L' D2 R2
D U L2 F' L' D2 R2
F2 U R D F' L' F2
F2 U R D' F' L' F2
F2 U R D2 F' L' F2
F2 U R F U2 R U2
U D L2 F' L' D2 R2
F2 U R F' L F2 L2
F2 U R F' L' F2 D
F2 U R F' L' F2 D'
F2 U R F' L' F2 D2
F2 U R F' L2 F2 L
L D F2 R B U' F
F2 U R' F' L' R2 F2
F2 U R' F' L' F2 R2
F2 U R' F' R2 L' F2
U' D R2 L' B U2 L
U' D R2 B L' U2 L2
F2 U R2 F R' D2 L2
F2 U R2 F' L' R' F2
F2 U R2 F' L' F2 R'
F2 U R2 F' R' L' F2
B' U D F2 R F L'
F2 U D R F' L' F2
B2 U D F2 R F L'
D' U F' L' F' R F
D2 U F' L' F' R F
B' U D' F2 R F L'
F2 U D' R F' L' F2
B U D F2 R F L'
B2 U D' F2 R F L'
D U F' L' F' R F
D' U F2 R F L' D
D' U F2 R F L' D'
D' U F2 R F L' D2
D' U F2 R F D L'
D' U F2 R F D' L'
D' U F2 R F D2 L'
D' U F2 R' F L' R2
D' U F2 R' F R2 L'
D2 U F2 R F L' D
D2 U F2 R F L' D'
D2 U F2 R F L' D2
B' U D2 F2 R F L'
D2 U F2 R F D L'
D2 U F2 R F D' L'
D2 U F2 R F D2 L'
F2 U D2 R F' L' F2
D' U F2 R2 F L' R'
D' U F2 R2 F R' L'
B U D' F2 R F L'
D2 U F2 R' F L' R2
D2 U F2 R' F R2 L'
D2 U F2 R2 F L' R'
D2 U F2 R2 F R' L'
U D F' L' F' R F
B2 U D2 F2 R F L'
U' D B L' U2 L2 F'
U' D B L' U2 F' L2
B U D2 F2 R F L'
D U F2 R F L' D
D U F2 R F L' D'
D U F2 R F L' D2
D U F2 R F D L'
D U F2 R F D' L'
D U F2 R F D2 L'
D U F2 R' F L' R2
D U F2 R' F R2 L'
D U F2 R2 F L' R'
D U F2 R2 F R' L'
U D F2 R F L' D
U D F2 R F L' D'
U D F2 R F L' D2
U D F2 R F D L'
U D F2 R F D' L'
U D F2 R F D2 L'
B' U F' L' F' R F
U D F2 R' F L' R2
U D F2 R' F R2 L'
U D F2 R2 F L' R'
U D F2 R2 F R' L'
B2 U F' L' F' R F
F2 U F' L' F R F
L D' L' B2 U F' L'
B U F' L' F' R F
B' U F2 R F L' D
B' U F2 R F L' D'
B' U F2 R F L' D2
B' U F2 R F D L'
B' U F2 R F D' L'
B' U F2 R F D2 L'
B' U F2 R' F L' R2
B' U F2 R' F R2 L'
B' U F2 R2 F L' R'
B' U F2 R2 F R' L'
B2 U F2 R F L' D
B2 U F2 R F L' D'
B2 U F2 R F L' D2
B2 U F2 R F D L'
B2 U F2 R F D' L'
B2 U F2 R F D2 L'
B2 U F2 R' F L' R2
B2 U F2 R' F R2 L'
B2 U F2 R2 F L' R'
B2 U F2 R2 F R' L'
B U F2 R F L' D
B U F2 R F L' D'
B U F2 R F L' D2
B U F2 R F D L'
B U F2 R F D' L'
B U F2 R F D2 L'
B U F2 R' F L' R2
B U F2 R' F R2 L'
B U F2 R2 F L' R'
B U F2 R2 F R' L'
U' D' L' R2 B U2 L
D' U' L' R2 B U2 L
D2 U' L' R2 B U2 L
U' D' L' U2 L F' L'
D' U' L' U2 L F' L'
U' D' L' U2 L' F' L'
D' U' L' U2 L' F' L'
U' D' L' U2 L2 F' L'
D' U' L' U2 L2 F' L'
U' D' L' U2 D F' L'
U' D' L' U2 D' F' L'
D' U' L' U2 D F' L'
U' D' L' U2 D2 F' L'
D' U' L' U2 D' F' L'
U' D' L' U2 F' L' D
U' D' L' U2 F' L' D'
U' D' L' U2 F' L' D2
D' U' L' U2 D2 F' L'
U' D' L' U2 F' D L'
U' D' L' U2 F' D' L'
U' D' L' U2 F' D2 L'
D' U' L' U2 F' L' D
D' U' L' U2 F' L' D'
D' U' L' U2 F' L' D2
D' U' L' U2 F' D L'
D' U' L' U2 F' D' L'
D' U' L' U2 F' D2 L'
D2 U' L' U2 L F' L'
D2 U' L' U2 L' F' L'
D2 U' L' U2 L2 F' L'
U' D' L' D U2 F' L'
D' U' L' D U2 F' L'
D2 U' L' U2 D F' L'
D2 U' L' U2 D' F' L'
D2 U' L' U2 D2 F' L'
D2 U' L' U2 F' L' D
D2 U' L' U2 F' L' D'
D2 U' L' U2 F' L' D2
D2 U' L' U2 F' D L'
D2 U' L' U2 F' D' L'
D2 U' L' U2 F' D2 L'
U' D' L' D' U2 F' L'
D' U' L' D' U2 F' L'
D2 U' L' D U2 F' L'
U' D' L' D2 U2 F' L'
D' U' L' D2 U2 F' L'
D2 U' L' D' U2 F' L'
D2 U' L' D2 U2 F' L'
U' D' L' B U2 L F'
D' U' L' B U2 L F'
D' U' L' B U2 F' L
U' D' L' B U2 F' L
D2 U' L' B U2 L F'
D2 U' L' B U2 F' L
U D' L D2 F' L' R2
U D' L D2 F' R2 L'
U D' L F' D2 L' R2
U D' L F' D2 R2 L'
L2 D' U F' B2 L' R'
L2 D' U F' B2 R' L'
D U' L' R2 B U2 L
D U' L' U2 L F' L'
D U' L' U2 L' F' L'
D U' L' U2 L2 F' L'
D U' L' U2 D F' L'
D U' L' U2 D' F' L'
D U' L' U2 D2 F' L'
D U' L' U2 F' L' D
D U' L' U2 F' L' D'
D U' L' U2 F' L' D2
D U' L' U2 F' D L'
D U' L' U2 F' D' L'
D U' L' U2 F' D2 L'
L2 D' U B2 F' L' R'
L2 D' U B2 F' R' L'
D U' L' D U2 F' L'
D U' L' D' U2 F' L'
D U' L' D2 U2 F' L'
D U' L' B U2 L F'
D U' L' B U2 F' L
B' U' L' R2 B U2 L
B' U' L' U2 L F' L'
B' U' L' U2 L' F' L'
B' U' L' U2 L2 F' L'
B' U' L' U2 D F' L'
B' U' L' U2 D' F' L'
B' U' L' U2 D2 F' L'
B' U' L' U2 F' L' D
B' U' L' U2 F' L' D'
B' U' L' U2 F' L' D2
B' U' L' U2 F' D L'
B' U' L' U2 F' D' L'
B' U' L' U2 F' D2 L'
B' U' L' D U2 F' L'
B2 U' L' R2 B U2 L
B' U' L' D' U2 F' L'
U D' L2 F' L' D2 R2
B' U' L' D2 U2 F' L'
B2 U' L' U2 L F' L'
B2 U' L' U2 L' F' L'
B2 U' L' U2 L2 F' L'
B2 U' L' U2 D F' L'
B2 U' L' U2 D' F' L'
B2 U' L' U2 D2 F' L'
B2 U' L' U2 F' L' D
B2 U' L' U2 F' L' D'
B2 U' L' U2 F' L' D2
B2 U' L' U2 F' D L'
B2 U' L' U2 F' D' L'
B2 U' L' U2 F' D2 L'
B2 U' L' D U2 F' L'
B2 U' L' D' U2 F' L'
B' U' L' B U2 L F'
B' U' L' B U2 F' L
B2 U' L' D2 U2 F' L'
B2 U' L' B U2 L F'
B2 U' L' B U2 F' L
B U' L' R2 B U2 L
B U' L' U2 L F' L'
B U' L' U2 L' F' L'
B U' L' U2 L2 F' L'
U' D' R2 L' B U2 L
D' U' R2 L' B U2 L
B U' L' U2 D F' L'
B U' L' U2 D' F' L'
B U' L' U2 D2 F' L'
B U' L' U2 F' L' D
B U' L' U2 F' L' D'
B U' L' U2 F' L' D2
B U' L' U2 F' D L'
B U' L' U2 F' D' L'
B U' L' U2 F' D2 L'
B U' L' D U2 F' L'
D2 U' R2 L' B U2 L
B U' L' D' U2 F' L'
B U' L' D2 U2 F' L'
B U' L' B U2 L F'
B U' L' B U2 F' L
D' U' R2 B L' U2 L2
U' D' R2 B L' U2 L2
D2 U' R2 B L' U2 L2
F2 U' L2 B' R' U2 R2
D U' R2 L' B U2 L
D U' R2 B L' U2 L2
F2 U' R' F R2 B L
B' U' R2 L' B U2 L
B2 U' R2 L' B U2 L
B' U' R2 B L' U2 L2
U D' F' L' F' R F
B2 U' R2 B L' U2 L2
B' U' D L' U2 F' L'
B U' R2 L' B U2 L
D' U' B L' U2 L2 F'
U' D' B L' U2 L2 F'
D' U' B L' U2 F' L2
U' D' B L' U2 F' L2
B2 U' D L' U2 F' L'
D2 U' B L' U2 L2 F'
D2 U' B L' U2 F' L2
B U' R2 B L' U2 L2
B' U' D' L' U2 F' L'
U D' F2 R F L' D
U D' F2 R F L' D'
U D' F2 R F L' D2
U D' F2 R F D L'
U D' F2 R F D' L'
U D' F2 R F D2 L'
B2 U' D' L' U2 F' L'
B U' D L' U2 F' L'
U D' F2 R' F L' R2
U D' F2 R' F R2 L'
U D' F2 R2 F L' R'
U D' F2 R2 F R' L'
L D' B2 L' U F' L'
D U' B L' U2 L2 F'
D U' B L' U2 F' L2
B' U' D2 L' U2 F' L'
B2 U' D2 L' U2 F' L'
B U' D' L' U2 F' L'
B U' D2 L' U2 F' L'
L D2 L' U F' L' R2
L D2 L' U F' R2 L'
U' D2 L' R2 B U2 L
U' D2 L' U2 L F' L'
U' D2 L' U2 L' F' L'
U' D2 L' U2 L2 F' L'
U' D2 L' U2 D F' L'
U' D2 L' U2 D' F' L'
U' D2 L' U2 D2 F' L'
U' D2 L' U2 F' L' D
U' D2 L' U2 F' L' D'
U' D2 L' U2 F' L' D2
U' D2 L' U2 F' D L'
U' D2 L' U2 F' D' L'
U' D2 L' U2 F' D2 L'
U' D2 L' D U2 F' L'
U' D2 L' D' U2 F' L'
U' D2 L' D2 U2 F' L'
U' D2 L' B U2 L F'
U' D2 L' B U2 F' L
U D2 L D2 F' L' R2
U D2 L D2 F' R2 L'
B' U' B L' U2 L2 F'
B' U' B L' U2 F' L2
U D2 L F' D2 L' R2
U D2 L F' D2 R2 L'
B2 U' B L' U2 L2 F'
B2 U' B L' U2 F' L2
F2 U' B U2 R F L
B U' B L' U2 L2 F'
B U' B L' U2 F' L2
F2 U' B' R' U2 R2 F
F2 U' B' R' U2 F R2
U D2 L2 F' L' D2 R2
U' D2 R2 L' B U2 L
U' D2 R2 B L' U2 L2
F U2 L' B' U' R' F2
F U2 L' B' U' F2 R'
U D2 F' L' F' R F
U' D2 B L' U2 L2 F'
U' D2 B L' U2 F' L2
U D2 F2 R F L' D
U D2 F2 R F L' D'
U D2 F2 R F L' D2
U D2 F2 R F D L'
U D2 F2 R F D' L'
U D2 F2 R F D2 L'
U D2 F2 R' F L' R2
U D2 F2 R' F R2 L'
U D2 F2 R2 F L' R'
U D2 F2 R2 F R' L'
U F L F R F L'
U F L' F R F L'
U F L2 F R F L'
F' D R' F' B U F
F' D R' B F' U F
F2 D R' F' U R2 F2
F2 D R' F' U F2 R2
B' D U F2 R F L'
F2 D U R F' L' F2
B' D U' L' U2 F' L'
B2 D U F2 R F L'
B2 D U' L' U2 F' L'
B D U F2 R F L'
B D U' L' U2 F' L'
U F' L F' R F L2
U F' L' R F' R F
U F' L' R' F' R F
U F' L' R2 F' R F
U F' L' U F' U' R
R' F' R U F' R D
R' F' R U F' R D'
