D L2 F' R' U' L'
F' R' U B2 U2 L'
F' R' U' L' D2 F2
F' R' U' D2 L' F2
F' R' D L2 U' L
F' R' D2 U' L' F2
F' D L2 R' U' L
F' D R' L2 U' L
D F' L2 R' U' L
D F' R' L2 U' L
F' D2 R' U' L' F2
D2 F2 R' F U' L' F'
D F2 R' F L2 U' L
D2 F2 U R' F U' L'
D2 F2 U F R' U' L'
F' D2 L R' U' L2 F2
F' D2 L R' U' F2 L2
F' D2 L2 R' U' L F2
F' D2 L2 R' U' F2 L
F' D2 R' L U' L2 F2
F' D2 R' L U' F2 L2
F' D2 R' L2 U' L F2
F' D2 R' L2 U' F2 L
F' D2 R' U' L F2 L2
F' D2 R' U' L' F2 D
F' D2 R' U' L' F2 D'
F' D2 R' U' L' F2 D2
F' D2 R' U' L2 F2 L
F' D2 R' D' L2 U' L
F' D2 R' B U' L' F2
F' D2 R' B' U' L' F2
F' D2 R' B2 U' L' F2
D B L2 F' U' L' B'
F' D2 B U' L' F2 B'
F' D2 B U' L' B' F2
F D2 B2 L U F2 L'
F' B R2 U' L' F' B'
F' B R2 U' L' B' F'
D2 B F' U' L' F' B'
D2 B F' U' L' B' F'
F' B U B U2 L' B'
F' B U' L' B' D2 F2
B F' R2 U' L' F' B'
B F' R2 U' L' B' F'
B F' U B U2 L' B'
B F' U' L' B' D2 F2
