D L R F L' U2
L' R U' F U' B'
L R F U B' U
R L F U B' U
R L' U' F U' B'
D R L F L' U2
D' R U2 R B R'
R U B L B' U
D R F L' U2 B'
D R F' U2 R B
R U2 R D' B R'
R U2 D' R B R'
R D L F L' U2
R D F L' U2 B'
R D F' U2 R B
R D' U2 R B R'
D F' U2 R B L
F2 L' B' R2 F' D R2
F2 L' B' F' D R2 F'
D L2 R F L' F U2
L R2 F R' U B' U
D' L2 D2 R F' U2 R
R U L B L B2 U
R U L B' U2 R' U'
R U L' U2 F R U'
D L2 F L' F U2 L'
D2 R L F U' F2 U'
D' R L D2 F L' U2
D2 R L F U2 D R2
D2 R L F D U2 R2
D2 R L F D' L2 U2
R U D' B L U R'
D R L F L' U2 D
D R L F L' U2 D'
D R L F L' U2 D2
D R L F L' D U2
D R L F L' D' U2
D R L F L' D2 U2
D R L F D L' U2
D2 R L' U' F' U' B'
D R L F D' L' U2
D R L F D2 L' U2
D' R L' U2 B R' B2
D R L' F' U2 R B'
D R L' F' U2 B' R
D R L' F2 U2 B' R'
D R L2 F L' F U2
D' R U B L U R'
D2 R U' F R F2 U'
D2 R U' F' U2 L' U
D' R U2 R B R' D
D' R U2 R B R' D'
D' R U2 R B R' D2
D' R U2 R B D R'
D' R U2 R B D' R'
D' R U2 R B D2 R'
R U B L D B' U
R U B L D' B' U
R U B L D2 B' U
R U B L B' U D
R U B L B' U D'
R U B L B' U D2
R U B L B' D U
R U B L B' D' U
R U B L B' D2 U
D' R U2 R2 B R' B
D R U2 R D2 B R'
D' R U2 B R B R2
D R U2 D2 R B R'
D R U2 F' R F B
D R U2 F' R B F
L U B' U' R F U2
R U B2 L B' L U
D' R D2 L F L' U2
B R D' B' L F U2
D' R D2 F L' U2 B'
D' R D2 F' U2 R B
D R D2 U2 R B R'
D R F L F L2 U2
D R F L' U2 D B'
D R F L' U2 D' B'
D R F L' U2 D2 B'
D R F L' U2 B' D
D R F L' U2 B' D'
D R F L' U2 B' D2
D R F L' D U2 B'
D R F L' D' U2 B'
D' R F U2 R B R'
D R F L' D2 U2 B'
D R F L' F U2 B'
D R F L' F' U2 B'
D R F L' F2 U2 B'
R U' L' F L R U'
R U' L' F R L U'
D R F D L' U2 B'
D R F D' L' U2 B'
D R F D2 L' U2 B'
D' R F' U2 R B R'
D R F' L' U2 R B'
D R F' L' U2 B' R
D R F' U2 R D B
D R F' U2 R D' B
D R F' U2 R D2 B
D R F' U2 R B D
D R F' U2 R B D'
D R F' U2 R B D2
D R F' U2 D R B
D R F' U2 D' R B
D R F' U2 D2 R B
D R F' U2 B R B
D R F' U2 B' R B
D R F' U2 B2 R B
D R F' D U2 R B
D R F' D' U2 R B
D R F' D2 U2 R B
D2 R F2 U' F R U'
D R F2 L F U2 R
D' R F2 U2 R B R'
D R F2 L' U2 B' R'
D' R B' L F B U2
D' R B' L B F U2
D R' L F L' R2 U2
D R' L F R2 L' U2
R U' D2 F R F' U'
L' U' F U' D2 B' L
L' U' F D2 U' B' L
R U' F D2 R F' U'
D R' F L' R2 U2 B'
D R' F R2 L' U2 B'
R U2 R D' B R' D
R U2 R D' B R' D'
R U2 R D' B R' D2
R U2 R D' B D R'
R U2 R D' B D' R'
R U2 R D' B D2 R'
R U2 R' D' R2 B R'
R U2 D R D2 B R'
R U2 D F' R F B
R U2 D F' R B F
R U2 D' R B R' D
R U2 D' R B R' D'
R U2 D' R B R' D2
R U2 D' R B D R'
R U2 D' R B D' R'
R U2 D' R B D2 R'
R U2 D' R2 B R' B
R U2 D' B R B R2
D R2 L F L' R' U2
D R2 L F R' L' U2
R U2 F D F' R B
R U2 B R D' B R'
R U2 B D' R B R'
R U2 B' R D' B R'
R U2 B' D' R B R'
R U2 B2 R D' B R'
R2 D L R' F L' U2
R U2 B2 D' R B R'
R2 D L F L' R' U2
R2 D L F R' L' U2
R D L F L' U2 D
R D L F L' U2 D'
R D L F L' U2 D2
R D L F L' D U2
R D L F L' D' U2
R D L F L' D2 U2
R D L F D L' U2
R D L F D' L' U2
R D L F D2 L' U2
D R2 F L' R' U2 B'
D R2 F R' L' U2 B'
R D L' F' U2 R B'
R D L' F' U2 B' R
R D L' F2 U2 B' R'
L' D R U' F U' B'
R D L2 F L' F U2
R2 D R' L F L' U2
L D R F U B' U
R2 D R' F L' U2 B'
R2 D R' F' U2 R B
R D U2 R D2 B R'
R2 D F L' R' U2 B'
R2 D F R' L' U2 B'
R D U2 F' R F B
R D U2 F' R B F
R D F L F L2 U2
R D F L' U2 D B'
R D F L' U2 D' B'
R D F L' U2 D2 B'
R D F L' U2 B' D
R D F L' U2 B' D'
R D F L' U2 B' D2
R D F L' D U2 B'
R D F L' D' U2 B'
R D F L' D2 U2 B'
R D F L' F U2 B'
R D F L' F' U2 B'
R D F L' F2 U2 B'
R D F D L' U2 B'
R D F D' L' U2 B'
R D F D2 L' U2 B'
R D F' L' U2 R B'
R D F' L' U2 B' R
R D F' U2 R D B
R D F' U2 R D' B
R D F' U2 R D2 B
R D F' U2 R B D
R D F' U2 R B D'
R D F' U2 R B D2
R D F' U2 D R B
R D F' U2 D' R B
R D F' U2 D2 R B
R D F' U2 B R B
R D F' U2 B' R B
R D F' U2 B2 R B
R D F' D U2 R B
R D F' D' U2 R B
R D F' D2 U2 R B
R D F2 L F U2 R
R D F2 L' U2 B' R'
R D' L D2 F L' U2
R D' L' U2 B R' B2
L' D' R U' F U' B'
F' U B L F B' U
F' U B L B' F U
F2 U B L B' U L2
L D' R F U B' U
R2 D' R' U2 R B R'
R D' U B L U R'
R D' U2 R B R' D
R D' U2 R B R' D'
R D' U2 R B R' D2
R D' U2 R B D R'
R D' U2 R B D' R'
R D' U2 R B D2 R'
R D' U2 R2 B R' B
R D' U2 B R B R2
R D' F U2 R B R'
U2 D' R2 B R' B L
R D' F' U2 R B R'
R D' F2 U2 R B R'
R D' B' L F B U2
R D' B' L B F U2
R D2 L D' F L' U2
L' D2 R U' F U' B'
R2 D2 R' U B L U
L D2 R F U B' U
D' U2 R2 B R' B L
R D2 U' F R F' U'
F2 U2 L' U F R U'
F' U2 R D' B L R'
F' U2 R D' B R' L
F2 U2 R D' L' B R'
F2 U2 R D' B L' R'
F2 U2 R D' B R' L'
F' U2 D' R B L R'
F' U2 D' R B R' L
F2 U2 D' L' R B R'
F2 U2 D' R L' B R'
F2 U2 D' R B L' R'
F2 U2 D' R B R' L'
D F L F L2 U2 L
R F L F U B' U
D F L' U2 D2 B' L
D F L' D2 U2 B' L
D F L' F U2 B' L'
D F L' F' R U2 B'
R F L' U' F U' B'
L F L2 U' F U' L'
F' D L F L' R U2
F' D L F R L' U2
L F U D2 B' U L
L F U F B' U L'
F2 D L F L' U2 L'
L F U B' F U L'
R F U B L B' U
F2 D L' B' R2 F' R
R F U2 R D' B R'
R F U2 D' R B R'
R F D L F L' U2
R F D F L' U2 B'
R F D F' U2 R B
D F D2 L' U2 B' L
R F D' U2 R B R'
L F D2 U B' U L
F' D F L' R U2 B'
F' D F R L' U2 B'
R F' L F U B' U
F' D F' U2 L' R B
F' D F' U2 R L' B
F' D F' U2 R B L'
R F' L' U' F U' B'
D' F' U2 R B L R'
D' F' U2 R B R' L
R F' U B L B' U
D F' U2 L R B L
D F' U2 L' R B L
D F' U2 L2 R B L
D F' U2 R L B L
D F' U2 R L' B L
D F' U2 R L2 B L
D F' U2 R D B L
D F' U2 R D' B L
D F' U2 R D2 B L
D F' U2 R B L D
D F' U2 R B L D'
D F' U2 R B L D2
D F' U2 R B D L
D F' U2 R B D' L
D F' U2 R B D2 L
D F' U2 D R B L
D F' U2 D' R B L
D F' U2 D2 R B L
L' F' D B' R2 F' L'
D F' U2 B L R B
D F' U2 B R L B
L' F' D' L2 F R U2
R F' U2 R D' B R'
R F' U2 D' R B R'
D F' D U2 R B L
R F' D L F L' U2
R F' D F L' U2 B'
D F' D' U2 R B L
R F' D F' U2 R B
B D' R B' L F U2
R F' D' U2 R B R'
D F' D2 U2 R B L
L' F' B' D R2 F' L'
F' D' U2 R B L R'
F' D' U2 R B R' L
F2 D' U2 L' R B R'
F2 D' U2 R L' B R'
F2 D' U2 R B L' R'
F2 D' U2 R B R' L'
D F2 L U2 L2 B' R'
D F2 L F U2 L2 R
D F2 L F U2 R L2
R F2 L F U B' U
R F2 L' U' F U' B'
D F2 L2 U2 L B' R'
B D' B' L R F U2
B D' B' R L F U2
D' F2 U2 L' R B R'
D' F2 U2 R L' B R'
D' F2 U2 R B L' R'
D' F2 U2 R B R' L'
R F2 U B L B' U
R F2 U2 R D' B R'
R F2 U2 D' R B R'
R F2 D L F L' U2
R F2 D F L' U2 B'
R F2 D F' U2 R B
R F2 D' U2 R B R'
U F2 B L B' U L2
U B L F2 B' U L'
U B L B' U' R U2
U B L B' F2 U L'
R B D' B' L F U2
D' B' L B R F U2
U B F2 L B' U L2
L B' U' B R F U2
L' B' F' D R2 F' L'
D' B2 D2 F2 L' B' R'
