U2 R F U B
U2 L' R U B L
U2 R L' U B L
U2 R D F U B
U2 R D' F U B
U2 R D2 F U B
U2 R F L U B
U2 R F L' U B
U2 R F L2 U B
U2 R F U D B
U2 R F U D' B
U2 R F U D2 B
U2 R F U B D
U2 R F U B D'
U2 R F U B D2
U2 R F D U B
U2 R F D' U B
U2 R F D2 U B
U2 R2 F R' U B
U2 D R F U B
U2 D' R F U B
D2 U2 R F U B
U2 D2 R F U B
D' U2 R F U B
D U2 R F U B
B2 U2 R F U B
B' U2 R F U B
B U2 R F U B
D' U2 R F U D B
D' U2 R F U D' B
D' U2 R F U D2 B
D' U2 R F U B D
D' U2 R F U B D'
D' U2 R F U B D2
D' U2 R F D U B
D2 U2 R D F U B
D' U2 R F D' U B
D' U2 R F D2 U B
D2 U2 R D' F U B
D2 U2 R D2 F U B
D2 U2 R F L U B
D2 U2 R F L' U B
D2 U2 R F L2 U B
D2 U2 R F U D B
D2 U2 R F U D' B
D2 U2 R F U D2 B
D2 U2 R F U B D
D2 U2 R F U B D'
D2 U2 R F U B D2
D2 U2 R F D U B
D2 U2 R F D' U B
D2 U2 R F D2 U B
U2 D2 R L' U B L
U2 D2 R D F U B
U2 D2 R D' F U B
U2 D2 R D2 F U B
D U2 R L' U B L
U2 D2 R F L U B
U2 D2 R F L' U B
U2 D2 R F L2 U B
U2 D2 R F U D B
U2 D2 R F U D' B
U2 D2 R F U D2 B
U2 D2 R F U B D
U2 D2 R F U B D'
U2 D2 R F U B D2
U2 D2 R F D U B
U2 D2 R F D' U B
U2 D2 R F D2 U B
D U2 R D F U B
D U2 R D' F U B
D U2 R D2 F U B
D U2 R F L U B
D U2 R F L' U B
D U2 R F L2 U B
D U2 R F U D B
D U2 R F U D' B
D U2 R F U D2 B
D U2 R F U B D
D U2 R F U B D'
D U2 R F U B D2
D U2 R F D U B
D U2 R F D' U B
D U2 R F D2 U B
D' U2 R2 F R' U B
D2 U2 R2 F R' U B
B' U2 L' R U B L
U2 D2 R2 F R' U B
B2 U2 L' R U B L
D U2 R2 F R' U B
B U2 L' R U B L
B' U2 R L' U B L
B2 U2 R L' U B L
B' U2 R D F U B
B' U2 R D' F U B
B' U2 R D2 F U B
B' U2 R F L U B
B' U2 R F L' U B
B' U2 R F L2 U B
B' U2 R F U D B
B' U2 R F U D' B
B' U2 R F U D2 B
B' U2 R F U B D
B' U2 R F U B D'
B' U2 R F U B D2
B' U2 R F D U B
B' U2 R F D' U B
B' U2 R F D2 U B
B2 U2 R D F U B
B2 U2 R D' F U B
B2 U2 R D2 F U B
B2 U2 R F L U B
B2 U2 R F L' U B
B2 U2 R F L2 U B
B2 U2 R F U D B
B2 U2 R F U D' B
B2 U2 R F U D2 B
B2 U2 R F U B D
B2 U2 R F U B D'
B2 U2 R F U B D2
B2 U2 R F D U B
B2 U2 R F D' U B
B2 U2 R F D2 U B
B U2 R L' U B L
B U2 R D F U B
B U2 R D' F U B
B U2 R D2 F U B
B U2 R F L U B
B U2 R F L' U B
B U2 R F L2 U B
B U2 R F U D B
B U2 R F U D' B
B U2 R F U D2 B
B U2 R F U B D
B U2 R F U B D'
B U2 R F U B D2
B U2 R F D U B
B U2 R F D' U B
B U2 R F D2 U B
B' U2 R2 F R' U B
B2 U2 R2 F R' U B
B' U2 D R F U B
B2 U2 D R F U B
B U2 R2 F R' U B
B' U2 D' R F U B
B2 U2 D' R F U B
B U2 D R F U B
B' U2 D2 R F U B
R' F L' R2 B U B2
B2 U2 D2 R F U B
B U2 D' R F U B
B U2 D2 R F U B
R F L' U2 F' U' B'
R' F R2 L' B U B2
R' F R2 B L' U B'
U2 F D R U F' B
U2 F D R U B F'
R F U2 F' R U' B
B' D U2 R F U B
B2 D U2 R F U B
B D U2 R F U B
R F' L' F2 U B' R'
B' D' U2 R F U B
B2 D' U2 R F U B
B D' U2 R F U B
B' D2 U2 R F U B
B2 D2 U2 R F U B
B D2 U2 R F U B
U2 B R F B' U B2
U2 B R B' F U B2
L2 B R2 B2 L U' B'
U' B U' R F U B
D2 B U2 R F U B
D' B U2 R F U B
U B U R F L U
D B U2 R F U B
R2 B U2 F R U B
L2 B' L U2 R U B'
L2 B' L2 U2 R U B
R2 B' L2 B' L U' B'
U' B' U' R F U B
D2 B' U2 R F U B
D' B' U2 R F U B
L2 B' U2 L R U B'
L2 B' U2 R L U B'
D B' U2 R F U B
U2 B2 R F B2 U B'
U2 B2 R B2 F U B'
U' B2 U' R F U B
D2 B2 U2 R F U B
D' B2 U2 R F U B
D B2 U2 R F U B
