B R' U F' L'
B R' U L F' L'
B R' U L' F' L'
B R' U L2 F' L'
B R' U D F' L'
B R' U D' F' L'
B R' U D2 F' L'
B R' U F' L' D
B R' U F' L' D'
B R' U F' L' D2
B R' U F' D L'
B R' U F' D' L'
B R' U F' D2 L'
B R' D U F' L'
B R' D' U F' L'
B R' D2 U F' L'
D2 R' F2 U F R
B R2 D' F' R U
B R2 F' R U F'
R' D2 F2 U F R
B U2 L B U' F
B U2 B L U' F
B D R' U F' L'
B D' R' U F' L'
D2 F2 B R' U F'
B D2 R' U F' L'
D2 B R' F2 U F
D B R' U L2 F'
D B R' U F' L2
F' B R' U F' L'
F2 B R' U F' L'
B F R' U F' L'
F B R' U F' L'
D2 B F2 R' U F'
B F' R' U F' L'
U2 B2 L U' F R
B F2 R' U F' L'
B F2 R' D U F' L'
B F2 R' D' U F' L'
B F2 R' D2 U F' L'
U2 B2 U2 R' B' U F'
B F2 R2 D' F' R U
B F2 R2 F' R U F'
U2 B2 U2 B' R' U F'
U2 B2 D L U' F R
U2 B2 D' L U' F R
U B2 U2 B' R' U B'
U2 B2 D2 L U' F R
B F2 U2 L B U' F
B F2 U2 B L U' F
U2 B2 F L U' F R
B F2 D R' U F' L'
U2 B2 F' L U' F R
D2 B2 F2 R' B' U F'
B F2 D' R' U F' L'
U2 B2 F2 L U' F R
B F2 D2 R' U F' L'
