L' F U F2 R
U' L' F U F2 R
B2 L' F U F2 R
B' L' F U F2 R
U2 L' F U F2 R
U L' F U F2 R
B L' F U F2 R
L' U F' R D' L2
L' U F' D' L2 R
L' U F' D' R L2
F' R D' L B' L
F' R D' B' L B'
L' F R U F2 R
L' F R' U F2 R
L' F R2 U F2 R
L' F U R F2 R
L' F U R' F2 R
L' F U R2 F2 R
L' F U F2 R D
L' F U F2 R D'
L' F U F2 R D2
L' F U F2 D R
L' F U F2 D' R
L' F U F2 D2 R
L' F U' L' U2 F2
L' F B U F2 R
L' F B' U F2 R
L' F B2 U F2 R
F' D' L R B' L
F' D' L B' L R
F' D' L B' R L
F' D' R L B' L
F' D' R B' L B'
F' D' B' L R B'
F' D' B' L B' R
F' D' B' R L B'
L' B F U F2 R
L' B' F U F2 R
L' B2 F U F2 R
F' B2 R D' L B' L
F' B2 R D' B' L B'
L' B2 U F' R D' L2
L' B2 U F' D' L2 R
L' B2 U F' D' R L2
L' B2 F R U F2 R
L' B2 F R' U F2 R
L' B2 F R2 U F2 R
L' B2 F U R F2 R
L' B2 F U R' F2 R
L' B2 F U R2 F2 R
L' B2 F U F2 R D
L' B2 F U F2 R D'
L' B2 F U F2 R D2
L' B2 F U F2 D R
L' B2 F U F2 D' R
L' B2 F U F2 D2 R
L' B2 F U' L' U2 F2
F' B2 D' L R B' L
F' B2 D' L B' L R
F' B2 D' L B' R L
F' B2 D' R L B' L
F' B2 D' R B' L B'
F' B2 D' B' L R B'
F' B2 D' B' L B' R
F' B2 D' B' R L B'
