F2 U B2 U2 L' B'
F2 U' L' D2 F2 B'
F2 U' L' D2 B' F2
F2 U' D2 L' F2 B'
F2 U' D2 L' B' F2
B2 D' L2 R F' U2
B2 D' R L2 F' U2
B2 D' R F' L2 U2
F2 D2 U' L' F2 B'
F2 D2 U' L' B' F2
F2 U' L' D2 F2 B' D'
F2 U' L' D2 F2 B' D2
F2 U' L' D2 B' F2 D
F2 U' L' D2 B' F2 D'
F2 U' L' D2 B' F2 D2
F2 U' L' F D2 F2 B'
F2 U' L' F D2 B' F2
F2 U' L' F' D2 F2 B'
F2 U' L' F' D2 B' F2
F2 U' L' F2 D2 F2 B'
F2 U' L' F2 D2 B' F2
F2 U' L' B' L2 F L2
F2 U' L' B' U2 B' U2
D2 U' F2 L' D' R2 B'
D2 U' F2 L' D' B' R2
D2 U' F2 D' L' R2 B'
D2 U' F2 D' L' B' R2
D2 U' F2 D' R2 L' B'
F2 U' D' L' D' F2 B'
F2 U' D' L' D' B' F2
F2 U' D' L' B' D' F2
F2 U' D2 L' F2 D B'
F2 U' D2 L' F2 D' B'
F2 U' D2 L' F2 D2 B'
F2 U' D2 L' F2 B' D
F2 U' D2 L' F2 B' D'
F2 U' D2 L' F2 B' D2
F2 U' D2 L' B' F2 D
F2 U' D2 L' B' F2 D'
F2 U' D2 L' B' F2 D2
F2 U' D2 L2 F2 L B'
F2 U' D2 B L' F2 B'
F2 U' D2 B L' B' F2
F2 U' D2 B' L' F2 B'
F2 U' D2 B' L' B' F2
F2 U' D2 B2 L' F2 B'
F2 U' D2 B2 L' B' F2
B2 U' F2 B R' U' L'
F2 U' F2 D2 F2 L' B'
B2 U' F2 B2 U' L' B'
F2 U' B L' B' D2 F2
B2 U' B F2 R' U' L'
F2 U' B' L2 F L B'
B2 U' B2 F2 U' L' B'
U' D2 F2 L' D' R2 B'
U' D2 F2 L' D' B' R2
U' D2 F2 D' L' R2 B'
U' D2 F2 D' L' B' R2
U' D2 F2 D' R2 L' B'
D2 U2 B2 U F2 L' B'
B2 U2 D R2 B2 L B'
U2 D2 B2 U F2 L' B'
F2 U2 D' R2 U L' B'
B2 D L R U2 R B'
B2 D L R U2 B' R
B2 D L2 R U2 R B
F2 D L2 U' L' B' L2
F' D L2 F' U' L' B'
B2 D R L U2 R B'
B2 D R L U2 B' R
B2 D R L2 U2 R B
B2 D R F2 L' F U2
B2 D U2 R2 B2 L B'
F2 D B' L2 R' U' L
F2 D B' R' L2 U' L
B2 D' L R F' L U2
B2 D' L2 R D F' U2
B2 D' L2 R D' F' U2
B2 D' L2 R D2 F' U2
B2 D' L2 R F' U2 D
B2 D' L2 R F' U2 D'
B2 D' L2 R F' U2 D2
B2 D' L2 R F' D U2
B2 D' L2 R F' D' U2
B2 D' L2 R F' D2 U2
B2 D' R L F' L U2
B2 D' R L2 D F' U2
B2 D' R L2 D' F' U2
B2 D' R L2 D2 F' U2
B2 D' R L2 F' U2 D
B2 D' R L2 F' U2 D'
B2 D' R L2 F' U2 D2
B2 D' R L2 F' D U2
B2 D' R L2 F' D' U2
B2 D' R L2 F' D2 U2
B2 D' R U2 D2 R2 B
B2 D' R D2 U2 R2 B
B2 D' R D2 F' U2 R2
B2 D' R F L2 F2 U2
B2 D' R F' L2 U2 D
B2 D' R F' L2 U2 D'
B2 D' R F' L2 U2 D2
B2 D' R F' L2 D U2
B2 D' R F' L2 D' U2
B2 D' R F' L2 D2 U2
B2 D' R F' U2 D2 R2
B2 D' R F' D2 U2 R2
B2 D' R F2 L2 U2 B'
F2 D' U' L' D' F2 B'
F2 D' U' L' D' B' F2
F2 D' U' L' B' D' F2
F2 D' U2 R2 U L' B'
L' F2 U B2 U2 L' B'
L' F2 U' L' D2 F2 B'
L' F2 U' L' D2 B' F2
R2 F2 U R' F' B2 U2
R2 F2 U R' B2 F' U2
L' F2 U' D2 L' F2 B'
L' F2 U' D2 L' B' F2
L2 F2 U B2 U2 L' B'
L2 F2 U' L' D2 F2 B'
L2 F2 U' L' D2 B' F2
L2 F2 U' D2 L' F2 B'
L2 F2 U' D2 L' B' F2
U' F2 D L2 U' L B'
L F2 U B2 U2 L' B'
L F2 U' L' D2 F2 B'
L F2 U' L' D2 B' F2
L F2 U' D2 L' F2 B'
L F2 U' D2 L' B' F2
F2 D2 R U' L' F2 B'
F2 D2 R U' L' B' F2
L' F2 D2 U' L' F2 B'
L' F2 D2 U' L' B' F2
L2 F2 D2 U' L' F2 B'
L2 F2 D2 U' L' B' F2
F2 D2 R' U' L' F2 B'
F2 D2 R' U' L' B' F2
F2 D2 R2 U' L' F2 B'
F2 D2 R2 U' L' B' F2
L F2 D2 U' L' F2 B'
L F2 D2 U' L' B' F2
F2 D2 U' L' F2 D B'
F2 D2 U' L' F2 D' B'
F2 D2 U' L' F2 D2 B'
F2 D2 U' L' F2 B' D
F2 D2 U' L' F2 B' D'
F2 D2 U' L' F2 B' D2
F2 D2 U' L' B' F2 D
F2 D2 U' L' B' F2 D'
F2 D2 U' L' B' F2 D2
F2 D2 U' L2 F2 L B'
D2 B L B U F2 L'
F2 D2 U' B L' F2 B'
F2 D2 U' B L' B' F2
F2 D2 U' B' L' F2 B'
F2 D2 U' B' L' B' F2
F2 D2 U' B2 L' F2 B'
F2 D2 U' B2 L' B' F2
F' D2 F' U' L' F' B'
F' D2 F' U' L' B' F'
F2 D2 B' R' U' L' F2
F2 B' L2 R' U' F L
F2 B' R' L2 U' F L
F2 B' R' U B' U2 L'
F2 B' R' U' L2 F L
B' F2 L2 R' U' F L
U B2 R U' F2 U' B
U B2 R U2 D B R2
U B2 R U2 B D R2
U B2 R D U2 B R2
U B2 R D' L2 U2 B
B' F2 R' L2 U' F L
B' F2 R' U B' U2 L'
B' F2 R' U' L2 F L
U' B2 D R U2 R B
R2 B2 U2 D L R2 B'
R2 B2 U2 D L B' R2
R2 B2 U2 D R2 L B'
U B2 U' F2 U' L' B'
L' B2 D' L2 R F' U2
L' B2 D' R L2 F' U2
L' B2 D' R F' L2 U2
R2 B2 D L B' R2 F'
R2 B2 D U2 L R2 B'
L2 B2 D' L2 R F' U2
R2 B2 D U2 L B' R2
R2 B2 D U2 R2 L B'
L2 B2 D' R L2 F' U2
L2 B2 D' R F' L2 U2
U B2 D R U2 B R
R B2 D L U2 R2 B'
R B2 D L U2 B' R2
R B2 D L' F U2 R2
L B2 D' L2 R F' U2
U B2 D' L2 R U2 B
L B2 D' R L2 F' U2
L B2 D' R F' L2 U2
U B2 D' R L2 U2 B
