F' R' U R2 B U2
F' R' U' D2 L2 F'
F' R' U' D2 F' L2
F' R' U' F' D2 L2
F' R' D B2 U' F'
F' R' D2 U' L2 F'
F' R' D2 U' F' L2
F2 R' F U' F2 L'
D F' R' B U' F'
F' R' U' D2 L F' L
F' R' U' D2 L2 D F'
F' R' U' D2 L2 D' F'
F' R' U' D2 L2 D2 F'
F' R' U' D2 L2 F' D
F' R' U' D2 L2 F' D'
F' R' U' D2 L2 F' D2
F' R' U' D2 F L2 F2
F' R' U' D2 F' L2 D
F' R' U' D2 F' L2 D'
F' R' U' D2 F' L2 D2
F' R' U' F' L D2 L2
F' R' U' F' L' D2 L2
F' R' U' F' L2 D2 L2
F' R' U' F' U2 R2 U2
F' R' U' F' D2 L2 D
F' R' U' F' D2 L2 D'
F' R' U' F' D2 L2 D2
F' R' U' F2 D2 F L2
F R' U' L' D F' R2
F R' U' D L' F' R2
F' R' U2 D' F2 U F
F' R' D L B2 U' F'
F' R' D L' B2 U' F'
F' R' D L2 B2 U' F'
F' R' D U' F' D L2
F2 R' D F U' F2 L'
F' R' D B2 L U' F'
F' R' D B2 L' U' F'
F' R' D B2 L2 U' F'
F' R' D B2 U' D F'
F' R' D B2 U' D' F'
F' R' D B2 U' D2 F'
F' R' D B2 U' F' D
F' R' D B2 U' F' D'
F' R' D B2 U' F' D2
F' R' D B2 D U' F'
F' R' D B2 D' U' F'
F' R' D B2 D2 U' F'
F R' D U' L' F' R2
D R' D B U' F' R'
F' R' D' U2 F2 U F
F2 R' D' F U' F2 L'
F' R' D2 L U' L F'
F' R' D2 L U' F' L
F' R' D2 L' U' L' F'
D R' D' B U' F' R
F' R' D2 U' L F' L
F' R' D2 U' L2 D F'
F' R' D2 U' L2 D' F'
F' R' D2 U' L2 D2 F'
F' R' D2 U' L2 F' D
F' R' D2 U' L2 F' D'
F' R' D2 U' L2 F' D2
F' R' D2 U' F L2 F2
F' R' D2 U' F' L2 D
F' R' D2 U' F' L2 D'
F' R' D2 U' F' L2 D2
F' R' D2 B U' L2 F'
F' R' D2 B U' F' L2
F' R' D2 B' U' L2 F'
F' R' D2 B' U' F' L2
F2 R' D2 F U' F2 L'
F' R' D2 B2 U' L2 F'
F' R' D2 B2 U' F' L2
F2 R' F L U' F2 L'
F2 R' F L' U' F2 L'
F2 R' F L2 U' F2 L'
F2 R' F U R U2 F2
F2 R' F U' L F2 L'
F2 R' F U' L' F2 L'
F2 R' F U' L2 F2 L'
F2 R' F U' F2 L' D
F2 R' F U' F2 L' D'
F2 R' F U' F2 L' D2
F2 R' F U' F2 D L'
F2 R' F U' F2 D' L'
F2 R' F U' F2 D2 L'
F2 R' F B U' F2 L'
F2 R' F B' U' F2 L'
F2 R' F B2 U' F2 L'
F R' F2 U R U2 F
F R' F2 U' F2 L' F'
F' R' B U R2 B U2
F' R' B U' D2 L2 F'
F' R' B U' D2 F' L2
F' R' B U' F' D2 L2
F' R' B D B2 U' F'
F' R' B D2 U' L2 F'
F' R' B D2 U' F' L2
D R' B U' D' F' R
F2 R' B F U' F2 L'
D R' B D' U' F' R
F' R' B' U R2 B U2
F' R' B' U' D2 L2 F'
F' R' B' U' D2 F' L2
F' R' B' U' F' D2 L2
F' R' B' D B2 U' F'
F' R' B' D2 U' L2 F'
F' R' B' D2 U' F' L2
F2 R' B' F U' F2 L'
F' R' B2 U R2 B U2
F' R' B2 U' D2 L2 F'
F' R' B2 U' D2 F' L2
F' R' B2 U' F' D2 L2
F' R' B2 D B2 U' F'
F' R' B2 D2 U' L2 F'
F' R' B2 D2 U' F' L2
F2 R' B2 F U' F2 L'
F' R2 B2 R U' L F'
F' R2 B2 R U' F' L
L' D F' R' B U' F'
L2 D F' R' B U' F'
L D F' R' B U' F'
U' D F' R' B L U'
R' D' L B' U' F' R
D U F' L' R' B U'
D U F' R' L' B U'
D U F' R' B L' U'
U D F' L' R' B U'
U D F' R' L' B U'
U D F' R' B L' U'
R' D' L2 U' F' L' R
R' D' L2 U' F' R L'
D U' F' R' B L U'
D F R' F2 B U' F
D F R' B F2 U' F
F' D R' U R2 B U2
F' D R' U' D2 L2 F'
F' D R' U' D2 F' L2
F' D R' U' F' D2 L2
F' D R' D B2 U' F'
F' D R' D2 U' L2 F'
F' D R' D2 U' F' L2
F2 D R' F U' F2 L'
F D R' U' L' F' R'
D' F' L R' B' U' F'
D F' L R' B U' F'
D' F' L2 R' U' F' L'
D F' L' R' B U' F'
U F' L' R' U R2 U2
U F' L' R' U' D2 L2
U F' L' R' D B2 U'
U F' L' R' D2 U' L2
D F' L2 R' B U' F'
D' F' R' L B' U' F'
D' F' R' L2 U' F' L'
L' F' R' U R2 B U2
L' F' R' U' D2 L2 F'
L' F' R' U' D2 F' L2
L' F' R' U' F' D2 L2
L' F' R' D B2 U' F'
L' F' R' D2 U' L2 F'
L' F' R' D2 U' F' L2
D2 F' R' B' U' L F'
D2 F' R' B' U' F' L
L2 F' R' U R2 B U2
L2 F' R' U' D2 L2 F'
L2 F' R' U' D2 F' L2
L2 F' R' U' F' D2 L2
L2 F' R' D B2 U' F'
L2 F' R' D2 U' L2 F'
L2 F' R' D2 U' F' L2
D F' R' L B U' F'
D F' R' L' B U' F'
D F' R' L2 B U' F'
D F' R' D B U' F'
D F' R' D' B U' F'
U F' R' L' U R2 U2
U F' R' L' U' D2 L2
U F' R' L' D B2 U'
U F' R' L' D2 U' L2
D F' R' D2 B U' F'
L F' R' U R2 B U2
D F' R' B L U' F'
D F' R' B L' U' F'
D F' R' B L2 U' F'
D F' R' B U' D F'
D F' R' B U' D' F'
D F' R' B U' D2 F'
D F' R' B U' F' D
D F' R' B U' F' D'
D F' R' B U' F' D2
D F' R' B D U' F'
D F' R' B D' U' F'
D F' R' B D2 U' F'
L F' R' U' D2 L2 F'
L F' R' U' D2 F' L2
L F' R' U' F' D2 L2
U F' R' D L' B2 U'
U F' R' D B2 L' U'
U F' R' D2 L' U' L'
L F' R' D B2 U' F'
L F' R' D2 U' L2 F'
L F' R' D2 U' F' L2
D2 F' D' R' B U' F'
D' F' D2 R' B U' F'
F' D' R' U R2 B U2
F' D' R' U' D2 L2 F'
F' D' R' U' D2 F' L2
F' D' R' U' F' D2 L2
F' D' R' D B2 U' F'
F' D' R' D2 U' L2 F'
F' D' R' D2 U' F' L2
F2 D' R' F U' F2 L'
L' F2 R' F U' F2 L'
L2 F2 R' F U' F2 L'
D F2 R' F B U' F2
D F2 R' B F U' F2
L F2 R' F U' F2 L'
F' D2 R' U R2 B U2
F' D2 R' U' D2 L2 F'
F' D2 R' U' D2 F' L2
F' D2 R' U' F' D2 L2
F' D2 R' D B2 U' F'
F' D2 R' D2 U' L2 F'
F' D2 R' D2 U' F' L2
F2 D2 R' F U' F2 L'
