B' L R2 F2 U' L
B' L F2 R2 U' L
B' R2 L F2 U' L
L' D L' R2 F B2
L' D L' R2 B2 F
L' D L' F R2 B2
L' D L' F B2 R2
L' D L' B2 R2 F
L' D L' B2 F R2
L D L B2 R2 F'
L' D R2 L' F B2
L' D R2 L' B2 F
B' R2 F2 L U' L
L' D R2 B2 L' F
B R2 F2 L' U' L'
F2 R2 B' L U' L
L' D B2 L' R2 F
L' D B2 L' F R2
L' D B2 R2 L' F
R2 F2 B' L U' L
R2 B' L F2 U' L
F2 B' L R2 U' L
F2 B' R2 L U' L
R2 B' F2 L U' L
B' F2 L R2 U' L
B' F2 R2 L U' L
U' R2 B' F2 L U' L
L' D U R2 B2 L' F
L2 D R2 B2 L' F L
F2 R2 B' D' L B2 U'
U R2 B' L F2 U' L
L' D U B2 L' R2 F
L' D U B2 L' F R2
L' D U B2 R2 L' F
F2 R2 B2 L U' L F
U2 R2 B' F2 L U' L
L' D U' L' R2 F B2
L' D U' L' R2 B2 F
L' D U' L' F R2 B2
L' D U' L' F B2 R2
L' D U' L' B2 R2 F
L' D U' L' B2 F R2
B R2 B' F2 L' U' L'
L' D U' R2 L' F B2
L' D U' R2 L' B2 F
L' D U' R2 B2 L' F
L D U L B2 R2 F'
F2 R2 B2 U' L F L
D R2 B2 L D' L2 F
D R2 B2 L' D' F L2
F R2 B' F L U' L
L' D U' B2 L' R2 F
L' D U' B2 L' F R2
B' U L R2 F2 U' L
L' D U' B2 R2 L' F
U R2 B' F2 L U' L
L' D U2 L' R2 F B2
L' D U2 L' R2 B2 F
L' D U2 L' F R2 B2
L' D U2 L' F B2 R2
L' D U2 L' B2 R2 F
L' D U2 L' B2 F R2
L' D U2 R2 L' F B2
L' D U2 R2 L' B2 F
L' D U2 R2 B2 L' F
L D U' L B2 R2 F'
B R2 B2 F2 L' U' L'
B' U L F2 R2 U' L
L' D U2 B2 L' R2 F
L' D U2 B2 L' F R2
L' D U2 B2 R2 L' F
L D U2 L B2 R2 F'
L D F L B2 R2 F'
L D F' L B2 R2 F'
L' D B L' F B R2
L' D B L' B R2 F
L' D B L' B F R2
L D F2 L B2 R2 F'
R D F2 L' U R2 F
R D F2 L' U F R2
B' U R2 L F2 U' L
L' D B' R2 B' L' F
B' U R2 F2 L U' L
L' D B2 L' R' F R'
L' D B2 L' R2 D F
L' D B2 L' R2 D' F
L' D B2 L' R2 D2 F
L' D B2 L' R2 F D
L' D B2 L' R2 F D'
L' D B2 L' R2 F D2
L' D B2 L' F R2 D
L' D B2 L' F R2 D'
L' D B2 L' F R2 D2
L' D B2 L' F' R2 F2
L' D B2 R' L' F R'
L' D B2 R2 L' D F
L' D B2 R2 L' D' F
L' D B2 R2 L' D2 F
L' D B2 R2 L' F D
L' D B2 R2 L' F D'
L' D B2 R2 L' F D2
B U R2 F2 L' U' L'
L2 D B2 L' R2 F L
L2 D B2 L' F L R2
L2 D B2 L' F R2 L
L2 D B2 R D2 R F'
L2 D B2 R2 L' F L
L D B2 R2 F2 L' F
B' U F2 L R2 U' L
B' U F2 R2 L U' L
L D' L2 F2 R U2 F'
L2 D' R D2 F' R2 B2
L2 D' R D2 F' B2 R2
L2 D' R D2 B2 F' R2
L2 D' R F' D2 R2 B
L2 D' R' D2 R2 F' B2
L2 D' R' D2 R2 B2 F'
B' U' L R2 F2 U' L
B' U' L F2 R2 U' L
F2 U' L' D L' F B2
F2 U' L' D L' B2 F
F2 U' L' D B2 L' F
L' D' F2 L2 R U2 F'
L' D' F2 R L2 U2 F'
B' U' R2 L F2 U' L
B' U' R2 F2 L U' L
B U' R2 F2 L' U' L'
B' U' F2 L R2 U' L
B' U' F2 R2 L U' L
B' U2 L R2 F2 U' L
B' U2 L F2 R2 U' L
B' U2 R2 L F2 U' L
B' U2 R2 F2 L U' L
B U2 R2 F2 L' U' L'
B' U2 F2 L R2 U' L
B' U2 F2 R2 L U' L
B D R' F2 U R' B2
B D F2 R' U R' B2
B D F2 R' U R' B2
R2 F' B' L F' U' L
D F2 L U B2 R2 F'
R2 F2 L' U' D L' F
R2 F2 L' D U' L' F
D F2 L' U R2 F B2
D F2 L' U R2 B2 F
D F2 L' U F R2 B2
D F2 L' U F B2 R2
D F2 L' U B2 R2 F
D F2 L' U B2 F R2
R2 F2 L' B' L U' L2
R2 F2 L2 B' L U' L'
R' F2 R' B' L U' L
U' F2 R2 B' L U' L
L' F2 R2 B2 U' L F
U2 F2 R2 B' L U' L
L2 F2 R2 B' L U' L'
U F2 R2 B' L U' L
R2 F2 U' L' D L' F
B D2 L2 R' B2 U L
U' F2 B' L R2 U' L
U' F2 B' R2 L U' L
B D2 R' L2 B2 U L
U2 F2 B' L R2 U' L
L2 F2 B' L R2 U' L'
R2 F2 B U2 R' U L2
B D2 R' B2 L2 U L'
U2 F2 B' R2 L U' L
L2 F2 B' R2 L U' L'
R2 F2 B D' B2 L U'
R2 F2 B' L U' L D
R2 F2 B' L U' L D'
R2 F2 B' L U' L D2
R2 F2 B' L U' D L
R2 F2 B' L U' D' L
R2 F2 B' L U' D2 L
R2 F2 B' L D U' L
R2 F2 B' L D' U' L
R2 F2 B' L D2 U' L
R2 F2 B' D' L B2 U'
U F2 B' L R2 U' L
R2 F2 B2 L U' L F
U F2 B' R2 L U' L
R2 F2 B2 U' L F L
U' B R2 F2 L' U' L'
U2 B R2 F2 L' U' L'
L2 B R2 F2 L' U' L
L2 B U R2 F2 L' U'
U B R2 F2 L' U' L'
B' F R2 F L U' L
F2 B R2 U2 R U L2
U' B' L R2 F2 U' L
L' B' L R2 F2 U' L2
U' B' L F2 R2 U' L
L' B' L F2 R2 U' L2
U2 B' L R2 F2 U' L
R2 B F2 U2 R' U L2
R2 B F2 D' B2 L U'
L' B' L' D R2 F2 B2
L' B' L' D R2 B2 F2
R2 B' L U' L D R2
U2 B' L F2 R2 U' L
L' B' L' D F2 R2 B2
L' B' L' D F2 B2 R2
R2 B' L U' D L R2
R2 B' L U' D R2 L
L' B' L' D B2 R2 F2
L' B' L' D B2 F2 R2
R2 B' L D U' L R2
R2 B' L D U' R2 L
R2 B' L F2 U' L D
R2 B' L F2 U' L D'
R2 B' L F2 U' L D2
R2 B' L F2 U' D L
R2 B' L F2 U' D' L
R2 B' L F2 U' D2 L
R2 B' L F2 D U' L
R2 B' L F2 D' U' L
R2 B' L F2 D2 U' L
U B' L R2 F2 U' L
R B' L R F2 U' L
U B' L F2 R2 U' L
U' B' R2 L F2 U' L
L' B' R2 L F2 U' L2
U' B' R2 F2 L U' L
B' F' L F' R2 U' L
F2 B' L R2 U' L D
F2 B' L R2 U' L D'
F2 B' L R2 U' L D2
F2 B' L R2 U' D L
F2 B' L R2 U' D' L
F2 B' L R2 U' D2 L
F2 B' L R2 D U' L
F2 B' L R2 D' U' L
R B' R L F2 U' L
F2 B' L R2 D2 U' L
F2 B' L U' L D B2
F2 B' L U' D L B2
U2 B' R2 L F2 U' L
F' B' L F' R2 U' L
F2 B' L D U' L B2
R B' R F2 L U' L
L2 B' R2 F2 L U' L'
U2 B' R2 F2 L U' L
L2 B' U L R2 F2 U'
L2 B' U L F2 R2 U'
L2 B' U R2 L F2 U'
L2 B' U R2 F2 L U'
U B' R2 L F2 U' L
L2 B' U F2 L R2 U'
L2 B' U F2 R2 L U'
U B' R2 F2 L U' L
F2 B' R2 L U' L D
F2 B' R2 L U' L D'
F2 B' R2 L U' L D2
F2 B' R2 L U' D L
F2 B' R2 L U' D' L
F2 B' R2 L U' D2 L
F2 B' R2 L D U' L
F2 B' R2 L D' U' L
F2 B' R2 L D2 U' L
F2 B' R2 D' L B2 U'
R2 B' D' L B2 U' R'
F B' R2 F L U' L
U' B' F2 L R2 U' L
U' B' F2 R2 L U' L
R2 B' F' L F' U' L
L2 B' F2 L R2 U' L'
U2 B' F2 L R2 U' L
L2 B' F2 R2 L U' L'
U2 B' F2 R2 L U' L
R2 B' F2 L U' L D
R2 B' F2 L U' L D'
R2 B' F2 L U' L D2
R2 B' F2 L U' D L
R2 B' F2 L U' D' L
R2 B' F2 L U' D2 L
R2 B' F2 L D U' L
R2 B' F2 L D' U' L
R2 B' F2 L D2 U' L
R2 B' F2 D' L B2 U'
U B' F2 L R2 U' L
D B2 L R2 D' L2 F
U B' F2 R2 L U' L
R2 B2 L F2 U' L F
B' F2 L R2 U' L D
B' F2 L R2 U' L D'
B' F2 L R2 U' L D2
B' F2 L R2 U' D L
B' F2 L R2 U' D' L
B' F2 L R2 U' D2 L
B' F2 L R2 D U' L
B' F2 L R2 D' U' L
B' F2 L R2 D2 U' L
B' F2 L U' L D B2
B' F2 L U' D L B2
D B2 L' R2 D' F L2
B' F2 L D U' L B2
B2 F2 L R2 U' L F
F2 B2 L R2 U' L F
D B2 R2 L D' L2 F
D B2 R2 L' D' F L2
B' F2 R2 L U' L D
B' F2 R2 L U' L D'
B' F2 R2 L U' L D2
B' F2 R2 L U' D L
B' F2 R2 L U' D' L
B' F2 R2 L U' D2 L
B' F2 R2 L D U' L
B' F2 R2 L D' U' L
B' F2 R2 L D2 U' L
B' F2 R2 D' L B2 U'
B2 F2 R2 L U' L F
F2 B2 R2 L U' L F
B2 F2 R2 U' L F L
F2 B2 R2 U' L F L
B2 F2 R2 B L U' L
F2 B2 R2 B L U' L
B F2 R2 U2 R U L2
R2 B2 F2 L U' L F
R2 B2 F2 U' L F L
