U R U B' R'
U2 B' R' D' F2
U R U R B' R'
U R U R' B' R'
U R U R2 B' R'
U R U D B' R'
U R U D' B' R'
U R U D2 B' R'
U R U B' R' D
U R U B' R' D'
U R U B' R' D2
U R U B' D R'
U R U B' D' R'
U R U B' D2 R'
U R D U B' R'
U R D' U B' R'
U R D2 U B' R'
U2 R' D' F2 B' R'
U2 R' D' B' R' F2
U2 R' D' B' F2 R'
U2 R' B' D' R' F2
U2 R' B' D' F2 R'
D2 U R U B' R'
D' U R U B' R'
U D R U B' R'
D U R U B' R'
U2 D B' R' D' F2
U D' R U B' R'
U2 D' B' R' D' F2
U D2 R U B' R'
D' U2 B' R' D' F2
U2 D2 B' R' D' F2
D2 U2 B' R' D' F2
D U2 B' R' D' F2
F U2 D R F' B'
F U2 D R B' F'
F U2 D B' R F'
F U2 B' D R F'
L2 F U2 D R F'
L2 F D U2 R F'
F D U2 R F' B'
F D U2 R B' F'
F D U2 B' R F'
U' F' U' B' R' F'
U2 B' R' U' R2 U
U2 B' R' D' F2 D
U2 B' R' D' F2 D'
U2 B' R' D' F2 D2
U2 B' R' F D' F2
U2 B' R' F' D' F2
U2 B' R' F2 D' F2
U2 B' U' R U R2
U2 B' D R' D' F2
U2 B' D' R' D' F2
U2 B' D2 R' D' F2
U R U D2 R B' R'
U R U D2 R' B' R'
U R U D2 R2 B' R'
U R U D2 B' R' D
U R U D2 B' R' D'
U R U D2 B' R' D2
U R U D2 B' D R'
U R U D2 B' D' R'
U R U D2 B' D2 R'
U R U F' B' R' F
U R U F2 B' R' F2
U R U B R B2 R'
U R U B R' B2 R'
U R U B R2 B2 R'
U R U B' R2 D R
U R U B' R2 D' R
U R U B' R2 D2 R
U R U B' D R' D
U R U B' D R' D'
U R U B' D R' D2
U R U B' D' R' D
U R U B' D' R' D'
U R U B' D' R' D2
U R U B' D2 R' D
U R U B' D2 R' D'
U R U B' D2 R' D2
U R U B' F' R' F
U R U B' F2 R' F2
U' R U' B' D' R2 F'
U R U' L2 F U2 R
U R U' F U2 R B'
U R U' F U2 B' R
U R U2 R' F' U' B'
U R U2 F U' B' R'
U R U2 F' U' B' R'
U R U2 F2 U' B' R'
U R D U R B' R'
U R D U R' B' R'
U R D U R2 B' R'
U R D U B' R' D
U R D U B' R' D'
U R D U B' R' D2
U R D U B' D R'
U R D U B' D' R'
U R D U B' D2 R'
U R D' U R B' R'
U R D' U R' B' R'
U R D' U R2 B' R'
U R D' U B' R' D
U R D' U B' R' D'
U R D' U B' R' D2
U R D' U B' D R'
U R D' U B' D' R'
U R D' U B' D2 R'
U R D2 U R B' R'
U R D2 U R' B' R'
U R D2 U R2 B' R'
U R D2 U B' R' D
U R D2 U B' R' D'
U R D2 U B' R' D2
U R D2 U B' D R'
U R D2 U B' D' R'
U R D2 U B' D2 R'
B R F U B2 L R
B R F U B2 R L
U' R B L2 F U B2
R U' R' U' F' U' B'
U' R B U2 B' U' B'
U' R B D L2 F U
U R B L' B' U B'
U R B U B' R' B'
U2 R B' R' U' R U
U2 R B' R2 D' R F2
U R B' L' B' U B
U R B2 L' B' U B2
U R B2 U B' R' B2
U R' U D' F2 B' R'
U R' U D' B' R' F2
U R' U D' B' F2 R'
U2 R' U' R2 U B' R'
U R' U B' D' R' F2
U R' U B' D' F2 R'
U' R' U2 R2 B U B2
U2 R' D' R F2 B' R'
B' R' D' F R F L'
U2 R' D' R B' R' F2
U2 R' D' R B' F2 R'
U2 R' D' R' F2 B' R'
U2 R' D' R' B' R' F2
U2 R' D' R' B' F2 R'
U' R' D' F' U' F' B'
U' R' D' F' U' B' F'
U2 R' D' R2 F2 B' R'
U2 R' D' R2 B' R' F2
U2 R' D' R2 B' F2 R'
U2 R' D' F B' R' F
U2 R' D' F2 R B' R'
U2 R' D' F2 R' B' R'
U2 R' D' F2 R2 B' R'
U2 R' D' F2 D B' R'
U2 R' D' F2 D' B' R'
U2 R' D' F2 D2 B' R'
U2 R' D' F2 B' R' D
U2 R' D' F2 B' R' D'
U2 R' D' F2 B' R' D2
U2 R' D' F2 B' D R'
U2 R' D' F2 B' D' R'
U2 R' D' F2 B' D2 R'
U2 R' D' B' R F2 R2
U2 R' D' B' R' F2 D
U2 R' D' B' R' F2 D'
U2 R' D' B' R' F2 D2
U2 R' D' B' F R' F
U2 R' D' B' F2 R' D
U2 R' D' B' F2 R' D'
U2 R' D' B' F2 R' D2
U2 R' D' B' F2 D R'
U2 R' D' B' F2 D' R'
U2 R' D' B' F2 D2 R'
U R' D' U F2 B' R'
U R' D' U B' R' F2
U R' D' U B' F2 R'
U2 R' D2 B' R' D F2
U2 R' D2 B' D R' F2
U2 R' D2 B' D F2 R'
U2 R' F D' F2 B' R'
U2 R' F D' B' R' F2
U2 R' F D' B' F2 R'
U2 R' F B' D' R' F2
U2 R' F B' D' F2 R'
U' R' F' U' D' F2 B'
U' R' F' U' D' B' F2
U' R' F' U' B' D' F2
U' R' F' U2 R2 U B'
U' R' F' D' U' F2 B'
U' R' F' D' U' B' F2
U2 R' F' D' F2 B' R'
U2 R' F' D' B' R' F2
U2 R' F' D' B' F2 R'
U2 R' F' B' D' R' F2
U2 R' F' B' D' F2 R'
U2 R' F2 D' F2 B' R'
U2 R' F2 D' B' R' F2
U2 R' F2 D' B' F2 R'
U2 R' F2 B' D' R' F2
U2 R' F2 B' D' F2 R'
U2 R' B' R' U' R' U
U2 R' B' U' R2 U R
U2 R' B' D R' D2 F2
U2 R' B' D' R F2 R2
U2 R' B' D' R' F2 D
U2 R' B' D' R' F2 D'
U2 R' B' D' R' F2 D2
U2 R' B' D' F R' F
U2 R' B' D' F2 R' D
U2 R' B' D' F2 R' D'
U2 R' B' D' F2 R' D2
U2 R' B' D' F2 D R'
U2 R' B' D' F2 D' R'
U2 R' B' D' F2 D2 R'
U2 R' B' D2 R' D F2
U2 R' B' F D' R' F2
U2 R' B' F D' F2 R'
U2 R' B' F' D' R' F2
U2 R' B' F' D' F2 R'
U2 R' B' F2 D' R' F2
U2 R' B' F2 D' F2 R'
R' U2 D' F2 B' L' R'
R' U2 D' F2 B' R' L'
R' U2 D' B' F2 L' R'
R' U2 D' B' F2 R' L'
U2 R2 U' R' U B' R'
U' R2 U2 R' B U B2
R' U2 B' D' F2 L' R'
R' U2 B' D' F2 R' L'
U R2 D R' U B' R'
R U2 B2 U' L B R'
U R2 D' R' U B' R'
B' R2 F R D' F2 L'
U R2 D2 R' U B' R'
U2 R2 B' R2 D' R F'
U2 R2 B' D' R F' R2
B U L' R B' U B'
B2 U L' B' R U B2
L2 D F U2 D R F'
L2 D F D U2 R F'
B U L' B' R U B'
D' U R U R B' R'
D' U R U R' B' R'
D' U R U R2 B' R'
D' U R U D B' R'
D' U R U D' B' R'
D' U R U D2 B' R'
D' U R U B' R' D
D' U R U B' R' D'
D' U R U B' R' D2
D' U R U B' D R'
D' U R U B' D' R'
D' U R U B' D2 R'
D2 U R U R B' R'
D2 U R U R' B' R'
D2 U R U R2 B' R'
D2 U R U D B' R'
D2 U R U D' B' R'
D2 U R U D2 B' R'
D2 U R U B' R' D
D2 U R U B' R' D'
D2 U R U B' R' D2
D2 U R U B' D R'
D2 U R U B' D' R'
D2 U R U B' D2 R'
D' U R D U B' R'
B' U R U2 R' F' U'
D2 U R D U B' R'
D' U R D' U B' R'
D2 U R D' U B' R'
D' U R D2 U B' R'
B2 U R U B' R' B
D2 U R D2 U B' R'
B U R L' B' U B'
D U R U R B' R'
D U R U R' B' R'
D U R U R2 B' R'
D U R U D B' R'
D U R U D' B' R'
D U R U D2 B' R'
B U R U B' R' B'
D U R U B' R' D
D U R U B' R' D'
D U R U B' R' D2
D U R U B' D R'
D U R U B' D' R'
D U R U B' D2 R'
D U R D U B' R'
D U R D' U B' R'
D U R D2 U B' R'
U D R U R B' R'
U D R U R' B' R'
U D R U R2 B' R'
U D R U D B' R'
U D R U D' B' R'
U D R U D2 B' R'
U D R U B' R' D
U D R U B' R' D'
U D R U B' R' D2
U D R U B' D R'
U D R U B' D' R'
U D R U B' D2 R'
U D R D U B' R'
B U R B' U B' R'
U D R D' U B' R'
U D R D2 U B' R'
U2 D R' D' F2 B' R'
U2 D R' D' B' R' F2
U2 D R' D' B' F2 R'
U2 D R' B' D' R' F2
U2 D R' B' D' F2 R'
U' D F' U' B' R' F'
R' D' R U2 F2 B' R'
R' D' R U2 B' R' F2
R' D' R U2 B' F2 R'
U2 D B' R' U' R2 U
U2 D B' R' D' F2 D
U2 D B' R' D' F2 D'
U2 D B' R' D' F2 D2
U2 D B' R' F D' F2
U2 D B' R' F' D' F2
U2 D B' R' F2 D' F2
U2 D B' U' R U R2
U2 D B' D R' D' F2
U2 D B' D' R' D' F2
U2 D B' D2 R' D' F2
B U B' R U B' R'
B2 U B2 R U B' R'
R' D' U2 F2 B' L' R'
R' D' U2 F2 B' R' L'
R' D' U2 B' F2 L' R'
R' D' U2 B' F2 R' L'
R' D' F R F B' L'
R' D' F R B' F L'
R' D' F B' R F L'
U D' R U R B' R'
U D' R U R' B' R'
U D' R U R2 B' R'
U D' R U D B' R'
U D' R U D' B' R'
U D' R U D2 B' R'
U D' R U B' R' D
U D' R U B' R' D'
U D' R U B' R' D2
U D' R U B' D R'
U D' R U B' D' R'
U D' R U B' D2 R'
L2 D' F U2 D R F'
L2 D' F D U2 R F'
U D' R D U B' R'
U D' R D' U B' R'
U D' R D2 U B' R'
U2 D' R' D' F2 B' R'
U2 D' R' D' B' R' F2
U2 D' R' D' B' F2 R'
U2 D' R' B' D' R' F2
U2 D' R' B' D' F2 R'
B' U' R B U2 B' U'
D' U' F' U' B' R' F'
U' D' F' U' B' R' F'
D2 U' F' U' B' R' F'
R' D' B' F R F L'
D U' F' U' B' R' F'
U2 D' B' R' U' R2 U
U2 D' B' R' D' F2 D
U2 D' B' R' D' F2 D'
U2 D' B' R' D' F2 D2
U2 D' B' R' F D' F2
U2 D' B' R' F' D' F2
U2 D' B' R' F2 D' F2
U2 D' B' U' R U R2
U2 D' B' D R' D' F2
U2 D' B' D' R' D' F2
U2 D' B' D2 R' D' F2
D' U2 R' D' F2 B' R'
D' U2 R' D' B' R' F2
D' U2 R' D' B' F2 R'
D2 U2 R' D' F2 B' R'
D2 U2 R' D' B' R' F2
D2 U2 R' D' B' F2 R'
D' U2 R' B' D' R' F2
D' U2 R' B' D' F2 R'
U D2 R U R B' R'
U D2 R U R' B' R'
U D2 R U R2 B' R'
U D2 R U D B' R'
U D2 R U D' B' R'
U D2 R U D2 B' R'
U D2 R U B' R' D
U D2 R U B' R' D'
U D2 R U B' R' D2
U D2 R U B' D R'
U D2 R U B' D' R'
U D2 R U B' D2 R'
D2 U2 R' B' D' R' F2
D2 U2 R' B' D' F2 R'
U D2 R D U B' R'
U D2 R D' U B' R'
U D2 R D2 U B' R'
U2 D2 R' D' F2 B' R'
U2 D2 R' D' B' R' F2
U2 D2 R' D' B' F2 R'
U2 D2 R' B' D' R' F2
U2 D2 R' B' D' F2 R'
D U2 R' D' F2 B' R'
D U2 R' D' B' R' F2
D U2 R' D' B' F2 R'
D U2 R' B' D' R' F2
D U2 R' B' D' F2 R'
L2 D2 F U2 D R F'
L2 D2 F D U2 R F'
U' D2 F' U' B' R' F'
D' U2 B' R' U' R2 U
D' U2 B' R' D' F2 D
D' U2 B' R' D' F2 D'
D' U2 B' R' D' F2 D2
D' U2 B' R' F D' F2
D' U2 B' R' F' D' F2
D' U2 B' R' F2 D' F2
D2 U2 B' R' U' R2 U
D2 U2 B' R' D' F2 D
D2 U2 B' R' D' F2 D'
D2 U2 B' R' D' F2 D2
D2 U2 B' R' F D' F2
D2 U2 B' R' F' D' F2
D2 U2 B' R' F2 D' F2
D' U2 B' U' R U R2
D2 U2 B' U' R U R2
D' U2 B' D R' D' F2
D' U2 B' D' R' D' F2
D2 U2 B' D R' D' F2
D' U2 B' D2 R' D' F2
D2 U2 B' D' R' D' F2
D2 U2 B' D2 R' D' F2
U2 D2 B' R' U' R2 U
U2 D2 B' R' D' F2 D
U2 D2 B' R' D' F2 D'
U2 D2 B' R' D' F2 D2
U2 D2 B' R' F D' F2
U2 D2 B' R' F' D' F2
U2 D2 B' R' F2 D' F2
U2 D2 B' U' R U R2
U2 D2 B' D R' D' F2
U2 D2 B' D' R' D' F2
U2 D2 B' D2 R' D' F2
D U2 B' R' U' R2 U
D U2 B' R' D' F2 D
D U2 B' R' D' F2 D'
D U2 B' R' D' F2 D2
D U2 B' R' F D' F2
D U2 B' R' F' D' F2
D U2 B' R' F2 D' F2
D U2 B' U' R U R2
D U2 B' D R' D' F2
D U2 B' D' R' D' F2
D U2 B' D2 R' D' F2
F U2 D R D F' B'
F U2 D R D B' F'
F U2 D R D' F' B'
F U2 D R D' B' F'
F U2 D R D2 F' B'
F U2 D R D2 B' F'
F U2 D R F' D B'
F U2 D R F' D' B'
F U2 D R F' D2 B'
F U2 D R F' B' D
F U2 D R F' B' D'
F U2 D R F' B' D2
F U2 D R B' D F'
F U2 D R B' D' F'
F U2 D R B' D2 F'
F U2 D R B' F' D
F U2 D R B' F' D'
F U2 D R B' F' D2
L2 F L U2 D R F'
L2 F L D U2 R F'
F U2 D B R F' B2
F U2 D B R B2 F'
F U2 D B' R D F'
F U2 D B' R D' F'
F U2 D B' R D2 F'
F U2 D B' R F' D
F U2 D B' R F' D'
F U2 D B' R F' D2
L2 F L' U2 D R F'
L2 F L' D U2 R F'
F U2 D' B' D2 R F'
L2 F L2 U2 D R F'
L2 F L2 D U2 R F'
F2 U2 F' D R F' B'
F2 U2 F' D R B' F'
F2 U2 F' D B' R F'
F2 U2 F' B' D R F'
R2 F R D' F2 B' L'
R2 F R D' B' F2 L'
F' U2 F2 B' R D' F2
R2 F R B' D' F2 L'
F' U2 B' R D' F2 R
B2 U2 B' R' B2 D' F2
F' U2 B' F2 R D' F2
F2 U2 B' F' D R F'
B U2 B' R' D' F2 B'
B U2 B' R' D' B' F2
B U2 B' R' B' D' F2
F U2 B' D R D F'
F U2 B' D R D' F'
F U2 B' D R D2 F'
F U2 B' D R F' D
F U2 B' D R F' D'
F U2 B' D R F' D2
R F U R D2 B' L2
R F U R B' D2 L2
D' F U2 D R F' B'
D' F U2 D R B' F'
D' F U2 D B' R F'
D2 F U2 D R F' B'
D2 F U2 D R B' F'
D2 F U2 D B' R F'
F U2 B2 D B R F'
D' F U2 B' D R F'
D2 F U2 B' D R F'
R F U B2 L B R
L2 F U2 D R D F'
L2 F U2 D R D' F'
L2 F U2 D R D2 F'
L2 F U2 D R F' D
L2 F U2 D R F' D'
L2 F U2 D R F' D2
R F U' R' U2 R2 B'
R F U' R' U2 B' R2
F D L U2 R F' B
F D L U2 R B F'
D' F D U2 R F' B'
D' F D U2 R B' F'
D' F D U2 B' R F'
D2 F D U2 R F' B'
D2 F D U2 R B' F'
D2 F D U2 B' R F'
L2 F D L U2 R F'
D F U2 D R F' B'
D F U2 D R B' F'
D F U2 D B' R F'
L2 F D L' U2 R F'
L2 F D L2 U2 R F'
U2 F D R F' B' R'
U2 F D R B' F' R'
U2 F D R2 B' R' F'
D F U2 B' D R F'
L2 F D U2 R D F'
L2 F D U2 R D' F'
L2 F D U2 R D2 F'
L2 F D U2 R F' D
L2 F D U2 R F' D'
L2 F D U2 R F' D2
L F U2 D R F' B
L F U2 D R B F'
L2 F D B U2 R F'
U2 F D B' R F' R2
L2 F D B' U2 R F'
L2 F D B2 U2 R F'
L2 F D' L B' U2 R
L2 F D' L' U2 R F
D F D U2 R F' B'
D F D U2 R B' F'
D F D U2 B' R F'
L F D U2 R F' B
L F D U2 R B F'
F D R F' B2 L B
F D R B2 L F' B
F D R B2 L B F'
F D R B2 F' L B
L2 F B U2 D R F'
L2 F B D U2 R F'
U2 F B' R2 D R F'
L2 F B' U2 D R F'
U2 F B' D R F' R2
L2 F B' D U2 R F'
L2 F B2 U2 D R F'
L2 F B2 D U2 R F'
R F B2 U L B R
L' F' L' F U R U
F D U2 R D F' B'
F D U2 R D B' F'
F D U2 R D' F' B'
F D U2 R D' B' F'
F D U2 R D2 F' B'
F D U2 R D2 B' F'
F D U2 R F' D B'
F D U2 R F' D' B'
F D U2 R F' D2 B'
F D U2 R F' B' D
F D U2 R F' B' D'
F D U2 R F' B' D2
F D U2 R B' D F'
F D U2 R B' D' F'
F D U2 R B' D2 F'
F D U2 R B' F' D
F D U2 R B' F' D'
F D U2 R B' F' D2
F D U2 B R F' B2
F D U2 B R B2 F'
F D U2 B' R D F'
F D U2 B' R D' F'
F D U2 B' R D2 F'
F D U2 B' R F' D
F D U2 B' R F' D'
F D U2 B' R F' D2
F D B R F' B2 L
F D B R B2 L F'
F D B R B2 F' L
F D B U2 R F' B2
F D B U2 R B2 F'
F D B U2 B2 R F'
U' F' U' R' F' B' R'
U' F' U' R' B' F' R'
U' F' U' D B' R' F'
U' F' U' D' B' R' F'
U' F' U' D2 B' R' F'
U' F' U' F B' R' F'
U' F' U' F' B' R' F'
U' F' U' F2 B' R' F'
U' F' U' B' R' D F'
U' F' U' B' R' D' F'
U' F' U' B' R' D2 F'
U' F' U' B' R' F' D
U' F' U' B' R' F' D'
U' F' U' B' R' F' D2
U' F' U' B' D R' F'
U' F' U' B' D' R' F'
U' F' U' B' D2 R' F'
U' F' U' B' F R' F'
U' F' U' B' F' R' F'
U' F' U' B' F2 R' F'
F D B2 U2 B R F'
U' F' D U' B' R' F'
F D' L B' U2 R B
U' F' D' U' B' R' F'
U' F' D2 U' B' R' F'
F D' U2 B' D2 R F'
U2 F2 B' R' U L' U'
U2 F2 B' U L' U' R'
U B L' R B' U B'
U B L' B' R U B'
U B R L' B' U B'
U B R U B' R' B'
U2 B R' B2 D' R' F2
U2 B R' B2 D' F2 R'
U B R B' U B' R'
U2 B U' R U B2 R'
L2 B F U2 D R F'
L2 B F D U2 R F'
U2 B' L R' D' L' F2
B2 F U2 D B R F'
U2 B' L' R' D' L F2
U2 B' L' R' D' F2 L
B2 F U2 B D R F'
B2 F D U2 B R F'
U B' L' R B' U B
B F U2 B2 D R F'
F B U2 B2 D R F'
U2 B' R F R2 D' F2
U2 B' R F' R2 D' F2
U2 B' R F2 R2 D' F2
U2 B' R' L D' L' F2
U2 B' R' L' D' L F2
U2 B' R' L' D' F2 L
U2 B' R' U D2 L2 U'
U2 B' R' U' R2 U D
U2 B' R' U' R2 U D'
U2 B' R' U' R2 U D2
U2 B' R' U' R2 D U
U2 B' R' U' R2 D' U
U2 B' R' U' R2 D2 U
U2 B' R' U2 D B2 U2
U2 B' R' D U2 B2 U2
U2 B' R' D F D2 F2
U2 B' R' D F' D2 F2
U2 B' R' D F2 D2 F2
U B' R L' B' U B
U2 B' R' D' L' F2 L
U2 B' R' D' L2 F2 L2
U2 B' R' D' R F2 R'
U2 B' R' D' R2 F2 R2
U2 B' R' D' F D F
U2 B' R' D' F D' F
U2 B' R' D' F D2 F
U2 B' R' D' F' D F'
U2 B' R' D' F' D' F'
U2 B' R' D' F' D2 F'
U2 B' R' D2 U L2 U'
U2 B' R' D2 F D F2
U2 B' R' D2 F' D F2
U2 B' R' D2 F2 D F2
U2 B' R' F U' R2 U
U2 B' R' F D' F2 D
U2 B' R' F D' F2 D'
U2 B' R' F D' F2 D2
U2 B' R' F' U' R2 U
U2 B' R' F' D' F2 D
U2 B' R' F' D' F2 D'
U2 B' R' F' D' F2 D2
U2 B' R' F2 U' R2 U
U2 B' R' F2 D' F2 D
U2 B' R' F2 D' F2 D'
U2 B' R' F2 D' F2 D2
U2 B' R' B D' F2 B'
U2 B' R' B D' B' F2
U2 B' R' B' D' F2 B
U2 B' R' B' D' B F2
U B' R B U B' R'
U2 B' R2 U' R' U R2
U2 B' R2 D R D' F2
U2 B' R2 D' R D' F2
U2 B' R2 D2 R D' F2
U2 B' U F' U' R' F'
U2 B' U F2 L' U' R'
U2 B' U' R U R2 D
U2 B' U' R U R2 D'
U2 B' U' R U R2 D2
U2 B' U' R D B2 U
U2 B' U' R B U R2
U2 B' U' R B' U R2
U2 B' U' R B2 U R2
U2 B' U' D R U R2
U2 B' U' D' R U R2
U2 B' U' D2 R U R2
U2 B' D R' U' R2 U
U2 B' D R' D' F2 D
U2 B' D R' D' F2 D'
U2 B' D R' D' F2 D2
U2 B' D R' F D' F2
U2 B' D R' F' D' F2
U2 B' D R' F2 D' F2
U2 B' D U' R U R2
R' B' D' F R F L'
U2 B' D' R' U' R2 U
U2 B' D' R' D' F2 D
U2 B' D' R' D' F2 D'
U2 B' D' R' D' F2 D2
U2 B' D' R' F D' F2
U2 B' D' R' F' D' F2
U2 B' D' R' F2 D' F2
U2 B' D' U' R U R2
U2 B' D2 R' U' R2 U
U2 B' D2 R' D' F2 D
U2 B' D2 R' D' F2 D'
U2 B' D2 R' D' F2 D2
U2 B' D2 R' F D' F2
U2 B' D2 R' F' D' F2
U2 B' D2 R' F2 D' F2
U2 B' D2 U' R U R2
U2 B' F R2 D R F'
L2 B' F U2 D R F'
L2 B' F D U2 R F'
U2 B' F D R F' R2
U2 B' F2 R' U L' U'
U2 B' F2 U L' U' R'
U B2 L' B' R U B2
U B2 R U B' R' B
F B2 U2 D B R F'
L2 B2 F U2 D R F'
F B2 U2 B D R F'
L2 B2 F D U2 R F'
F B2 D U2 B R F'
R B2 F U L B R
