F2 R B L B' U
F2 B L R B' U
F2 B L R B' U
F2 B L B' R U
F2 B R L B' U
B F2 L R B' U
B F2 L B' R U
B F2 R L B' U
F2 R B L D B' U
F2 R B L D' B' U
F2 R B L D2 B' U
F2 R B L B' U D
F2 R B L B' U D'
F2 R B L B' U D2
F2 R B L B' D U
F2 R B L B' D' U
F2 R B L B' D2 U
F2 R B2 L B' L U
B' R' L' D' F U' L2
B' R' L' D2 F B2 U'
B' R' L' D2 B2 F U'
B' R' L' F U2 F U
B R' F2 L R B' U
B R' F2 L B' R U
B R' F2 R L B' U
F2 R' B L R2 B' U
F2 R' B L B' R2 U
F2 R' B R2 L B' U
L' U2 F2 U2 F' R U'
F2 R2 D2 R' B L U
B R2 F2 L R B' U
B R2 F2 L B' R U
B R2 F2 R L B' U
F2 R2 B L B' R' U
B U F2 L R B' U
B U F2 L B' R U
B U F2 R L B' U
L' D' F U' L' B' L'
L' D' F B' R' U' L2
L' D' B' R' F U' L2
L' D' B' F R' U' L2
B U' F2 L R B' U
B U' F2 L B' R U
B U' F2 R L B' U
L' D2 F B' R' B' U'
L' D2 B' R' F B' U'
L' D2 B' R' B' F U'
L' D2 B' F R' B' U'
L' F L2 B' L2 R' U'
L' F L2 B' R' L2 U'
L F L2 F B' R' U'
L F L2 B' R' F U'
L F L2 B' F R' U'
B U2 F2 L R B' U
B U2 F2 L B' R U
B U2 F2 R L B' U
L' F U2 F U2 R U'
L' F U2 F' L' F2 U
L' F B U2 F L U
L' F B' R' U2 F U
F' D F' U R F' B
F' D F' U R B F'
F2 D' R U R B R'
F2 D' R B L U R'
U F2 L R B' U B2
U F2 L B' R U B
R' F2 R B L B' U
R2 F2 R B L B' U
U F2 R L B' U B2
F2 D' B L R U R2
U F2 R U D' B R'
F2 D' B R L U R2
U F2 R D' U B R'
R F2 R B L B' U
L F2 U2 L2 F R U'
R' F2 B L R B' U
R' F2 B L B' R U
R' F2 B R L B' U
U F2 D' R U B R'
F2 D2 R' B L R2 U
F2 D2 R' B R2 L U
R2 F2 B L R B' U
R2 F2 B L B' R U
R2 F2 B R L B' U
L F2 B L B2 R' U
R F2 B L R B' U
R F2 B L B' R U
R F2 B R L B' U
L F2 B' U2 L2 R' U'
L F2 B' U2 R' L2 U'
L B L F2 B2 R' U
L B L B2 R' F2 U
L B L B2 F2 R' U
F2 B L R D B' U
F2 B L R D' B' U
F2 B L R D2 B' U
F2 B L R B' U D
F2 B L R B' U D'
F2 B L R B' U D2
F2 B L R B' D U
F2 B L R B' D' U
F2 B L R B' D2 U
F2 B L R' B' R2 U
F' B L F' R B' U
F' B L F' B' R U
F2 B L D R B' U
F2 B L D B' R U
F2 B L D' R B' U
F2 B L D' B' R U
F2 B L D2 R B' U
F' B L B' F' R U
F2 B L D2 B' R U
F2 B L B R B2 U
F2 B L B' R U D
F2 B L B' R U D'
F2 B L B' R U D2
F2 B L B' R D U
F2 B L B' R D' U
F2 B L B' R D2 U
F2 B L B' D R U
F2 B L B' D' R U
F2 B L B' D2 R U
F2 B R L D B' U
F2 B R L D' B' U
F2 B R L D2 B' U
F2 B R L B' U D
F2 B R L B' U D'
F2 B R L B' U D2
F2 B R L B' D U
F2 B R L B' D' U
F2 B R L B' D2 U
L' B D2 F B2 R' U'
F2 B R' L B' R2 U
L' B D2 B2 R' F U'
L' B D2 B2 F R' U'
L' B F U2 F L U
R' B F2 L R B' U
R' B F2 L B' R U
R' B F2 R L B' U
R2 B F2 L R B' U
R2 B F2 L B' R U
R2 B F2 R L B' U
L B F2 L B2 R' U
R B F2 L R B' U
R B F2 L B' R U
R B F2 R L B' U
L' B' R' D' F U' L2
L' B' R' D2 F B2 U'
L' B' R' D2 B2 F U'
L' B' R' F U2 F U
B F' L F' R B' U
B F' L F' B' R U
B F' L B' F' R U
L' B' D' R' F U' L2
L' B' D' F R' U' L2
L' B' D2 R' F B2 U'
L' B' D2 R' B2 F U'
L' B' D2 F R' B2 U'
L' B' F R' U2 F U
L B' F2 U2 L2 R' U'
L B' F2 U2 R' L2 U'
B2 F2 L R B' L U
F2 B2 L R B' L U
B2 F2 L B' L R U
B2 F2 L B' R L U
F2 B2 L B' L R U
B F2 L R D B' U
B F2 L R D' B' U
B F2 L R D2 B' U
F2 B2 L B' R L U
B F2 L R B' U D
B F2 L R B' U D'
B F2 L R B' U D2
B F2 L R B' D U
B F2 L R B' D' U
B F2 L R B' D2 U
B F2 L R' B' R2 U
B F2 L D R B' U
B F2 L D B' R U
B F2 L D' R B' U
B F2 L D' B' R U
B F2 L D2 R B' U
B F2 L D2 B' R U
B F2 L B R B2 U
B F2 L B' R U D
B F2 L B' R U D'
B F2 L B' R U D2
B F2 L B' R D U
B F2 L B' R D' U
B F2 L B' R D2 U
B F2 L B' D R U
B F2 L B' D' R U
B F2 L B' D2 R U
B2 F2 R L B' L U
F2 B2 R L B' L U
B2 F2 R B' L B' U
F2 B2 R B' L B' U
B F2 R L D B' U
B F2 R L D' B' U
B F2 R L D2 B' U
B F2 R L B' U D
B F2 R L B' U D'
B F2 R L B' U D2
B F2 R L B' D U
B F2 R L B' D' U
B F2 R L B' D2 U
B F2 R' L B' R2 U
