D L F2 B' L2 U'
D L B' L2 F2 U'
D L B' F2 L2 U'
B' L' U L' U2 L'
B L' U L' R' U2
B L' U R' L' U2
D2 L' F U' L' R2
D2 L' F U' R2 L'
B' L' F2 U' L2 R
B' L' F2 U' R L2
D L' F2 U2 F' U
B' D L' F2 U' L2
B' D2 L' U' L2 R2
B' D2 L' U' R2 L2
L' F2 B' U' L R
L' F2 B' U' R L
L' B U L' R' U2
L' B U R' L' U2
L' B' U L' U2 L2
L' B' U' L D2 R2
L' B' F2 U' L R
L' B' F2 U' R L
D L' D2 U2 F B2 U
D L' D2 U2 B2 F U
D2 L' F U' L' R2 D
D2 L' F U' L' R2 D'
D2 L' F U' L' R2 D2
D2 L' F U' R2 L' D
D2 L' F U' R2 L' D'
D2 L' F U' R2 L' D2
D2 L' F U' R2 D L'
D2 L' F U' R2 D' L'
D2 L' F U' R2 D2 L'
D2 L' F B U' L' R2
D2 L' F B U' R2 L'
D2 L' F B' U' L' R2
D2 L' F B' U' R2 L'
D2 L' F B2 U' L' R2
D2 L' F B2 U' R2 L'
D2 L' F' U R U2 R
D2 L' F' D' F2 U' L'
D L' F' D' F' U' L2
D L' F' D2 F' B2 U'
D L' F' D2 B2 F' U'
B' L' F2 U' L2 R D
B' L' F2 U' L2 R D'
B' L' F2 U' L2 R D2
B' L' F2 U' L2 D R
B' L' F2 U' L2 D' R
B' L' F2 U' L2 D2 R
B' L' F2 U' R L2 D
B' L' F2 U' R L2 D'
B' L' F2 U' R L2 D2
D L' F2 R2 B R2 U'
B L' F2 U R' U2 R2
B' L' F2 D' B2 U' R
B L' F2 U' R D2 L2
D L' F2 U2 D F' U
D L' F2 U2 D' F' U
D L' F2 U2 D2 F' U
B' L' F2 B U' L2 R
B' L' F2 B U' R L2
D L' F2 U2 F' U D
D L' F2 U2 F' U D'
D L' F2 U2 F' U D2
D L' F2 U2 F' D U
D L' F2 U2 F' D' U
D L' F2 U2 F' D2 U
B' L' F2 B' U' L2 R
B' L' F2 B' U' R L2
D L' F2 D U2 F' U
B' L' F2 B2 U' L2 R
B' L' F2 B2 U' R L2
D L' F2 D' U2 F' U
B2 L' F2 B U' L R
B2 L' F2 B U' R L
D L' F2 D2 U2 F' U
D L' F2 B U2 F' U
D L' F2 B' U2 F' U
B L' F2 B2 U' L R
B L' F2 B2 U' R L
D L' F2 B2 U2 F' U
B' L' B U L' U2 L'
B2 L' B U L' U2 L2
B2 L' B U' L D2 R2
D2 L' B F U' L' R2
D2 L' B F U' R2 L'
B' L' B F2 U' L2 R
B' L' B F2 U' R L2
B2 L' B F2 U' L R
B2 L' B F2 U' R L
D L' B F2 U2 F' U
B' L' B' U L' U2 L'
B2 L' B' U L' R' U2
B2 L' B' U R' L' U2
D2 L' B' F U' L' R2
D2 L' B' F U' R2 L'
B' L' B' F2 U' L2 R
B' L' B' F2 U' R L2
D L' B' F2 U2 F' U
B' L' B2 U L' U2 L'
B L' B2 U L' U2 L2
D2 L' B2 F U' L' R2
D2 L' B2 F U' R2 L'
B L' B2 U' L D2 R2
B' L' B2 F2 U' L2 R
B' L' B2 F2 U' R L2
B L' B2 F2 U' L R
D L' B2 F2 U2 F' U
B L' B2 F2 U' R L
B L2 R' U' L R U'
B L2 R' U' R L U'
U L2 U' L B' U' L
U L2 U' D L B' U'
U L2 U' B' U' L F
D2 L2 D' L F2 B' U'
D2 L2 D' L B' F2 U'
U L2 D U' L B' U'
D2 L2 D' F2 L B' U'
D' L2 D2 L F2 B' U'
D' L2 D2 L B' F2 U'
D' L2 D2 F2 L B' U'
L' U L' U' B' U' L
L' U L' U2 B' L B
D2 L2 F L U' L2 R2
D2 L2 F L U' R2 L2
L' U L' B R' B' U2
D L2 F2 L U2 F U
D L2 F2 L' B' L2 U'
U L2 B D' R' B U2
L' U D L' U F U
U L2 B2 U R' F' U
L' U B R' B' L' U2
L' U B' L' B U2 L2
L2 U' L B' U' L B
L2 U' D L B' U' B
B R' L2 U' L R U'
B R' L2 U' R L U'
L' U' B' L D2 B R2
L' U' B' L B D2 R2
L2 U' B' U' L F B
L2 U' B' U' L B F
B' R2 L D F2 B2 R'
B' R2 L D B2 R' F2
B' R2 L D B2 F2 R'
D R2 L' F2 R2 B U'
L' U2 F2 B' U L R
L' U2 F2 B' U R L
L' U2 B U' L' R' U2
L' U2 B U' R' L' U2
L' U2 B' U L D2 R2
L' U2 B' U' L' U2 L2
L' U2 B' F2 U L R
L' U2 B' F2 U R L
L2 D L F2 B' U' R
L2 D L B' U L' U2
L2 D L B' F2 U' R
L' D U L' U F U
L2 D U' L B' U' B
B' U L2 U' L U' L2
B' U L2 U2 L' D F2
B U L2 R' U' L U'
F U L' B' L' U2 L2
B U R' L2 U' L U'
F U B' L2 U2 L' F
B' U' D L D R2 F2
B' U' D L D F2 R2
U2 D' F2 R F' B2 U
U2 D' F2 R B2 F' U
U2 D' F2 B2 R F' U
B' U' D2 L R2 D F2
B' U' D2 R2 L D F2
U2 D' B2 F2 R F' U
D' U2 F2 R F' B2 U
D' U2 F2 R B2 F' U
D' U2 F2 B2 R F' U
D' U2 B2 F2 R F' U
F2 U2 D' R F' B2 U
F2 U2 D' R B2 F' U
F2 U2 D' B2 R F' U
D2 F U' L' R' F' R'
D2 F U' R' L' F' R'
D2 F U' R2 D2 L' F
B' D L F2 L2 U' L2
B' D L' U' L2 D R2
F2 D L F2 B' L' U'
F2 D L B' F2 L' U'
L' F U2 B' U L R'
L' F U2 B' U R' L
B' D L' F2 U' L2 D
B' D L' F2 U' L2 D'
B' D L' F2 U' L2 D2
B' D L' F2 D' B2 U'
B' D L' F2 B U' L2
B' D L' F2 B' U' L2
B' D L' F2 B2 U' L2
B' D L' B F2 U' L2
B' D L' B' F2 U' L2
B' D L' B2 F2 U' L2
B2 D L' F2 B U' L
B2 D L' B F2 U' L
B D L' F2 U R' U2
B D L' F2 B2 U' L
F2 D L2 F2 L' B' U'
B D L' B2 F2 U' L
L' F D2 F U' L' R
L' F D2 F U' R L'
B' D U' L D R2 F2
B' D U' L D F2 R2
B' D F2 U2 R U L
F2 D F2 L B' L2 U'
F2 D F2 L' U2 F U
B2 D B L' F2 U' L2
B D B2 L' F2 U' L2
B' D' L' U' L2 D' R2
B' D' L' U2 B2 U L2
B' D' L' D' B2 U' R2
B D' L' U2 B2 U L
D2 F' D' F2 U' L' F
F2 D' R F' B2 L U
F2 D' R B2 L F' U
F2 D' R B2 F' L U
F2 D' U2 R F' B2 U
F2 D' U2 R B2 F' U
F2 D' U2 B2 R F' U
D F2 L B' U2 R U
D F2 L' U2 R F U
D' F2 R F' B2 L U
D' F2 R B2 L F' U
D' F2 R B2 F' L U
L' F2 U' R B' L B
B' D2 L R2 D F2 B2
B' D2 L R2 D B2 F2
L' F2 U' B' L B R
D' F2 U2 R F' B2 U
D' F2 U2 R B2 F' U
B' D2 L' U' L2 R2 D
B' D2 L' U' L2 R2 D'
B' D2 L' U' L2 R2 D2
B' D2 L' U' R2 L2 D
B' D2 L' U' R2 L2 D'
B' D2 L' U' R2 L2 D2
B' D2 L' D' F2 B2 U'
B' D2 L' D' B2 F2 U'
D' F2 U2 B2 R F' U
B' D2 L' F U' L2 R2
B' D2 L' F U' R2 L2
L' F2 U2 B' U L R
L' F2 U2 B' U R L
B' D2 L' F' U' L2 R2
B' D2 L' F' U' R2 L2
B' D2 L' F2 U' L2 R2
B' D2 L' F2 U' R2 L2
B' D2 L' B U' L2 R2
B' D2 L' B U' R2 L2
B' D2 L' B' U' L2 R2
B' D2 L' B' U' R2 L2
B' D2 L' B2 U' L2 R2
B' D2 L' B2 U' R2 L2
B2 D2 L' B U' L R2
B2 D2 L' B U' R2 L
D F2 U2 D2 R F' U
B D2 L' U R' U2 R'
B D2 L' B2 U' L R2
B D2 L' B2 U' R2 L
U2 F2 D' R F' B2 U
U2 F2 D' R B2 F' U
U2 F2 D' B2 R F' U
B' D2 R2 L D F2 B2
B' D2 R2 L D B2 F2
L' F2 B U R' U2 R2
L' F2 B U' R D2 L2
D F2 D2 U2 R F' U
L' F2 B' U' L R D
L' F2 B' U' L R D'
L' F2 B' U' L R D2
L' F2 B' U' L D R
L' F2 B' U' L D' R
L' F2 B' U' L D2 R
L' F2 B' U' R L D
L' F2 B' U' R L D'
L' F2 B' U' R L D2
L' F2 B' U' R D L
L' F2 B' U' R D' L
L' F2 B' U' R D2 L
L' F2 B' U' D L R
L' F2 B' U' D R L
L' F2 B' U' D' L R
L' F2 B' U' D' R L
L' F2 B' U' D2 L R
L' F2 B' U' D2 R L
L' F2 B' D U' L R
L' F2 B' D U' R L
L' F2 B' D' U' L R
L' F2 B' D' U' R L
L' F2 B' D2 U' L R
L' F2 B' D2 U' R L
B' D2 U' L R2 D F2
B' D2 U' R2 L D F2
D2 B L' F U' L' R2
D2 B L' F U' R2 L'
D B L F2 B' L2 U'
D B L B' L2 F2 U'
D B L B' F2 L2 U'
D B L' F2 U2 F' U
U B L2 R' U' L U'
B2 D2 B L' U' L2 R2
B2 D2 B L' U' R2 L2
U B R' L2 U' L U'
L' B U L' R' U2 D
L' B U L' R' U2 D'
L' B U L' R' U2 D2
L' B U L' R' D U2
L' B U L' R' D' U2
L' B U L' R' D2 U2
L' B U L' D R' U2
L' B U L' D' R' U2
L' B U L' D2 R' U2
L' B U R' L' U2 D
L' B U R' L' U2 D'
L' B U R' L' U2 D2
L' B U R' L' D U2
L' B U R' L' D' U2
L' B U R' L' D2 U2
L' B U R' D L' U2
L' B U R' D' L' U2
L' B U R' D2 L' U2
L' B U D L' R' U2
L' B U D R' L' U2
L' B U D' L' R' U2
L' B U D' R' L' U2
L' B U D2 L' R' U2
L' B U D2 R' L' U2
B D2 B2 L' U' L2 R2
B D2 B2 L' U' R2 L2
L' B D U L' R' U2
L' B D U R' L' U2
L' B D' U L' R' U2
L' B D' U R' L' U2
L' B D2 U L' R' U2
L' B D2 U R' L' U2
B' F U L2 U2 L' F
L' B F2 U R' U2 R2
L' B F2 U' R D2 L2
D2 B' L' F U' L' R2
D2 B' L' F U' R2 L'
R2 B' L D F2 B2 R'
R2 B' L D B2 R' F2
R2 B' L D B2 F2 R'
D B' L F2 B' L2 U'
D B' L B' L2 F2 U'
D B' L B' F2 L2 U'
D B' L' F2 U2 F' U
U B' L2 U' L U' L2
U B' L2 U2 L' D F2
L B' L2 B' U' L' R'
L B' L2 B' U' R' L'
L' B' U L' R U2 L2
L' B' U L' R' U2 L2
L' B' U L' R2 U2 L2
L' B' U L' U2 L2 D
L' B' U L' U2 L2 D'
L' B' U L' U2 L2 D2
L' B' U L' D2 R2 U2
L' B' U R L' U2 L2
L' B' U R' L' U2 L2
L' B' U R2 L' U2 L2
L' B' U D L' U2 L2
L' B' U D' L' U2 L2
L' B' U D2 L' U2 L2
L' B' U' L R D2 R2
L' B' U' L R' D2 R2
L' B' U' L R2 D2 R2
L' B' U' L U2 L2 U2
L' B' U' L D2 R2 D
L' B' U' L D2 R2 D'
L' B' U' L D2 R2 D2
L' B' U' R L D2 R2
L' B' U' R' L D2 R2
L' B' U' R2 L D2 R2
L' B' U' D L D2 R2
L' B' U' D' L D2 R2
L' B' U' D2 L D2 R2
L' B' U' F2 L R F2
L' B' U' F2 R L F2
L' B' U' F2 R F2 L
L' B' U2 F2 U L R
L' B' U2 F2 U R L
L' B' D U L' U2 L2
L' B' D U' L D2 R2
L' B' D F2 U' L R
L' B' D F2 U' R L
L' B' D' U L' U2 L2
L' B' D' U' L D2 R2
L' B' D' F2 U' L R
L' B' D' F2 U' R L
L' B' D2 U L' U2 L2
L' B' D2 U' L D2 R2
L' B' D2 F2 U' L R
L' B' D2 F2 U' R L
F B' U L2 U2 L' F
L' B' F2 U' L R D
L' B' F2 U' L R D'
L' B' F2 U' L R D2
L' B' F2 U' L D R
L' B' F2 U' L D' R
L' B' F2 U' L D2 R
L' B' F2 U' R L D
L' B' F2 U' R L D'
L' B' F2 U' R L D2
L' B' F2 U' R D L
L' B' F2 U' R D' L
L' B' F2 U' R D2 L
L' B' F2 U' D L R
L' B' F2 U' D R L
L' B' F2 U' D' L R
L' B' F2 U' D' R L
L' B' F2 U' D2 L R
L' B' F2 U' D2 R L
L' B' F2 D U' L R
L' B' F2 D U' R L
L' B' F2 D' U' L R
L' B' F2 D' U' R L
L' B' F2 D2 U' L R
L' B' F2 D2 U' R L
F2 B' D F2 L' U' L2
D2 B2 L' F U' L' R2
D2 B2 L' F U' R2 L'
D B2 L F2 B' L2 U'
D B2 L B' L2 F2 U'
D B2 L B' F2 L2 U'
D B2 L' F2 U2 F' U
B' F2 D F2 L' U' L2
