U' L R' B2 U'
U' R' L B2 U'
U' L R B2 R2 U'
U' L R' U' D L2
U' L R' D U' L2
U2 L R' B2 U' R
U2 L R' B2 U' R
U' L R' B2 U' D
U' L R' B2 U' D'
U' L R' B2 U' D2
U' L R' B2 D U'
U' L R' B2 D' U'
U' L R' B2 D2 U'
U' L R2 B2 R U'
U' L D R' U' L2
R' L F2 B2 U' R
R' L B2 U L' U2
R' L B2 F2 U' R
U' L B2 U2 L U
U' L' R' B2 L2 U'
L R' F2 B2 U' R
L' R' B2 L2 U' R'
R' L' B2 L2 U' R'
L R' B2 U L' U2
L R' B2 F2 U' R
U' L2 R' B2 L' U'
U' R L B2 R2 U'
R' U' L B2 U' B2
R2 U' L R B2 U'
R U' L R2 B2 U'
R2 U' L B2 R U'
R U' L B2 R2 U'
R2 U' R L B2 U'
R U' R2 L B2 U'
U' R' L U' D L2
U' R' L D U' L2
U' R' L B2 U' D
U' R' L B2 U' D'
U' R' L B2 U' D2
U' R' L B2 D U'
U' R' L B2 D' U'
U' R' L B2 D2 U'
U2 R' L B2 U' R
U' R' L' B2 L2 U'
U' R' L2 B2 L' U'
U' R' D L U' L
U' R' B2 U2 R' U
U' R2 L B2 R U'
D' R2 U' L R U'
D' R2 U' R L U'
U' D L R' U' L
U' D R' L U' L
D U' L R' U' L
F' U' L R' B2 U'
F2 U' L R' B2 U'
F U' L R' B2 U'
D U' R' L U' L
F' U' R' L B2 U'
F2 U' R' L B2 U'
F U' R' L B2 U'
B2 U2 L R' U R
B2 U2 R' L U R
L F2 R' B2 U' R2
R' B2 U2 R' U R
U' B2 U2 L R' U
U' B2 U2 R' L U
F' L R' B2 F2 U' R
U2 L R' B2 U' R D
U2 L R' B2 U' R D'
U2 L R' B2 U' R D2
U2 L R' B2 U' D R
U2 L R' B2 U' D' R
U2 L R' B2 U' D2 R
U2 L R' B2 D U' R
U2 L R' B2 D' U' R
U2 L R' B2 D2 U' R
F2 L R' B2 U L' U2
R L U' D L2 B2 R'
F2 L R' B2 F2 U' R
F L R' B2 U L' U2
F L R' B2 F2 U' R
U L R' B2 U' D' R2
U L R' B2 U2 B2 U
U L R' B2 D' U' R2
U L R' B2 D2 F2 U'
U' L R2 D R U' L2
U' L R2 B' R B' U'
U' L R2 B2 R U' D
U' L R2 B2 R U' D'
U' L R2 B2 R U' D2
U' L R2 B2 R D U'
U' L R2 B2 R D' U'
U' L R2 B2 R D2 U'
U' L R2 B2 D R U'
U2 L R2 B2 R U' R
U' L R2 B2 D' R U'
U' L R2 B2 D2 R U'
R' L U2 D2 F2 U R
L' R D L2 F2 R B2
L' R D L2 F2 B2 R
L' R D L2 B2 F2 R
R' L D U L' U2 L'
L R D U' L2 B2 R'
L' R D F2 B2 L2 R'
L' R D F2 B2 R' L2
R' L D F2 U' L2 R
R' L D F2 U' R L2
R L D U' L2 B2 R'
L' R D B2 L2 R' F2
L' R D B2 L2 F2 R'
L' R D B2 R' L2 F2
L' R D B2 R' F2 L2
L' R D B2 F2 L2 R'
L' R D B2 F2 R' L2
R' L D' U L' R2 U2
R' L D' U R2 L' U2
R' L D2 U2 F2 U R
U' L D R' U' L2 D
U' L D R' U' L2 D'
U' L D R' U' L2 D2
U2 L D R' U' L2 R
U2 L D R' U' R L2
U' L D R' D' B2 U'
U' L D R' B U' L2
U' L D R' B' U' L2
U' L D R' B2 U' L2
U' L D' R' U R' U2
U' L D' R' B2 U' L
U' L D2 R' U' D' L2
U' L D2 R' U2 F2 U
U' L D2 R' D' U' L2
U' L D2 R' D2 B2 U'
R' L F2 U' R D L2
R' L F2 U' D L2 R
R' L F2 U' D R L2
R' L F2 D U' L2 R
R' L F2 D U' R L2
R' L F2 B2 U' R D
R' L F2 B2 U' R D'
R' L F2 B2 U' R D2
R' L F2 B2 U' D R
R' L F2 B2 U' D' R
R' L F2 B2 U' D2 R
R' L F2 B2 D U' R
R' L F2 B2 D' U' R
R' L F2 B2 D2 U' R
U2 L F R' B2 U' R
L R F2 B2 R2 U' R'
R L F2 B2 R2 U' R'
U' L F' R' F B2 U'
U2 L F' R' B2 U' R
U' L F' R' B2 F U'
F' L F2 R' B2 U' R2
D L F2 R' U' L R2
D L F2 R' U' R2 L
U' L F2 R' F2 B2 U'
U2 L F2 R' B2 U' R
U' L F2 R' B2 F2 U'
F2 L F2 R' B2 U' R2
F L F2 R' B2 U' R2
L' R B2 L2 R2 U' R
L' R B2 R2 L2 U' R
R2 L B2 R U L' U2
R' L B2 U L' U2 D
R' L B2 U L' U2 D'
R' L B2 U L' U2 D2
R' L B2 U L' D U2
R' L B2 U L' D' U2
R' L B2 U L' D2 U2
R' L B2 U D L' U2
R' L B2 U D' L' U2
R' L B2 U D2 L' U2
R2 L B2 R F2 U' R
R' L B2 U' F2 R F2
L R B2 R2 U L' U2
L R B2 R2 F2 U' R
R L B2 R2 U L' U2
R' L B2 D U L' U2
R L B2 R2 F2 U' R
R' L B2 D F2 U' R
R' L B2 D' U L' U2
R' L B2 D' F2 U' R
R' L B2 D2 U L' U2
R' L B2 D2 F2 U' R
R' L B2 F2 U' R D
R' L B2 F2 U' R D'
R' L B2 F2 U' R D2
R' L B2 F2 U' D R
R' L B2 F2 U' D' R
R' L B2 F2 U' D2 R
R' L B2 F2 D U' R
R' L B2 F2 D' U' R
R' L B2 F2 D2 U' R
L R B2 F2 R2 U' R'
R L B2 F2 R2 U' R'
L R' U L' U' B2 U'
L R' U L' U2 D L2
L R' U L' D U2 L2
L R' U L' D' R2 U2
L R' U D L' U2 L'
L R' U D' L' R2 U2
L R' U D' R2 L' U2
R' L' U' D L2 F2 R
L' R' U' D L2 F2 R
U' L B2 R U2 L U
U' L B2 R' U2 L U
U' L B2 R2 U2 L U
U' L B2 U2 L U D
U' L B2 U2 L U D'
U' L B2 U2 L U D2
U' L B2 U2 L D U
U' L B2 U2 L D' U
U' L B2 U2 L D2 U
U' L B2 U2 D L U
U' L B2 U2 D' L U
U' L B2 U2 D2 L U
U' L B2 D U2 L U
U' L B2 D' U2 L U
U' L B2 D2 U2 L U
U L B2 U2 L B2 U
L R' U2 D2 F2 U R
R' L' D U' L2 F2 R
L' R' D U' L2 F2 R
U' L' R B2 L2 R2 U'
U' L' R B2 R2 L2 U'
R L' D L2 F2 R B2
R L' D L2 F2 B2 R
R L' D L2 B2 F2 R
L R' D U L' U2 L'
U' L' R' U' D L2 F2
U' L' R' U' D F2 L2
U' L' R' D U' L2 F2
U' L' R' D U' F2 L2
L R' D F2 U' L2 R
L R' D F2 U' R L2
R L' D F2 B2 L2 R'
R L' D F2 B2 R' L2
U' L' R' B L2 B U'
F' L' R' B2 L2 U' R'
R L' D B2 L2 R' F2
R L' D B2 L2 F2 R'
R L' D B2 R' L2 F2
R L' D B2 R' F2 L2
U' L' R' B2 L2 U' D
U' L' R' B2 L2 U' D'
U' L' R' B2 L2 U' D2
U' L' R' B2 L2 D U'
U' L' R' B2 L2 D' U'
U' L' R' B2 L2 D2 U'
F2 L' R' B2 L2 U' R'
R L' D B2 F2 L2 R'
R L' D B2 F2 R' L2
U' L' R' B2 U' D F2
U' L' R' B2 D U' F2
U2 L' R' B2 L2 U' R
F L' R' B2 L2 U' R'
L R' D' U L' R2 U2
L R' D' U R2 L' U2
U' L' R2 B2 L2 R U'
U' L' R2 B2 R L2 U'
U2 L' U L2 R' B2 U'
U2 L' U R' L2 B2 U'
U2 L' U R' B2 L2 U'
L R' D2 U2 F2 U R
R' L' F B2 L2 U' R'
L' R' F B2 L2 U' R'
U L' U2 L2 R' B2 U'
U L' U2 R' L2 B2 U'
R' L' F' B2 L2 U' R'
U L' U2 R' B2 L2 U'
L' R' F' B2 L2 U' R'
U' L' D R' U' L2 F2
U' L' D R' U' F2 L2
L R' F2 U' R D L2
L R' F2 U' D L2 R
L R' F2 U' D R L2
R' L' F2 B2 L2 U' R'
L R' F2 D U' L2 R
L R' F2 D U' R L2
L' R' F2 B2 L2 U' R'
R' L' B L2 B U' R'
L' R' B L2 B U' R'
L R' F2 B2 U' R D
L R' F2 B2 U' R D'
L R' F2 B2 U' R D2
L R' F2 B2 U' D R
L R' F2 B2 U' D' R
L R' F2 B2 U' D2 R
L R' F2 B2 D U' R
L R' F2 B2 D' U' R
L R' F2 B2 D2 U' R
U L' D2 R2 F2 L' U
R' L' B2 L2 U' R' D
R' L' B2 L2 U' R' D'
R' L' B2 L2 U' R' D2
R' L' B2 L2 U' D R'
R' L' B2 L2 U' D' R'
R' L' B2 L2 U' D2 R'
R' L' B2 L2 D U' R'
R' L' B2 L2 D' U' R'
L' R' B2 L2 U' R' D
L' R' B2 L2 U' R' D'
L' R' B2 L2 U' R' D2
L' R' B2 L2 U' D R'
L' R' B2 L2 U' D' R'
L' R' B2 L2 U' D2 R'
R' L' B2 L2 D2 U' R'
R' L' B2 L2 F U' R'
R' L' B2 L2 F' U' R'
L' R' B2 L2 D U' R'
R' L' B2 L2 F2 U' R'
L' R' B2 L2 D' U' R'
L' R' B2 L2 D2 U' R'
L' R' B2 L2 F U' R'
L' R' B2 L2 F' U' R'
L' R' B2 L2 F2 U' R'
L2 R' B2 L' U L' U2
L2 R' B2 L' F2 U' R
R2 L' B2 L2 R U' R2
R' L' B2 U' R' D F2
R' L' B2 U' D R' F2
R' L' B2 U' D F2 R'
L' R' B2 U' R' D F2
L' R' B2 U' D R' F2
L' R' B2 U' D F2 R'
R2 L' B2 R L2 U' R2
R' L' B2 D U' R' F2
R L' B2 L2 R2 U' R
R' L' B2 D U' F2 R'
L' R' B2 D U' R' F2
L' R' B2 D U' F2 R'
L R' B2 U L' U2 D
L R' B2 U L' U2 D'
L R' B2 U L' U2 D2
L R' B2 U L' D U2
L R' B2 U L' D' U2
L R' B2 U L' D2 U2
L R' B2 U D L' U2
L R' B2 U D' L' U2
L R' B2 U D2 L' U2
R' L' B2 F L2 U' R'
L' R' B2 F L2 U' R'
R L' B2 R2 L2 U' R
L R' B2 U' F2 R F2
R' L' B2 F' L2 U' R'
L' R' B2 F' L2 U' R'
R' L' B2 F2 L2 U' R'
L2 R' B2 D L' F2 U'
L' R' B2 F2 L2 U' R'
L R' B2 D U L' U2
L R' B2 D F2 U' R
L R' B2 D' U L' U2
L R' B2 D' F2 U' R
L2 R' B2 D2 L' U' R2
L R' B2 D2 U L' U2
L R' B2 D2 F2 U' R
L R' B2 F2 U' R D
L R' B2 F2 U' R D'
L R' B2 F2 U' R D2
L R' B2 F2 U' D R
L R' B2 F2 U' D' R
L R' B2 F2 U' D2 R
L R' B2 F2 D U' R
L R' B2 F2 D' U' R
L R' B2 F2 D2 U' R
U' L' B2 L2 U2 L' U
U' L2 R B2 L' R2 U'
U' L2 R B2 R2 L' U'
U' L2 R' D L' U' L'
U' L2 R' B L' B U'
U' L2 R' B2 L' U' D
U' L2 R' B2 L' U' D'
U' L2 R' B2 L' U' D2
U' L2 R' B2 L' D U'
U' L2 R' B2 L' D' U'
U' L2 R' B2 L' D2 U'
U' L2 R' B2 D L' U'
U' L2 R' B2 D' L' U'
U' L2 R' B2 D2 L' U'
U2 L2 R' B2 L' U' R
U' L2 R2 B2 L' R U'
U' L2 R2 B2 R L' U'
U2 L2 U L' R' B2 U'
U2 L2 U R' L' B2 U'
U2 L2 U R' B2 L' U'
U L2 U2 L' R' B2 U'
U L2 U2 R' L' B2 U'
U L2 U2 R' B2 L' U'
U' L2 D L' R' U' L'
U' L2 D R' L' U' L'
R' L2 B2 L' U L' U2
R' L2 B2 L' F2 U' R
L' R2 B2 L2 R U' R2
L' R2 B2 R L2 U' R2
R' L2 B2 D L' F2 U'
R' L2 B2 D2 L' U' R2
L R2 B2 R U L' U2
L R2 B2 R F2 U' R
L U L' U' R' B2 U'
L' U R' B2 L2 U' R'
U' L2 B2 L' U' D' B2
U' L2 B2 L' U2 L2 U
U' L2 B2 L' D' U' B2
U' L2 B2 L' D2 R2 U'
U' R L U' D L2 B2
U' R L U' D B2 L2
U' R L D U' L2 B2
U' R L D U' B2 L2
U' R L B' R2 B' U'
U' R L B2 R2 U' D
U' R L B2 R2 U' D'
U' R L B2 R2 U' D2
U' R L B2 R2 D U'
U' R L B2 R2 D' U'
U' R L B2 R2 D2 U'
U' R L B2 U' D B2
U' R L B2 D U' B2
R U D2 L2 F2 R U
U' R L' B2 L2 R2 U'
U' R L' B2 R2 L2 U'
U' R L2 B2 L' R2 U'
U' R L2 B2 R2 L' U'
F' R U' L R2 B2 U'
F' R U' L B2 R2 U'
F2 R U' L R2 B2 U'
F2 R U' L B2 R2 U'
F' R U' R2 L B2 U'
D R U' L R2 U' L
F2 R U' R2 L B2 U'
F R U' L R2 B2 U'
F R U' L B2 R2 U'
D R U' R2 L U' L
F R U' R2 L B2 U'
B2 R U2 L R2 U R2
B2 R U2 R2 L U R2
U R U2 L R2 B2 U'
U R U2 L B2 R2 U'
U' R D L U' L B2
U R U2 R2 L B2 U'
R' U' L R B2 U' B2
R' U' L R' B2 U' B2
R' U' L R2 B2 U' B2
R2 U' L R U' D L2
R2 U' L R D U' L2
R2 U' L R B2 U' D
R2 U' L R B2 U' D'
R2 U' L R B2 U' D2
R2 U' L R B2 D U'
R2 U' L R B2 D' U'
R2 U' L R B2 D2 U'
R2 U' L R' B2 R2 U'
R' U' L B2 R U' B2
R' U' L B2 R' U' B2
R' U' L B2 R2 U' B2
R' U' L B2 U' B2 D
R' U' L B2 U' B2 D'
R' U' L B2 U' B2 D2
R U' L R B2 R U'
R' U' L B2 D' R2 U'
R2 U' L D R U' L2
R U' L R2 U' D L2
R U' L R2 D U' L2
R U' L R2 B2 U' D
R U' L R2 B2 U' D'
R U' L R2 B2 U' D2
R U' L R2 B2 D U'
R U' L R2 B2 D' U'
R U' L R2 B2 D2 U'
R U' L U' D L2 B2
R U' L U' D B2 L2
R U' L D U' L2 B2
R U' L D U' B2 L2
R2 U' L B' R B' U'
R2 U' L B2 R U' D
R2 U' L B2 R U' D'
R2 U' L B2 R U' D2
U R D2 L2 F2 R U
R2 U' L B2 R D U'
R2 U' L B2 R D' U'
R2 U' L B2 R D2 U'
R2 U' L B2 D R U'
R2 U' L B2 D' R U'
R2 U' L B2 D2 R U'
R2 U' L' R B2 L2 U'
R U' L B' R2 B' U'
R U' L B2 R2 U' D
R U' L B2 R2 U' D'
R U' L B2 R2 U' D2
R U' L B2 R2 D U'
R U' L B2 R2 D' U'
R U' L B2 R2 D2 U'
R U' L B2 U' D B2
R U' L B2 D U' B2
R' U' L' B2 L2 U' B2
R U' L' R2 B2 L2 U'
R2 U' L' B2 L2 R U'
R2 U' L' B2 R L2 U'
R2 U' L2 R B2 L' U'
R U' L' B2 L2 R2 U'
R U' L' B2 R2 L2 U'
R' U' L2 B2 L' U' B2
R' U' R L B2 U' B2
R U' L2 R2 B2 L' U'
R2 U' L2 B2 L' R U'
R2 U' L2 B2 R L' U'
R2 U' R L U' D L2
R2 U' R L D U' L2
R2 U' R L B2 U' D
R2 U' R L B2 U' D'
R2 U' R L B2 U' D2
R2 U' R L B2 D U'
R2 U' R L B2 D' U'
R2 U' R L B2 D2 U'
R2 U' R L' B2 L2 U'
R2 U' R L2 B2 L' U'
R U' L2 B2 L' R2 U'
R U' L2 B2 R2 L' U'
R U' R L B2 R U'
R' U' R' L B2 U' B2
R2 U' R D L U' L
L U' R D L2 B2 R'
R2 U' R B2 U2 R' U
R2 U' R' L B2 R2 U'
R' U' R2 L B2 U' B2
L' U' R' B2 L2 U' R'
R U' R2 L U' D L2
R U' R2 L D U' L2
R U' R2 L B2 U' D
R U' R2 L B2 U' D'
R U' R2 L B2 U' D2
R U' R2 L B2 D U'
R U' R2 L B2 D' U'
R U' R2 L B2 D2 U'
R U' R2 L' B2 L2 U'
R U' R2 L2 B2 L' U'
R U' R2 D L U' L
R2 U' D L R U' L
R2 U' D R L U' L
R U' R2 B2 U2 R' U
R U' D L U' L B2
U' R B2 R2 U2 R U
D' R' L U L' R' U2
D' R' L U R' L' U2
U' R' L U D' R2 U2
D2 R' L U2 F2 U R
U' R' L U' L D L2
U' R' L U' L' D L2
U' R' L U' L2 D L2
U' R' L U' D L2 D
U' R' L U' D L2 D'
U' R' L U' D L2 D2
U' R' L U2 D2 F2 U
U' R' L D U' L2 D
U' R' L D U' L2 D'
U' R' L D U' L2 D2
B2 R' L U' L' U2 L
U' R' L D B U' L2
U' R' L D B' U' L2
U' R' L D B2 U' L2
U' R' L D' U R2 U2
U' R' L D2 U2 F2 U
U2 R' L U' R D L2
U2 R' L U' D L2 R
U2 R' L U' D R L2
D R' L U L' U2 L2
D R' L U' L D2 R2
U2 R' L D U' L2 R
U2 R' L D U' R L2
F' R' L F2 B2 U' R
U' R' L B D B U'
U' R' L B D' B U'
U' R' L B D2 B U'
U' R' L B' D B' U'
U' R' L B' D' B' U'
U' R' L B' D2 B' U'
F' R' L B2 U L' U2
F' R' L B2 F2 U' R
F2 R' L F2 B2 U' R
U' R' L' U' D L2 F2
U' R' L' U' D F2 L2
D R' L F2 U' L R
D R' L F2 U' R L
F2 R' L B2 U L' U2
U' R' L' D U' L2 F2
U' R' L' D U' F2 L2
F2 R' L B2 F2 U' R
U2 R' L B2 U' R D
U2 R' L B2 U' R D'
U2 R' L B2 U' R D2
U2 R' L B2 U' D R
U2 R' L B2 U' D' R
U2 R' L B2 U' D2 R
U2 R' L B2 D U' R
U2 R' L B2 D' U' R
U2 R' L B2 D2 U' R
F R' L F2 B2 U' R
U' R' L' B L2 B U'
F R' L B2 U L' U2
U' R' L' B2 L2 U' D
U' R' L' B2 L2 U' D'
U' R' L' B2 L2 U' D2
U' R' L' B2 L2 D U'
U' R' L' B2 L2 D' U'
U' R' L' B2 L2 D2 U'
F R' L B2 F2 U' R
U' R' L' B2 U' D F2
F' R' L' B2 L2 U' R'
U' R' L' B2 D U' F2
U R' L B2 U' D' R2
U R' L B2 U2 B2 U
U R' L B2 D' U' R2
U R' L B2 D2 F2 U'
F2 R' L' B2 L2 U' R'
U' R' L2 D L' U' L'
U2 R' L' B2 L2 U' R
U' R' L2 B L' B U'
F R' L' B2 L2 U' R'
U' R' L2 B2 L' U' D
U' R' L2 B2 L' U' D'
U' R' L2 B2 L' U' D2
U' R' L2 B2 L' D U'
U' R' L2 B2 L' D' U'
U' R' L2 B2 L' D2 U'
U' R' L2 B2 D L' U'
U' R' L2 B2 D' L' U'
U' R' L2 B2 D2 L' U'
U2 R' L2 B2 L' U' R
F' R' U' L B2 U' B2
U' R' U' L' D L2 F2
U' R' U' L' D F2 L2
F2 R' U' L B2 U' B2
F R' U' L B2 U' B2
U' R' D L U' L D
U' R' D L U' L D'
U' R' D L U' L D2
U' R' D L U' D L
U' R' D L U' D' L
U' R' D L U' D2 L
U' R' D L D U' L
U' R' D L D' U' L
U' R' D L D2 U' L
U2 R' D L U' L R
U2 R' D L U' R L
R' U' B2 U2 R' U B2
U' R' D' L U R2 U2
U' R' D' L U' D2 L2
U' R' D' L D B2 U'
U' R' D' L D2 U' L2
R2 U' B2 R U' D' F2
R2 U' B2 R U2 R2 U
R2 U' B2 R D' U' F2
R2 U' B2 R D2 L2 U'
R U' B2 R2 U2 R U
U' R' D2 L U' D' L2
U' R' D2 L U2 F2 U
U' R' D2 L D' U' L2
U' R' D2 L D2 B2 U'
R U2 L R2 B2 U' R2
R2 U2 L B2 R U' R'
U' R' F L F' B2 U'
U' R' F L B2 F' U'
R U2 L B2 R2 U' R2
R U2 L' D L2 F2 B2
R U2 L' D L2 B2 F2
R U2 L' D F2 L2 B2
R U2 L' D F2 B2 L2
R U2 L' D B2 L2 F2
R U2 L' D B2 F2 L2
U' R' F2 L F2 B2 U'
U' R' F2 L B2 F2 U'
L' U2 R' B2 L2 U' R'
R U2 R2 L B2 U' R2
U' R' B2 L U2 R' U
U' R' B2 L' U2 R' U
U' R' B2 L2 U2 R' U
F' R' B2 U2 R' U R
U' R' B2 U2 R' U D
U' R' B2 U2 R' U D'
U' R' B2 U2 R' U D2
U' R' B2 U2 R' D U
U' R' B2 U2 R' D' U
U' R' B2 U2 R' D2 U
U' R' B2 U2 D R' U
U' R' B2 U2 D' R' U
U' R' B2 U2 D2 R' U
U' R' B2 D U2 R' U
U' R' B2 D' U2 R' U
U' R' B2 D2 U2 R' U
F2 R' B2 U2 R' U R
U2 R' B2 U' R D' F2
U2 R' B2 U2 R' U R2
U' R2 L D R U' L2
F R' B2 U2 R' U R
U R' B2 U2 R' B2 U
U' R2 L B' R B' U'
U' R2 L B2 R U' D
U' R2 L B2 R U' D'
U' R2 L B2 R U' D2
U' R2 L B2 R D U'
U' R2 L B2 R D' U'
U' R2 L B2 R D2 U'
U' R2 L B2 D R U'
U' R2 L B2 D' R U'
U' R2 L B2 D2 R U'
U2 R2 L B2 R U' R
U' R2 L' B2 L2 R U'
U' R2 L' B2 R L2 U'
U' R2 L2 B2 L' R U'
U' R2 L2 B2 R L' U'
D' R2 U' L R U' D
D' R2 U' L R U' D'
D' R2 U' L R U' D2
D' R2 U' L R D U'
D' R2 U' L R D' U'
D' R2 U' L R D2 U'
D' R2 U' L D R U'
D' R2 U' L D' R U'
D' R2 U' L D2 R U'
F' R2 U' L R B2 U'
F' R2 U' L B2 R U'
D' R2 U' R L U' D
D' R2 U' R L U' D'
D' R2 U' R L U' D2
D' R2 U' R L D U'
D' R2 U' R L D' U'
D' R2 U' R L D2 U'
D' R2 U' R D L U'
D' R2 U' R D' L U'
D' R2 U' R D2 L U'
F' R2 U' R L B2 U'
F2 R2 U' L R B2 U'
F2 R2 U' L B2 R U'
D' R2 U' D L R U'
D' R2 U' D R L U'
D' R2 U' D' L R U'
D' R2 U' D' R L U'
D' R2 U' D2 L R U'
D' R2 U' D2 R L U'
F2 R2 U' R L B2 U'
D R2 U' L R U' L
D R2 U' R L U' L
F R2 U' L R B2 U'
F R2 U' L B2 R U'
F R2 U' R L B2 U'
B2 R2 U2 L R U R'
B2 R2 U2 R L U R'
U' R2 D L R U' L
U R2 U2 L R B2 U'
U R2 U2 L B2 R U'
U' R2 D R L U' L
U R2 U2 R L B2 U'
D' R2 D U' L R U'
D' R2 D U' R L U'
R' D L U L' U2 L2
D' R2 D' U' L R U'
D' R2 D' U' R L U'
R' D L U' L D2 R2
R' D L F2 U' L R
R' D L F2 U' R L
D' R2 D2 U' L R U'
D' R2 D2 U' R L U'
L' D L2 F2 R D B2
L' D R' U' L2 F2 R
L D R' U L' U2 L'
L D R' F2 U' L2 R
L D R' F2 U' R L2
U' R2 B2 R U' D' F2
U' R2 B2 R U2 R2 U
U' R2 B2 R D' U' F2
U' R2 B2 R D2 L2 U'
R2 D U' L R U' L
U' D L R' U' L D
U' D L R' U' L D'
U' D L R' U' L D2
U' D L R' U' D L
U' D L R' U' D' L
U' D L R' U' D2 L
U' D L R' D U' L
U' D L R' D' U' L
U' D L R' D2 U' L
R2 D U' R L U' L
B2 U L R' U' R U2
B2 U L R' F2 U L'
U' D L D R' U' L
U' D L D' R' U' L
U2 D L R' U' L R
U2 D L R' U' R L
U' D L D2 R' U' L
R D U' L U' L B2
U2 D L2 U L' R' U'
U2 D L2 U R' L' U'
U' D R' L U' L D
U' D R' L U' L D'
U' D R' L U' L D2
U' D R' L U' D L
U' D R' L U' D' L
U' D R' L U' D2 L
U' D R' L D U' L
U' D R' L D' U' L
U' D R' L D2 U' L
B2 U R' L U' R U2
B2 U R' L F2 U L'
U' D R' D' L B2 U'
U2 D R' L U' L R
U2 D R' L U' R L
L D F2 R' U' L2 R2
L D F2 R' U' R2 L2
B2 U R' F2 L U L2
R' D' L U L' R2 U2
R' D' L U R2 L' U2
D2 U F2 U2 L R' U'
D2 U F2 U2 R' L U'
D' U' L R' U R' U2
U' D' L R' U R' U2
R' D' R2 U' L R2 U'
D' U' L R' B2 U' L
R' D' R2 U' R2 L U'
U' D' L R' B2 U' L
D2 U' L R' U' D' L2
D2 U' L R' U2 F2 U
D2 U' L R' D' U' L2
D2 U' L R' D2 B2 U'
D' U' L D R' B2 U'
U' D' L D R' B2 U'
D' U' L D2 R' U' L2
D2 U' L D' R' U' L2
U' D' L D2 R' U' L2
D2 U' L D2 R' B2 U'
L D' R' U L' R' U2
L D' R' U R' L' U2
R2 D' R2 U' L R' U'
R2 D' R2 U' R' L U'
D U' L R' U' L D
D U' L R' U' L D'
D U' L R' U' L D2
D U' L R' U' D L
D U' L R' U' D' L
D U' L R' U' D2 L
D U' L R' D U' L
D U' L R' D' U' L
D U' L R' D2 U' L
D U' L D R' U' L
