F' L' U F2 B'
F' L' U B' F2
F' L U' F U2 F
F' L' R U F2 B'
F' L' R U B' F2
F' L' R' U F2 B'
F' L' R' U B' F2
F' L' R2 U F2 B'
F' L' R2 U B' F2
F' L' U F2 D B'
F' L' U F2 D' B'
F' L' U F2 D2 B'
F' L' U F2 B' D
F' L' U F2 B' D'
F' L' U F2 B' D2
F' L' U B' F2 D
F' L' U B' F2 D'
F' L' U B' F2 D2
F' L' D R2 U B'
F L' F2 U F2 B'
F L' F2 U B' F2
F' R L' U F2 B'
F' R L' U B' F2
U2 R U' F B L
U2 R U' B F L
F' R' L' U F2 B'
F' R' L' U B' F2
F' R2 L' U F2 B'
F' R2 L' U B' F2
F' U2 R U' F2 B
F' U2 R U' B F2
F' D L' R2 U B'
F' D R2 L' U B'
D2 F' L' U F2 B'
D2 F' L' U B' F2
D' F' L' U F2 B'
D' F' L' U B' F2
D F' L' U F2 B'
D F' L' U B' F2
U2 R U' F B D L
U2 R U' F B D' L
U2 R U' F B D2 L
U2 R U' F' B L F2
U2 R U' F2 B L F'
U2 R U' B D F L
U2 R U' B D' F L
U2 R U' B D2 F L
U2 R U' B F L D
U2 R U' B F L D'
U2 R U' B F L D2
U2 R U' B F D L
U2 R U' B F D' L
U2 R U' B F D2 L
U2 R U' B F' L F2
U2 R U' B F2 L F'
F' R U2 R U' F2 B
F' R U2 R U' B F2
L' U B' U' F' R' U
F' R D L' R2 U B'
F' R D R2 L' U B'
U2 R D U' F B L
U2 R D U' B F L
U2 R D' U' F B L
U2 R D' U' B F L
U2 R D2 U' F B L
U2 R D2 U' B F L
F R F2 L' U F2 B'
F R F2 L' U B' F2
F' R' L U' F U2 F
F' R' L' U F2 D B'
F' R' L' U F2 D' B'
F' R' L' U F2 D2 B'
F' R' L' U F2 B' D
F' R' L' U F2 B' D'
F' R' L' U F2 B' D2
F' R' L' U B' F2 D
F' R' L' U B' F2 D'
F' R' L' U B' F2 D2
F' R' L' D R2 U B'
F R' L' F2 U F2 B'
F R' L' F2 U B' F2
F' R' U2 R U' F2 B
F' R' U2 R U' B F2
F' R' D L' R2 U B'
F' R' D R2 L' U B'
B2 R' D' R2 F L' B'
B2 R' D' F L' R2 B'
B2 R' D' F L' B' R2
B2 R' D' F R2 L' B'
F R' F2 L' U F2 B'
F R' F2 L' U B' F2
F' R2 L U' F U2 F
F' R2 L' U F2 D B'
F' R2 L' U F2 D' B'
F' R2 L' U F2 D2 B'
F' R2 L' U F2 B' D
F' R2 L' U F2 B' D'
F' R2 L' U F2 B' D2
F' R2 L' U B' F2 D
F' R2 L' U B' F2 D'
F' R2 L' U B' F2 D2
F' R2 L' D R2 U B'
F R2 L' F2 U F2 B'
F R2 L' F2 U B' F2
F' R2 U2 R U' F2 B
F' R2 U2 R U' B F2
R2 U2 B R U' F B
R2 U2 B R U' B F
F' R2 D L' R2 U B'
F' R2 D R2 L' U B'
U2 R2 D B R' U' F
L D L2 F' R U B'
F R2 F2 L' U F2 B'
F R2 F2 L' U B' F2
U2 R2 B R' U' F B
U2 R2 B R' U' B F
L D F' R U D2 B2
L D F' R U' F2 U2
L D F' R D' L2 U
L D F' R D2 U B2
U2 D R U' F B L
U2 D R U' B F L
L D F' D' L2 R U
L D F' D' R L2 U
L D F' D2 R U B2
B' U F' B L U F2
F' U F2 U R U' B
F' U F2 U' L' U B'
F' U F2 B U' L U
F' U F2 B' U R' U'
F' U B U' L U F2
B' U B F' L U F2
F' U B F2 U' L U
F' U B' U R' U' F2
F' U B' F2 U R' U'
U2 D' R U' F B L
U2 D' R U' B F L
F' U' F U' R U' F
B' U' F' L' B U F2
B2 U' F' L' B2 U F2
F' U' F' U L' U F'
B' U' F' B L' U F2
B2 U' F' B2 L' U F2
B U' F' B' L' U F2
B' U' B F' L' U F2
D' U2 R U' F B L
D' U2 R U' B F L
D2 U2 R U' F B L
D2 U2 R U' B F L
U2 D2 R U' F B L
U2 D2 R U' B F L
D U2 R U' F B L
D U2 R U' B F L
B U' B' F' L' U F2
F' U2 L R U' F2 B
F' U2 L R U' B F2
B2 U' B2 F' L' U F2
F' U2 L' R U' F2 B
F' U2 L' R U' B F2
F' U2 L2 R U' F2 B
F' U2 L2 R U' B F2
F' U2 R L U' F2 B
F' U2 R L U' B F2
F' U2 R L' U' F2 B
F' U2 R L' U' B F2
F' U2 R L2 U' F2 B
F' U2 R L2 U' B F2
F' U2 R U' F2 D B
F' U2 R U' F2 D' B
F' U2 R U' F2 D2 B
F' U2 R U' F2 B D
F' U2 R U' F2 B D'
F' U2 R U' F2 B D2
F' U2 R U' B F2 D
F' U2 R U' B F2 D'
F' U2 R U' B F2 D2
F' U2 R D' L2 U' B
F' U2 R' U F' U2 F'
F' U2 D' L2 R U' B
F' U2 D' R L2 U' B
D' F L' F2 U F2 B'
D' F L' F2 U B' F2
D2 F L' F2 U F2 B'
D2 F L' F2 U B' F2
D F L' F2 U F2 B'
D F L' F2 U B' F2
F' D L R2 U' F U2
F' D L' R2 U D B'
F' D L' R2 U D' B'
F' D L' R2 U D2 B'
F' D L' R2 U B' D
F' D L' R2 U B' D'
F' D L' R2 U B' D2
F' D L' R2 D U B'
F' D L' R2 D' U B'
F' D L' R2 D2 U B'
U F U' L' F2 U B'
F' D L' U D' F2 B'
F' D L' U D' B' F2
F' D L' U B' D' F2
F' D L' D' U F2 B'
F' D L' D' U B' F2
U F U' F2 L' U B'
F' D R2 L U' F U2
F' D R2 L' U D B'
F' D R2 L' U D' B'
F' D R2 L' U D2 B'
F' D R2 L' U B' D
F' D R2 L' U B' D'
F' D R2 L' U B' D2
F' D R2 L' D U B'
F' D R2 L' D' U B'
F' D R2 L' D2 U B'
F' D R2 U2 R U' B
F' D R2 D L' U B'
F' D R2 D' L' U B'
F' D R2 D2 L' U B'
U F B L' D' L2 B2
U F B L' D' B2 L2
U F B U' L F2 U
U F B U' F2 L U
D' F' L U' F U2 F
D2 F' L U' F U2 F
D' F' L' R U F2 B'
D' F' L' R U B' F2
U' F' L' U' L U2 F2
D2 F' L' R U F2 B'
D2 F' L' R U B' F2
D' F' L' R' U F2 B'
D' F' L' R' U B' F2
D2 F' L' R' U F2 B'
D2 F' L' R' U B' F2
D' F' L' R2 U F2 B'
D' F' L' R2 U B' F2
D2 F' L' R2 U F2 B'
D2 F' L' R2 U B' F2
D' F' L' U F2 D B'
D' F' L' U F2 D' B'
D' F' L' U F2 D2 B'
D' F' L' U F2 B' D
D' F' L' U F2 B' D'
D' F' L' U F2 B' D2
D2 F' L' U F2 D B'
D2 F' L' U F2 D' B'
D2 F' L' U F2 D2 B'
D' F' L' U B' F2 D
D' F' L' U B' F2 D'
D' F' L' U B' F2 D2
D2 F' L' U F2 B' D
D2 F' L' U F2 B' D'
D2 F' L' U F2 B' D2
D2 F' L' U B' F2 D
D2 F' L' U B' F2 D'
D2 F' L' U B' F2 D2
D' F' L' D R2 U B'
D2 F' L' D R2 U B'
D F' L U' F U2 F
U' F' L' B2 U R' F2
U' F' L' B2 U F2 R'
F2 D F L' U F2 B'
F2 D F L' U B' F2
L F' L U' F2 B' U2
L F' L U' B' F2 U2
D F' L' R U F2 B'
D F' L' R U B' F2
L F' L D' L2 U F
D F' L' R' U F2 B'
D F' L' R' U B' F2
D F' L' R2 U F2 B'
D F' L' R2 U B' F2
D F' L' U F2 D B'
D F' L' U F2 D' B'
D F' L' U F2 D2 B'
D F' L' U F2 B' D
D F' L' U F2 B' D'
D F' L' U F2 B' D2
D F' L' U B' F2 D
D F' L' U B' F2 D'
D F' L' U B' F2 D2
D F' L' D R2 U B'
D2 F' R L' U F2 B'
D2 F' R L' U B' F2
D' F' R L' U F2 B'
D' F' R L' U B' F2
L F' L' U D2 F B2
L F' L' U D2 B2 F
L F' L' U' F2 U2 F'
L F' L' D2 U F B2
L F' L' D2 U B2 F
D2 F' R' L' U F2 B'
D2 F' R' L' U B' F2
D' F' R' L' U F2 B'
D' F' R' L' U B' F2
D F' R L' U F2 B'
D F' R L' U B' F2
D' F' R2 L' U F2 B'
D' F' R2 L' U B' F2
D2 F' R2 L' U F2 B'
D2 F' R2 L' U B' F2
D F' R' L' U F2 B'
D F' R' L' U B' F2
U' F' U L' U L F2
U' F' U L' U F2 L
U F' R' U R F2 B
U F' R' U R B F2
D F' R2 L' U F2 B'
D F' R2 L' U B' F2
L' F' U B' U' R' U
D2 F' U2 R U' F2 B
D2 F' U2 R U' B F2
D' F' U2 R U' F2 B
D' F' U2 R U' B F2
L' F' U2 R' U' F' B'
L' F' U2 R' U' B' F'
D2 F' D L' R2 U B'
D' F' D L' R2 U B'
D2 F' D R2 L' U B'
D' F' D R2 L' U B'
D F' U2 R U' F2 B
D F' U2 R U' B F2
D F' D L' R2 U B'
D F' D R2 L' U B'
L F' D2 R U F' B2
L F' D2 R U B2 F'
F' D' U2 L2 R U' B
F' D' U2 R L2 U' B
F2 D' F L' U F2 B'
F2 D' F L' U B' F2
R F2 L' U F' B' L'
R F2 L' U B' F' L'
U' F2 U F L' U F2
F' D2 L U' F B2 U2
F' D2 L U' B2 F U2
F' D2 L' U D2 F2 B'
F' D2 L' U D2 B' F2
F' D2 L' U' B2 U2 B
F' D2 L' D' R2 U B'
F' D2 L' D2 U F2 B'
F' D2 L' D2 U B' F2
F2 D2 F L' U F2 B'
F2 D2 F L' U B' F2
U2 B R U' F B L
U2 B R U' B F L
B2 F L D' L2 R2 B'
B2 F L D' L2 B' R2
B2 F L D' R2 L2 B'
B' F L' B' D' L2 R2
B' F L' B' D' R2 L2
B2 F L' D' R2 B' L2
B2 F L' D' B' L2 R2
B2 F L' D' B' R2 L2
U B U' F' L U F2
U B F L' D' L2 B2
U B F L' D' B2 L2
U B F U' L F2 U
U B F U' F2 L U
B2 F D' L' R2 B' L'
B2 F D' L' B' L' R2
B2 F D' L' B' R2 L'
B2 F D' R2 L' B' L'
U2 B' R U' F B L
U2 B' R U' B F L
B' F' L' B U F2 B2
B' F' L' B U B2 F2
F' B' L' B U F2 B2
F' B' L' B U B2 F2
B2 F' L' B2 U F2 B
B2 F' L' B2 U B F2
F B' L' B' D' L2 R2
F B' L' B' D' R2 L2
U2 B2 R U' F B L
U2 B2 R U' B F L
F' B2 L' B2 U F2 B
F' B2 L' B2 U B F2
F B2 L D' L2 R2 B'
F B2 L D' L2 B' R2
F B2 L D' R2 L2 B'
F B2 L' D' R2 B' L2
F B2 L' D' B' L2 R2
F B2 L' D' B' R2 L2
R' B2 D' R2 F L' B'
R' B2 D' F L' R2 B'
R' B2 D' F L' B' R2
R' B2 D' F R2 L' B'
F B2 D' L' R2 B' L'
F B2 D' L' B' L' R2
F B2 D' L' B' R2 L'
F B2 D' R2 L' B' L'
