L R U' L2 R2 U'
L R U' R2 L2 U'
R L U' L2 R2 U'
R L U' R2 L2 U'
L R U2 D F2 B2
L R U2 D B2 F2
R L U2 D F2 B2
R L U2 D B2 F2
L R D U2 F2 B2
L R D U2 B2 F2
R L D U2 F2 B2
R L D U2 B2 F2
L R D' F2 B2 U2
L R D' B2 F2 U2
R L D' F2 B2 U2
R L D' B2 F2 U2
R' L' U L2 R2 U2
L' R' U L2 R2 U2
R' L' U R2 L2 U2
L' R' U R2 L2 U2
R' L' U' D2 L2 R2
R' L' U' D2 R2 L2
L' R' U' D2 L2 R2
L' R' U' D2 R2 L2
R' L' D F2 B2 U'
L' R' D F2 B2 U'
L' R' D B2 F2 U'
R' L' D B2 F2 U'
L' R' D2 U' L2 R2
L' R' D2 U' R2 L2
R' L' D2 U' L2 R2
R' L' D2 U' R2 L2
L' D F2 R' U' L'
R' D B2 L' U' R'
R L U' R2 L2 U' D2
R L U' R2 L2 D U'
R L U' R2 L2 D' U'
R L U' R2 L2 D2 U'
R L U' R2 U' D F2
R L U' R2 D U' F2
L R U2 D F2 B2 D
L R U2 D F2 B2 D'
L R U2 D F2 B2 D2
L R U2 D B2 F2 D
L R U2 D B2 F2 D'
L R U2 D B2 F2 D2
L R U2 F D F2 B2
L R U2 F D B2 F2
R L U2 D F2 B2 D
R L U2 D F2 B2 D'
R L U2 D F2 B2 D2
R L U2 D B2 F2 D
R L U2 D B2 F2 D'
R L U2 D B2 F2 D2
L R U2 F' D F2 B2
L R U2 F' D B2 F2
L R U2 F2 D F2 B2
L R U2 F2 D B2 F2
R L U2 F D F2 B2
R L U2 F D B2 F2
L R U2 B D F2 B2
L R U2 B D B2 F2
R L U2 F' D F2 B2
R L U2 F' D B2 F2
B2 L U D F2 L' R'
B2 L U D F2 R' L'
L R U2 B' D F2 B2
L R U2 B' D B2 F2
R L U2 F2 D F2 B2
R L U2 F2 D B2 F2
L R U2 B2 D F2 B2
L R U2 B2 D B2 F2
R L U2 B D F2 B2
R L U2 B D B2 F2
R L U2 B' D F2 B2
R L U2 B' D B2 F2
R L U2 B2 D F2 B2
R L U2 B2 D B2 F2
L R D U2 F2 B2 D
L R D U2 F2 B2 D'
L R D U2 F2 B2 D2
L R D U2 B2 F2 D
L R D U2 B2 F2 D'
L R D U2 B2 F2 D2
L R D F U2 F B2
L R D F U2 B2 F
L R D F' U2 F' B2
L R D F' U2 B2 F'
R L D U2 F2 B2 D
R L D U2 F2 B2 D'
R L D U2 F2 B2 D2
R L D U2 B2 F2 D
R L D U2 B2 F2 D'
R L D U2 B2 F2 D2
R L D F U2 F B2
R L D F U2 B2 F
L R D B U2 F2 B
L R D B U2 B F2
R L D F' U2 F' B2
R L D F' U2 B2 F'
L R D B' U2 F2 B'
L R D B' U2 B' F2
R L D B U2 F2 B
R L D B U2 B F2
R L D B' U2 F2 B'
R L D B' U2 B' F2
L R D' F2 U2 D2 F2
L R D' F2 D2 U2 F2
L R D' F2 B2 U2 D
L R D' F2 B2 U2 D'
L R D' F2 B2 U2 D2
L R D' F2 B2 D U2
L R D' F2 B2 D' U2
L R D' F2 B2 D2 U2
R L D' F2 U2 D2 F2
R L D' F2 D2 U2 F2
R L D' F2 B2 U2 D
R L D' F2 B2 U2 D'
R L D' F2 B2 U2 D2
R L D' F2 B2 D U2
R L D' F2 B2 D' U2
R L D' F2 B2 D2 U2
L R D' B2 U2 D2 B2
L R D' B2 D2 U2 B2
L R D' B2 F2 U2 D
L R D' B2 F2 U2 D'
L R D' B2 F2 U2 D2
L R D' B2 F2 D U2
L R D' B2 F2 D' U2
L R D' B2 F2 D2 U2
R L D' B2 U2 D2 B2
R L D' B2 D2 U2 B2
R L D' B2 F2 U2 D
R L D' B2 F2 U2 D'
R L D' B2 F2 U2 D2
R L D' B2 F2 D U2
R L D' B2 F2 D' U2
R L D' B2 F2 D2 U2
L R D2 U L2 R2 U
L R D2 U R2 L2 U
R L D2 U L2 R2 U
R L D2 U R2 L2 U
B2 L D U F2 L' R'
B2 L D U F2 R' L'
L R F U' L2 R2 U'
L R F U' R2 L2 U'
L R F U2 D F2 B2
L R F U2 D B2 F2
R L F U' L2 R2 U'
R L F U' R2 L2 U'
L R F D U2 F2 B2
L R F D U2 B2 F2
R L F U2 D F2 B2
R L F U2 D B2 F2
L R F D' F2 B2 U2
L R F D' B2 F2 U2
R L F D U2 F2 B2
R L F D U2 B2 F2
R L F D' F2 B2 U2
R L F D' B2 F2 U2
L R F' U' L2 R2 U'
L R F' U' R2 L2 U'
L R F' U2 D F2 B2
L R F' U2 D B2 F2
R L F' U' L2 R2 U'
R L F' U' R2 L2 U'
L R F' D U2 F2 B2
L R F' D U2 B2 F2
R L F' U2 D F2 B2
R L F' U2 D B2 F2
L R F' D' F2 B2 U2
L R F' D' B2 F2 U2
R L F' D U2 F2 B2
R L F' D U2 B2 F2
R L F' D' F2 B2 U2
R L F' D' B2 F2 U2
L R F2 U' L2 R2 U'
L R F2 U' R2 L2 U'
L R F2 U2 D F2 B2
L R F2 U2 D B2 F2
R L F2 U' L2 R2 U'
R L F2 U' R2 L2 U'
L R F2 D U2 F2 B2
L R F2 D U2 B2 F2
R L F2 U2 D F2 B2
R L F2 U2 D B2 F2
L R F2 D' F2 B2 U2
R L F2 D U2 F2 B2
R L F2 D U2 B2 F2
L R F2 D' B2 F2 U2
R L F2 D' F2 B2 U2
R L F2 D' B2 F2 U2
L R B U' L2 R2 U'
L R B U' R2 L2 U'
R L B U' L2 R2 U'
L R B U2 D F2 B2
L R B U2 D B2 F2
R L B U' R2 L2 U'
L R B D U2 F2 B2
R L B U2 D F2 B2
R L B U2 D B2 F2
L R B D U2 B2 F2
R L B D U2 F2 B2
R L B D U2 B2 F2
L R B D' F2 B2 U2
L R B D' B2 F2 U2
R L B D' F2 B2 U2
R L B D' B2 F2 U2
L R B' U' L2 R2 U'
L R B' U' R2 L2 U'
R L B' U' L2 R2 U'
L R B' U2 D F2 B2
L R B' U2 D B2 F2
R L B' U' R2 L2 U'
L R B' D U2 F2 B2
L R B' D U2 B2 F2
R L B' U2 D F2 B2
R L B' U2 D B2 F2
R L B' D U2 F2 B2
R L B' D U2 B2 F2
L R B' D' F2 B2 U2
L R B' D' B2 F2 U2
R L B' D' F2 B2 U2
R L B' D' B2 F2 U2
L R B2 U' L2 R2 U'
L R B2 U' R2 L2 U'
R L B2 U' L2 R2 U'
L R B2 U2 D F2 B2
L R B2 U2 D B2 F2
R L B2 U' R2 L2 U'
L R B2 D U2 F2 B2
L R B2 D U2 B2 F2
R L B2 U2 D F2 B2
R L B2 U2 D B2 F2
R L B2 D U2 F2 B2
R L B2 D U2 B2 F2
L R B2 D' F2 B2 U2
L R B2 D' B2 F2 U2
R L B2 D' F2 B2 U2
R L B2 D' B2 F2 U2
L' R' U L2 R2 U2 D
L' R' U L2 R2 U2 D'
L' R' U L2 R2 U2 D2
L' R' U L2 R2 D U2
L' R' U L2 R2 D' U2
L' R' U L2 R2 D2 U2
R' L' U L2 R2 U2 D
R' L' U L2 R2 U2 D'
R' L' U L2 R2 U2 D2
R' L' U L2 R2 D U2
R' L' U L2 R2 D' U2
R' L' U L2 R2 D2 U2
R' L' U L2 U2 D2 L2
L' R' U L2 U2 D2 L2
L' R' U L2 D2 U2 L2
R' L' U L2 D2 U2 L2
L' R' U R2 L2 U2 D
L' R' U R2 L2 U2 D'
L' R' U R2 L2 U2 D2
L' R' U R2 L2 D U2
L' R' U R2 L2 D' U2
L' R' U R2 L2 D2 U2
R' L' U R2 L2 U2 D
R' L' U R2 L2 U2 D'
R' L' U R2 L2 U2 D2
R' L' U R2 L2 D U2
R' L' U R2 L2 D' U2
R' L' U R2 L2 D2 U2
L' R' U R2 U2 D2 R2
R' L' U R2 U2 D2 R2
L' R' U R2 D2 U2 R2
R' L' U R2 D2 U2 R2
R' L' U' D2 L2 R2 D
R' L' U' D2 L2 R2 D'
R' L' U' D2 L2 R2 D2
L' R' U' D2 L2 R2 D
L' R' U' D2 L2 R2 D'
L' R' U' D2 L2 R2 D2
R' L' U' D2 R2 L2 D
R' L' U' D2 R2 L2 D'
R' L' U' D2 R2 L2 D2
L' R' U' D2 R2 L2 D
L' R' U' D2 R2 L2 D'
L' R' U' D2 R2 L2 D2
R' L' U2 D' F2 B2 U
L' R' U2 D' F2 B2 U
R' L' U2 D' B2 F2 U
L' R' U2 D' B2 F2 U
D2 L' R' U L2 R2 U2
D2 L' R' U R2 L2 U2
D' L' R' U L2 R2 U2
D' L' R' U R2 L2 U2
D2 L' R' U' D2 L2 R2
D2 L' R' U' D2 R2 L2
D' L' R' U' D2 L2 R2
D' L' R' U' D2 R2 L2
U' L' R' U L2 R2 U2
U' L' R' U R2 L2 U2
U2 L' R' U L2 R2 U2
D L' R' U L2 R2 U2
U2 L' R' U R2 L2 U2
D L' R' U R2 L2 U2
U' L' R' U' D2 L2 R2
U' L' R' U' D2 R2 L2
D2 L' R' D F2 B2 U'
D2 L' R' D B2 F2 U'
D' L' R' D F2 B2 U'
U2 L' R' U' D2 L2 R2
U2 L' R' U' D2 R2 L2
D' L' R' D B2 F2 U'
R' L' D F2 U' D L2
R' L' D F2 D U' L2
D L' R' U' D2 L2 R2
D L' R' U' D2 R2 L2
L' R' D F2 U' D L2
R' L' D F2 B2 U' D
R' L' D F2 B2 U' D'
R' L' D F2 B2 U' D2
R' L' D F2 B2 D U'
R' L' D F2 B2 D' U'
R' L' D F2 B2 D2 U'
L' R' D F2 D U' L2
D2 L' R' D2 U' L2 R2
D2 L' R' D2 U' R2 L2
L' R' D F2 B2 U' D
L' R' D F2 B2 U' D'
L' R' D F2 B2 U' D2
L' R' D F2 B2 D U'
L' R' D F2 B2 D' U'
L' R' D F2 B2 D2 U'
U' L' R' D F2 B2 U'
D' L' R' D2 U' L2 R2
U' L' R' D B2 F2 U'
D' L' R' D2 U' R2 L2
U L' R' U L2 R2 U2
U L' R' U R2 L2 U2
U2 L' R' D F2 B2 U'
U2 L' R' D B2 F2 U'
D L' R' D F2 B2 U'
D L' R' D B2 F2 U'
U' L' R' D2 U' L2 R2
U' L' R' D2 U' R2 L2
U L' R' U' D2 L2 R2
U L' R' U' D2 R2 L2
R' L' D B2 U' D R2
R' L' D B2 D U' R2
L' R' D B2 U' D R2
R' L' D B2 F2 U' D
R' L' D B2 F2 U' D'
R' L' D B2 F2 U' D2
R' L' D B2 F2 D U'
R' L' D B2 F2 D' U'
R' L' D B2 F2 D2 U'
L' R' D B2 D U' R2
U2 L' R' D2 U' L2 R2
U2 L' R' D2 U' R2 L2
L' R' D B2 F2 U' D
L' R' D B2 F2 U' D'
L' R' D B2 F2 U' D2
L' R' D B2 F2 D U'
L' R' D B2 F2 D' U'
L' R' D B2 F2 D2 U'
D L' R' D2 U' L2 R2
D L' R' D2 U' R2 L2
U L' R' D F2 B2 U'
U L' R' D B2 F2 U'
U L' R' D2 U' L2 R2
U L' R' D2 U' R2 L2
R' L' D' U2 F2 B2 U
R' L' D' U2 B2 F2 U
L' R' D' U2 F2 B2 U
L' R' D' U2 B2 F2 U
R' L' D2 U' L2 R2 D
R' L' D2 U' L2 R2 D'
R' L' D2 U' L2 R2 D2
R' L' D2 U' R2 L2 D
R' L' D2 U' R2 L2 D'
R' L' D2 U' R2 L2 D2
L' R' D2 U' L2 R2 D
L' R' D2 U' L2 R2 D'
L' R' D2 U' L2 R2 D2
L' R' D2 U' R2 L2 D
L' R' D2 U' R2 L2 D'
L' R' D2 U' R2 L2 D2
R' L' D2 F U' L2 R2
R' L' D2 F U' R2 L2
L' R' D2 F U' L2 R2
L' R' D2 F U' R2 L2
R' L' D2 F' U' L2 R2
R' L' D2 F' U' R2 L2
B L' U R U2 B R'
L' R' D2 F' U' L2 R2
L' R' D2 F' U' R2 L2
R' L' D2 F2 U' L2 R2
R' L' D2 F2 U' R2 L2
L' R' D2 F2 U' L2 R2
L' R' D2 F2 U' R2 L2
R' L' D2 B U' L2 R2
R' L' D2 B U' R2 L2
L' R' D2 B U' L2 R2
L' R' D2 B U' R2 L2
R' L' D2 B' U' L2 R2
R' L' D2 B' U' R2 L2
L' R' D2 B' U' L2 R2
L' R' D2 B' U' R2 L2
R' L' D2 B2 U' L2 R2
R' L' D2 B2 U' R2 L2
L' R' D2 B2 U' L2 R2
L' R' D2 B2 U' R2 L2
R' L' F U L2 R2 U2
R' L' F U R2 L2 U2
L' R' F U L2 R2 U2
L' R' F U R2 L2 U2
R' L' F U' D2 L2 R2
R' L' F U' D2 R2 L2
L' R' F U' D2 L2 R2
L' R' F U' D2 R2 L2
R' L' F D F2 B2 U'
R' L' F D B2 F2 U'
L' R' F D F2 B2 U'
L' R' F D B2 F2 U'
R' L' F D2 U' L2 R2
R' L' F D2 U' R2 L2
L' R' F D2 U' L2 R2
L' R' F D2 U' R2 L2
R' L' F' U L2 R2 U2
R' L' F' U R2 L2 U2
L' R' F' U L2 R2 U2
L' R' F' U R2 L2 U2
R' L' F' U' D2 L2 R2
R' L' F' U' D2 R2 L2
L' R' F' U' D2 L2 R2
L' R' F' U' D2 R2 L2
R' L' F' D F2 B2 U'
R' L' F' D B2 F2 U'
L' R' F' D F2 B2 U'
L' R' F' D B2 F2 U'
R' L' F' D2 U' L2 R2
R' L' F' D2 U' R2 L2
L' R' F' D2 U' L2 R2
L' R' F' D2 U' R2 L2
R' L' F2 U L2 R2 U2
R' L' F2 U R2 L2 U2
L' R' F2 U L2 R2 U2
L' R' F2 U R2 L2 U2
R' L' F2 U' D2 L2 R2
R' L' F2 U' D2 R2 L2
L' R' F2 U' D2 L2 R2
L' R' F2 U' D2 R2 L2
R' L' F2 D F2 B2 U'
R' L' F2 D B2 F2 U'
L' R' F2 D F2 B2 U'
L' R' F2 D B2 F2 U'
R' L' F2 D2 U' L2 R2
R' L' F2 D2 U' R2 L2
L' R' F2 D2 U' L2 R2
L' R' F2 D2 U' R2 L2
D2 L' D F2 R' U' L'
D' L' D F2 R' U' L'
U' L' D F2 R' U' L'
U2 L' D F2 R' U' L'
D L' D F2 R' U' L'
U L' D F2 R' U' L'
R' L' B U L2 R2 U2
R' L' B U R2 L2 U2
L' R' B U L2 R2 U2
L' R' B U R2 L2 U2
R' L' B U' D2 L2 R2
R' L' B U' D2 R2 L2
L' R' B U' D2 L2 R2
L' R' B U' D2 R2 L2
R' L' B D F2 B2 U'
R' L' B D B2 F2 U'
L' R' B D F2 B2 U'
L' R' B D B2 F2 U'
R' L' B D2 U' L2 R2
R' L' B D2 U' R2 L2
L' R' B D2 U' L2 R2
L' R' B D2 U' R2 L2
R' L' B' U L2 R2 U2
R' L' B' U R2 L2 U2
L' R' B' U L2 R2 U2
L' R' B' U R2 L2 U2
R' L' B' U' D2 L2 R2
R' L' B' U' D2 R2 L2
L' R' B' U' D2 L2 R2
L' R' B' U' D2 R2 L2
R' L' B' D F2 B2 U'
R' L' B' D B2 F2 U'
L' R' B' D F2 B2 U'
L' R' B' D B2 F2 U'
R' L' B' D2 U' L2 R2
R' L' B' D2 U' R2 L2
L' R' B' D2 U' L2 R2
L' R' B' D2 U' R2 L2
R' L' B2 U L2 R2 U2
R' L' B2 U R2 L2 U2
L' R' B2 U L2 R2 U2
L' R' B2 U R2 L2 U2
R' L' B2 U' D2 L2 R2
R' L' B2 U' D2 R2 L2
L' R' B2 U' D2 L2 R2
L' R' B2 U' D2 R2 L2
R' L' B2 D F2 B2 U'
L' R' B2 D F2 B2 U'
R' L' B2 D B2 F2 U'
L' R' B2 D B2 F2 U'
R' L' B2 D2 U' L2 R2
R' L' B2 D2 U' R2 L2
L' R' B2 D2 U' L2 R2
L' R' B2 D2 U' R2 L2
R' U L R2 U' L2 U'
R' U L R2 U2 D F2
R' U L R2 D U2 F2
R' U L R2 D' B2 U2
L' U L2 R U' R2 U'
L' U L2 R U2 D B2
L' U L2 R D U2 B2
L' U L2 R D' F2 U2
L' U R L2 U' R2 U'
L' U R L2 U2 D B2
L' U R L2 D U2 B2
L' U R L2 D' F2 U2
R' U R2 L U' L2 U'
R' U R2 L U2 D F2
R' U R2 L D U2 F2
R' U R2 L D' B2 U2
D2 R L U' L2 R2 U'
D2 R L U' R2 L2 U'
D' R L U' L2 R2 U'
D2 R L U2 D F2 B2
D2 R L U2 D B2 F2
D' R L U' R2 L2 U'
U' R L U' L2 R2 U'
U' R L U' R2 L2 U'
D' R L U2 D F2 B2
D2 R L D U2 F2 B2
D' R L U2 D B2 F2
D2 R L D U2 B2 F2
U' R L U2 D F2 B2
U' R L U2 D B2 F2
D' R L D U2 F2 B2
D' R L D U2 B2 F2
D2 R L D' F2 B2 U2
D2 R L D' B2 F2 U2
U' R L D U2 F2 B2
U' R L D U2 B2 F2
D' R L D' F2 B2 U2
D' R L D' B2 F2 U2
U2 R L U' L2 R2 U'
U2 R L U' R2 L2 U'
U' R L D' F2 B2 U2
U' R L D' B2 F2 U2
U2 R L U2 D F2 B2
U2 R L U2 D B2 F2
D R L U' L2 R2 U'
D R L U' R2 L2 U'
U2 R L D U2 F2 B2
U2 R L D U2 B2 F2
D R L U2 D F2 B2
D R L U2 D B2 F2
U2 R L D' F2 B2 U2
U2 R L D' B2 F2 U2
D R L D U2 F2 B2
D R L D U2 B2 F2
D R L D' F2 B2 U2
D R L D' B2 F2 U2
U R L U' L2 R2 U'
U R L U' R2 L2 U'
U R L U2 D F2 B2
U R L U2 D B2 F2
U R L D U2 F2 B2
U R L D U2 B2 F2
U R L D' F2 B2 U2
U R L D' B2 F2 U2
F2 R U D B2 L' R'
F2 R U D B2 R' L'
F2 R D U B2 L' R'
F2 R D U B2 R' L'
R U' L' R2 U L2 U2
R U' L' R2 U' D2 R2
R U' L' R2 D F2 U'
R U' L' R2 D2 U' R2
R U' L' D F2 U' B2
L U' L2 R' U R2 U2
L U' L2 R' U' D2 L2
L U' L2 R' D B2 U'
L U' L2 R' D2 U' L2
L U' R' L2 U R2 U2
L U' R' L2 U' D2 L2
L U' R' L2 D B2 U'
L U' R' L2 D2 U' L2
L U' R' D B2 U' F2
R U' R2 L' U L2 U2
R U' R2 L' U' D2 R2
R U' R2 L' D F2 U'
R U' R2 L' D2 U' R2
D2 R' L' U L2 R2 U2
D2 R' L' U R2 L2 U2
D' R' L' U L2 R2 U2
D' R' L' U R2 L2 U2
D2 R' L' U' D2 L2 R2
D2 R' L' U' D2 R2 L2
D' R' L' U' D2 L2 R2
D' R' L' U' D2 R2 L2
U' R' L' U L2 R2 U2
U' R' L' U R2 L2 U2
U' R' L' U' D2 L2 R2
U' R' L' U' D2 R2 L2
D2 R' L' D F2 B2 U'
D2 R' L' D B2 F2 U'
D' R' L' D F2 B2 U'
D' R' L' D B2 F2 U'
D2 R' L' D2 U' L2 R2
D2 R' L' D2 U' R2 L2
U' R' L' D F2 B2 U'
D' R' L' D2 U' L2 R2
D' R' L' D2 U' R2 L2
U' R' L' D B2 F2 U'
U2 R' L' U L2 R2 U2
U2 R' L' U R2 L2 U2
U' R' L' D2 U' L2 R2
U' R' L' D2 U' R2 L2
U2 R' L' U' D2 L2 R2
U2 R' L' U' D2 R2 L2
D R' L' U L2 R2 U2
D R' L' U R2 L2 U2
D R' L' U' D2 L2 R2
D R' L' U' D2 R2 L2
U2 R' L' D F2 B2 U'
U2 R' L' D B2 F2 U'
U2 R' L' D2 U' L2 R2
U2 R' L' D2 U' R2 L2
D R' L' D F2 B2 U'
D R' L' D B2 F2 U'
D R' L' D2 U' L2 R2
D R' L' D2 U' R2 L2
U R' L' U L2 R2 U2
U R' L' U R2 L2 U2
U R' L' U' D2 L2 R2
U R' L' U' D2 R2 L2
U R' L' D F2 B2 U'
U R' L' D B2 F2 U'
U R' L' D2 U' L2 R2
U R' L' D2 U' R2 L2
F R' U L U2 F L'
D2 R' D B2 L' U' R'
D' R' D B2 L' U' R'
U' R' D B2 L' U' R'
U2 R' D B2 L' U' R'
D R' D B2 L' U' R'
U R' D B2 L' U' R'
R' D L' D F2 U' L2
R D L U' L2 U' B2
R D L U2 B2 D F2
R' D L' B2 U L2 U2
R' D L' B2 U' D2 R2
R' D L' B2 D F2 U'
R' D L' B2 D2 U' R2
L D R U' R2 U' F2
L' D R' D B2 U' R2
L D R U2 F2 D B2
L' D R' F2 U R2 U2
L' D R' F2 U' D2 L2
L' D R' F2 D B2 U'
L' D R' F2 D2 U' L2
L' D F R' F U' L'
R' D F B2 U' R' F'
L' D F2 R' U' L' D
L' D F2 R' U' L' D'
L' D F2 R' U' L' D2
L' D F2 R' U' D L'
L' D F2 R' U' D' L'
L' D F2 R' U' D2 L'
L' D F2 R' D U' L'
L' D F2 R' D' U' L'
L' D F2 R' D2 U' L'
L' D F2 R' B U' L'
L' D F2 R' B' U' L'
L' D F2 R' B2 U' L'
L' D F2 D R' U' L'
L' D F2 D' R' U' L'
L' D F2 D2 R' U' L'
R' D B L' B U' R'
L' D F2 B U' L' B'
L' D B F2 U' L' B'
R' D B2 L' U' R' D
R' D B2 L' U' R' D'
R' D B2 L' U' R' D2
R' D B2 L' U' D R'
R' D B2 L' U' D' R'
R' D B2 L' U' D2 R'
R' D B2 L' D U' R'
R' D B2 L' D' U' R'
R' D B2 L' D2 U' R'
R' D B2 L' F U' R'
R' D B2 L' F' U' R'
R' D B2 L' F2 U' R'
R' D B2 D L' U' R'
R' D B2 D' L' U' R'
R' D B2 D2 L' U' R'
R' D B2 F U' R' F'
R' D' L' D2 B2 U' R2
R D' L F2 U' L2 U'
R D' L F2 U2 D F2
R D' L F2 D U2 F2
R D' L F2 D' B2 U2
L' D' R' D2 F2 U' L2
L D' R B2 U' R2 U'
L D' R B2 U2 D B2
L D' R B2 D U2 B2
L D' R B2 D' F2 U2
R D' F2 L U R U
L D' B2 R U L U
R' D2 L' U L2 U2 L
R' D2 L' U' D2 L' R2
R' D2 L' U' D2 R2 L'
R' D2 L' D2 U' L' R2
R' D2 L' D2 U' R2 L'
L' D2 R' U R2 U2 R
L' D2 R' U' D2 L2 R'
L' D2 R' U' D2 R' L2
L' D2 R' D2 U' L2 R'
L' D2 R' D2 U' R' L2
L' D2 F2 R' U' L' R'
L' D2 F2 R' U' R' L'
R' D2 B2 L' U' L' R'
R' D2 B2 L' U' R' L'
R' F U L R2 U2 F
R' F U R2 L U2 F
L' F D R' F2 B U'
L' F D R' B F2 U'
R' F D B2 U' R' F'
L' F D F2 R' B U'
R F' D' L F2 B' U2
R F' D' L B' F2 U2
R F' D' F2 L B' U2
L2 F2 L R' U' L2 R2
L2 F2 L R' U' R2 L2
L2 F2 L' R D F2 B2
L2 F2 L' R D B2 F2
L2 F2 R L' D F2 B2
L2 F2 R L' D B2 F2
L' F2 R' U L2 U2 L
L' F2 R' U' D2 L' R2
L' F2 R' U' D2 R2 L'
L' F2 R' D2 U' L' R2
L' F2 R' D2 U' R2 L'
L2 F2 R' L U' L2 R2
L2 F2 R' L U' R2 L2
L F2 U' L2 R' U' L
L F2 U' R' L2 U' L
L' F2 D2 R' U' L' R'
L' F2 D2 R' U' R' L'
L' B U L2 R U2 B
L' B U R L2 U2 B
R' B D L' F B2 U'
R' B D L' B2 F U'
R' B D B2 L' F U'
L' B D F2 U' L' B'
L B' D' R F' B2 U2
L B' D' R B2 F' U2
L B' D' B2 R F' U2
R' B2 L' U R2 U2 R
R' B2 L' U' D2 L2 R'
R' B2 L' U' D2 R' L2
R' B2 L' D2 U' L2 R'
R' B2 L' D2 U' R' L2
R2 B2 L R' D F2 B2
R2 B2 L R' D B2 F2
R2 B2 L' R U' L2 R2
R2 B2 L' R U' R2 L2
B2 F2 L R U L2 R2
B2 F2 L R U R2 L2
F2 B2 L R U L2 R2
F2 B2 L R U R2 L2
B2 F2 L' R' D' F2 B2
B2 F2 L' R' D' B2 F2
F2 B2 L' R' D' F2 B2
F2 B2 L' R' D' B2 F2
R2 B2 R L' U' L2 R2
R2 B2 R L' U' R2 L2
R2 B2 R' L D F2 B2
R2 B2 R' L D B2 F2
B2 F2 R L U L2 R2
B2 F2 R L U R2 L2
F2 B2 R L U L2 R2
F2 B2 R L U R2 L2
B2 F2 R' L' D' F2 B2
B2 F2 R' L' D' B2 F2
F2 B2 R' L' D' F2 B2
F2 B2 R' L' D' B2 F2
R B2 U' L' R2 U' R
R B2 U' R2 L' U' R
R' B2 D2 L' U' L' R'
R' B2 D2 L' U' R' L'
