B L U' F U' B2
B L' U B' U B'
U2 R2 D' F' R B'
U2 R2 D' F' B' R
U2 R2 D' B' F' R
U2 R2 B' D' F' R
L2 D F L' B U2
L2 D F B L' U2
L2 D B F L' U2
B U B' U R' B'
L2 D' F B U2 R'
L2 D' B F U2 R'
B U' F U' R B2
B U' F U' B2 R
L2 F D' B U2 R'
L B U' F R U'
L2 B D F L' U2
F2 L2 D' B F U2 R'
F L2 D' F B U2 R'
D L2 D' B F U2 R'
F L2 D' B F U2 R'
D2 L2 F D' B U2 R'
D' L2 F D' B U2 R'
F' L2 F D' B U2 R'
F2 L2 F D' B U2 R'
D L2 F D' B U2 R'
F L2 F D' B U2 R'
D2 L2 B D F L' U2
D' L2 B D F L' U2
F' L2 B D F L' U2
F2 L2 B D F L' U2
R U R' B L U2 B2
R U R' B U2 B2 R'
D L2 B D F L' U2
F L2 B D F L' U2
R2 U R2 B L U2 B2
R2 U R2 B U2 B2 R'
R2 U D2 F' B' L2 R'
R2 U D2 F' B' R' L2
R2 U D2 B' L2 F' R'
R2 U D2 B' F' L2 R'
R2 U D2 B' F' R' L2
R2 U F' D2 B' L2 R'
R2 U F' D2 B' R' L2
R2 U F' B' D2 L2 R'
R2 U F' B' D2 R' L2
R2 U B' D2 L2 F' R'
R2 U B' D2 F' L2 R'
R2 U B' D2 F' R' L2
R2 U B' F' D2 L2 R'
R2 U B' F' D2 R' L2
U' R F U' R F' B'
U' R F U' R B' F'
U' R F U' B' R F'
L U' R F R U' F'
U2 R B' R D' F' R2
U2 R B' R F' D' R2
U2 R B' R' D' R2 F'
L U' R2 F R U' F2
R2 U' F R F2 B' L'
R2 U' F R B' F2 L'
R2 U' F B' R F2 L'
R2 U' B' F R F2 L'
U2 R' B' R' D' F' R
U2 R' B' U F' L' U'
U2 R2 D F' B R' B2
U2 R2 D B F' R' B2
U2 R2 D' F' R D B'
U2 R2 D' F' R D' B'
U2 R2 D' F' R D2 B'
U2 R2 D' F' R B' D
U2 R2 D' F' R B' D'
U2 R2 D' F' R B' D2
U2 R2 D' F' R' B' R2
U2 R2 D' F' D R B'
U2 R2 D' F' D B' R
U2 R2 D' F' D' R B'
U2 R2 D' F' D' B' R
U2 R2 D' F' D2 R B'
U2 R2 D' F' D2 B' R
U2 R2 D' F' B R B2
U2 R2 D' F' B' R D
U2 R2 D' F' B' R D'
U2 R2 D' F' B' R D2
U2 R2 D' F' B' D R
U2 R2 D' F' B' D' R
U2 R2 D' F' B' D2 R
U2 R2 D' B F' R B2
U2 R2 D' B' F' R D
U2 R2 D' B' F' R D'
U2 R2 D' B' F' R D2
U2 R2 D' B' F' D R
U2 R2 D' B' F' D' R
U2 R2 D' B' F' D2 R
U2 R2 D2 B' D F' R
U' R2 F U' R F2 B'
U' R2 F U' R B' F2
U' R2 F U' B' R F2
U2 R2 F' R' B' D' R2
U2 R2 F' D B R' B2
U2 R2 F' B2 D B R'
U R2 B U F' B2 R'
U R2 B U B2 F' R'
U2 R2 B' D' F' R D
U2 R2 B' D' F' R D'
U2 R2 B' D' F' R D2
U2 R2 B' D' F' D R
U2 R2 B' D' F' D' R
U2 R2 B' D' F' D2 R
U2 R2 B2 D F' B R'
U2 R2 B2 D B F' R'
U2 R2 B2 D' F' B R
U2 R2 B2 D' B F' R
U2 R2 B2 F' D B R'
U R2 B2 U F' B R'
U R2 B2 U B F' R'
L2 D F L B L2 U2
L2 D F L' D B U2
L2 D F L' D' B U2
L2 D F L' D2 B U2
L2 D F L' B U2 D
L2 D F L' B U2 D'
L2 D F L' B U2 D2
L2 D F L' B D U2
L2 D F L' B D' U2
L2 D F L' B D2 U2
B U L B' U R' B'
L2 D F D L' B U2
L2 D F D B L' U2
L2 D F D' L' B U2
L2 D F D' B L' U2
L2 D F D2 L' B U2
L2 D F D2 B L' U2
L2 D F B L' U2 D
L2 D F B L' U2 D'
L2 D F B L' U2 D2
L2 D F B L' D U2
L2 D F B L' D' U2
L2 D F B L' D2 U2
L2 D F B D L' U2
L2 D F B D' L' U2
L2 D F B D2 L' U2
L2 D F B' L' B2 U2
B U L' B' U R' B'
B U L2 B' U R' B'
L2 D B F L' U2 D
L2 D B F L' U2 D'
L2 D B F L' U2 D2
L2 D B F L' D U2
L2 D B F L' D' U2
L2 D B F L' D2 U2
L2 D B F D L' U2
L2 D B F D' L' U2
L2 D B F D2 L' U2
L D B U' F R U'
U2 D R2 D' F' R B'
U2 D R2 D' F' B' R
U2 D R2 D' B' F' R
U2 D R2 B' D' F' R
L2 D B' F L' B2 U2
B U D L2 B' U R'
B U D B' L2 U R'
L2 D' L2 B U2 R' B2
B U B U B2 R' B'
B U B U' L U2 B
B U B' U R B' R2
B U B' U R' D B'
B U B' U R' D' B'
B U B' U R' D2 B'
B U B' U R' B' D
B U B' U R' B' D'
B U B' U R' B' D2
B U B' U R2 B' R
B U B' U D R' B'
B U B' U D' R' B'
B U B' U D2 R' B'
B U B' D U R' B'
B U B' D' U R' B'
B U B' D2 U R' B'
L2 D' F L B U2 R'
L2 D' F L' B U2 R'
L2 D' F L2 B U2 R'
L2 D' F B L U2 R'
L2 D' F B L' U2 R'
L2 D' F B L2 U2 R'
L2 D' F B U2 R' D
L2 D' F B U2 R' D'
L2 D' F B U2 R' D2
L2 D' F B U2 D R'
L2 D' F B U2 D' R'
L2 D' F B U2 D2 R'
L2 D' F B D U2 R'
L2 D' F B D' U2 R'
L2 D' F B D2 U2 R'
L2 D' F B' L B2 U2
U2 D' R2 D' F' R B'
U2 D' R2 D' F' B' R
U2 D' R2 D' B' F' R
U2 D' R2 B' D' F' R
R2 D' F2 U F B' R'
R2 D' F2 U B' R' F
R2 D' F2 U B' F R'
L' D' B U B2 L U
L2 D' B L2 U2 R' B'
B U' R F U' R B2
B U' R F U' B2 R
L2 D' B D F U2 R'
L2 D' B D' F U2 R'
L2 D' B D2 F U2 R'
L2 D' B F L U2 R'
L2 D' B F L' U2 R'
L2 D' B F L2 U2 R'
L2 D' B F U2 R' D
L2 D' B F U2 R' D'
L2 D' B F U2 R' D2
L2 D' B F U2 D R'
L2 D' B F U2 D' R'
L2 D' B F U2 D2 R'
L2 D' B F D U2 R'
L2 D' B F D' U2 R'
L2 D' B F D2 U2 R'
B U' R' F U' R B2
B U' R' F U' B2 R
L D' B U' F R U'
L2 D' B' F L B2 U2
B U' R2 F U' R B2
B U' R2 F U' B2 R
B U' D' R2 F U' R
B U' D' F R2 U' R'
B U' F R' U' R2 B2
B U' F R' U' B2 R2
B U' F R2 U' R' B2
B U' F U' R B2 D
B U' F U' R B2 D'
B U' F U' R B2 D2
B U' F U' R' B2 R2
B U' F U' B' R B'
B U' F U' B2 R D
B U' F U' B2 R D'
B U' F U' B2 R D2
B U' F U' B2 D R
B U' F U' B2 D' R
B U' F U' B2 D2 R
B U' F D' R2 U' R'
B U' F' U L' U2 B2
R2 D2 U F' B' L2 R'
R2 D2 U F' B' R' L2
R2 D2 U B' L2 F' R'
R2 D2 U B' F' L2 R'
R2 D2 U B' F' R' L2
D' U2 R2 D' F' R B'
D' U2 R2 D' F' B' R
D' U2 R2 D' B' F' R
D2 U2 R2 D' F' R B'
D2 U2 R2 D' F' B' R
D2 U2 R2 D' B' F' R
D' U2 R2 B' D' F' R
D2 U2 R2 B' D' F' R
U2 D2 R2 D' F' R B'
U2 D2 R2 D' F' B' R
U2 D2 R2 D' B' F' R
U2 D2 R2 B' D' F' R
D U2 R2 D' F' R B'
D U2 R2 D' F' B' R
D U2 R2 D' B' F' R
D U2 R2 B' D' F' R
L2 D2 F D B U2 R'
B U2 R U' B U B
B U2 R B' D' R2 B'
B U2 R B' D' B' R2
B U2 R B2 U' B' U
L2 D2 B D' F L' U2
B U2 R' U F' U' B2
F' U2 R2 D' F' R B'
F' U2 R2 D' F' B' R
F' U2 R2 D' B' F' R
F2 U2 R2 D' F' R B'
F2 U2 R2 D' F' B' R
F2 U2 R2 D' B' F' R
F' U2 R2 B' D' F' R
R2 D2 B' L2 D F' R
B U2 R' B2 U F' U'
L D2 B U' F R U'
F2 U2 R2 B' D' F' R
B U2 R2 B D B R'
F U2 R2 D' F' R B'
F U2 R2 D' F' B' R
F U2 R2 D' B' F' R
F U2 R2 B' D' F' R
L2 F L B U B2 U
L2 F L B U2 D' R2
L2 F L B D L2 U2
L2 F L B D' U2 R2
L2 F L' B U' F U'
U' F R2 U' F' R' B'
U2 F R2 D' F' R B'
U2 F R2 D' F' B' R
U2 F R2 D' B' F' R
U2 F R2 B' D' F' R
U' F U B U2 R B2
U' F U B U2 B2 R
B U2 B' R B' D' R2
U' F U' R2 F' R' B'
U' F U' B' R D2 F2
U' F U' B' D2 R F2
B U2 B2 R U' B U
B U2 B2 R' U F' U'
B U2 B2 U F U' R
B U2 B2 U' B' U R'
L2 F U2 R2 D F' R
L2 F U2 D R2 F' R
B D L' U B' L' U
L2 F D U2 R2 F' R
L2 F D' L B U2 R'
L2 F D' L' B U2 R'
L2 F D' L2 B U2 R'
L2 F D' B L U2 R'
L2 F D' B L' U2 R'
L2 F D' B L2 U2 R'
L2 F D' B U2 R' D
L2 F D' B U2 R' D'
L2 F D' B U2 R' D2
L2 F D' B U2 D R'
L2 F D' B U2 D' R'
L2 F D' B U2 D2 R'
L2 F D' B D U2 R'
L2 F D' B D' U2 R'
L2 F D' B D2 U2 R'
L2 F D' B' L B2 U2
L2 F B L U B' U
L2 F B L' U' F U'
B D U L2 B' U R'
L2 F B2 D' B' L U2
B D U B' L2 U R'
U2 F' R2 D' F' R B'
U2 F' R2 D' F' B' R
U2 F' R2 D' B' F' R
U' F' U B L' U2 B2
U2 F' R2 B' D' F' R
U' F' U' B' D2 F2 R
B D' L U' R2 F U'
B D' L U' F R2 U'
B D' U' R2 F U' R
B D' U' F R2 U' R'
U' F2 R2 U' F' R B'
U' F2 R2 U' F' B' R
U' F2 R2 U' B' F' R
U2 F2 R2 D' F' R B'
U2 F2 R2 D' F' B' R
U2 F2 R2 D' B' F' R
U2 F2 R2 B' D' F' R
U' F2 U' R2 F' R B'
U' F2 U' R2 F' B' R
U' F2 U' R2 B' F' R
B D2 L F2 U' F' U'
L2 F2 D F' B U2 R
B D2 L' F2 U B' U
L2 F2 D B F' U2 R
L2 F2 D' F' B U2 R'
L2 F2 D' B F' U2 R'
L2 F2 B D F' U2 R
D2 B L U' F U' B2
D' B L U' F U' B2
L' B L U B2 U B
L' B L U2 D' R2 B'
L' B L U2 D' B' R2
L' B L D L2 F U2
L' B L D' U2 R2 B'
L' B L D' U2 B' R2
D2 B L' U B' U B'
D' B L' U B' U B'
L' B L' D L2 U2 B'
L' B L' D F L2 U2
L' B L' D' F U2 R2
D B L U' F U' B2
L' B L' F U B2 U
L' B L' F U2 D' R2
L' B L' F D L2 U2
L' B L' F D' U2 R2
L2 B L' U' F R U'
U B L U2 B2 D L2
L B L D F L' U2
D B L' U B' U B'
B D2 F2 L U' F U'
B D2 F2 L' U B' U
B D2 F2 U B' U R'
B D2 F2 U' F U' R
L' B U L B2 U B
D2 B U B' U R' B'
D' B U B' U R' B'
L2 B U L2 U B' R'
L' B U B2 L U B'
U' B U' B' U' B' R'
D2 B U' F U' R B2
D2 B U' F U' B2 R
D' B U' F U' R B2
D' B U' F U' B2 R
F' B L U' F U' B2
F2 B L U' F U' B2
D B U B' U R' B'
F' B L' U B' U B'
D B U' F U' R B2
D B U' F U' B2 R
B F L U' F U' B2
F2 B L' U B' U B'
L B U' R F R U'
L B U' R' F R U'
L B U' R2 F R U'
L B U' D F R U'
L B U' D' F R U'
L B U' D2 F R U'
F B L U' F U' B2
L B U' F R U' D
L B U' F R U' D'
L B U' F R U' D2
L B U' F R D U'
L B U' F R D' U'
L B U' F R D2 U'
L B U' F D R U'
L B U' F D' R U'
L B U' F D2 R U'
B F L' U B' U B'
L2 B D F L' U2 D
L2 B D F L' U2 D'
L2 B D F L' U2 D2
L2 B D F L' D U2
L2 B D F L' D' U2
L2 B D F L' D2 U2
L2 B D F D L' U2
L2 B D F D' L' U2
L2 B D F D2 L' U2
F B L' U B' U B'
U B U2 B2 R' D L2
U B U2 B2 D L2 R'
U B U2 B2 D R' L2
L B D U' F R U'
L B D' U' F R U'
L2 B F L U B' U
L2 B F L' U' F U'
L B D2 U' F R U'
F' B U B' U R' B'
F2 B U B' U R' B'
L2 B F2 D F' U2 R
F' B U' F U' R B2
F' B U' F U' B2 R
F2 B U' F U' R B2
F2 B U' F U' B2 R
B F U B' U R' B'
F B U B' U R' B'
B F U' F U' R B2
B F U' F U' B2 R
F B U' F U' R B2
F B U' F U' B2 R
B F' L U' F U' B2
U B' R' D2 F2 D' L2
B F' L' U B' U B'
R2 B' D2 L2 D F' R
B F' U B' U R' B'
U B' D2 R' F2 D' L2
U B' D2 F2 R' D' L2
U B' D2 F2 D' L2 R'
U B' D2 F2 D' R' L2
B F' U' F U' R B2
B F' U' F U' B2 R
B F2 L U' F U' B2
U B2 L2 U F B R'
U B2 L2 U B R' F
U B2 L2 U B F R'
B F2 L' U B' U B'
U' B2 D L2 F B R
U' B2 D L2 B F R
U B2 U B R' D2 F2
U B2 U B D2 R' F2
U B2 U B D2 F2 R'
U B2 U' B' L U2 B2
U B2 U' B' U2 B2 R'
L2 B2 D F B' L' U2
L2 B2 D B' F L' U2
B F2 U B' U R' B'
L2 B2 D' F B' L U2
B F2 U' F U' R B2
B F2 U' F U' B2 R
L2 B2 D' B' F L U2
L2 B2 F D' B' L U2
