F' L R' U' L
F' R' L U' L
L F' R' U' L
F' L R' U' L D
F' L R' U' L D'
F' L R' U' L D2
F' L R' U' D L
F' L R' U' D' L
F' L R' U' D2 L
F' L R' D U' L
F' L R' D' U' L
F' L R' D2 U' L
F L R' F2 U' L
F' L D R' U' L
F' L D' R' U' L
F' L D2 R' U' L
D' L F' R' B2 U'
U' L F' R' U' L
U2 L F' R' U' L
U L F' R' U' L
F L F2 R' U' L
L2 U L' F' R' U'
F' R' L U' L D
F' R' L U' L D'
F' R' L U' L D2
F' R' L U' D L
F' R' L U' D' L
F' R' L U' D2 L
F' R' L D U' L
F' R' L D' U' L
F' R' L D2 U' L
F R' L F2 U' L
F' R' D' L B2 U'
F2 R' F L U' L
F R' F2 L U' L
L D F' R' U' L
L D' F' R' U' L
L D2 F' R' U' L
L F R' F2 U' L
U' F' L R' U' L
U2 F' L R' U' L
D' F' L R' B2 U'
U F' L R' U' L
U' F' R' L U' L
U2 F' R' L U' L
D' F' R' L B2 U'
L F' R' U' L D
L F' R' U' L D'
L F' R' U' L D2
L F' R' U' D L
L F' R' U' D' L
L F' R' U' D2 L
L F' R' D U' L
L F' R' D' U' L
L F' R' D2 U' L
U F' R' L U' L
F' D' L R' B2 U'
L F' D R' U' L
F' D' R' L B2 U'
L F' D' R' U' L
L F' D2 R' U' L
L F2 R' F U' L
U2 L F R' F2 U' L
U' L F R' F2 U' L
F L F R' F U' L
U L F R' F2 U' L
D2 L F' R' U R' U2
D' L F' R B2 R2 U'
D' L F' R' U' D L2
D' L F' R' D U' L2
D2 L F' R' B2 U' L
F' L F' R' F U' L
D' L F' R' B2 U' D
D' L F' R' B2 U' D'
D' L F' R' B2 U' D2
D' L F' R' B2 D U'
D' L F' R' B2 D' U'
D' L F' R' B2 D2 U'
U2 L F' R' U' L D
U2 L F' R' U' L D'
U2 L F' R' U' L D2
U2 L F' R' U' D L
U2 L F' R' U' D' L
U2 L F' R' U' D2 L
U2 L F' R' D U' L
U2 L F' R' D' U' L
U' L F' R' U' L D
U' L F' R' U' L D'
U' L F' R' U' L D2
U' L F' R' U' D L
U' L F' R' U' D' L
U' L F' R' U' D2 L
U2 L F' R' D2 U' L
D' L F' R2 B2 R U'
U' L F' R' D U' L
U' L F' R' D' U' L
U' L F' R' D2 U' L
D L F' R2 B R U'
D2 L F' D R' B2 U'
D' L F' D R' U' L2
U L F' R' U' L D
U L F' R' U' L D'
U L F' R' U' L D2
U L F' R' U' D L
U L F' R' U' D' L
U L F' R' U' D2 L
U L F' R' D U' L
U L F' R' D' U' L
U L F' R' D2 U' L
U2 L F' D R' U' L
D2 L F' D2 R' U' L2
U' L F' D R' U' L
U2 L F' D' R' U' L
U' L F' D' R' U' L
U2 L F' D2 R' U' L
U' L F' D2 R' U' L
D' L F' B2 U2 L U
U L F' D R' U' L
U L F' D' R' U' L
U L F' D2 R' U' L
D' L F2 R' F B2 U'
D' L F2 R' B2 F U'
F' L F2 R' F2 U' L
U2 L F2 R' F U' L
U' L F2 R' F U' L
F L F2 R' U' L D
F L F2 R' U' L D'
F L F2 R' U' L D2
F L F2 R' U' D L
F L F2 R' U' D' L
F L F2 R' U' D2 L
F L F2 R' D U' L
F L F2 R' D' U' L
F L F2 R' D2 U' L
U L F2 R' F U' L
F L F2 D R' U' L
F L F2 D' R' U' L
F L F2 D2 R' U' L
F' L B U' L' B' L
D' L B2 F' U2 L U
F' L' R' U' D L' F2
F' L' R' D U' L' F2
F' L' R' B L2 U' L
F' L' R' B' L2 U' L
F' L' R' B2 L2 U' L
L R' D' F' U' L R
L R' D' F' U' R L
L2 R' D2 L' F U' L
F' L' D R' U' L' F2
D' L' F' L2 R' B2 U'
D' L' F' R' L2 B2 U'
D' L' F' R' B2 L2 U'
R' L2 D2 L' F U' L
F' L2 R' D L' U' L
F' L2 R' D' L' U' L
F' L2 R' D2 L' U' L
F' L2 R' B L' U' L
F' L2 R' B' L' U' L
F' L2 R' B2 L' U' L
U' L2 U L' F' R' U'
U2 L2 U L' F' R' U'
F L2 U L' R' F2 U'
F L2 U L' F2 R' U'
U L2 U L' F' R' U'
F L2 U R' L' F2 U'
F' L2 D L' R' U' L
F' L2 D R' L' U' L
F' L2 D' L' R' U' L
F' L2 D' R' L' U' L
F' L2 D2 L' R' U' L
F' L2 D2 R' L' U' L
L2 U L F' L2 R' U'
L2 U L F' R' L2 U'
L2 U L' D F' R' U'
L2 U L' D' F' R' U'
L2 U L' D2 F' R' U'
L2 U L' F R' F2 U'
L2 U L' F' R' U' D
L2 U L' F' R' U' D'
L2 U L' F' R' U' D2
L2 U L' F' R' D U'
L2 U L' F' R' D' U'
L2 U L' F' R' D2 U'
L2 U L' F' D R' U'
L2 U L' F' D' R' U'
L2 U L' F' D2 R' U'
L2 U L' F2 R' F U'
L' U L2 F' R' U' L
L2 U L2 F' L R' U'
L2 U L2 F' R' L U'
L2 U R' D2 L' F U'
L2 U D L' F' R' U'
L2 U D' L' F' R' U'
F' R L U' L D B2
F' R L U' D L B2
F' R L D U' L B2
L2 U D2 L' F' R' U'
F R L F2 R2 U' L
L U' L U F' R' U'
F2 R F L R2 U' L
F2 R F R2 L U' L
L' U' L2 F' R' U' L
F R F2 L R2 U' L
F R F2 R2 L U' L
F' R' L U R U2 L
F' R' L U R' U2 L
F' R' L U R2 U2 L
F' R' L U' L2 D L'
F' R' L U' L2 D' L'
F' R' L U' L2 D2 L'
F' R' L U' D L D
F' R' L U' D L D'
F' R' L U' D L D2
F' R' L U' D' L D
F' R' L U' D' L D'
F' R' L U' D' L D2
F' R' L U' D2 L D
F' R' L U' D2 L D'
F' R' L U' D2 L D2
F' R' L U' F L F'
F' R' L U' F2 L F2
F' R' L U2 F U L
F' R' L U2 F' U L
F' R' L U2 F2 U L
F' R' L D U' L D
F' R' L D U' L D'
F' R' L D U' L D2
F' R' L D' U' L D
F' R' L D' U' L D'
F' R' L D' U' L D2
F' R' L D2 U' L D
F' R' L D2 U' L D'
F' R' L D2 U' L D2
F' R' L B2 U R' U2
F R' L U' L D R2
F R' L U' D L R2
F R' L U' D R2 L
F' R' L' U' D L' F2
F R' L D U' L R2
F R' L D U' R2 L
F' R' L' D U' L' F2
F R' L F2 U' L D
F R' L F2 U' L D'
F R' L F2 U' L D2
F R' L F2 U' D L
F R' L F2 U' D' L
F R' L F2 U' D2 L
F R' L F2 D U' L
F R' L F2 D' U' L
F R' L F2 D2 U' L
F' R' L' B L2 U' L
F' R' L' B' L2 U' L
F' R' L' B2 L2 U' L
F' R' L2 D L' U' L
F' R' L2 D' L' U' L
F' R' L2 D2 L' U' L
F' R' L2 B L' U' L
F' R' L2 B' L' U' L
F' R' L2 B2 L' U' L
L U' F' R' U' F L
F' R' U' L' D L' F2
F' R' U' L2 U L' U'
F' R' D L U' D' L2
F' R' D L U2 F2 U
F' R' D L D' U' L2
F' R' D L D2 B2 U'
F' R' D' L U' D L2
F' R' D' L D U' L2
F' R' D' L B2 U' D
F' R' D' L B2 U' D'
F' R' D' L B2 U' D2
F' R' D' L B2 D U'
F' R' D' L B2 D' U'
F' R' D' L B2 D2 U'
F' R' D' L' B2 L2 U'
F' R' D' L2 B2 L' U'
F2 R' D' F L B2 U'
F R' D' L B2 U' R'
F' R' D' B2 U2 R' U
F' R' D2 L U R2 U2
F' R' D2 L U' D2 L2
F' R' D2 L D B2 U'
F' R' D2 L D2 U' L2
R U2 L R2 F U' L
R U2 L F R2 U' L
F' R' F L F' U' L
F2 R' F L U' L D
F2 R' F L U' L D'
F2 R' F L U' L D2
F2 R' F L U' D L
F2 R' F L U' D' L
F2 R' F L U' D2 L
F2 R' F L D U' L
F2 R' F L D' U' L
F2 R' F L D2 U' L
F2 R' F D' L B2 U'
L' U2 L2 F' R' U' L
F2 R' F' L F2 U' L
F R' F' L F' U' L
F' R' F2 L F2 U' L
F2 R' F2 L F' U' L
F R' F2 L U' L D
F R' F2 L U' L D'
F R' F2 L U' L D2
F R' F2 L U' D L
F R' F2 L U' D' L
F R' F2 L U' D2 L
F R' F2 L D U' L
F R' F2 L D' U' L
F R' F2 L D2 U' L
F R' F2 D' L B2 U'
F' R' B' L U' L F
F' R' B' U' L F L
R U2 R2 L F U' L
D' R' B2 U2 R' B U
F' R' B2 U2 R' U L2
F' R' B2 D' B2 L U'
F' R2 L D R U' L
F' R2 L D' R U' L
F' R2 L D2 R U' L
R' U2 B2 R' B U L2
F' R2 D' L R B2 U'
F' R2 D' L B2 R U'
F' R2 D' R L B2 U'
L2 D L' F' R' U' L
B R2 B L R' U L
B R2 B R' L U L
L2 D U L' F' R' U'
D' U L F' R' B2 U'
F U L R' F2 U' L
F U L F2 R' U' L
L D F R' F2 U' L
L D F' R' U' L D
L D F' R' U' L D'
L D F' R' U' L D2
L D F' R' U' D L
L D F' R' U' D' L
L D F' R' U' D2 L
L D F' R' D U' L
L D F' R' D' U' L
L D F' R' D2 U' L
L D F' D R' U' L
L D F' D' R' U' L
L D F' D2 R' U' L
L D F2 R' F U' L
F2 U R' F L U' L
F U R' L F2 U' L
F U R' F2 L U' L
D' U F' L R' B2 U'
D' U F' R' L B2 U'
R' D' L F' B2 U' R
R' D' L B2 F' U' R
F2 U F L R' U' L
F2 U F R' L U' L
L2 D' L' F' R' U' L
F U F2 L R' U' L
F U F2 R' L U' L
D' U' L F' R' B2 U'
U' D' L F' R' B2 U'
U2 D' L F' R' B2 U'
L2 D' U L' F' R' U'
U D' L F' R' B2 U'
F' U' L R' U' L R
F' U' L R' U' R L
F U' L R' F2 U' L
R' D' F' L B2 U' R
F U' L F2 R' U' L
F' U' L2 U L' R' U'
F' U' L2 U R' L' U'
L D' F R' F2 U' L
L D' F' R' U' L D
L D' F' R' U' L D'
L D' F' R' U' L D2
L D' F' R' U' D L
L D' F' R' U' D' L
L D' F' R' U' D2 L
L D' F' R' D U' L
L D' F' R' D' U' L
L D' F' R' D2 U' L
L D' F' D R' U' L
F' U' R' L U' L R
F' U' R' L U' R L
L D' F' D' R' U' L
L D' F' D2 R' U' L
U' D' F' L R' B2 U'
D' U' F' L R' B2 U'
D' U' F' R' L B2 U'
U' D' F' R' L B2 U'
L D' F2 R' F U' L
F2 U' R' F L U' L
U2 D' F' L R' B2 U'
U2 D' F' R' L B2 U'
F U' R' L F2 U' L
U D' F' L R' B2 U'
U D' F' R' L B2 U'
F U' R' F2 L U' L
F2 U' F L R' U' L
F2 U' F R' L U' L
L2 D2 L' F' R' U' L
D' U2 L F' R' B2 U'
F U' F2 L R' U' L
F U' F2 R' L U' L
L2 D2 U L' F' R' U'
F U2 L R' F2 U' L
D' U2 F' L R' B2 U'
D' U2 F' R' L B2 U'
F U2 L F2 R' U' L
L D2 F R' F2 U' L
L D2 F' R' U' L D
L D2 F' R' U' L D'
L D2 F' R' U' L D2
L D2 F' R' U' D L
L D2 F' R' U' D' L
L D2 F' R' U' D2 L
L D2 F' R' D U' L
L D2 F' R' D' U' L
L D2 F' R' D2 U' L
L D2 F' D R' U' L
L D2 F' D' R' U' L
L D2 F' D2 R' U' L
L D2 F2 R' F U' L
F2 U2 R' F L U' L
F U2 R' L F2 U' L
F U2 R' F2 L U' L
U' F L R' F2 U' L
D' F L R' F2 B2 U'
D' F L R' B2 F2 U'
U' F L F2 R' U' L
D' F L F2 R' B2 U'
U2 F L R' F2 U' L
U2 F L F2 R' U' L
U F L R' F2 U' L
F2 U2 F L R' U' L
F2 U2 F R' L U' L
U F L F2 R' U' L
U' F R' L F2 U' L
D' F R' L F2 B2 U'
D' F R' L B2 F2 U'
U' F R' F2 L U' L
D' F R' F2 L B2 U'
U2 F R' L F2 U' L
F U2 F2 L R' U' L
F U2 F2 R' L U' L
U2 F R' F2 L U' L
L F R F2 R2 U' L
U F R' L F2 U' L
L F R' U' L D R2
L F R' U' D L R2
L F R' U' D R2 L
L F R' D U' L R2
L F R' D U' R2 L
U F R' F2 L U' L
L F R' F2 U' L D
L F R' F2 U' L D'
L F R' F2 U' L D2
L F R' F2 U' D L
L F R' F2 U' D' L
L F R' F2 U' D2 L
L F R' F2 D U' L
L F R' F2 D' U' L
L F R' F2 D2 U' L
F' D L R' U' D' L2
F' D L R' U2 F2 U
F' D L R' D' U' L2
F' D L R' D2 B2 U'
F' D L D' R' U' L2
F' D L D2 R' B2 U'
L F D R' U' L R'
L F D R' U' R' L
F' D R' L U' D' L2
F' D R' L U2 F2 U
F' D R' L D' U' L2
F' D R' L D2 B2 U'
F' D R' D' L U' L
F' D R' D2 L B2 U'
U' F' L R' U' L D
U' F' L R' U' L D'
U' F' L R' U' L D2
U' F' L R' U' D L
U' F' L R' U' D' L
U' F' L R' U' D2 L
U' F' L R' D U' L
U' F' L R' D' U' L
U' F' L R' D2 U' L
D' F' L R B2 R2 U'
D' F' L R' U' D L2
D2 F' L R' U R' U2
D' F' L R' D U' L2
D' F' L R' B2 U' D
D' F' L R' B2 U' D'
D' F' L R' B2 U' D2
D' F' L R' B2 D U'
D' F' L R' B2 D' U'
D' F' L R' B2 D2 U'
D2 F' L R' B2 U' L
D' F' L R2 B2 R U'
U' F' L D R' U' L
U' F' L D' R' U' L
U' F' L D2 R' U' L
D' F' L D R' U' L2
D2 F' L D R' B2 U'
D2 F' L D2 R' U' L2
U2 F' L R' U' L D
U2 F' L R' U' L D'
U2 F' L R' U' L D2
U2 F' L R' U' D L
U2 F' L R' U' D' L
U2 F' L R' U' D2 L
U2 F' L R' D U' L
U2 F' L R' D' U' L
U2 F' L R' D2 U' L
D' F' L B2 U2 L U
D' F' L' R' B2 L2 U'
U2 F' L D R' U' L
U2 F' L D' R' U' L
U2 F' L D2 R' U' L
D F' L R2 B R U'
U F' L R' U' L D
U F' L R' U' L D'
U F' L R' U' L D2
U F' L R' U' D L
U F' L R' U' D' L
U F' L R' U' D2 L
U F' L R' D U' L
U F' L R' D' U' L
U F' L R' D2 U' L
D' F' L2 R' B2 L' U'
U F' L D R' U' L
U F' L D' R' U' L
U F' L D2 R' U' L
L' F' L2 D R' B U'
D' F' R L B2 R2 U'
U' F' R' L U' L D
U' F' R' L U' L D'
U' F' R' L U' L D2
U' F' R' L U' D L
U' F' R' L U' D' L
U' F' R' L U' D2 L
U' F' R' L D U' L
U' F' R' L D' U' L
U' F' R' L D2 U' L
D2 F' R' L U R' U2
D' F' R' L U' D L2
D' F' R' L D U' L2
D2 F' R' L B2 U' L
D' F' R' L B2 U' D
D' F' R' L B2 U' D'
D' F' R' L B2 U' D2
D' F' R' L B2 D U'
D' F' R' L B2 D' U'
D' F' R' L B2 D2 U'
D' F' R' L' B2 L2 U'
D' F' R' L2 B2 L' U'
U' F' R' D' L B2 U'
D' F' R' D L U' L
U2 F' R' L U' L D
U2 F' R' L U' L D'
U2 F' R' L U' L D2
U2 F' R' L U' D L
U2 F' R' L U' D' L
U2 F' R' L U' D2 L
U2 F' R' L D U' L
U2 F' R' L D' U' L
U2 F' R' L D2 U' L
D' F' R' B2 U2 R' U
D' F' R2 L B2 R U'
L F' R U' L D B2
U2 F' R' D' L B2 U'
L F' R U' D L B2
L F' R D U' L B2
U F' R' L U' L D
U F' R' L U' L D'
U F' R' L U' L D2
U F' R' L U' D L
U F' R' L U' D' L
U F' R' L U' D2 L
U F' R' L D U' L
U F' R' L D' U' L
U F' R' L D2 U' L
D F' R' D2 L B' U'
L F' R' U R U2 L
L F' R' U R' U2 L
L F' R' U R2 U2 L
L F' R' U' L2 D L'
L F' R' U' L2 D' L'
L F' R' U' L2 D2 L'
L F' R' U' D L D
L F' R' U' D L D'
L F' R' U' D L D2
L F' R' U' D' L D
L F' R' U' D' L D'
L F' R' U' D' L D2
L F' R' U' D2 L D
L F' R' U' D2 L D'
L F' R' U' D2 L D2
L F' R' U' F L F'
L F' R' U' F2 L F2
L F' R' U2 F U L
L F' R' U2 F' U L
L F' R' U2 F2 U L
U F' R' D' L B2 U'
L F' R' D U' L D
L F' R' D U' L D'
L F' R' D U' L D2
D F' R2 L B R U'
L F' R' D' U' L D
L F' R' D' U' L D'
L F' R' D' U' L D2
L F' R' D2 U' L D
L F' R' D2 U' L D'
L F' R' D2 U' L D2
L F' R' B2 U R' U2
L F' R2 D R U' L
L F' R2 D' R U' L
L F' R2 D2 R U' L
F' D' L R B2 R2 U'
F' D' L R' U' D L2
F' D' L R' D U' L2
F' D' L R' B2 U' D
F' D' L R' B2 U' D'
F' D' L R' B2 U' D2
F' D' L R' B2 D U'
F' D' L R' B2 D' U'
F' D' L R' B2 D2 U'
F' D' L R2 B2 R U'
F' D' L D R' U' L2
F' D' L B2 U2 L U
F' D' L' R' B2 L2 U'
L F' U' L U R' U'
D2 F' D L R' B2 U'
D' F' D L R' U' L
D2 F' D R' L B2 U'
D' F' D R' L U' L
F D' L R' B2 U' R'
L' F' D R' B U' F2
U' F' D' L R' B2 U'
F' D' L2 R' B2 L' U'
U' F' D' R' L B2 U'
U2 F' D' L R' B2 U'
F' D' R L B2 R2 U'
D2 F' D2 L R' U' L
U2 F' D' R' L B2 U'
D2 F' D2 R' L U' L
L F' D R' U' L D
L F' D R' U' L D'
L F' D R' U' L D2
L F' D R' U' D L
L F' D R' U' D' L
L F' D R' U' D2 L
L F' D R' D U' L
L F' D R' D' U' L
L F' D R' D2 U' L
F' D' R' L U' D L2
F' D' R' L D U' L2
F' D' R' L B2 U' D
F' D' R' L B2 U' D'
F' D' R' L B2 U' D2
F' D' R' L B2 D U'
F' D' R' L B2 D' U'
F' D' R' L B2 D2 U'
F' D' R' L' B2 L2 U'
F' D' R' L2 B2 L' U'
U F' D' L R' B2 U'
F' D' R' D L U' L
U F' D' R' L B2 U'
L F' D' R' U' L D
L F' D' R' U' L D'
L F' D' R' U' L D2
L F' D' R' U' D L
L F' D' R' U' D' L
L F' D' R' U' D2 L
L F' D' R' D U' L
L F' D' R' D' U' L
L F' D' R' D2 U' L
F2 D' R' F L B2 U'
F' D' R' B2 U2 R' U
F' D' R2 L B2 R U'
L F' D2 R' U' L D
L F' D2 R' U' L D'
L F' D2 R' U' L D2
L F' D2 R' U' D L
L F' D2 R' U' D' L
L F' D2 R' U' D2 L
L F' D2 R' D U' L
L F' D2 R' D' U' L
L F' D2 R' D2 U' L
F D' R' L B2 U' R'
D' F' B2 U2 L R' U
D' F' B2 U2 R' L U
L F' B U' L' B' L
F2 D' F L R' B2 U'
F2 D' F R' L B2 U'
B2 D' F' B2 L R' U'
B2 D' F' B2 R' L U'
U' F2 R' F L U' L
D' F2 R' F L B2 U'
U2 F2 R' F L U' L
L F2 R F R2 U' L
L F2 R' D F U' L
L F2 R' D' F U' L
L F2 R' D2 F U' L
U F2 R' F L U' L
L F2 R' F U' L D
L F2 R' F U' L D'
L F2 R' F U' L D2
L F2 R' F U' D L
L F2 R' F U' D' L
L F2 R' F U' D2 L
L F2 R' F D U' L
L F2 R' F D' U' L
L F2 R' F D2 U' L
B2 D' B2 L F' R' U'
F' D' B2 U2 L R' U
F' D' B2 U2 R' L U
F' D2 L R' U R' U2
B2 D' B2 F' L R' U'
F' D2 L R' B2 U' L
B2 D' B2 F' R' L U'
F' D2 L D R' B2 U'
F' D2 L D2 R' U' L2
D F2 U2 R' F L U'
D F2 U2 F L R' U'
D F2 U2 F R' L U'
L F2 D R' F U' L
L F2 D F R' U' L
F' D2 R' L U R' U2
F' D2 R' L B2 U' L
L F2 D' R' F U' L
L F2 D' F R' U' L
L F2 D2 R' F U' L
L F2 D2 F R' U' L
R2 B D F2 L' U F
L B F' U' L' B' L
B2 F' U2 L R' U L
B2 F' U2 R' L U L
B2 F' D' B2 L R' U'
B2 F' D' B2 R' L U'
R' B2 U2 R' B U L2
F' B2 U2 L R' U L
F' B2 U2 R' L U L
D' B2 F' U2 L R' U
D' B2 F' U2 R' L U
F' B2 D' B2 L R' U'
F' B2 D' B2 R' L U'
