R' U' R2 F' U'
R' L U' R2 F' U'
R' L' U' R2 F' U'
L' R' U' R2 F' U'
L R' U' R2 F' U'
L2 R' U' R2 F' U'
R' L2 U' R2 F' U'
R' U D B U B
R' U D2 L2 B U
R' U D2 B L2 U
R' U B U D B2
R' U B U2 R2 U'
R' U B D U B2
R' U B D2 L2 U
U' R D F' B2 U'
U' R D B2 F' U'
U' R D2 F' U' L2
U' R F' U R2 U2
U' R F' U' D2 L2
U' R F' D B2 U'
U' R F' D2 U' L2
R' U' R2 D F' U'
R' U' R2 D' F' U'
R' U' R2 D2 F' U'
R' U' R2 F' U' D
R' U' R2 F' U' D'
R' U' R2 F' U' D2
R' U' R2 F' D U'
R' U' R2 F' D' U'
R' U' R2 F' D2 U'
R' U' F R2 F' U'
R' U' F' R2 F' U'
R' U' F2 R2 F' U'
F2 R' U L' B U
F2 R' U B L' U
R' D U B U B
R' D' F2 U B U
R' D2 U L2 B U
R' D2 U B L2 U
R' F U' R2 F' U'
F D R' U2 B R'
R' F' U' R2 F' U'
R' F2 U' R2 F' U'
U' B2 R F' U' L
F L2 D R' U2 B R'
R' U L U2 R2 F' U'
R' U L D B U B
R' U L D2 L2 B U
R' U L D2 B L2 U
R' U L B U D B2
R' U L B U2 R2 U'
R' U L B D U B2
R' U L B D2 L2 U
R' U L' U2 R2 F' U'
R' U L' D B U B
R' U L' D2 L2 B U
R' U L' D2 B L2 U
R' U L' B U D B2
R' U L' B U2 R2 U'
R' U L' B D U B2
R' U L' B D2 L2 U
R' U L2 U2 R2 F' U'
R' U L2 D B U B
R' U L2 D2 L2 B U
R' U L2 D2 B L2 U
R' U L2 B U D B2
R' U L2 B U2 R2 U'
R' U L2 B D U B2
R' U L2 B D2 L2 U
R U R2 U B R2 U
R' U D L B U B
R' U D L' B U B
R' U D L2 B U B
R' U D B L U B
R' U D B L' U B
R' U D B L2 U B
R' U D B U D B
R' U D B U D' B
R' U D B U D2 B
R' U D B U B D
R' U D B U B D'
R' U D B U B D2
R' U D B D U B
R' U D B D' U B
R' U D B D2 U B
R' U D' B U D2 B2
R' U D' B U' F2 U2
R' U D' B D' L2 U
R' U D' B D2 U B2
R' U D2 L' B L' U
R' U D2 L2 D B U
R' U D2 L2 D' B U
R' U D2 L2 D2 B U
R' U D2 L2 B U D
R' U D2 L2 B U D'
R' U D2 L2 B U D2
R' U D2 L2 B D U
R' U D2 L2 B D' U
R' U D2 L2 B D2 U
R' U D2 B L2 U D
R' U D2 B L2 U D'
R' U D2 B L2 U D2
R' U D2 B L2 D U
R' U D2 B L2 D' U
R' U D2 B L2 D2 U
R' U D2 B U D' B2
R' U D2 B D' U B2
R' U D2 B' L2 B2 U
U' R U R2 U B U
R' U B L U D B2
R' U B L U2 R2 U'
R' U B L D U B2
R' U B L D2 L2 U
R' U B L' U D B2
R' U B L' U2 R2 U'
R' U B L' D U B2
R' U B L' D2 L2 U
R' U B L2 U D B2
R' U B L2 U2 R2 U'
R' U B L2 D U B2
R' U B L2 D2 L2 U
R' U B U D B2 D
R' U B U D B2 D'
R' U B U D B2 D2
R' U B U B D B2
R' U B U B' D B2
R' U B U B2 D B2
R' U B U' D' F2 U2
R' U B U2 R2 U' D
R' U B U2 R2 U' D'
R' U B U2 R2 U' D2
R' U B U2 R2 D U'
R' U B U2 R2 D' U'
R' U B U2 R2 D2 U'
R' U B D L U B2
R' U B D L' U B2
R' U B D L2 U B2
R' U B D U B2 D
R' U B D U B2 D'
R' U B D U B2 D2
R' U B D' U' F2 U2
R' U B D2 L2 U D
R' U B D2 L2 U D'
R' U B D2 L2 U D2
R' U B D2 L2 D U
R' U B D2 L2 D' U
R' U B D2 L2 D2 U
U' R D F' U' D L2
U' R D F' D U' L2
U' R D F' B2 U' D
U' R D F' B2 U' D'
U' R D F' B2 U' D2
U' R D F' B2 D U'
U' R D F' B2 D' U'
U' R D F' B2 D2 U'
B2 R D F' L2 U' L'
U2 R D F' B2 U' F
U' R D B2 D F' U'
U' R D B2 D' F' U'
U' R D B2 D2 F' U'
U' R D B2 F' U' D
U' R D B2 F' U' D'
U' R D B2 F' U' D2
U' R D B2 F' D U'
U' R D B2 F' D' U'
U' R D B2 F' D2 U'
R' U B2 D B' U B'
R' U B2 D2 B' L2 U
U2 R D B2 F' U' F
U R D F' B2 L U'
U' R D' F' U2 F' U
U R D B2 L F' U'
U R D B2 F' L U'
R' U' L' R2 F' L U'
U' R D2 F' U' L2 D
U' R D2 F' U' L2 D'
U' R D2 F' U' L2 D2
U' R D2 F' D' B2 U'
U' R D2 F' B U' L2
U' R D2 F' B' U' L2
U' R D2 F' B2 U' L2
B2 R D2 F' U' L F'
B2 R D2 F' U' F' L
U' R D2 B F' U' L2
U' R D2 B' F' U' L2
U2 R D2 F' U' F L2
U' R D2 B2 F' U' L2
R' U' L2 R2 F' L2 U'
U' R F D B2 U' R2
U' R F' U R2 U2 D
U' R F' U R2 U2 D'
U' R F' U R2 U2 D2
U' R F' U R2 D U2
U' R F' U R2 D' U2
U' R F' U R2 D2 U2
U' R F' U' L D2 L2
U' R F' U' L' D2 L2
U' R F' U' L2 D2 L2
U' R F' U' D2 L2 D
U' R F' U' D2 L2 D'
U' R F' U' D2 L2 D2
U' R F' U2 D' F2 U
B2 R F' U B2 R' U2
B2 R F' U' L D2 F2
B2 R F' U' D2 L F2
B2 R F' U' D2 F2 L
U' R F' D B2 U' D
U' R F' D B2 U' D'
U' R F' D B2 U' D2
U' R F' D B2 D U'
U' R F' D B2 D' U'
U' R F' D B2 D2 U'
U2 R F' U R2 U2 F
U' R F' D' U2 F2 U
B2 R F' D L2 U' L'
U2 R F' U' D2 F L2
U2 R F' U' F D2 L2
U' R F' D2 U' L2 D
U' R F' D2 U' L2 D'
U' R F' D2 U' L2 D2
U' R F' D2 B U' L2
U' R F' D2 B' U' L2
U' R F' D2 B2 U' L2
U' R F' B U R2 U2
U' R F' B U' D2 L2
L' U' R D F' B2 U'
U' R F' B D B2 U'
U' R F' B D2 U' L2
L' U' R D B2 F' U'
U' R F' B' U R2 U2
U' R F' B' U' D2 L2
U' R F' B' D B2 U'
U' R F' B' D2 U' L2
B2 R F' D2 U' L F2
B2 R F' D2 U' F2 L
U2 R F' D B2 U' F
U' R F' B2 U R2 U2
U' R F' B2 U' D2 L2
U' R F' B2 D B2 U'
U' R F' B2 D2 U' L2
L' U' R D2 F' U' L2
U2 R F' D2 U' F L2
L' U' R F' U R2 U2
L' U' R F' U' D2 L2
L' U' R F' D B2 U'
L' U' R F' D2 U' L2
L2 U' R D F' B2 U'
L2 U' R D B2 F' U'
L2 U' R D2 F' U' L2
L2 U' R F' U R2 U2
U R F' D B2 L U'
L2 U' R F' U' D2 L2
L2 U' R F' D B2 U'
L2 U' R F' D2 U' L2
L U' R D F' B2 U'
L U' R D B2 F' U'
U' R F2 D F B2 U'
U' R F2 D B2 F U'
R' U' R' D R' F' U'
L U' R D2 F' U' L2
R' U' R' D' R' F' U'
U' R F2 D2 F U' L2
L U' R F' U R2 U2
L U' R F' U' D2 L2
R' U' R' D2 R' F' U'
L U' R F' D B2 U'
L U' R F' D2 U' L2
R' U' R' F R' F' U'
R' U' R' F' R' F' U'
R' U' R' F2 R' F' U'
R' U' R2 L' F' L U'
R' U' R2 L2 F' L2 U'
U' R B D F' B2 U'
U' R B D B2 F' U'
R' U' R2 D F' U' D
R' U' R2 D F' U' D'
R' U' R2 D F' U' D2
R' U' R2 D F' D U'
R' U' R2 D F' D' U'
R' U' R2 D F' D2 U'
R' U' R2 D' F' U' D
R' U' R2 D' F' U' D'
R' U' R2 D' F' U' D2
R' U' R2 D' F' D U'
R' U' R2 D' F' D' U'
R' U' R2 D' F' D2 U'
U' R B D2 F' U' L2
R' U' R2 D2 F' U' D
R' U' R2 D2 F' U' D'
R' U' R2 D2 F' U' D2
R' U' R2 D2 F' D U'
R' U' R2 D2 F' D' U'
R' U' R2 D2 F' D2 U'
R' U' R2 F U' D R2
U' R B F' U R2 U2
R' U' R2 F D U' R2
U' R B F' U' D2 L2
U' R B F' D B2 U'
U' R B F' D2 U' L2
R' U' R2 F2 D F U'
R' U' R2 F2 D' F U'
R' U' R2 F2 D2 F U'
R' U' D R2 F' U' B2
U' R B' D F' B2 U'
U' R B' D B2 F' U'
U' R B' D2 F' U' L2
U' R B' F' U R2 U2
U' R B' F' U' D2 L2
U' R B' F' D B2 U'
U' R B' F' D2 U' L2
U' R B2 D F' B2 U'
U' R B2 D B2 F' U'
U' R B2 D2 F' U' L2
R U' D F' B2 U' B2
U' R B2 F' U R2 U2
U' R B2 F' U' D2 L2
U' R B2 F' D B2 U'
U' R B2 F' D2 U' L2
R U' D B2 F' U' B2
F2 R' L U L2 B U
F2 R' L U B L2 U
D2 R' L' U' R2 F U'
D2 R' L' U' F R2 U'
R' U' F R2 D F' U'
R' U' F R2 D' F' U'
R' U' F R2 D2 F' U'
R' U' F R2 F' U' D
R' U' F R2 F' U' D'
R' U' F R2 F' U' D2
R' U' F R2 F' D U'
R' U' F R2 F' D' U'
R' U' F R2 F' D2 U'
F2 R' L' U B U B'
F2 R' L2 U L B U
R' U' F' R2 D F' U'
R' U' F' R2 D' F' U'
R' U' F' R2 D2 F' U'
R' U' F' R2 F' U' D
R' U' F' R2 F' U' D'
R' U' F' R2 F' U' D2
R' U' F' R2 F' D U'
R' U' F' R2 F' D' U'
R' U' F' R2 F' D2 U'
F' R' U L' B U B2
F2 R' U L B L2 U
F2 R' U L' D B U
F2 R' U L' D' B U
F2 R' U L' D2 B U
F2 R' U L' B U D
F2 R' U L' B U D'
F2 R' U L' B U D2
F2 R' U L' B D U
F2 R' U L' B D' U
F2 R' U L' B D2 U
R' U' F2 R2 D F' U'
R' U' F2 R2 D' F' U'
R' U' F2 R2 D2 F' U'
R' U' F2 R2 F' U' D
R' U' F2 R2 F' U' D'
R' U' F2 R2 F' U' D2
R' U' F2 R2 F' D U'
R' U' F2 R2 F' D' U'
R' U' F2 R2 F' D2 U'
F2 R' U D L' B U
F2 R' U D B L' U
F2 R' U D' L' B U
F2 R' U D' B L' U
F2 R' U D2 L' B U
F' R' U B L' U B'
F2 R' U D2 B L' U
R U' F' D B2 U' B2
F2 R' U B L' U D
F2 R' U B L' U D'
F2 R' U B L' U D2
F2 R' U B L' D U
F2 R' U B L' D' U
F2 R' U B L' D2 U
F2 R' U B D L' U
F2 R' U B D' L' U
F2 R' U B D2 L' U
F2 R' U B' L' B2 U
D' R' U' R2 F' U' R
U' R' U' R2 F' U' F
D' R' U' F' R2 U' R'
F R' U' R2 F' R U'
D R' U2 B D R' B2
D R' U2 B' D B2 R'
D2 R' D F L' U2 B2
D2 R' D F' U2 R B2
D2 R' D F' U2 B2 R
L' U' B2 R F' U' L
F2 R' D U L' B U
F2 R' D U B L' U
L2 U' B2 R F' U' L
L U' B2 R F' U' L
F2 R' D' U L' B U
F2 R' D' U B L' U
F2 R' D2 U L' B U
F2 R' D2 U B L' U
D' R' F L' U' R2 U'
D' R' F L' U2 D B2
D' R' F L' D U2 B2
D' R' F L' D' F2 U2
D' R' F D L' U2 B2
D' R' F D' L' F2 U2
D' R' F D' F2 U2 R
F R' F U L' B U
F R' F U B L' U
D' R' F' U' R2 U' R'
F' R' F' U L' B U
R' U2 R U R F' U'
D' R' F' U2 D R B2
D' R' F' U2 D B2 R
F' R' F' U B L' U
D' R' F' D U2 R B2
D' R' F' D U2 B2 R
D' R' F' D' F2 L' U2
R' U2 D B' D' R2 B'
R' U2 D B' D' B' R2
R' U2 D B2 U' B' U
R' U2 D2 B' D' R2 B2
R' U2 D2 B' D' B2 R2
R' U2 B U R2 U' R2
R' U2 B D B2 D' R2
R' U2 B' D B2 D2 R2
R' U2 B' D' R2 D2 B2
R' D L U B U B
R' D L' U B U B
R' D L2 U B U B
U' R2 F' R' F' U' L'
R2 D R U' R2 F' U'
R' D U L B U B
R' D U L' B U B
R' D U L2 B U B
R' D U B L U B
R' D U B L' U B
R' D U B L2 U B
R' D U B U D B
R' D U B U D' B
R' D U B U D2 B
R' D U B U B D
R' D U B U B D'
R' D U B U B D2
R' D U B D U B
R' D U B D' U B
R' D U B D2 U B
R' D U' R2 F' U' B2
R' D U2 B' D' R2 B'
R' D U2 B' D' B' R2
R' D U2 B2 U' B' U
R' D F U B U B
R D U' F' B2 U' B2
R D U' B2 F' U' B2
R' D F' U B U B
R' D F2 U B U B
R D F' B2 U B2 U2
R D F' B2 U' D2 F2
R D F' B2 D L2 U'
R D F' B2 D2 U' F2
R' D' L F2 U B U
R D B2 D L2 F' U'
R D B2 D F' L2 U'
R D B2 D2 F' U' F'
R D B2 F' U B2 U2
R D B2 F' U' D2 F2
R D B2 F' D L2 U'
R D B2 F' D2 U' F2
R' D' L' F2 U B U
R' D' L2 F2 U B U
R2 D' R U' R2 F' U'
R' D' U B U D2 B2
R' D' U B U' F2 U2
R' D' U B D' L2 U
R' D' U B D2 U B2
R' D' F2 L U B U
R' D' F2 L' U B U
R' D' F2 L2 U B U
R' D' F2 U D B U
R' D' F2 U D' B U
R' D' F2 U D2 B U
R' D' F2 U B U D
R' D' F2 U B U D'
R' D' F2 U B U D2
R' D' F2 U B D U
R' D' F2 U B D' U
R' D' F2 U B D2 U
R' D' F2 D U B U
R' D' F2 D' U B U
R' D' F2 D2 U B U
R D' F' U2 F' U F
R' D2 L U L B U
R' D2 L' U L' B U
R' D2 L' U B L' U
R' D2 L2 U B U B'
R2 D2 R U' R2 F' U'
R' D2 U L' B L' U
R' D2 U L2 D B U
R' D2 U L2 D' B U
R' D2 U L2 D2 B U
R' D2 U L2 B U D
R' D2 U L2 B U D'
R' D2 U L2 B U D2
R' D2 U L2 B D U
R' D2 U L2 B D' U
R' D2 U L2 B D2 U
R' D2 U B L2 U D
R' D2 U B L2 U D'
R' D2 U B L2 U D2
R' D2 U B L2 D U
R' D2 U B L2 D' U
R' D2 U B L2 D2 U
R' D2 U B U D' B2
R' D2 U B D' U B2
R' D2 U B' L2 B2 U
R' D2 U2 B' D' R2 B2
R' D2 U2 B' D' B2 R2
R' D2 F U L2 B U
R' D2 F U B L2 U
R' D2 F' U L2 B U
R' D2 F' U B L2 U
R' D2 F2 U L2 B U
R' D2 F2 U B L2 U
R D2 F' U' L2 D F2
R D2 F' B U' L2 F
R D2 B F' U' L2 F
R' F L U' R2 F' U'
R' F L' U' R2 F' U'
F U2 D B R' B L
D' F L' D R' U2 B
R' F L2 U' R2 F' U'
D' F R' D' L' F U2
R' F U D B U B
R' F U D2 L2 B U
R' F U D2 B L2 U
R' F U B U D B2
R' F U B U2 R2 U'
R' F U B D U B2
R' F U B D2 L2 U
R F R2 U' R2 F2 U'
R' F U' R2 D F' U'
R' F U' R2 D' F' U'
R' F U' R2 D2 F' U'
R F R2 U' F2 R2 U'
R' F U' R2 F' U' D
R' F U' R2 F' U' D'
R' F U' R2 F' U' D2
R' F U' R2 F' D U'
R' F U' R2 F' D' U'
R' F U' R2 F' D2 U'
R F R2 U2 D R2 B2
R F R2 U2 D B2 R2
R F R2 D U2 R2 B2
R F R2 D U2 B2 R2
R F R2 D' L2 F2 U2
R F R2 D' F2 L2 U2
R' F U' F R2 F' U'
R' F U' F' R2 F' U'
R' F U' F2 R2 F' U'
D' F D L' R' U2 B
D' F D R' L' U2 B
F D L R' U2 B R'
R' F D U B U B
L' F D R' U2 B R'
D' F D' L' R' F U2
L2 F D R' U2 B R'
D' F D' L' F R' U2
D' F D' R' L' F U2
F D L' R' U2 B R'
R' F D' F2 U B U
L F D R' U2 B R'
F D L2 R' U2 B R'
R' F D2 U L2 B U
R' F D2 U B L2 U
F D R' L U2 B R'
F D R' L' U2 B R'
F D R' L2 U2 B R'
F D R' U2 B R' D
F D R' U2 B R' D'
F D R' U2 B R' D2
F D R' U2 B D R'
F D R' U2 B D' R'
F D R' U2 B D2 R'
F D R' F U2 B R'
F D R' F' U2 B R'
F D R' F2 U2 B R'
R' F' L U' R2 F' U'
R' F' L' U' R2 F' U'
R' F' L2 U' R2 F' U'
F D U2 B R' B L
F D F R' U2 B R'
F D F' R' U2 B R'
F D F2 R' U2 B R'
R' F' U D B U B
R' F' U D2 L2 B U
R' F' U D2 B L2 U
R' F' U B U D B2
R' F' U B U2 R2 U'
R' F' U B D U B2
R' F' U B D2 L2 U
R' F' U' R2 D F' U'
R' F' U' R2 D' F' U'
R' F' U' R2 D2 F' U'
R' F' U' R2 F' U' D
R' F' U' R2 F' U' D'
R' F' U' R2 F' U' D2
R' F' U' R2 F' D U'
R' F' U' R2 F' D' U'
R' F' U' R2 F' D2 U'
R F' R2 U' R2 U' R2
R' F' U' F R2 F' U'
R' F' U' F' R2 F' U'
R' F' U' F2 R2 F' U'
R F' U R2 U R2 U
R F' U R2 U2 D' F2
R F' U R2 D B2 U2
R F' U R2 D' U2 F2
R' F' D U B U B
R F' U' D2 L2 D F2
F D' L' R' F L' U2
R' F' D' F2 U B U
R F' U2 D' F2 U F2
F D' L' F L' R' U2
F D' L' F R' L' U2
R' F' D2 U L2 B U
R' F' D2 U B L2 U
R F' D B2 U B2 U2
R F' D B2 U' D2 F2
R F' D B2 D L2 U'
R F' D B2 D2 U' F2
R F' D' U2 F2 U F2
F D' R' L' F L' U2
R F' D2 U' L2 D F2
F D' R' F L' F U2
R F' D2 B U' L2 F
R' F2 L U' R2 F' U'
R F' B U R2 B' U2
R F' B U B' R2 U2
R F' B U' D2 L2 F
R F' B D2 U' L2 F
R F' B' U R2 U2 F'
R F' B' U B R2 U2
R' F2 L' U' R2 F' U'
R F' B2 U R2 B2 U2
R F' B2 U B2 R2 U2
R F' B2 U' D2 L2 F2
R F' B2 U' D2 F2 L2
R F' B2 D L2 B2 U'
R F' B2 D B2 L2 U'
R' F2 L2 U' R2 F' U'
R F' B2 D2 U' L2 F2
R F' B2 D2 U' F2 L2
F D' F L' R' F U2
F D' F L' F R' U2
F D' F R' L' F U2
D' F2 R' U L' B' U
L' F2 R' U L' B U
L' F2 R' U B L' U
L2 F2 R' U L' B U
L2 F2 R' U B L' U
L F2 R' U L' B U
L F2 R' U B L' U
R' F2 U D B U B
R' F2 U D2 L2 B U
R' F2 U D2 B L2 U
R' F2 U B U D B2
R' F2 U B U2 R2 U'
R' F2 U B D U B2
R' F2 U B D2 L2 U
R' F2 U' R2 D F' U'
R' F2 U' R2 D' F' U'
R' F2 U' R2 D2 F' U'
R' F2 U' R2 F' U' D
R' F2 U' R2 F' U' D'
R' F2 U' R2 F' U' D2
R' F2 U' R2 F' D U'
R' F2 U' R2 F' D' U'
R' F2 U' R2 F' D2 U'
R' F2 U' F R2 F' U'
R' F2 U' F' R2 F' U'
R F2 R2 U' R2 F U'
R F2 R2 U' F R2 U'
R' F2 U' F2 R2 F' U'
R' F2 D U B U B
R' F2 D' F2 U B U
R' F2 D2 U L2 B U
R' F2 D2 U B L2 U
U' B R F' B U' L
U' B R B F' U' L
U2 B U R F' B U'
U2 B U R B F' U'
U B U2 R F' U' L'
R B D2 F' U' L2 F
R B F' U R2 B' U2
R B F' U B' R2 U2
R B F' U' D2 L2 F
R B F' D2 U' L2 F
U' B' R F' B' U' L
U' B' R B' F' U' L
R' B' D L2 B U2 B
R' B' D B L2 U2 B
R' B' D' F2 U2 R2 F'
R' B' D' F2 B U2 R2
R' B' D' B F2 U2 R2
U2 B2 L U R F' U'
R B' F' U R2 U2 F'
R B' F' U B R2 U2
U' B2 R D F' U' L
U' B2 R D' F' U' L
U' B2 R D2 F' U' L
U' B2 R F' U' L D
U' B2 R F' U' L D'
U' B2 R F' U' L D2
U' B2 R F' U' D L
U' B2 R F' U' D' L
U' B2 R F' U' D2 L
U' B2 R F' D U' L
U' B2 R F' D' U' L
U' B2 R F' D2 U' L
U2 B2 R F' U' F L
U2 B2 U R F' U' L
U B2 U2 R F' U' L
R B2 D L2 F' B2 U'
R B2 D L2 B2 F' U'
R B2 D F' L2 B2 U'
R B2 D F' B2 L2 U'
R B2 D B2 L2 F' U'
R B2 D B2 F' L2 U'
R B2 D2 F' U' L2 F'
R B2 D2 F' U' F' L2
R B2 F' U R2 B2 U2
R B2 F' U B2 R2 U2
R B2 F' U' D2 L2 F2
R B2 F' U' D2 F2 L2
R B2 F' D L2 B2 U'
R B2 F' D B2 L2 U'
R B2 F' D2 U' L2 F2
R B2 F' D2 U' F2 L2
