D L2 R U2 F B
D L2 R U2 B F
D R L2 U2 F B
D R L2 U2 B F
B' R U B' U B2
B' R U2 B D' R2
D' R B' U2 R B2
D' R B' U2 B2 R
D R B' L2 U2 B2
R D L2 U2 F B
R D L2 U2 B F
R D B' L2 U2 B2
R D' B' U2 R2 B2
R D' B' U2 B2 R2
D B' L2 R U2 B
D' B' R U2 B R
D B' R L2 U2 B
R B' U B' U B'
D2 R D' B' L2 U2 B2
R U B2 U B' D2 F2
D' R D' B' U2 R B2
D' R D' B' U2 B2 R
R U B2 U' B U2 B2
B' R D2 U B' U B2
B' R D2 U2 B D' R2
D' R D2 B' U2 R B2
D' R D2 B' U2 B2 R
D R D2 B' U2 R2 B2
D R D2 B' U2 B2 R2
B' R F U B' U B2
D R F L2 U2 F B
D R F L2 U2 B F
B' R F U2 B D' R2
D R F B' L2 U2 B2
B' R F' U B' U B2
D R F' L2 U2 F B
D R F' L2 U2 B F
B' R F' U2 B D' R2
D R F' B' L2 U2 B2
B' R F2 U B' U B2
D R F2 L2 U2 F B
D R F2 L2 U2 B F
B' R F2 U2 B D' R2
D' R F2 B' L' U2 B2
D R F2 B' L2 U2 B2
D R B L2 B2 U2 B2
D' R B' L U2 R B2
D' R B' L U2 B2 R
D' R B' L' U2 R B2
D' R B' L' U2 B2 R
D' R B' L2 U2 R B2
D' R B' L2 U2 B2 R
D2 R B' U' F2 U' B2
D R B' L U2 B2 R'
D' R B' U2 R B2 D
D' R B' U2 R B2 D'
D' R B' U2 R B2 D2
D' R B' U2 R' B2 R2
D' R B' U2 B' R B'
D' R B' U2 B2 R D
D' R B' U2 B2 R D'
D' R B' U2 B2 R D2
D2 R B' U2 B2 D R2
D' R B' U2 B2 D R
D' R B' U2 B2 D' R
D' R B' U2 B2 D2 R
D R B' L2 U2 B2 D
D R B' L2 U2 B2 D'
D R B' L2 U2 B2 D2
D R B' L2 D2 F2 U2
D R B' L2 F U2 B2
D R B' L2 F' U2 B2
D R B' L2 F2 U2 B2
D' R B' D2 F2 L' U2
D' R B' F2 L' U2 B2
D R B' U2 B2 D2 R2
D R B' D2 F2 U2 R2
D R B' F L2 U2 B2
D R B' F' L2 U2 B2
D R B' F2 L2 U2 B2
D R B2 L2 F B U2
D R B2 L2 B F U2
D R' L2 F' R2 U2 F2
D R' D2 L2 R2 F B
D R' D2 L2 R2 B F
D R' D2 R2 L2 F B
D R' D2 R2 L2 B F
D' R' F' R2 B' U2 R
B' R' F' R2 U B' U
D R' F' L2 R2 U2 F
D R' F' R2 L2 U2 F
D R' F' R2 B' L2 U2
D R' F' B' L2 R2 U2
D R' F' B' R2 L2 U2
D' R' B' R2 U2 B R'
D R' B' L2 R2 U2 B
D R' B' L2 F' R2 U2
D R' B' R2 L2 U2 B
D R' B' F' L2 R2 U2
D R' B' F' R2 L2 U2
R U2 D B D2 R2 F2
R U2 D B D2 F2 R2
R U2 D' B R2 D2 F2
R U2 D' B2 R2 F' B'
R U2 D' B2 R2 B' F'
D' R2 U2 R' B' U2 B2
L2 D L2 R B' U2 B2
L2 D L2 B' R U2 B
R D L2 U2 D F B
R D L2 U2 D B F
R D L2 U2 D' F B
R D L2 U2 D' B F
R D L2 U2 D2 F B
R D L2 U2 D2 B F
R D L2 U2 F D B
R D L2 U2 F D' B
R D L2 U2 F D2 B
R D L2 U2 F B D
R D L2 U2 F B D'
R D L2 U2 F B D2
R D L2 U2 B D F
R D L2 U2 B D' F
R D L2 U2 B D2 F
R D L2 U2 B F D
R D L2 U2 B F D'
R D L2 U2 B F D2
R D L2 D U2 F B
R D L2 D U2 B F
L2 D R L2 B' U2 B2
R D L2 D' U2 F B
R D L2 D' U2 B F
R D L2 D2 U2 F B
R D L2 D2 U2 B F
R D L2 F' U2 F2 B
R D L2 F' U2 B F2
R D L2 F2 U2 F' B
R D L2 F2 U2 B F'
R D L2 B' U2 F B2
R D L2 B' U2 B2 F
R D L2 B2 U2 F B'
R D L2 B2 U2 B' F
R D U2 B D2 R2 F2
R D U2 B D2 F2 R2
R D F L2 U2 F B
R D F L2 U2 B F
R D F B' L2 U2 B2
R D F' L2 U2 F B
R D F' L2 U2 B F
R D F' B' L2 U2 B2
R D F2 L2 U2 F B
R D F2 L2 U2 B F
R D F2 B' L2 U2 B2
R D B L2 B2 U2 B2
R D B' L U2 B2 R'
R D B' L2 U2 B2 D
R D B' L2 U2 B2 D'
R D B' L2 U2 B2 D2
R D B' L2 D2 F2 U2
R D B' L2 F U2 B2
R D B' L2 F' U2 B2
R D B' L2 F2 U2 B2
R D B' U2 B2 D2 R2
R D B' D2 F2 U2 R2
R D B' F L2 U2 B2
R D B' F' L2 U2 B2
R D B' F2 L2 U2 B2
R D B2 L2 F B U2
R D B2 L2 B F U2
R D' L2 U2 F B R2
R D' L2 U2 B R2 F
R D' L2 U2 B F R2
L2 D' R U2 B R F
R' D' R2 D' L2 F B
R' D' R2 D' L2 B F
B' U B' U' R U2 B
U2 D' R B' U2 R B
R D' U2 B R2 D2 F2
R D' U2 B2 R2 F' B'
R D' U2 B2 R2 B' F'
R D' F B' U2 R2 B2
R D' F B' U2 B2 R2
R D' F' B' U2 R2 B2
R D' F' B' U2 B2 R2
R D' F2 B' U2 R2 B2
R D' F2 B' U2 B2 R2
R D' B R2 D2 L2 F2
R D' B R2 D2 F2 L2
R D' B' L U2 R2 B2
R D' B' L U2 B2 R2
R D' B' L' U2 R2 B2
R D' B' L' U2 B2 R2
R D' B' L2 U2 R2 B2
R D' B' L2 U2 B2 R2
R D' B' U2 R B2 R
R D' B' U2 R2 B2 D
R D' B' U2 R2 B2 D'
R D' B' U2 R2 B2 D2
R D' B' U2 B' R2 B'
R D' B' U2 B2 R2 D
R D' B' U2 B2 R2 D'
R D' B' U2 B2 R2 D2
R D' B' D2 L2 F2 U2
R D' B' D2 F2 L2 U2
R D' B' F U2 R2 B2
R D' B' F U2 B2 R2
R D' B' F' U2 R2 B2
R D' B' F' U2 B2 R2
R D' B' F2 U2 R2 B2
R D' B' F2 U2 B2 R2
R D' B2 U2 R2 F' B'
R D' B2 U2 R2 B' F'
U2 D' B' R U2 R B
R' D2 L2 D R2 F B
R' D2 L2 D R2 B F
B2 U' B R U L U
D' U2 R B' U2 R B
R' D2 F2 U' L2 F B'
R' D2 F2 U' L2 B' F
D' U2 B' R U2 R B
R D2 B' U' F2 U' B2
R D2 B' U2 B2 D R2
D F L2 U2 F L' B'
B' D R U B' U B2
B' D R U2 B D' R2
R F D L2 U2 F B
R F D L2 U2 B F
R F D B' L2 U2 B2
R F D' B' U2 R2 B2
R F D' B' U2 B2 R2
R F B' U B' U B'
R' F' R2 D L2 U2 F
R' F' R2 D B' L2 U2
R' F' R2 D' B' U2 R2
R' F' R2 B' U B' U
B' D' R U B' U B2
B' D' R U2 B D' R2
R F' D L2 U2 F B
R F' D L2 U2 B F
R F' D B' L2 U2 B2
R' F' B' R2 U B' U
R F' D' B' U2 R2 B2
R F' D' B' U2 B2 R2
R F' B' U B' U B'
F2 D' B' U2 L' R2 B'
F2 D' B' U2 L' B' R2
F2 D' B' U2 R2 L' B'
B' D2 R U B' U B2
B' D2 R U2 B D' R2
R F2 D L2 U2 F B
R F2 D L2 U2 B F
R F2 D B' L2 U2 B2
R F2 D' B' U2 R2 B2
R F2 D' B' U2 B2 R2
D' F2 B' U2 L' R2 B'
D' F2 B' U2 L' B' R2
D' F2 B' U2 R2 L' B'
R F2 B' U B' U B'
D B L2 R B2 U2 B'
D' B R B2 U2 R B'
D' B R B2 U2 B' R
D B L2 B2 R U2 B
D B R L2 B2 U2 B'
D B R B2 L2 F U2
D' B' L R U2 B R
D' B' L' R U2 B R
D' B' L2 R U2 B R
D' B' R L U2 B R
D' B' R L' U2 B R
D' B' R L2 U2 B R
D2 B' R U' F2 U' B
D2 B' R U2 D B R2
D2 B' R U2 B D R2
D2 B' R D U2 B R2
D2 B' R D' L2 U2 B
D' B' R U2 D B R
D' B' R U2 D' B R
D' B' R U2 D2 B R
D' B' R U2 B R D
D' B' R U2 B R D'
D' B' R U2 B R D2
D' B' R U2 B D R
D' B' R U2 B D' R
D' B' R U2 B D2 R
D' B' R U2 B' R B2
D' B' R U2 B2 R B'
D' B' R D U2 B R
D B' L2 R U2 D B
D B' L2 R U2 D' B
D B' L2 R U2 D2 B
D B' L2 R U2 B D
D B' L2 R U2 B D'
D B' L2 R U2 B D2
D B' L2 R D U2 B
D B' L2 R D' U2 B
D B' L2 R D2 U2 B
D B' L2 R F U2 B
D' B' R D' U2 B R
D B' L2 R F' U2 B
D B' L2 R F2 U2 B
D B' L2 R' F' R2 U2
D' B' R D2 U2 B R
D' B' R F2 L' U2 B
D B' L2 D R U2 B
D B' L2 D' R U2 B
D B' L2 D2 R U2 B
D B' L2 F2 U2 L' B'
D B' R L2 U2 D B
D B' R L2 U2 D' B
D B' R L2 U2 D2 B
D B' R L2 U2 B D
D B' R L2 U2 B D'
D B' R L2 U2 B D2
D B' R L2 D U2 B
D B' R L2 D' U2 B
D B' R L2 D2 U2 B
D B' R L2 F U2 B
D B' R L2 F' U2 B
D B' R L2 F2 U2 B
D' B' R' F' R2 U2 R
D B' R U2 D2 B R2
D B' R U2 B D2 R2
R B' L2 U' F U' B2
D B' R D2 U2 B R2
D B' R F L2 U2 B
R' B' R2 U B' U B2
D B' R F' L2 U2 B
D B' R F2 L2 U2 B
R' B' R2 U2 B D' R2
D B' R' L2 F' R2 U2
D B' R' F' L2 R2 U2
D B' R' F' R2 L2 U2
D2 B' U' F2 U' L' B'
D2 B' D R U2 B R
R B' U D B' L2 U
R B' U B' U D B'
R B' U B' U D' B'
R B' U B' U D2 B'
R B' U B' U B' D
R B' U B' U B' D'
R B' U B' U B' D2
R B' U B' D U B'
R B' U B' D' U B'
R B' U B' D2 U B'
D2 B' D' L2 R U2 B
D2 B' D' R L2 U2 B
D' B' D2 L2 R U2 B
D' B' D2 R L2 U2 B
R B' U2 B D' B R2
R B' U2 B2 U' B U
R B' D U B' L2 U
F2 B' U B' U L' B'
D B' D2 R U2 B R
R' B' F' R2 U B' U
D' B' F2 U2 L' R2 B'
D' B' F2 U2 L' B' R2
D' B' F2 U2 R2 L' B'
R B' D2 F2 U B' U
R B' F U B' U B'
R B' F' U B' U B'
R B' F2 U B' U B'
D' B2 R U2 B R F'
D B2 L2 B R U2 B
R' B2 U' R2 U2 F' B
R' B2 U' R2 U2 B F'
R' B2 U' F' R2 U2 F'
R' B2 U' F' B R2 U2
R' B2 U' B R2 U2 B
R' B2 U' B F' R2 U2
B' F2 U B' U L' B'
U B2 U' B R U2 B
