U2 L2 U2 F2 U R
L2 U' D' L2 B2 R'
L2 U2 F2 L2 U R
D2 R2 U2 B2 U' R'
U' D L R2 U2 F2
D' U L2 D2 F2 R
U' D R2 L U2 F2
U' D' L B2 R' U2
D' U' L B2 R' U2
D U' L R2 U2 F2
L2 D' U' L2 B2 R'
F2 U' L U' L U'
U D' L2 D2 F2 R
D U' R2 L U2 F2
F2 U' D L U2 F2
F2 U' D' L B2 U2
F2 U' D' B2 U2 R'
U' D' B2 U2 L2 R'
U' D' B2 U2 R' L2
D' U' B2 U2 L2 R'
D' U' B2 U2 R' L2
F2 U2 L2 U L' U2
F2 U2 L2 F2 U' R
F2 D U' L U2 F2
F2 D B2 U R' F2
F2 D B2 U F2 R'
F2 D' U' L B2 U2
F2 D' U' B2 U2 R'
F2 D2 R2 U' L U2
F2 D2 R2 B2 U R'
F2 D2 B2 R2 U R
B2 F2 U R' D F2
F2 B2 U R' D F2
B2 F2 U D R' F2
F2 B2 U D R' F2
B2 F2 U D F2 R'
F2 B2 U D F2 R'
F2 B2 U2 L2 U' R'
B2 F2 U2 L2 U' R'
F2 B2 D U R' F2
B2 F2 D U R' F2
F2 B2 D U F2 R'
B2 F2 D U F2 R'
F2 B2 D2 R2 U R
B2 F2 D2 R2 U R
U' R' D' L B2 R' U2
F2 R' D B2 U R' F2
F2 R' D B2 U F2 R'
L2 U' B2 D' L2 B2 R'
F2 R' D' U' L B2 U2
F2 R' D' U' B2 U2 R'
U' R' D' B2 U2 L2 R'
U' R' D' B2 U2 R' L2
U R' D' L2 D2 F2 R
F2 R' D2 R2 U' L U2
F2 R' D2 R2 B2 U R'
F2 R' D2 B2 R2 U R
R' U2 L2 U2 F2 U R
R2 U2 L2 U2 F2 U R
L2 U2 L2 F2 U' L U2
L2 U2 L2 F2 B2 U R'
R U2 L2 U2 F2 U R
L2 U2 L2 B2 F2 U R'
B2 R' F2 D2 R2 U R2
F2 R' B2 U R' D F2
F2 R' B2 U D R' F2
F2 R' B2 U D F2 R'
F2 R' B2 U2 L2 U' R'
F2 R' B2 D U R' F2
F2 R' B2 D U F2 R'
D R' B2 U L R' F2
D R' B2 U L F2 R'
D R' B2 U R' L F2
D R' B2 U R' F2 L
F2 R' B2 D2 R2 U R
D R' B2 U F2 L R'
D R' B2 U F2 R' L
D R2 L U L' U F2
L2 U2 F' L2 F' U R
D' R2 U L2 D2 F2 R
B2 R2 U D R F2 L'
D2 R2 U' L U' B2 U'
D2 R2 U' L U2 D L2
D2 R2 U' L D U2 L2
D2 R2 U' L D' R2 U2
D' R2 U' L B2 R' U2
L2 U2 F2 L2 U R D
L2 U2 F2 L2 U R D'
L2 U2 F2 L2 U R D2
L2 U2 F2 L2 U D R
L2 U2 F2 L2 U D' R
L2 U2 F2 L2 U D2 R
L2 U2 F2 L2 D U R
L2 U2 F2 L2 D' U R
L2 U2 F2 L2 D2 U R
L2 U2 F2 L2 B U R
L2 U2 F2 L2 B' U R
L2 U2 F2 L2 B2 U R
F2 R2 U' L U' L U'
D2 R2 U' D L U2 L
L2 U2 F2 U R D' B2
L2 U2 F2 U D' R B2
L2 U2 F2 U D' B2 R
D2 R2 U' D' L R2 U2
D2 R2 U' D' R2 L U2
L2 U2 F2 D' U R B2
L2 U2 F2 D' U B2 R
F2 R2 U' D L U2 F2
L2 U2 F2 B L2 U R
F2 R2 U' D' L B2 U2
F2 R2 U' D' B2 U2 R'
L2 U2 F2 B' L2 U R
L2 U2 F2 B2 L2 U R
D' R2 U' B2 U2 L2 R'
D' R2 U' B2 U2 R' L2
F2 R2 U2 L2 U L' U2
F2 R2 U2 L2 F2 U' R
D2 R2 U2 F B2 U' R'
D2 R2 U2 F' B2 U' R'
D2 R2 U2 F2 B2 U' R'
D2 R2 U2 B2 U' R' D
D2 R2 U2 B2 U' R' D'
D2 R2 U2 B2 U' R' D2
D2 R2 U2 B2 U' D R'
D2 R2 U2 B2 U' D' R'
D2 R2 U2 B2 U' D2 R'
D2 R2 U2 B2 D U' R'
D2 R2 U2 B2 D' U' R'
D2 R2 U2 B2 D2 U' R'
L2 U2 B F2 L2 U R
D2 R2 U2 B2 F U' R'
D2 R2 U2 B2 F' U' R'
D2 R2 U2 B2 F2 U' R'
U' R2 D L R2 U2 F2
U' R2 D R2 L U2 F2
D2 R2 D U' L U2 L
B2 R2 D U R F2 L'
F2 R2 D U' L U2 F2
D2 R2 D B2 U L2 R'
D2 R2 D B2 U R' L2
L2 U2 B' F2 L2 U R
U' R2 D' L B2 R' U2
F2 R2 D B2 U R' F2
F2 R2 D B2 U F2 R'
D2 R2 D' U' L R2 U2
D2 R2 D' U' R2 L U2
F2 R2 D' U' L B2 U2
F2 R2 D' U' B2 U2 R'
L2 U2 B2 F2 L2 U R
U' R2 D' B2 U2 L2 R'
U' R2 D' B2 U2 R' L2
U R2 D' L2 D2 F2 R
D2 R2 D2 F2 U' L U2
F2 R2 D2 R2 U' L U2
D2 R2 D2 F2 B2 U R'
F2 R2 D2 R2 B2 U R'
D2 R2 D2 B2 F2 U R'
F2 R2 D2 B2 R2 U R
D2 R2 F U2 B2 U' R'
D2 R2 F' U2 B2 U' R'
D2 R2 F2 U2 B2 U' R'
B2 R2 F2 U D F2 R
B2 R2 F2 D U F2 R
D2 R2 B U2 B U' R'
R' D U' L R2 U2 F2
L2 D U L' R2 F2 U2
L2 D U L' F2 R2 U2
L2 D U R2 L' F2 U2
R' D U' R2 L U2 F2
L2 D U R2 F2 U2 R
L2 D U F2 R2 U2 R'
F2 R2 B2 U R' D F2
F2 R2 B2 U D R' F2
F2 R2 B2 U D F2 R'
F2 R2 B2 U2 L2 U' R'
F2 R2 B2 D U R' F2
F2 R2 B2 D U F2 R'
U' D L R U2 F2 L'
R2 D U' L R2 U2 F2
U' D L R2 U2 F2 D
U' D L R2 U2 F2 D'
U' D L R2 U2 F2 D2
F2 R2 B2 D2 R2 U R
U' D L R2 D2 B2 U2
U' D L R2 B U2 F2
U' D L R2 B' U2 F2
U' D L R2 B2 U2 F2
U' D L U2 F2 D2 L2
R2 D U' R2 L U2 F2
D' U L D2 L F2 R
U' D L D2 B2 U2 L2
R D U' L R2 U2 F2
U' D L B R2 U2 F2
D' U L B2 R' U2 B2
U' D L B' R2 U2 F2
D' U L B2 U2 B2 L
U' D L B2 R2 U2 F2
R D U' R2 L U2 F2
D' U L' D2 L' R2 F2
D' U L' D2 L' F2 R2
D' U L' D2 R2 L' F2
D' U L2 R D2 F2 R
D' U L2 R' D2 F2 R
D' U L2 R2 D2 F2 R
U' D L2 R2 U2 F2 R
D' U L2 U2 L' B2 U2
D' U L2 U2 B2 L' U2
D' U L2 D2 R F2 R
D' U L2 D2 R' F2 R
D' U L2 D2 R2 F2 R
D' U L2 D2 F2 R D
D' U L2 D2 F2 R D'
D' U L2 D2 F2 R D2
D' U L2 D2 F2 D R
D' U L2 D2 F2 D' R
D' U L2 D2 F2 D2 R
D U L' F2 D2 L2 R2
D U L' F2 D2 R2 L2
D' U L2 F2 R D2 F2
D' U L2 F2 D2 R F2
D U L2 R F2 L' R
D U L2 R F2 R L'
U' D R L U2 F2 L'
D' U R L2 D2 F2 R
U D L' F2 D2 L2 R2
U D L' F2 D2 R2 L2
U D L2 R F2 L' R
U D L2 R F2 R L'
D U L2 F2 D2 L2 R
D U L2 F2 D2 R L2
D U R L2 F2 L' R
D U R L2 F2 R L'
D' U R' L2 D2 F2 R
U D L2 F2 D2 L2 R
U D L2 F2 D2 R L2
U D R L2 F2 L' R
U D R L2 F2 R L'
D U R F2 L' D2 R2
B2 U R' D F2 D2 L2
B2 U R' D' L2 D2 F2
U' D R2 L U2 F2 D
U' D R2 L U2 F2 D'
U' D R2 L U2 F2 D2
U' D R2 L D2 B2 U2
U' D R2 L B U2 F2
U' D R2 L B' U2 F2
U' D R2 L B2 U2 F2
U D R F2 L' D2 R2
D' U R2 L2 D2 F2 R
U' D R2 L2 U2 F2 R
U' D R2 D2 L B2 U2
U' D R2 D2 B2 U2 R'
B2 U R2 D R F2 L'
U' D R2 B2 U2 R' F2
U' D R2 B2 U2 F2 R'
D' U F L2 D2 F2 R
B2 U D R F2 L' R2
B2 U D R F2 R2 L'
F2 U D L2 F2 L2 R
F2 U D L2 F2 R L2
B2 U D F2 D2 L2 R'
B2 U D F2 D2 R' L2
F2 U D F2 U2 L U2
F2 U D F2 B2 R' B2
D' U F' L2 D2 F2 R
F2 U D B2 R' F2 B2
F2 U D B2 R' B2 F2
F2 U D B2 F2 R' B2
B2 U D' L2 R' D2 F2
B2 U D' L2 D2 R' F2
B2 U D' L2 D2 F2 R'
B2 U D' R' L2 D2 F2
D' U F2 L2 D2 F2 R
U' D F2 D2 B2 L2 R'
U' D F2 D2 B2 R' L2
D U F2 L' D2 L2 R2
D U F2 L' D2 R2 L2
U D F2 L' D2 L2 R2
U D F2 L' D2 R2 L2
D U F2 U2 L R2 U2
D U F2 U2 R2 L U2
D U F2 B2 R' B2 L
U D F2 U2 L R2 U2
U D F2 U2 R2 L U2
U D F2 B2 R' B2 L
L2 D' L2 B2 R' D F2
L2 D' L2 B2 D R' F2
L2 D' L2 B2 D F2 R'
L2 D' R U' L2 B2 R'
U' D B2 R2 U2 R F2
D' U B2 U2 L2 R' B2
D' U B2 U2 R' L2 B2
D' U B2 U2 R' B2 L2
L2 D' R' U' L2 B2 R'
D' U' L R B2 R' U2
U' D' L R B2 R' U2
D' U' L R' B2 R' U2
U' D' L R' B2 R' U2
D' U' L R2 B2 R' U2
U' D' L R2 B2 R' U2
D' U' L U2 L D2 F2
U' D' L U2 L D2 F2
D' U' L U2 D2 L F2
D' U' L U2 D2 F2 L
U' D' L U2 D2 L F2
U' D' L U2 D2 F2 L
D U B2 R' F2 B2 L
D U B2 R' B2 L F2
D U B2 R' B2 F2 L
D2 U' L D B2 U2 L2
D2 U' L D' R2 U2 F2
D' U' L D2 U2 L F2
D' U' L D2 U2 F2 L
U' D' L D2 U2 L F2
U' D' L D2 U2 F2 L
U D B2 R' F2 B2 L
U D B2 R' B2 L F2
U D B2 R' B2 F2 L
L2 D' R2 U' L2 B2 R'
D' U' L B2 R' U2 D
D' U' L B2 R' U2 D'
D' U' L B2 R' U2 D2
D' U' L B2 R' D U2
D' U' L B2 R' D' U2
D' U' L B2 R' D2 U2
U' D' L B2 R' U2 D
U' D' L B2 R' U2 D'
U' D' L B2 R' U2 D2
U' D' L B2 R' D U2
U' D' L B2 R' D' U2
U' D' L B2 R' D2 U2
D' U' L B2 D R' U2
U' D' L B2 D R' U2
D' U' L B2 D' R' U2
U' D' L B2 D' R' U2
D' U' L B2 D2 R' U2
U' D' L B2 D2 R' U2
R' D' U L2 D2 F2 R
D U B2 F2 R' B2 L
D U' L R U2 F2 L'
D U' L R2 U2 F2 D
D U' L R2 U2 F2 D'
D U' L R2 U2 F2 D2
D U' L R2 D2 B2 U2
D U' L R2 B U2 F2
D U' L R2 B' U2 F2
D U' L R2 B2 U2 F2
U D B2 F2 R' B2 L
D U' L U2 F2 D2 L2
D U' L D2 B2 U2 L2
R' D' U' L B2 R' U2
L2 D' U L' U2 L' B2
L2 D' U L' U2 B2 L'
D' U' L' B2 L2 U2 L
U' D' L' B2 L2 U2 L
D U' L B R2 U2 F2
U D' L D2 L F2 R
D U' L B' R2 U2 F2
R2 D' U L2 D2 F2 R
D U' L B2 R2 U2 F2
F2 U B2 R' B2 D F2
U D' L B2 R' U2 B2
U D' L B2 U2 B2 L
R' D' U' B2 U2 L2 R'
R' D' U' B2 U2 R' L2
L2 D' U' L2 R B2 R'
L2 D' U' L2 R' B2 R'
L2 D' U' L2 R2 B2 R'
L2 D' U' L2 B2 R' D
L2 D' U' L2 B2 R' D'
L2 D' U' L2 B2 R' D2
L2 D' U' L2 B2 D R'
L2 D' U' L2 B2 D' R'
L2 D' U' L2 B2 D2 R'
L2 D' U' R L2 B2 R'
R2 D' U' L B2 R' U2
L2 D' U' R' L2 B2 R'
R D' U L2 D2 F2 R
L2 D' U' R2 L2 B2 R'
U' D' L2 B2 L' U2 L
D' U' L2 B2 L' U2 L
U D' L' D2 L' R2 F2
U D' L' D2 L' F2 R2
U D' L' D2 R2 L' F2
U' D' R L B2 R' U2
D' U' R L B2 R' U2
F2 U' L U' L U' D
F2 U' L U' L U' D'
F2 U' L U' L U' D2
F2 U' L U' L D U'
F2 U' L U' L D' U'
F2 U' L U' L D2 U'
D U' L2 R2 U2 F2 R
F2 U' L U' D L U'
F2 U' L U' D' L U'
F2 U' L U' D2 L U'
F2 U' L D U' L U'
F2 U' L D' U' L U'
R2 D' U' B2 U2 L2 R'
R2 D' U' B2 U2 R' L2
U D' L2 R D2 F2 R
F2 U' L D2 U' L U'
U D' L2 R' D2 F2 R
R D' U' L B2 R' U2
U D' L2 R2 D2 F2 R
U D' L2 U2 L' B2 U2
U D' L2 U2 B2 L' U2
D' U' R B2 U2 L2 R'
D' U' R B2 U2 R' L2
U' D' R B2 U2 L2 R'
U' D' R B2 U2 R' L2
F2 U' L B2 U R' U
U' D' R' L B2 R' U2
D' U' R' L B2 R' U2
U D' L2 D2 R F2 R
U D' L2 D2 R' F2 R
U D' L2 D2 R2 F2 R
U D' L2 D2 F2 R D
U D' L2 D2 F2 R D'
U D' L2 D2 F2 R D2
U D' L2 D2 F2 D R
U D' L2 D2 F2 D' R
U D' L2 D2 F2 D2 R
D U' R L U2 F2 L'
U D' L2 F2 R D2 F2
U D' L2 F2 D2 R F2
F U' L U' L B' U'
R D' U' B2 U2 L2 R'
R D' U' B2 U2 R' L2
U D' R L2 D2 F2 R
U' D' R' B2 U2 L2 R'
U' D' R' B2 U2 R' L2
D' U' R' B2 U2 L2 R'
D' U' R' B2 U2 R' L2
U' D' R2 L B2 R' U2
D' U' R2 L B2 R' U2
U D' R' L2 D2 F2 R
D' U' R2 B2 U2 L2 R'
U' D' R2 B2 U2 L2 R'
U' D' R2 B2 U2 R' L2
D' U' R2 B2 U2 R' L2
D U' R2 L U2 F2 D
D U' R2 L U2 F2 D'
D U' R2 L U2 F2 D2
D U' R2 L D2 B2 U2
D U' R2 L B U2 F2
D U' R2 L B' U2 F2
D U' R2 L B2 U2 F2
D U' R2 L2 U2 F2 R
U D' R2 L2 D2 F2 R
D U' R2 D2 L B2 U2
L2 D' F2 U' L2 R B2
L2 D' F2 U' L2 B2 R
L2 D' F2 U' R L2 B2
L2 D' F2 U' R B2 L2
L2 D' F2 U' B2 L2 R
L2 D' F2 U' B2 R L2
D U' R2 D2 B2 U2 R'
D U' R2 B2 U2 R' F2
D U' R2 B2 U2 F2 R'
U D' F L2 D2 F2 R
U D' F' L2 D2 F2 R
F2 U' D L U2 F2 D
F2 U' D L U2 F2 D'
F2 U' D L U2 F2 D2
F2 U' D L D2 B2 U2
F2 U' D L B U2 F2
F2 U' D L B' U2 F2
F2 U' D L B2 U2 F2
F2 U' D L2 U2 F2 R
B2 U' D R2 U2 R F2
U D' F2 L2 D2 F2 R
F2 U' D B2 U2 R' F2
F2 U' D B2 U2 F2 R'
F2 U' D' L U2 D2 F2
F2 U' D' L D2 U2 F2
F2 U' D' L B2 U2 D
F2 U' D' L B2 U2 D'
F2 U' D' L B2 U2 D2
F2 U' D' L B2 D U2
F2 U' D' L B2 D' U2
F2 U' D' L B2 D2 U2
D U' F2 D2 B2 L2 R'
D U' F2 D2 B2 R' L2
F2 U' D' L' B2 L2 U2
F2 U' D' L2 B2 L' U2
U' D' B' U2 L2 F R
D' U' B' U2 L2 F R
B2 U' D' B2 L U2 L
F2 U' D' B2 L U2 R'
F2 U' D' B2 L' U2 R'
F2 U' D' B2 L2 U2 R'
F2 U' D' B2 U2 R' D
F2 U' D' B2 U2 R' D'
F2 U' D' B2 U2 R' D2
F2 U' D' B2 U2 D R'
F2 U' D' B2 U2 D' R'
F2 U' D' B2 U2 D2 R'
F2 U' D' B2 D U2 R'
F2 U' D' B2 D' U2 R'
F2 U' D' B2 D2 U2 R'
F2 U' D2 L U R2 U
F2 U' D2 L U2 D' F2
F2 U' D2 L D B2 U2
F2 U' D2 L D' U2 F2
U' D' B2 L U2 L R'
D' U' B2 L U2 L R'
U' D' B2 L U2 R' L
D' U' B2 L U2 R' L
D' U' B2 L' U2 L' R'
D' U' B2 L' U2 R' L'
U' D' B2 L' U2 L' R'
U' D' B2 L' U2 R' L'
D' U' B2 R U2 L2 R2
D' U' B2 R U2 R2 L2
U' D' B2 R U2 L2 R2
U' D' B2 R U2 R2 L2
D' U' B2 R2 U2 L2 R
D' U' B2 R2 U2 R L2
U' D' B2 R2 U2 L2 R
U' D' B2 R2 U2 R L2
U' D' B2 U2 L2 R' D
U' D' B2 U2 L2 R' D'
U' D' B2 U2 L2 R' D2
U' D' B2 U2 L2 D R'
U' D' B2 U2 L2 D' R'
U' D' B2 U2 L2 D2 R'
D' U' B2 U2 L2 R' D
D' U' B2 U2 L2 R' D'
D' U' B2 U2 L2 R' D2
D' U' B2 U2 L2 D R'
D' U' B2 U2 L2 D' R'
D' U' B2 U2 L2 D2 R'
U' D' B2 U2 R' L2 D
U' D' B2 U2 R' L2 D'
U' D' B2 U2 R' L2 D2
D' U' B2 U2 R' L2 D
D' U' B2 U2 R' L2 D'
D' U' B2 U2 R' L2 D2
D' U' B2 D2 R2 U2 R
U' D' B2 D2 R2 U2 R
U' D2 L D B2 U2 L2
U' D2 L D' R2 U2 F2
D U' B2 R2 U2 R F2
U D' B2 U2 L2 R' B2
U D' B2 U2 R' L2 B2
U D' B2 U2 R' B2 L2
R' D2 R2 U2 B2 U' R'
R2 D2 R2 U2 B2 U' R'
L2 D2 R2 F2 B2 U' R
L2 D2 R2 B2 U L' U2
L2 D2 R2 B2 F2 U' R
R D2 R2 U2 B2 U' R'
F2 U' B2 U' L2 U' R'
F2 U' B2 U2 R' D F2
F2 U' B2 U2 D R' F2
F2 U' B2 U2 D F2 R'
F2 U' B2 D U2 R' F2
F2 U' B2 D U2 F2 R'
F2 U' B2 D' B2 L U2
F2 U2 L' D L' F2 U'
F2 U2 L' D2 L' U' R2
B2 U2 L2 U' R' D' L2
B2 U2 L2 U' D' L2 R'
B2 U2 L2 U' D' R' L2
F2 U2 L2 U L' U2 D
F2 U2 L2 U L' U2 D'
F2 U2 L2 U L' U2 D2
F2 U2 L2 U L' D U2
F2 U2 L2 U L' D' U2
F2 U2 L2 U L' D2 U2
B2 U2 L2 U2 F2 U R'
F2 U2 L2 U D L' U2
F2 U2 L2 U D' L' U2
F2 U2 L2 U D2 L' U2
F2 U2 L2 U' F2 R F2
B2 U2 L2 D' U' L2 R'
B2 U2 L2 D' U' R' L2
F2 U2 L2 D U L' U2
F2 U2 L2 D F2 U' R
F2 U2 L2 D' U L' U2
F2 U2 L2 D' F2 U' R
F2 U2 L2 D2 U L' U2
F2 U2 L2 D2 F2 U' R
F2 U2 L2 F2 U' R D
F2 U2 L2 F2 U' R D'
F2 U2 L2 F2 U' R D2
F2 U2 L2 F2 U' D R
F2 U2 L2 F2 U' D' R
F2 U2 L2 F2 U' D2 R
F2 U2 L2 F2 D U' R
F2 U2 L2 F2 D' U' R
F2 U2 L2 F2 D2 U' R
F U2 L2 F2 B' U' R
F U2 L2 B' U L' U2
F U2 L2 B' F2 U' R
L2 D2 F2 B2 R2 U' R'
L' D2 B2 L' R' U' R'
L' D2 B2 R' L' U' R'
D2 U2 B2 U' D' R' F2
D2 U2 B2 U' D' F2 R'
D2 U2 B2 U2 R2 U R
F2 U2 D L2 U' F2 R
D2 U2 B2 D' U' R' F2
D2 U2 B2 D' U' F2 R'
D2 U2 B2 D2 L2 U' R'
L2 D2 B2 R2 U L' U2
L2 D2 B2 R2 F2 U' R
U2 D2 B2 U' D' R' F2
U2 D2 B2 U' D' F2 R'
U2 D2 B2 U2 R2 U R
U2 D2 B2 D' U' R' F2
U2 D2 B2 D' U' F2 R'
U2 D2 B2 D2 L2 U' R'
L2 D2 B2 F2 R2 U' R'
B' U2 F L2 B' U' R
F2 U2 F L2 U L' U2
F2 U2 F L2 F2 U' R
