D F' U' B' U' R
B' D' R2 U' F' B R'
B' D' R2 U' B F' R'
D F' D2 U' B' U' R
B2 D' R2 F' U B R'
B' D' U F' B U2 R'
B' D' U B F' U2 R'
B' D' U' R2 F' B R'
B' D' U' R2 B F' R'
B D' R2 B' L U2 B2
B D' R2 B' U2 B2 R'
F' D' U' B' U L U2
B D' F' R2 B' L U2
U F2 L2 F U B' R'
B D' F' B' L R2 U2
B D' F' B' R2 L U2
B D' B' L R2 U2 B
B D' B' L F' R2 U2
B D' B' R2 L U2 B
B D' B' F' L R2 U2
B D' B' F' R2 L U2
F' D2 R U' F' B' U'
F' D2 R U' B' F' U'
F' D2 R2 U' B' U' R'
R2 B D L2 F' R F2
R2 B D F' L2 R F
R2 B D F' R L2 F
R2 B D F2 L2 F R
B' F D R2 U' F' R
F' B D' R2 B' L U2
F' B D' B' L R2 U2
F' B D' B' R2 L U2
U' B' R2 U' D' B R'
U' B' R2 D' U' B R'
U' B' U D F' U2 R
D' B' U L F' B U2
D' B' U L B F' U2
D' B' U F' L B U2
D B' R2 U' F' B R
D B' R2 U' B F' R
U' B' U' R2 D' B R'
U' B' U' D' R2 B R'
L B' R2 U F' B L
L B' R2 U B L F'
L B' R2 U B F' L
D B' U F' B U2 R
D B' U B F' U2 R
D B' U' R2 F' B R
D B' U' R2 B F' R
U' B' D U F' U2 R
L B' U' F' B U2 L'
U' B' D' R2 U' B R'
L B' U' B F' U2 L'
U' B' D' U' R2 B R'
F B' D R2 U' F' R
B F' D' R2 B' L U2
B F' D' B' L R2 U2
B F' D' B' R2 L U2
