B L2 R' U' D' L2
B L2 R' U2 F2 U
B L2 R' D' U' L2
B L2 R' D2 B2 U'
B' L2 U2 L' F2 U
B L2 D' R' U' L2
B L2 D2 R' B2 U'
B R' L2 U' D' L2
B R' L2 U2 F2 U
B R' L2 D' U' L2
B R' L2 D2 B2 U'
L2 D' R' U' L2 B
L2 D' R' U' B L2
B D2 R' B2 L U'
L2 B R' U' D' L2
L2 B R' U2 F2 U
L2 B R' D' U' L2
L2 B R' D2 B2 U'
L2 B D' R' U' L2
L2 B D2 R' B2 U'
L2 B' U2 L F2 U
L2 B' U2 F2 L U
L2 B' D2 B2 R' U'
B R' L2 U2 F2 U D
B R' L2 U2 F2 U D'
B R' L2 U2 F2 U D2
B R' L2 U2 F2 D U
B R' L2 U2 F2 D' U
B R' L2 U2 F2 D2 U
B R' L2 D U R2 U2
B R' L2 D' U' L2 D
B R' L2 D' U' L2 D'
B R' L2 D' U' L2 D2
B R' L2 D' B U' L2
B R' L2 D' B' U' L2
B R' L2 D' B2 U' L2
B R' L2 D2 B2 U' D
B R' L2 D2 B2 U' D'
B R' L2 D2 B2 U' D2
B R' L2 D2 B2 D U'
B R' L2 D2 B2 D' U'
B R' L2 D2 B2 D2 U'
B R' L2 B U' D' L2
B R' L2 B U2 F2 U
B R' L2 B D' U' L2
B R' L2 B D2 B2 U'
B R' L2 B' U' D' L2
B R' L2 B' U2 F2 U
B R' L2 B' D' U' L2
B R' L2 B' D2 B2 U'
B R' L2 B2 U' D' L2
B R' L2 B2 U2 F2 U
B R' L2 B2 D' U' L2
B R' L2 B2 D2 B2 U'
D' R' U B2 U2 B' L2
B R' U D R2 U2 F2
D' R' U' L2 D2 F2 B
D' R' U' L2 D2 B F2
B R' U D' B2 U2 L2
D' R' U' B' L2 F B2
D' R' U' B' L2 B2 F
B R' U' D F2 D2 L2
B R' U' D' L2 D2 F2
D R' U' F2 B2 L B'
D R' U' B2 L F2 B'
D R' U' B2 L B' F2
D R' U' B2 F2 L B'
L2 U' B' L' D' L2 B2
L2 U' B' L' D' B2 L2
L2 U' B' U' L F2 U
B R' U2 F2 U D F2
B R' U2 F2 U2 L2 U'
B R' U2 F2 D U F2
B R' U2 F2 D2 R2 U
L2 U' B' U' F2 L U
B R' D U R2 U2 F2
B R' D U' F2 D2 L2
B R' D' U B2 U2 L2
B R' D' U' L2 D2 F2
B R' D' B' U' L2 F
B R' D2 B2 U' D' F2
B R' D2 B2 U2 R2 U
B R' D2 B2 D' U' F2
B R' D2 B2 D2 L2 U'
B R' F L2 F' B' U'
B R' F L2 B' F' U'
B R' B L2 U' D' L2
B R' B L2 U2 F2 U
B R' B L2 D' U' L2
B R' B L2 D2 B2 U'
D' R' B' U' L2 F B2
D' R' B' U' L2 B2 F
B R' B' L2 U' D' L2
B R' B' L2 U2 F2 U
B R' B' L2 D' U' L2
B R' B' L2 D2 B2 U'
D2 R' B2 D' L U' B'
B R' B2 L2 U' D' L2
B R' B2 L2 U2 F2 U
B R' B2 L2 D' U' L2
B R' B2 L2 D2 B2 U'
D R' B2 U' L F2 B'
D R' B2 U' L B' F2
D R' B2 U' F2 L B'
B' R2 L2 U2 L' F2 U
L2 U2 F D2 F L' U
B R2 L2 U2 F2 L' U
B R2 L2 D' R U' L2
B R2 L2 D2 R B2 U'
B R2 L2 D2 B2 R U'
L2 U2 F2 D L U B'
L2 U2 F2 B' L B U
L2 U2 B' L F2 B U
L2 U2 B' L B F2 U
L2 U2 B' F2 L B U
B R2 D R U' F2 L'
L' D L' U R2 F U2
L' D L' U F R2 U2
L D L U R2 U2 B'
L' D L' U' D2 L2 B'
L D L U' D2 B' L2
L D L U' B' D2 L2
L D L D B2 U' B
L' D L' D2 U' L2 B'
L D L D2 U' B' L2
F' R2 F L2 B R' U'
F' R2 F B L2 R' U'
F' R2 F B R' L2 U'
F' R2 B R' F L2 U'
L2 D R' U' B2 L B'
F' R2 B F L2 R' U'
F' R2 B F R' L2 U'
L2 D R' B2 U' L B'
L2 D U' L D2 B' L2
L2 D U' L B' D2 L2
L2 D U' L' D2 L2 B'
U' D L D2 B' L2 F
U' D L F2 D2 B' L2
U' D L F2 B' D2 L2
U' D L B' F2 D2 L2
D' U R F' B2 U2 L2
D' U R B2 F' U2 L2
D' U R' B2 U2 B' L2
U' D F2 L D2 B' L2
U' D F2 L B' D2 L2
U' D F2 L' D2 L2 B'
L' D' L' R' U' L' B
L' D' L' R' U' B L'
L D' L R' U' L B
L D' L U' D2 L B'
L D' L D2 U' L B'
L2 D' R U F' U2 L2
L' D' R' L' U' L' B
L' D' R' L' U' B L'
D' U B2 R F' U2 L2
D' U B2 R' U2 L2 B
D' U B2 R' U2 B L2
L2 D' R' U' L' B L'
L2 D' R' U' L2 D B
L2 D' R' U' L2 D' B
L2 D' R' U' L2 D2 B
L2 D' R' U' L2 B D
L2 D' R' U' L2 B D'
L2 D' R' U' L2 B D2
L2 D' R' U' B L2 D
L2 D' R' U' B L2 D'
L2 D' R' U' B L2 D2
L2 D' R' U' B' L2 B2
L2 D' R' D' B2 U' B'
L D' R' L U' L B
D' U' L D2 L F2 B'
D' U' L D2 L B' F2
U' D' L D2 L F2 B'
U' D' L D2 L B' F2
D' U' L D2 F2 L B'
U' D' L D2 F2 L B'
L2 D' R' B' U' L2 B2
L2 D' R' B' U' B2 L2
L2 D' R' B2 U' B' L2
D U' L D2 B' L2 F
D U' L F2 D2 B' L2
D U' L F2 B' D2 L2
L2 D' U R F' U2 L2
L2 D' U R' U2 L2 B
L2 D' U R' U2 B L2
D U' L B' F2 D2 L2
L2 D' U' L D2 L B'
L2 D' U' L2 R' B R
L2 D' U' R' L2 B R
L2 D' U' R' B L2 R
L2 D' U' R' B R L2
U D' R F' B2 U2 L2
U D' R B2 F' U2 L2
U D' R' B2 U2 B' L2
L2 D' B R' U' L2 B
L2 D' B R' U' B L2
L2 D' B' R' U' L2 B
L2 D' B' R' U' B L2
D U' F2 L D2 B' L2
D U' F2 L B' D2 L2
D U' F2 L' D2 L2 B'
L2 D' B2 R' U' L2 B
L2 D' B2 R' U' B L2
U D' B2 R F' U2 L2
U D' B2 R' U2 L2 B
U D' B2 R' U2 B L2
B' U2 L F2 U2 L U'
B' U2 L' F2 L2 R U
B' U2 L' F2 R L2 U
L2 D2 F' R F B2 U'
L2 D2 F' R B2 F U'
L2 D2 F' B2 R F U'
L2 D2 B D2 B R' U'
L2 D2 B2 D R' U' B
L2 D2 B2 F' R F U'
B' U2 F2 L U2 L U'
B' U2 F2 D L U F2
B' U2 F2 D2 L R2 U
B' U2 F2 D2 R2 L U
B U2 F2 U2 L2 R' U'
B U2 F2 U2 R' L2 U'
F2 D L U R2 F2 B'
F2 D L U R2 B' F2
F2 D L U F2 R2 B'
F2 D L U F2 B' R2
F2 D L U B' R2 F2
F2 D L U B' F2 R2
F2 D L' U F2 R2 B
B2 D R U' F2 L' B'
U2 F D2 R2 F L' U
U2 F D2 F L' R2 U
U2 F D2 F R2 L' U
B D R' U R' U2 F2
B D R' B2 U' L F2
B D R' B2 U' F2 L
L2 F' R2 F B R' U'
L2 F' R2 B R' F U'
L2 F' R2 B F R' U'
B D' R' U B2 U2 L2
B D' R' U' L2 D2 F2
B D' R' B' U' L2 F
B2 D' B' R' U' L2 F
B D2 L R' B2 L U'
U2 F2 D L U F2 B'
U2 F2 D L U B' F2
B D2 L' R' B2 L U'
B D2 L2 R' B2 L U'
B' D2 R' B2 L R' U'
B' D2 R' B2 R' L U'
B D2 R' L B2 L U'
B D2 R' L' B2 L U'
B D2 R' L2 B2 L U'
B D2 R' B2 L U' D
B D2 R' B2 L U' D'
B D2 R' B2 L U' D2
B D2 R' B2 L D U'
B D2 R' B2 L D' U'
B D2 R' B2 L D2 U'
B D2 R' B2 D L U'
B D2 R' B2 D' L U'
B D2 R' B2 D2 L U'
F D2 R2 F L' B U
F D2 R2 F B L' U
F D2 R2 B F L' U
L' B L' R' U' D' L2
L' B L' R' U2 F2 U
L' B L' R' D' U' L2
L' B L' R' D2 B2 U'
L' B L' D' R' U' L2
L' B L' D2 R' B2 U'
R' B L2 R' U' D' L2
R' B L2 R' U2 F2 U
R' B L2 R' D' U' L2
R' B L2 R' D2 B2 U'
R' B L2 D' R' U' L2
R' B L2 D2 R' B2 U'
R2 B L2 R' U' D' L2
R2 B L2 R' U2 F2 U
R2 B L2 R' D' U' L2
R2 B L2 R' D2 B2 U'
R2 B L2 D' R' U' L2
R2 B L2 D2 R' B2 U'
R' B R' L2 U' D' L2
R' B R' L2 U2 F2 U
R' B R' L2 D' U' L2
R' B R' L2 D2 B2 U'
L' B R' L' U' D' L2
L' B R' L' U2 F2 U
L' B R' L' D' U' L2
L' B R' L' D2 B2 U'
L' B R' U2 F2 R U
R B L2 R' U' D' L2
R B L2 R' U2 F2 U
R B L2 R' D' U' L2
R B L2 R' D2 B2 U'
L' B R' D' L' U' L'
L' B R' D2 L' B2 U'
L' B R' D2 B2 L' U'
R B L2 D' R' U' L2
L2 B R' U D R2 U2
R B L2 D2 R' B2 U'
L2 B R' U' L D' L2
L2 B R' U' L' D' L2
L2 B R' U' L2 D' L2
L2 B R' U' D' L2 D
L2 B R' U' D' L2 D'
L2 B R' U' D' L2 D2
L2 B R' U2 F2 U D
L2 B R' U2 F2 U D'
L2 B R' U2 F2 U D2
L2 B R' U2 F2 D U
L2 B R' U2 F2 D' U
L2 B R' U2 F2 D2 U
L2 B R' D U R2 U2
L2 B R' D' U' L2 D
L2 B R' D' U' L2 D'
L2 B R' D' U' L2 D2
L2 B R' D' B U' L2
L2 B R' D' B' U' L2
L2 B R' D' B2 U' L2
R2 B R' L2 U' D' L2
R2 B R' L2 U2 F2 U
R2 B R' L2 D' U' L2
R2 B R' L2 D2 B2 U'
L2 B R' D2 B2 U' D
L2 B R' D2 B2 U' D'
L2 B R' D2 B2 U' D2
L2 B R' D2 B2 D U'
L2 B R' D2 B2 D' U'
L2 B R' D2 B2 D2 U'
L2 B R' B U' D' L2
L2 B R' B U2 F2 U
L2 B R' B D' U' L2
L2 B R' B D2 B2 U'
L2 B R' B' U' D' L2
L2 B R' B' U2 F2 U
L2 B R' B' D' U' L2
L2 B R' B' D2 B2 U'
L2 B R' B2 U' D' L2
L2 B R' B2 U2 F2 U
L2 B R' B2 D' U' L2
L2 B R' B2 D2 B2 U'
L2 B R2 U2 F2 L' U
L2 B R2 D' R U' L2
L2 B R2 D2 R B2 U'
L2 B R2 D2 B2 R U'
B' D2 B2 R' U2 R' U
R B R' L2 U' D' L2
R B R' L2 U2 F2 U
R B R' L2 D' U' L2
R B R' L2 D2 B2 U'
B' D2 B2 D' R' U' F2
B' D2 B2 D2 L2 R' U'
B' D2 B2 D2 R' L2 U'
B D2 B2 U2 L R2 U
B D2 B2 U2 R2 L U
L2 B U2 F2 U2 R' U'
L2 B D R' U R' U2
L2 B D R' B2 U' L
L' B D' L' R' U' L'
L' B D' R' L' U' L'
B2 F L2 F' B' R' U'
B2 F L2 B' F' R' U'
L2 B D' R' U' L2 D
L2 B D' R' U' L2 D'
L2 B D' R' U' L2 D2
D2 B D2 L2 B R' U'
L2 B D' R' D' B2 U'
L2 B D' R' B U' L2
L2 B D' R' B' U' L2
L2 B D' R' B2 U' L2
L' B D2 L' R' B2 U'
R' B D2 R' B2 L U'
L' B D2 R' L' B2 U'
L' B D2 R' B2 L' U'
B F L2 F' R' B' U'
D2 B D2 B L2 R' U'
D2 B D2 B R' L2 U'
F B L2 F' R' B' U'
L2 B D2 R B2 R2 U'
L2 B D2 R' U' D L2
L2 B D2 R' D U' L2
L2 B D2 R' B2 U' D
L2 B D2 R' B2 U' D'
L2 B D2 R' B2 U' D2
L2 B D2 R' B2 D U'
L2 B D2 R' B2 D' U'
L2 B D2 R' B2 D2 U'
L2 B D2 R2 B2 R U'
R2 B D2 R' B2 L U'
L2 B D2 B2 U2 L U
R B D2 R' B2 L U'
L' B' L' U' D' L2 B2
L' B' L' U' D' B2 L2
L' B' L' U2 L2 F2 U
L' B' L' U2 F2 L2 U
L' B' L' D' U' L2 B2
L' B' L' D' U' B2 L2
L' B' L' D2 R2 B2 U'
F2 B U2 L2 R' F2 U'
L' B' L' D2 B2 R2 U'
F2 B U2 L2 F2 R' U'
F2 B U2 R' L2 F2 U'
F2 B U2 R' F2 L2 U'
R' B' L2 U2 L' F2 U
F2 B U2 F2 L2 R' U'
F2 B U2 F2 R' L2 U'
R2 B' L2 U2 L' F2 U
L2 B' R U2 L F2 U
L2 B' R U2 F2 L U
D' B' R' U' L2 F B
D' B' R' U' L2 B F
L2 B' R D2 B2 R' U'
R B' L2 U2 L' F2 U
L2 B' R' U2 L F2 U
L2 B' R' U2 F2 L U
L2 B' R' D2 B2 R' U'
F2 B D2 B2 L R2 U
F2 B D2 B2 R2 L U
F2 B' L U2 L F2 U'
F2 B' L U2 F2 L U'
L2 B' R2 U2 L F2 U
L2 B' R2 U2 F2 L U
F2 B' L D2 B2 R' U
L2 B' R2 D2 B2 R' U'
L2 B' U' L' D' L2 B2
L2 B' U' L' D' B2 L2
L2 B' U2 L U D' L2
L2 B' U2 L D' U L2
L2 B' U2 L F2 U D
L2 B' U2 L F2 U D'
L2 B' U2 L F2 U D2
L2 B' U2 L F2 D U
L2 B' U2 L F2 D' U
L2 B' U2 L F2 D2 U
L' B' U2 F2 L R U
L' B' U2 F2 R L U
L2 B' U2 L' F2 L2 U
L2 B' U2 D' L U L
L2 B' U2 F' L F' U
L2 B' U2 F2 L U D
L2 B' U2 F2 L U D'
L2 B' U2 F2 L U D2
L2 B' U2 F2 L D U
L2 B' U2 F2 L D' U
L2 B' U2 F2 L D2 U
L2 B' U2 F2 D L U
L2 B' U2 F2 D' L U
L2 B' U2 F2 D2 L U
L2 B' D' U2 L U L
L2 B' D' B2 R' U' L2
L2 B' D2 R B2 R' U'
L' B' D2 B2 L' R' U'
L' B' D2 B2 R' L' U'
L2 B' D2 R' B2 R' U'
L2 B' D2 R2 B2 R' U'
L2 B' D2 B2 R' U' D
L2 B' D2 B2 R' U' D'
L2 B' D2 B2 R' U' D2
L2 B' D2 B2 R' D U'
L2 B' D2 B2 R' D' U'
L2 B' D2 B2 R' D2 U'
L2 B' D2 B2 D R' U'
L2 B' D2 B2 D' R' U'
L2 B' D2 B2 D2 R' U'
F2 B' U2 L2 F2 R U'
F2 B' D L U R2 F2
F2 B' D L U F2 R2
F2 B' D2 L R2 B2 U
F2 B' D2 L B2 R2 U
F2 B' D2 R2 L B2 U
B' F2 L U2 L F2 U'
B' F2 L U2 F2 L U'
B' F2 L D2 B2 R' U
F B2 L2 F' B' R' U'
F B2 L2 B' F' R' U'
L2 B2 U' L D' L2 B'
L2 B2 U' L' D' B' L2
L2 B2 U' L' B' D' L2
L2 B2 U' D' L' B' L'
L2 B2 U2 F' L' F' U
D2 B2 D' L U' F2 B'
D2 B2 D' L U' B' F2
L' B2 D' L' U' L' B'
B' F2 U2 L2 F2 R U'
B' F2 D L U R2 F2
B' F2 D L U F2 R2
L2 B2 D' U' L' B' L'
L2 B2 D' B' R' U' L2
B F2 U2 L2 R' F2 U'
B F2 U2 L2 F2 R' U'
B F2 U2 R' L2 F2 U'
B F2 U2 R' F2 L2 U'
L2 B2 D2 B' R' B' U'
B F2 U2 F2 L2 R' U'
B F2 U2 F2 R' L2 U'
B' F2 D2 L R2 B2 U
B' F2 D2 L B2 R2 U
B' F2 D2 R2 L B2 U
B F2 D2 B2 L R2 U
B F2 D2 B2 R2 L U
