D R2 F B' L' U'
D R2 B' F L' U'
D F R2 B' L' U'
B' D R2 F L' U'
D F B' L' R2 U'
D F B' R2 L' U'
B' D F L' R2 U'
B' D F R2 L' U'
D B' R2 F L' U'
D B' F L' R2 U'
D B' F R2 L' U'
D F R2 D' B' L' U'
D F R2 D2 B' L' U'
D F R2 B L' B2 U'
D F R2 B' L' U' D
D F R2 B' L' U' D'
D F R2 B' L' U' D2
D F R2 B' L' D U'
D F R2 B' L' D' U'
D F R2 B' L' D2 U'
D F R2 B' D L' U'
D F R2 B' D' L' U'
D F R2 B' D2 L' U'
D F R2 B2 L' B U'
B' D R' F L' R' U'
B' D R' F R' L' U'
D' F B' L U2 L U
B' D R2 F L' U' D
B' D R2 F L' U' D'
B' D R2 F L' U' D2
B' D R2 F L' D U'
B' D R2 F L' D' U'
B' D R2 F L' D2 U'
D2 F B' R U' F' B'
D2 F B' R U' B' F'
B' D R2 F D L' U'
B' D R2 F D' L' U'
B' D R2 F D2 L' U'
D F B L' R2 B2 U'
D F B L' B2 R2 U'
D' F B' D' L U' B2
D' F B' D2 L R2 U'
D' F B' D2 R2 L U'
D F B R2 L' B2 U'
D F B R2 B2 L' U'
D F B' L' R2 U' D
D F B' L' R2 U' D'
D F B' L' R2 U' D2
D F B' L' R2 D U'
D F B' L' R2 D' U'
D F B' L' R2 D2 U'
D F B' L' U' D B2
D F B' L' D U' B2
B D R2 F L' U' L'
D F B' R2 L' U' D
D F B' R2 L' U' D'
D F B' R2 L' U' D2
D F B' R2 L' D U'
D F B' R2 L' D' U'
D F B' R2 L' D2 U'
D F B' R2 D L' U'
D F B' R2 D' L' U'
D F B' R2 D2 L' U'
D F B' D L' U' B2
D F B2 L' B R2 U'
B' D F L' R2 U' D
B' D F L' R2 U' D'
B' D F L' R2 U' D2
B' D F L' R2 D U'
B' D F L' R2 D' U'
B' D F L' R2 D2 U'
B' D F L' U' D B2
B' D F L' D U' B2
B' D F R2 L' U' D
B' D F R2 L' U' D'
B' D F R2 L' U' D2
B' D F R2 L' D U'
B' D F R2 L' D' U'
B' D F R2 L' D2 U'
B' D F R2 D L' U'
B' D F R2 D' L' U'
B' D F R2 D2 L' U'
B2 D F L' B R2 U'
B' D F D L' U' B2
B2 D F B L' R2 U'
B2 D F B R2 L' U'
B D F L' R2 U' L'
B D F R2 L' U' L'
B2 D B R2 F L' U'
B2 D B F L' R2 U'
B2 D B F R2 L' U'
F2 D' U' F' B' L U'
F2 D' U' B' L F' U'
F2 D' U' B' F' L U'
L2 F2 U F' B' R' U
L2 F2 U B' F' R' U
B' D2 R F U' F2 B2
B' D2 R F U' B2 F2
B' D2 F R U' F' B2
B' D2 F R U' B2 F'
D B R2 F L' B2 U'
D B R2 F B2 L' U'
D B R2 B2 F L' U'
D B F L' R2 B2 U'
D B F L' B2 R2 U'
D B F R2 L' B2 U'
D B F R2 B2 L' U'
D' B' L U2 L B' U
D2 B' R F U' F2 B'
D2 B' R F U' B' F2
D B' R' F L' R' U'
D B' R' F R' L' U'
D B' R2 F L' U' D
D B' R2 F L' U' D'
D B' R2 F L' U' D2
D B' R2 F L' D U'
D B' R2 F L' D' U'
D B' R2 F L' D2 U'
D B' R2 F D L' U'
D B' R2 F D' L' U'
D B' R2 F D2 L' U'
U' B' D R2 F L' U'
U' B' D F L' R2 U'
U' B' D F R2 L' U'
R' B' D R2 F L' U'
R' B' D F L' R2 U'
R' B' D F R2 L' U'
U2 B' D R2 F L' U'
U2 B' D F L' R2 U'
U2 B' D F R2 L' U'
D' B' D' F L U' B2
R2 B' D R2 F L' U'
R2 B' D F L' R2 U'
R2 B' D F R2 L' U'
D' B' D2 R2 F L U'
U B' D R2 F L' U'
D' B' D2 F L R2 U'
D' B' D2 F R2 L U'
U B' D F L' R2 U'
U B' D F R2 L' U'
D' B' F L U2 L U
D2 B' F R U' F' B'
D2 B' F R U' B' F'
R B' D R2 F L' U'
R B' D F L' R2 U'
R B' D F R2 L' U'
D' B' F D' L U' B2
D' B' F D2 L R2 U'
D' B' F D2 R2 L U'
D B' F L' R2 U' D
D B' F L' R2 U' D'
D B' F L' R2 U' D2
D B' F L' R2 D U'
D B' F L' R2 D' U'
D B' F L' R2 D2 U'
D B' F L' U' D B2
D B' F L' D U' B2
D B' F R2 L' U' D
D B' F R2 L' U' D'
D B' F R2 L' U' D2
D B' F R2 L' D U'
D B' F R2 L' D' U'
D B' F R2 L' D2 U'
D B' F R2 D L' U'
D B' F R2 D' L' U'
D B' F R2 D2 L' U'
D B' F D L' U' B2
D B2 F L' B R2 U'
