F' L2 U' L' B U2
F' L2 U' B L' U2
B2 L2 F' U R' F2
B2 L2 F' U F2 R'
B2 L2 F' U F2 R'
L2 F' R2 U F' R
L2 F' U R2 F' R
F D' B2 L2 R' F
F D' B2 L2 F R'
F D' B2 R' L2 F
B2 F' L2 U R' F
B2 F' L2 U F R'
F' B2 L2 U R' F
F' B2 L2 U F R'
B2 F R' D' L2 B2 F
B2 F D' L2 R' F B2
B2 F D' L2 R' B2 F
B2 F D' L2 F R' B2
B2 F D' R' L2 F B2
B2 F D' R' L2 B2 F
B2 F' L2 R U R2 F
B2 F' L2 R U F R2
B2 F' L2 R2 U R F
B2 F' L2 U R F R2
B2 F' L2 U R' D F
B2 F' L2 U R' D' F
B2 F' L2 U R' D2 F
B2 F' L2 U R' F D
B2 F' L2 U R' F D'
B2 F' L2 U R' F D2
B2 F' L2 U D R' F
B2 F' L2 U D F R'
B2 F' L2 U D' R' F
B2 F' L2 U D' F R'
B2 F' L2 U D2 R' F
B2 F' L2 U D2 F R'
B2 F' L2 U F R' D
B2 F' L2 U F R' D'
B2 F' L2 U F R' D2
B2 F' L2 U F D R'
B2 F' L2 U F D' R'
B2 F' L2 U F D2 R'
B2 F' L2 U F' R' F2
B2 F' L2 D U R' F
B2 F' L2 D U F R'
B2 F' L2 D' U R' F
B2 F' L2 D' U F R'
B2 F' L2 D2 U R' F
B2 F' L2 D2 U F R'
B2 F' R L2 U R2 F
B2 F' R L2 U F R2
B2 F' R2 L2 U R F
L2 B' D2 F' U F' R
D' B2 L2 R' D' F L'
U' B2 L2 F' U R' F2
U' B2 L2 F' U F2 R'
D' B2 L2 F R' D' L2
D' B2 L2 F D' L2 R'
D' B2 L2 F D' R' L2
U2 B2 L2 F' U R' F2
U2 B2 L2 F' U F2 R'
R2 B2 L2 F U R' F2
R2 B2 L2 F U F2 R'
D' B2 R' L2 D' F L'
D' B2 R' D' L2 F L'
F' B2 L2 R U R2 F
F' B2 L2 R U F R2
F' B2 L2 R2 U R F
F' B2 L2 U R F R2
F' B2 L2 U R' D F
F' B2 L2 U R' D' F
F' B2 L2 U R' D2 F
F' B2 L2 U R' F D
F' B2 L2 U R' F D'
F' B2 L2 U R' F D2
F' B2 L2 U D R' F
F' B2 L2 U D F R'
F' B2 L2 U D' R' F
F' B2 L2 U D' F R'
U B2 L2 F' U R' F2
U B2 L2 F' U F2 R'
F' B2 L2 U D2 R' F
F' B2 L2 U D2 F R'
F' B2 L2 U F R' D
F' B2 L2 U F R' D'
F' B2 L2 U F R' D2
F' B2 L2 U F D R'
F' B2 L2 U F D' R'
F' B2 L2 U F D2 R'
F' B2 L2 U F' R' F2
F' B2 L2 D U R' F
F' B2 L2 D U F R'
F' B2 L2 D' U R' F
F' B2 L2 D' U F R'
F' B2 L2 D2 U R' F
F' B2 L2 D2 U F R'
F' B2 R L2 U R2 F
F' B2 R L2 U F R2
F B2 L2 F2 U F' R'
F' B2 R2 L2 U R F
F B2 R' D' L2 F B2
F B2 R' D' L2 B2 F
D' B2 F R' D' L2 F
U' B2 F' L2 U R' F
U' B2 F' L2 U F R'
D' B2 F D' L2 R' F
D' B2 F D' L2 F R'
D' B2 F D' R' L2 F
U2 B2 F' L2 U R' F
U2 B2 F' L2 U F R'
F B2 D' L2 R' F B2
F B2 D' L2 R' B2 F
F B2 D' L2 F R' B2
F B2 D' R' L2 F B2
F B2 D' R' L2 B2 F
U B2 F' L2 U R' F
U B2 F' L2 U F R'
