U L' U R' U2 B
R' U' L' U' B R
U2 R' U' L' U' B
B2 D2 L D F2 B'
B2 D2 L D B' F2
B2 D2 L B' D F2
D2 B2 L D F2 B'
D2 B2 L D B' F2
D2 B2 L B' D F2
U L' B2 U' D2 L B'
U L' B2 D2 U' L B'
L2 U L U R' U2 B
L U L2 U R' U2 B
U R L' U R2 U2 B
U R L' U F' R2 U2
F2 R U' R2 U2 B R
F2 R U' F' R2 U2 R
R' U' L' U' D B R
R' U' L' U' D' B R
R' U' L' U' D2 B R
R' U' L' U' B R D
R' U' L' U' B R D'
R' U' L' U' B R D2
R' U' L' U' B D R
R' U' L' U' B D' R
R' U' L' U' B D2 R
R' U' L' U' B' R B2
R' U' L' U' B2 R B'
R' U' L' D U' B R
R' U' L' D' U' B R
R' U' L' D2 U' B R
R' U' D L' U' B R
R' U' D' L' U' B R
R' U' D2 L' U' B R
B2 R' L D B R F2
B2 R' L B R D F2
B2 R' L B D R F2
B2 R' L' U' L2 B R
B2 R' L' U' B L2 R
B2 R' L' U' B R L2
U2 R' U' L' U' D B
U2 R' U' L' U' D' B
U2 R' U' L' U' D2 B
U2 R' U' L' U' B D
U2 R' U' L' U' B D'
U2 R' U' L' U' B D2
U2 R' U' L' D U' B
U2 R' U' L' D' U' B
U2 R' U' L' D2 U' B
U2 R' U' D L' U' B
U2 R' U' D' L' U' B
U2 R' U' D2 L' U' B
U' R' U2 L' U' L B
F' R' U2 D B R F'
F2 R' U2 D' B R F2
F' R' U2 B D R F'
F2 R' U2 B D' R F2
U2 R' U2 B U L' U'
F' R' D U2 B R F'
U2 R' D U' L' U' B
F2 R' D B2 U2 R B'
F2 R' D B2 U2 B' R
U2 R' D' U' L' U' B
F2 R' D' U2 B R F2
R' U2 L' U' L B R
U2 R' D2 U' L' U' B
L2 U2 R' U' L U' B
B R' B L R D F2
L U2 R' U' L2 U' B
B R' B L D R F2
L U2 R' U2 D F2 B
L U2 R' U2 D B F2
L U2 R' U2 B D F2
L U2 R' D U2 F2 B
L U2 R' D U2 B F2
B R' B R L D F2
L U2 R' D' B2 U2 B'
U2 R' B' U' L' U' B2
R' U2 B R U L' U'
R' U2 B U L' U' R
U' R2 F2 R U L' B
U' R2 F2 R U B L'
R' D U' L' U' B R
D2 U L' U R' F U2
D2 U L' U F R' U2
B2 U L' R' U' L2 B
B2 U L' R' U' B L2
B2 U R' L' U' L2 B
B2 U R' L' U' B L2
L D F2 D B2 L B'
B2 U D2 L' U' L2 B'
D2 U B2 L' U' L2 B'
R' D' U' L' U' B R
F2 U' R U' R2 U2 B
F2 U' R U' F' R2 U2
U D2 L' U R' F U2
U D2 L' U F R' U2
R' D2 U' L' U' B R
F2 U2 R' U2 D' F2 B
F2 U2 R' U2 D' B F2
F2 U2 R' U2 B D' F2
F2 U2 R' D B2 U2 B'
F2 U2 R' D' U2 F2 B
F2 U2 R' D' U2 B F2
U D2 B2 L' U' L2 B'
L D2 B2 L D' F2 B'
L D2 B2 L D' B' F2
L D2 B2 L B' D' F2
U' F U' R' U2 F' B
U' F U' R' U2 B F'
R F' R2 U2 D R F'
R F' R2 D U2 R F'
U' F2 R U' R2 U2 B
U' F2 R U' F' R2 U2
R2 F2 R U L' B R
R2 F2 R U B L' R
R2 F2 R U B R L'
U2 F2 R' U2 D' F2 B
U2 F2 R' U2 D' B F2
U2 F2 R' U2 B D' F2
U2 F2 R' D B2 U2 B'
U2 F2 R' D' U2 F2 B
U2 F2 R' D' U2 B F2
B2 D2 L D F2 D B'
B2 D2 L D F2 D' B'
B2 D2 L D F2 D2 B'
B2 D2 L D F2 B' D
B2 D2 L D F2 B' D'
B2 D2 L D F2 B' D2
B2 D2 L D B' F2 D
B2 D2 L D B' F2 D'
B2 D2 L D B' F2 D2
B2 D2 L D2 B' D' F2
B2 D2 L F D F2 B'
B2 D2 L F D B' F2
B2 D2 L F B' D F2
B2 D2 L F' D F2 B'
B2 D2 L F' D B' F2
B2 D2 L F' B' D F2
B2 D2 L F2 D F2 B'
B2 D2 L F2 D B' F2
B2 D2 L F2 B' D F2
B2 D2 L B' U L2 U'
B2 D2 L B' D F2 D
B2 D2 L B' D F2 D'
B2 D2 L B' D F2 D2
B2 D2 L B' F D F2
B2 D2 L B' F' D F2
B2 D2 L B' F2 D F2
B2 D2 L B2 D F2 B
B2 D2 L B2 D B F2
B2 D2 U L' U' L2 B'
B D2 B L D F2 B'
B D2 B L D B' F2
B D2 B L B' D F2
D2 B' L B' D L F2
D2 B' L B' D F2 L
R' B' R B2 L D F2
R' B' U' L' U' R B2
R' B' U' L' U' B2 R
D2 B2 L D F2 D B'
D2 B2 L D F2 D' B'
D2 B2 L D F2 D2 B'
D2 B2 L D F2 B' D
D2 B2 L D F2 B' D'
D2 B2 L D F2 B' D2
D2 B2 L D B' F2 D
D2 B2 L D B' F2 D'
D2 B2 L D B' F2 D2
D2 B2 L D2 B' D' F2
D2 B2 L F D F2 B'
D2 B2 L F D B' F2
D2 B2 L F B' D F2
D2 B2 L F' D F2 B'
D2 B2 L F' D B' F2
D2 B2 L F' B' D F2
D2 B2 L F2 D F2 B'
D2 B2 L F2 D B' F2
D2 B2 L F2 B' D F2
D2 B2 L B' U L2 U'
D2 B2 L B' D F2 D
D2 B2 L B' D F2 D'
D2 B2 L B' D F2 D2
D2 B2 L B' F D F2
D2 B2 L B' F' D F2
D2 B2 L B' F2 D F2
D2 B2 L B2 D F2 B
D2 B2 L B2 D B F2
L2 B2 L U' R' U B
U B2 L' R' U' L2 B
U B2 L' R' U' B L2
L' B2 R' U' L B R
L2 B2 R' U L B R
D2 B2 U L' U' L2 B'
U B2 R' L' U' L2 B
U B2 R' L' U' B L2
L2 B2 U' R' U L B
D' B2 D' L D F2 B'
D' B2 D' L D B' F2
D' B2 D' L B' D F2
L B2 D F2 D L B'
L B2 D2 L D' F2 B'
L B2 D2 L D' B' F2
L B2 D2 L B' D' F2
U B2 D2 L' U' L2 B'
