U' B R' F' B2
U' B R' B2 F'
U L' B' L U2 B'
R' U' B R' F' B2
R' U' B R' B2 F'
R2 U' B R' F' B2
R2 U' B R' B2 F'
R U' B R' F' B2
R U' B R' B2 F'
U' R' D2 F' R B'
U' R' D2 F' B' R
U' R' D2 B' F' R
U' R' F' B R' B2
U' R' B F' R' B2
D' R2 U' B' R' F'
D2 U' R' F' R B'
D2 U' R' F' B' R
D2 U' R' B' F' R
D2 U' B' R' F' R
U' D2 R' F' R B'
U' D2 R' F' B' R
U' D2 R' B' F' R
U' D2 B' R' F' R
U' F B R' F' B2
U' F B R' B2 F'
U' F' B R' F' B2
U' F' B R' B2 F'
U' F2 B R' F' B2
U' F2 B R' B2 F'
U' B R' F' B2 D
U' B R' F' B2 D'
U' B R' F' B2 D2
U' B R' B2 D F'
U' B R' B2 D' F'
U' B R' B2 D2 F'
U' B R' B2 F' D
U' B R' B2 F' D'
U' B R' B2 F' D2
U' B R2 B2 R F'
U B U2 R' F' B2
U B U2 R' B2 F'
U' B F R' F' B2
U' B F R' B2 F'
U' B F' R' F' B2
U' B F' R' B2 F'
U' B F2 R' F' B2
U' B F2 R' B2 F'
U' B' U2 L U2 F
U' B F' R' B2 D' F'
U' B F' R' B2 D2 F'
U' B F' R' B2 F' D
U' B F' R' B2 F' D'
U' B F' R' B2 F' D2
U' B F' R2 B2 R F'
U' B F2 R' F' B2 D
U' B F2 R' F' B2 D'
U' B F2 R' F' B2 D2
U' B F2 R' B2 D F'
U' B F2 R' B2 D' F'
U' B F2 R' B2 D2 F'
U' B F2 R' B2 F' D
U' B F2 R' B2 F' D'
U' B F2 R' B2 F' D2
U' B F2 R2 B2 R F'
U B D2 F2 U2 R' F'
U B F U2 R' F' B2
U B F U2 R' B2 F'
U B F' U2 R' F' B2
U B F' U2 R' B2 F'
U B F2 U2 R' F' B2
U B F2 U2 R' B2 F'
U' B' R U2 L B U2
U B' L B U2 F B'
U B' L B U2 B' F
U B' L B' U2 F B
U B' L B' U2 B F
U B' L B2 U2 F B2
U B' L B2 U2 B2 F
U' B' R' U2 L U2 F'
U B' L' B' L2 U2 B
U' B' R' F' U2 L U2
U' B' R' F' B2 R' B2
U' B' R' B2 F' R' B2
U2 B' R' B2 U R' B2
U' B' U2 L U2 D F
U' B' U2 L U2 D' F
U' B' U2 L U2 D2 F
U' B' U2 L U2 F D
U' B' U2 L U2 F D'
U' B' U2 L U2 F D2
U' B' U2 L D U2 F
U' B' U2 L D' U2 F
U' B' U2 L D2 U2 F
U' B' U2 L B U2 F
U' B' U2 L B' U2 F
U' B' U2 L B2 U2 F
U' B' U2 L' B' L2 U2
U' B' U2 D L U2 F
U' B' U2 D' L U2 F
U' B' U2 D2 L U2 F
U' B' U2 B2 U2 R' F'
U' B' D U2 L U2 F
U' B' D B2 R' F' B2
U' B' D B2 R' B2 F'
U' B' D' U2 L U2 F
U' B' D' B2 R' F' B2
U' B' D' B2 R' B2 F'
U' B' D2 U2 L U2 F
U' B' D2 B2 R' F' B2
U' B' D2 B2 R' B2 F'
U' B' F U2 L U2 F
U' B' F' U2 L U2 F
U' B' F2 U2 L U2 F
U B2 L U2 F B R
U B2 L U2 B F R
U B2 L' B' U2 R' B2
U' B2 D B' R' F' B2
U' B2 D B' R' B2 F'
U' B2 D' B' R' F' B2
U' B2 D' B' R' B2 F'
U' B2 D2 B' R' F' B2
U' B2 D2 B' R' B2 F'
