D F' R B2 U
D F' B2 R U
D B2 F' R U
U L' F R2 D' L2
R U R F' L' F
R U D2 R F' L'
F' R U D2 R F'
R U F' L' F R
F' R D2 U R F'
F' U L' R2 F L
F' U L' F L R2
F' U L' F R2 L
F' U R D2 R F'
F' U R2 L' F L
F' U' L B' U2 R2
F' U' L' U2 R2 F
F' U' L' U2 F R2
F' U2 L' U' R2 F
F' U2 L' U' F R2
R D2 U R F' L'
L' F' L U R2 F2
L' F' L U F2 R2
B2 D F' R B2 U
B' D F' R B2 U
B' D F' B2 R U
B2 D F' B2 R U
B D F' R B2 U
D F' R U D' R2
D F' R D' U R2
B D F' B2 R U
D F' R B2 U D
D F' R B2 U D'
D F' R B2 U D2
D F' R B2 D U
D F' R B2 D' U
D F' R B2 D2 U
D' F' R2 B R' U
D F' R' B2 R2 U
B' D B2 F' R U
B2 D B2 F' R U
B D B2 F' R U
D F' D' R U R
D F' B' R B' U
D F' B2 R U D
D F' B2 R U D'
D F' B2 R U D2
D F' B2 R D U
D F' B2 R D' U
D F' B2 R D2 U
D F' B2 D R U
D F' B2 D' R U
D F' B2 D2 R U
D B' F' R B' U
D B2 F' R U D
D B2 F' R U D'
D B2 F' R U D2
D B2 F' R D U
D B2 F' R D' U
D B2 F' R D2 U
D B2 F' D R U
D B2 F' D' R U
D B2 F' D2 R U
R D2 R' F' U R2 F'
F' U' B2 L B' U2 R2
F' U' B2 L' U2 R2 F
F' U' B2 L' U2 F R2
R D2 U L R F' L'
R D2 U L' R F' L'
F' U2 L U B' U2 R2
R D2 U L2 R F' L'
R D2 U R L F' L'
R D2 U R L' F' L'
R D2 U R L2 F' L'
R D2 U R D F' L'
R D2 U R D' F' L'
R D2 U R D2 F' L'
R D2 U R F' L' D
R D2 U R F' L' D'
R D2 U R F' L' D2
R D2 U R F' D L'
R D2 U R F' D' L'
R D2 U R F' D2 L'
F' U2 L' U' R' F R'
F' U2 L' U' R2 D F
F' U2 L' U' R2 D' F
F' U2 L' U' R2 D2 F
F' U2 L' U' R2 F D
F' U2 L' U' R2 F D'
F' U2 L' U' R2 F D2
F' U2 L' U' F R2 D
F' U2 L' U' F R2 D'
F' U2 L' U' F R2 D2
F' U2 L' U' F' R2 F2
F' U2 L' D' F2 U' F'
F' U2 L' F' U' R2 F2
F' U2 L' F' U' F2 R2
F' U2 L' F2 U' F' R2
D' U2 F2 L2 B' L U'
D U2 F' R B2 L U
R D2 B U R F' L'
R D2 B' U R F' L'
L' F L F2 U R2 F2
L' F L F2 U F2 R2
L' F L' R2 D' L2 B2
L' F L' R2 D' B2 L2
R D2 B2 U R F' L'
U F L R2 D' L2 F
F' U2 F L' U' R2 F
F' U2 F L' U' F R2
U F L' R2 D' F L2
F' U2 F' L' U' R2 F
F' U2 F' L' U' F R2
F' U2 F2 L' U' R2 F
F' U2 F2 L' U' F R2
D F R F2 R B2 U
D F R F2 B2 R U
L' F R2 L' D' L2 B2
L' F R2 L' D' B2 L2
D F R B2 F2 R U
L' F R2 U' L F2 U
L' F R2 U' F2 L U
D F R' F2 R B2 U
D F R' F2 B2 R U
D F R' B2 F2 R U
U F R2 L D' L2 F
U F R2 L' D' F L2
D F R2 F2 R B2 U
D F R2 F2 B2 R U
L' F U' L F2 U R2
D F R2 B2 F2 R U
L' F U' F2 L U R2
R F U F' L' R F
R F U F' R L' F
L' F' L R U R F2
L' F' L R' U R' F2
L' F' L R' U F2 R'
L' F' L U R' F2 R'
L' F' L U R2 F2 D
L' F' L U R2 F2 D'
L' F' L U R2 F2 D2
L' F' L U F R2 F
L' F' L U F2 R2 D
L' F' L U F2 R2 D'
L' F' L U F2 R2 D2
L' F' L D R2 B2 U
L' F' L D B2 R2 U
D F B2 R F2 R U
D F B2 R' F2 R U
D F B2 R2 F2 R U
L' F' L B U R2 F2
L' F' L B U F2 R2
L' F' L B' U R2 F2
L' F' L B' U F2 R2
L' F' L B2 U R2 F2
L' F' L B2 U F2 R2
D F' L R B2 L' U
U2 F' L' U F R2 B
D F' L B2 L' R U
D F' L B2 R L' U
B' D F' R U D' R2
B' D F' R D' U R2
B' D F' R B2 U D
B' D F' R B2 U D'
B' D F' R B2 U D2
B' D F' R B2 D U
B' D F' R B2 D' U
B' D F' R B2 D2 U
B' D F' R' B2 R2 U
F' D F' R F B2 U
F2 D F B2 U2 L' U'
F' D F' R B2 F U
B2 D F' R U D' R2
B2 D F' R D' U R2
B' D F' D' R U R
B2 D F' R B2 U D
B2 D F' R B2 U D'
B2 D F' R B2 U D2
B2 D F' R B2 D U
B2 D F' R B2 D' U
B2 D F' R B2 D2 U
L' F' R L U R F2
D2 F' R U D2 F' R2
D2 F' R U F' D2 R2
D2 F' R U' L2 U2 F'
B2 D F' R' B2 R2 U
F2 D F' R F2 B2 U
F2 D F' R B2 F2 U
B' D F' B' R B' U
B' D F' B2 R U D
B' D F' B2 R U D'
B' D F' B2 R U D2
B' D F' B2 R D U
B' D F' B2 R D' U
B' D F' B2 R D2 U
D F' L2 R B2 L2 U
B' D F' B2 D R U
B' D F' B2 D' R U
B' D F' B2 D2 R U
D2 F' R D' B2 U F'
D2 F' R D2 U F' R2
B2 D F' D' R U R
F' D F' B2 R F U
B2 D F' B' R B' U
B2 D F' B2 R U D
B2 D F' B2 R U D'
B2 D F' B2 R U D2
B2 D F' B2 R D U
B2 D F' B2 R D' U
B2 D F' B2 R D2 U
B2 D F' B2 D R U
B2 D F' B2 D' R U
B2 D F' B2 D2 R U
F2 D F' B2 R F2 U
B D F' R U D' R2
B D F' R D' U R2
B D F' R B2 U D
B D F' R B2 U D'
B D F' R B2 U D2
B D F' R B2 D U
B D F' R B2 D' U
B D F' R B2 D2 U
B D F' R' B2 R2 U
L' F' R' L U R' F2
L' F' R' L U F2 R'
D2 F' R' U D2 R2 F'
D2 F' R' U' L2 B U2
D2 F' R' U' B L2 U2
D F' L2 B2 L2 R U
D F' L2 B2 R L2 U
D F' R L B2 L' U
D F' R L2 B2 L2 U
B D F' D' R U R
D2 F' R' D2 U R2 F'
D F' R U R D' R2
D F' R U R' D' R2
D F' R U R2 D' R2
D F' R U D' R2 D
D F' R U D' R2 D'
D F' R U D' R2 D2
D F' R U' D L2 U2
D F' R U2 D2 F2 U'
B D F' B' R B' U
D F' R D U' L2 U2
B D F' B2 R U D
B D F' B2 R U D'
B D F' B2 R U D2
B D F' B2 R D U
B D F' B2 R D' U
B D F' B2 R D2 U
D' F' R' B R' B U
B D F' B2 D R U
B D F' B2 D' R U
B D F' B2 D2 R U
D F' R D' U R2 D
D F' R D' U R2 D'
D F' R D' U R2 D2
D F' R D' B U R2
D F' R D' B' U R2
D F' R D' B2 U R2
D F' R D2 U2 F2 U'
D F' R B D B U
D F' R B D' B U
D F' R B D2 B U
D F' R B' D B' U
D F' R B' D' B' U
D F' R B' D2 B' U
F' D B D2 B R' U
D F' R' U D' R2 F2
D F' R' U D' F2 R2
D' F' R2 B R' U D
D' F' R2 B R' U D'
D' F' R2 B R' U D2
D' F' R2 B R' D U
D' F' R2 B R' D' U
D' F' R2 B R' D2 U
D' F' R2 B D R' U
D' F' R2 B D' R' U
D' F' R2 B D2 R' U
D F' R' D' U R2 F2
D F' R' D' U F2 R2
D2 F' U R D2 F' R2
D2 F' U R F' D2 R2
D F' R' B' R2 B' U
D2 F' U R' D2 R2 F'
D F' R' B2 R2 U D
D F' R' B2 R2 U D'
D F' R' B2 R2 U D2
D F' R' B2 R2 D U
D F' R' B2 R2 D' U
D F' R' B2 R2 D2 U
D F' R' B2 U D' F2
D F' R' B2 D' U F2
B' D B' F' R B' U
B2 D B' F' R B' U
D F' R2 D' R' U R'
D F' R2 B2 U2 L U'
B' D B2 F' R U D
B' D B2 F' R U D'
B' D B2 F' R U D2
B' D B2 F' R D U
B' D B2 F' R D' U
B' D B2 F' R D2 U
F' D B2 D R U F'
B' D B2 F' D R U
B' D B2 F' D' R U
B' D B2 F' D2 R U
F' D B2 F' R F U
D F' U R' D' R2 F2
D F' U R' D' F2 R2
B D B' F' R B' U
B2 D B2 F' R U D
B2 D B2 F' R U D'
B2 D B2 F' R U D2
B2 D B2 F' R D U
B2 D B2 F' R D' U
B2 D B2 F' R D2 U
B2 D B2 F' D R U
B2 D B2 F' D' R U
B2 D B2 F' D2 R U
F2 D B2 F U2 L' U'
F2 D B2 F' R F2 U
B D B2 F' R U D
B D B2 F' R U D'
B D B2 F' R U D2
B D B2 F' R D U
B D B2 F' R D' U
B D B2 F' R D2 U
B D B2 F' D R U
B D B2 F' D' R U
B D B2 F' D2 R U
L' F' D L R2 B2 U
L' F' D L B2 R2 U
L' F' D R2 L B2 U
D F' U2 D2 F2 L' U'
D F' D R U D2 R2
D F' D R U' L2 U2
D F' D R D' B2 U
D F' D R D2 U R2
D F' D' R U R D
D F' D' R U R D'
D F' D' R U R D2
D F' D' R U D R
D F' D' R U D' R
D F' D' R U D2 R
D F' D' R D U R
D F' D' R D' U R
D F' D' R D2 U R
D F' D' R B U R
D F' D' R B' U R
D F' D' R B2 U R
D F' D' B R U R
D F' D' B' R U R
D F' D' B2 R U R
D' F' B R2 B R U
D F' D2 R U D R2
D F' D2 R U2 F2 U'
D F' D2 R D U R2
D F' D2 R D2 B2 U
D F' D2 U2 F2 L' U'
D' F' B' U2 L F' U'
D' F' B' U2 F' L U'
D F' B D B R U
D F' B D' B R U
D F' B D2 B R U
D' F' B2 U2 F' L' U'
D F' B' R D B' U
D F' B' R D' B' U
D F' B' R D2 B' U
D F' B' R B' U D
D F' B' R B' U D'
D F' B' R B' U D2
D F' B' R B' D U
D F' B' R B' D' U
D F' B' R B' D2 U
D F' B' R' B' R2 U
D F' B' D R B' U
D F' B' D B' R U
D F' B' D' R B' U
D F' B' D' B' R U
D F' B' D2 R B' U
D F' B' D2 B' R U
D F' B2 R' U D' F2
D F' B2 R' D' U F2
D F' B2 R2 D R' U
D F' B2 R2 D' R' U
D F' B2 R2 D2 R' U
D F' B2 D R U D
D F' B2 D R U D'
D F' B2 D R U D2
D F' B2 D R D U
D F' B2 D R D' U
D F' B2 D R D2 U
D F' B2 D' R U D
D F' B2 D' R U D'
D F' B2 D' R U D2
D F' B2 D' R D U
D F' B2 D' R D' U
D F' B2 D' R D2 U
D F' B2 D2 R U D
D F' B2 D2 R U D'
D F' B2 D2 R U D2
D F' B2 D2 R D U
D F' B2 D2 R D' U
D F' B2 D2 R D2 U
B' D' F' R2 B R' U
B2 D' F' R2 B R' U
B D' F' R2 B R' U
F' D' B R' U D R2
F' D' B R' U2 F2 U'
F' D' B R' D U R2
F' D' B R' D2 B2 U
D F2 R F R B2 U
D F2 R F B2 R U
F' D' B D R' U R'
D F2 R B2 F R U
F' D' B D2 R' B2 U
D F2 R' F R B2 U
D F2 R' F B2 R U
F' D' B' U2 L F2 U'
F' D' B' U2 F2 L U'
D F2 R' B2 F R U
F' D' B' D2 B2 R' U
D F2 R2 F R B2 U
D F2 R2 F B2 R U
D F2 R2 B2 F R U
F' D2 R U D2 F' R2
F' D2 R U F' D2 R2
F' D2 R U' L2 U2 F'
F' D2 R D' B2 U F'
F' D2 R D2 U F' R2
F' D2 R' U D2 R2 F'
F' D2 R' U' L2 B U2
F' D2 R' U' B L2 U2
D F2 D' F R U R
F' D2 R' D2 U R2 F'
F' D2 U R D2 F' R2
F' D2 U R F' D2 R2
F' D2 U R' D2 R2 F'
D F2 B2 R F R U
D F2 B2 R' F R U
D F2 B2 R2 F R U
D F2 B2 D F R U
D F2 B2 D' F R U
D F2 B2 D2 F R U
R B U R F' L' F
R B U D2 R F' L'
R B U F' L' F R
D' B D F' R' U R'
D2 B D' F' R B2 U
D2 B D' F' B2 R U
F' B R U D2 R F'
D2 B D' B2 F' R U
F' B R D2 U R F'
D' B D2 F' R' B2 U
D B D2 F' B R' U
D' B F' R2 B R U
D B D2 B F' R' U
F' B U L' R2 F L
F' B U L' F L R2
F' B U L' F R2 L
F' B U R D2 R F'
R B D2 U R F' L'
F' B U R2 L' F L
F' B U' L B' U2 R2
F' B U' L' U2 R2 F
F' B U' L' U2 F R2
D B F' D B R U
D B F' D' B R U
D B F' D2 B R U
F' B U2 L' U' R2 F
F' B U2 L' U' F R2
B' F' R U D2 R F'
L B' U L' F' U R2
B' F' R D2 U R F'
F' B' R U D2 R F'
B2 F' R U D2 R F'
F' B' R D2 U R F'
R B' U R F' L' F
B2 F' R D2 U R F'
R B' U D2 R F' L'
R B' U F' L' F R
B F' R U D2 R F'
B F' R D2 U R F'
D2 B' D' F' R B2 U
D2 B' D' F' B2 R U
D2 B' D' B2 F' R U
B' F' U L' R2 F L
B' F' U L' F L R2
B' F' U L' F R2 L
B' F' U R D2 R F'
B' F' U R2 L' F L
F' B' U L' R2 F L
F' B' U L' F L R2
F' B' U L' F R2 L
F' B' U R D2 R F'
B2 F' U L' R2 F L
B2 F' U L' F L R2
B2 F' U L' F R2 L
F' B' U R2 L' F L
B2 F' U R D2 R F'
D' B' D2 F' B2 R' U
B2 F' U R2 L' F L
B' F' U' L B' U2 R2
B' F' U' L' U2 R2 F
B' F' U' L' U2 F R2
D' B' D2 B2 F' R' U
F' B' U' L B' U2 R2
F' B' U' L' U2 R2 F
F' B' U' L' U2 F R2
B F' U L' R2 F L
B2 F' U' L B' U2 R2
B F' U L' F L R2
B F' U L' F R2 L
B2 F' U' L' U2 R2 F
B2 F' U' L' U2 F R2
B F' U R D2 R F'
B F' U R2 L' F L
B' F' U2 L' U' R2 F
B' F' U2 L' U' F R2
F' B' U2 L' U' R2 F
F' B' U2 L' U' F R2
D' B' F' U2 L F' U'
D' B' F' U2 F' L U'
B F' U' L B' U2 R2
B2 F' U2 L' U' R2 F
B2 F' U2 L' U' F R2
B F' U' L' U2 R2 F
B F' U' L' U2 F R2
R B' D2 U R F' L'
B F' U2 L' U' R2 F
B F' U2 L' U' F R2
D B' F' R D B' U
D B' F' R D' B' U
D B' F' R D2 B' U
D B' F' R B' U D
D B' F' R B' U D'
D B' F' R B' U D2
D B' F' R B' D U
D B' F' R B' D' U
D B' F' R B' D2 U
D B' F' R' B' R2 U
D B' F' D R B' U
D B' F' D B' R U
D B' F' D' R B' U
D B' F' D' B' R U
D B' F' D2 R B' U
D B' F' D2 B' R U
D B2 L' F' L R U
D B2 L' F' R L U
L B2 L' F' U R2 F'
D B2 L2 F' L2 R U
D B2 L2 F' R L2 U
F' B2 R U D2 R F'
D B2 R' F' R F' U
F' B2 R D2 U R F'
F' B2 U L' R2 F L
F' B2 U L' F L R2
F' B2 U L' F R2 L
F' B2 U R D2 R F'
R B2 U R F' L' F
F' B2 U R2 L' F L
R B2 U D2 R F' L'
R B2 U F' L' F R
F' B2 U' L B' U2 R2
F' B2 U' L' U2 R2 F
F' B2 U' L' U2 F R2
D2 B2 D' F' R B2 U
D2 B2 D' F' B2 R U
D B2 D R U F' L'
F' B2 U2 L' U' R2 F
F' B2 U2 L' U' F R2
D2 B2 D' B2 F' R U
D B2 D F' R U F'
D' B2 F' U2 F' L' U'
D B2 F R F2 R U
D B2 F R' F2 R U
D B2 F R2 F2 R U
R B2 D2 U R F' L'
D B2 F' R' U D' F2
D B2 F' R' D' U F2
D B2 F' R2 D R' U
D B2 F' R2 D' R' U
D B2 F' R2 D2 R' U
D B2 F' D R U D
D B2 F' D R U D'
D B2 F' D R U D2
D B2 F' D R D U
D B2 F' D R D' U
D B2 F' D R D2 U
D B2 F' D' R U D
D B2 F' D' R U D'
D B2 F' D' R U D2
D B2 F' D' R D U
D B2 F' D' R D' U
D B2 F' D' R D2 U
D B2 F' D2 R U D
D B2 F' D2 R U D'
D B2 F' D2 R U D2
D B2 F' D2 R D U
D B2 F' D2 R D' U
D B2 F' D2 R D2 U
D B2 F2 R F R U
D B2 F2 R' F R U
D B2 F2 R2 F R U
D B2 F2 D F R U
D B2 F2 D' F R U
D B2 F2 D2 F R U
