F2 L R U F R
F2 L R2 B U F
F2 L U F D R2
F2 L U2 F' U' F2
F2 R L U F R
F2 R2 L B U F
L F2 U D F' R
L F2 D U F' R
L2 B' L' F2 U F'
F2 R2 L B U F D
F2 R2 L B U F D'
F2 R2 L B U F D2
F2 R2 L B D U F
F2 R2 L B D' U F
F2 R2 L B D2 U F
F2 R2 L2 B L' U F
L' U2 F2 L2 U F R
L2 U2 B' L' F2 U F'
F2 R2 D L B U F
F2 R2 D' L B U F
F2 R2 D2 L B U F
L D U F' R F2 L'
L D F' U R F2 L'
L' D' U' L2 F R B2
L' D' U' L2 F B2 R
L' D' U' L2 B2 F R
L D' B U R' F L2
L D' B U F L2 R'
L D' B U F R' L2
F U' F L R U R'
F U' F R L U R'
D2 U2 F B2 R' U' F'
U2 D2 F B2 R' U' F'
F U2 R' F L U F2
D2 U2 B2 R' F U' F2
D2 U2 B2 F R' U' F'
U2 D2 B2 R' F U' F2
U2 D2 B2 F R' U' F'
F U2 F L R' U F'
F U2 F R' L U F'
F2 U2 F' U2 L U F
F2 D L R U F R
U' F U2 R F L U
F2 D L R2 B U F
F2 D L U F D R2
F2 D L U2 F' U' F2
F' D L F' U R2 F2
F' D L F' U F2 R2
U2 F U2 F L U F
U F U2 F L R U
U F U2 F R L U
F2 D R L U F R
F2 D R2 L B U F
D2 F B2 L R' U' F
D2 F B2 R' L U' F
F' D F' L U R2 F
F' D F' L U F R2
F2 D' L R U F R
F2 D' L R2 B U F
F2 D' L U F D R2
F2 D' L U2 F' U' F2
F2 D' R L U F R
L F' D F' R2 U R'
F2 D' R2 L B U F
R' F2 L R U F R
R' F2 L R2 B U F
R' F2 L U F D R2
R' F2 L U2 F' U' F2
R2 F2 L R U F R
R2 F2 L R2 B U F
R2 F2 L U F D R2
R2 F2 L U2 F' U' F2
L' F2 L' B' L' U F
U F2 L U2 F' L' U'
R F2 L R U F R
R F2 L R2 B U F
R F2 L U F D R2
R F2 L U2 F' U' F2
L F2 L B' L' U F'
R' F2 R L U F R
R2 F2 R L U F R
R' F2 R2 L B U F
R F2 R L U F R
R2 F2 R2 L B U F
R F2 R2 L B U F
F2 D2 L R U F R
F2 D2 L R2 B U F
F2 D2 L U F D R2
F2 D2 L U2 F' U' F2
F' D2 L F' B2 U F2
L F2 U D F' R D
L F2 U D F' R D'
L F2 U D F' R D2
L F2 U D F' D R
L F2 U D F' D' R
L F2 U D F' D2 R
F' D2 L B2 F' U F2
L F2 U2 L' F U' F2
F2 D2 R L U F R
L F2 D U F' R D
L F2 D U F' R D'
L F2 D U F' R D2
L F2 D U F' D R
L F2 D U F' D' R
L F2 D U F' D2 R
L F2 D B U F' R
L F2 D B' U F' R
L F2 D B2 U F' R
L F2 D' B U F' R'
F2 D2 R2 L B U F
L F2 B U D F' R
L F2 B D U F' R
L F2 B' U D F' R
L F2 B' D U F' R
L F2 B2 U D F' R
L F2 B2 D U F' R
L2 B L' F2 B2 U F'
F' D2 F' L B2 U F
L2 B L' B2 F2 U F'
L2 B' L F2 L2 U F
L B F2 U D F' R
L2 B' L' R F2 U F'
L2 B' L' R' F2 U F'
L B F2 D U F' R
L2 B' L' R2 F2 U F'
L2 B' L' U D' F L2
L2 B' L' D' U F L2
L2 B' L' F2 U D F'
L2 B' L' F2 U D' F'
L2 B' L' F2 U D2 F'
L2 B' L' F2 U F' D
L2 B' L' F2 U F' D'
L2 B' L' F2 U F' D2
L2 B' L' F2 D U F'
L2 B' L' F2 D' U F'
L2 B' L' F2 D2 U F'
L2 B' L2 F2 L U F
L2 B' R L' F2 U F'
L2 B' R' L' F2 U F'
L2 B' R2 L' F2 U F'
F2 B' R2 B L U F
L B' F2 U D F' R
L B' F2 D U F' R
L2 B2 L' F2 B U F'
L2 B2 L' B F2 U F'
D2 B2 R' F L U' F
B' F2 R2 B L U F
B2 F2 U2 F' R' U' F'
F2 B2 U2 F' R' U' F'
D2 B2 F L R' U' F
D2 B2 F R' L U' F
L B2 F2 U D F' R
L B2 F2 D U F' R
