U2 L U' B U'
U2 L R2 U F' U
U2 L U' D B U'
U2 L U' D' B U'
U2 L U' D2 B U'
U2 L U' B U' D
U2 L U' B U' D'
U2 L U' B U' D2
U2 L U' B D U'
U2 L U' B D' U'
U2 L U' B D2 U'
U2 L D U' B U'
U2 L D' U' B U'
U2 L D2 U' B U'
L' U D F2 B U'
L' U D B F2 U'
L' U D2 B U' R2
L' U B U L2 U2
L' U B U' D2 R2
L' U B D F2 U'
L' U B D2 U' R2
L2 U F2 B U' R
L2 U B U L' U2
L2 U B F2 U' R
L U B U2 B' U
R2 U' F' U' L U2
R2 U' F' B2 U R'
B2 R' U B' U' B'
R' U2 L U F U
R2 U' B2 F' U R'
L' U2 L2 U' B U'
R2 U2 L U F' U
L2 U2 L' U' B U'
B2 R' B D L2 B
B2 R' B D B L2
B2 R' B2 U B U'
U2 R2 L U F' U
L' D U F2 B U'
L' D U B F2 U'
U2 D L U' B U'
U2 D' L U' B U'
B' U B2 U' B' R'
L' D2 R2 U' F' U
U2 D2 L U' B U'
D2 U2 L U' B U'
D' U2 L U' B U'
L' D2 U B U' R2
D U2 L U' B U'
B' D L2 B' R' B2
B' D B' L2 R' B2
B' D B' R' L2 B2
B' D B' R' B2 L2
B' D' B' R' B2 L
U B U' B R' B'
U B U2 B U R'
U B D2 F' U' R
U2 R2 L U F' D U
U2 R2 L U F' D' U
U2 R2 L U F' D2 U
U2 R2 L D U F' U
L2 U2 D2 L' U' B U'
U2 R2 L D' U F' U
U2 R2 L D2 U F' U
R2 U2 D2 L U F' U
R U2 D2 L U' B' U'
U2 R2 U F' U' L U2
U2 R2 U F' B2 U R'
B2 R2 U B' U' R B'
B2 R2 U B' U' B' R
U2 R2 U B2 F' U R'
D2 R2 U' F' U' L U2
D' R2 U' F' U' L U2
D2 R2 U' F' B2 U R'
D' R2 U' F' B2 U R'
D2 R2 U' B2 F' U R'
D2 R2 U2 L U F' U
D' R2 U' B2 F' U R'
D' R2 U2 L U F' U
D R2 U' F' U' L U2
D R2 U' F' B2 U R'
D R2 U' B2 F' U R'
D R2 U2 L U F' U
U2 R2 D L U F' U
U2 R2 D' L U F' U
L' D L U F2 B U'
L' D L U B F2 U'
U2 R2 D2 L U F' U
L' D L' U F2 B U'
L' D L' U B F2 U'
L' D L2 U F2 B U'
L' D L2 U B F2 U'
U' R2 F' R2 U' L U2
U' R2 F' R2 B2 U R'
U' R2 F' B2 R2 U R
B2 R2 B D L2 B R
B2 R2 B D B L2 R
B2 R2 B D B R L2
U R2 B R2 B U' R'
L' D U F2 D B U'
L' D U F2 D' B U'
L' D U F2 D2 B U'
L' D U F2 B U' D
L' D U F2 B U' D'
L' D U F2 B U' D2
L' D U F2 B D U'
L' D U F2 B D' U'
L' D U F2 B D2 U'
L' D U B U' D R2
L' D U B D U' R2
L' D U B F2 U' D
L' D U B F2 U' D'
L' D U B F2 U' D2
L' D U B F2 D U'
L' D U B F2 D' U'
L' D U B F2 D2 U'
L2 D U F2 B U' R
L2 D U B U L' U2
B2 R2 B2 U B U' R
L2 D U B F2 U' R
U' R2 B2 F' R2 U R
R' D U2 L U F U
L D U B U2 B' U
R2 D U' F' U' L U2
U2 D L R2 U F' U
R2 D U' F' B2 U R'
U R2 B2 R2 B U' R
U2 D L U' D B U'
U2 D L U' D' B U'
U2 D L U' D2 B U'
U2 D L U' B U' D
U2 D L U' B U' D'
U2 D L U' B U' D2
U2 D L U' B D U'
U2 D L U' B D' U'
U2 D L U' B D2 U'
L2 D U2 L' U' B U'
R2 D U' B2 F' U R'
U2 D L D U' B U'
R2 D U2 L U F' U
U2 D L D' U' B U'
U2 D L D2 U' B U'
F2 U L2 B U' F2 R
L' D F2 B U' F2 B'
L' D F2 B U' B' F2
B2 U R B' U' R2 B'
B2 U R B' U' B' R2
L' D B F2 U' F2 B'
L' D B F2 U' B' F2
U2 D R2 L U F' U
L' D B' D L2 B R2
L' D B' D B L2 R2
L' D B' D B R2 L2
B2 U R2 B' U' R B'
B2 U R2 B' U' B' R
R D B' L B' R' B2
B2 U D' R2 B' U' R
R D B2 R' B L B
D' U B U' B R' B'
B' U F B2 U' B' R'
D' U B U2 B U R'
D2 U B U' B R' B'
D2 U B U2 B U R'
D' U B D2 F' U' R
D2 U B D2 F' U' R
B' U F' B2 U' B' R'
D U B U' B R' B'
D U B U2 B U R'
D U B D2 F' U' R
U D B U' B R' B'
U D B U2 B U R'
U D B D2 F' U' R
B' U F2 B2 U' B' R'
L' D' R2 U' F' B2 U
L' D' R2 U' B2 F' U
U2 D' L R2 U F' U
U2 D' L U' D B U'
U2 D' L U' D' B U'
U2 D' L U' D2 B U'
U2 D' L U' B U' D
U2 D' L U' B U' D'
U2 D' L U' B U' D2
U2 D' L U' B D U'
U2 D' L U' B D' U'
U2 D' L U' B D2 U'
U2 D' L D U' B U'
U2 D' L D' U' B U'
U2 D' L D2 U' B U'
B2 U B' U' B R' B2
F U B U' D2 F' R
F U B D2 U' F' R
L' D' U B U2 B U
B' U B2 R' F' U' B'
B' U B2 U' R B' R'
B' U B2 U' R' B' R'
B' U B2 U' R2 B' R'
B' U B2 U' D B' R'
B' U B2 U' D' B' R'
B' U B2 U' D2 B' R'
B' U B2 U' B' R' D
B' U B2 U' B' R' D'
B' U B2 U' B' R' D2
B' U B2 U' B' D R'
B' U B2 U' B' D' R'
B' U B2 U' B' D2 R'
B' U B2 D U' B' R'
L2 D' U F2 B U' R
B' U B2 D' U' B' R'
L2 D' U B U L' U2
L2 D' U B F2 U' R
B' U B2 D2 U' B' R'
B' U B2 F U' B' R'
B' U B2 F' U' B' R'
R' D' U2 L U F U
B' U B2 F2 U' B' R'
L' D' U' B2 U2 B' U'
L D' U B U2 B' U
R2 D' U' F' U' L U2
R2 D' U' F' B2 U R'
L2 D' U2 L' U' B U'
R2 D' U' B2 F' U R'
R2 D' U2 L U F' U
R D' F L' D2 F' R2
R D' F L' F' D2 R2
B2 U' L2 F U R' B2
U2 D' R2 L U F' U
B2 U' D L2 F U R'
L' D2 L R2 U' F' U
L' D2 L U B U' R2
L' D2 L' R2 U' F' U
L' D2 L' U B U' R2
U D' B U' B R' B'
U D' B U2 B U R'
U D' B D2 F' U' R
L' D2 L2 R2 U' F' U
L' D2 L2 U B U' R2
D' U2 L R2 U F' U
D' U2 L U' D B U'
D' U2 L U' D' B U'
D' U2 L U' D2 B U'
D' U2 L U' B U' D
D' U2 L U' B U' D'
D' U2 L U' B U' D2
D' U2 L U' B D U'
D' U2 L U' B D' U'
D' U2 L U' B D2 U'
D2 U2 L R2 U F' U
D' U2 L D U' B U'
D' U2 L D' U' B U'
D2 U2 L U' D B U'
D2 U2 L U' D' B U'
D2 U2 L U' D2 B U'
D2 U2 L U' B U' D
D2 U2 L U' B U' D'
D2 U2 L U' B U' D2
D2 U2 L U' B D U'
D2 U2 L U' B D' U'
D2 U2 L U' B D2 U'
D' U2 L D2 U' B U'
D2 U2 L D U' B U'
D2 U2 L D' U' B U'
D2 U2 L D2 U' B U'
U2 D2 L R2 U F' U
U2 D2 L U' D B U'
U2 D2 L U' D' B U'
U2 D2 L U' D2 B U'
U2 D2 L U' B U' D
U2 D2 L U' B U' D'
U2 D2 L U' B U' D2
U2 D2 L U' B D U'
U2 D2 L U' B D' U'
U2 D2 L U' B D2 U'
U2 D2 L D U' B U'
U2 D2 L D' U' B U'
U2 D2 L D2 U' B U'
D U2 L R2 U F' U
D U2 L U' D B U'
D U2 L U' D' B U'
D U2 L U' D2 B U'
D U2 L U' B U' D
D U2 L U' B U' D'
D U2 L U' B U' D2
D U2 L U' B D U'
D U2 L U' B D' U'
D U2 L U' B D2 U'
D U2 L D U' B U'
D U2 L D' U' B U'
D U2 L D2 U' B U'
L' D2 R2 L U' F' U
L' D2 R2 L' U' F' U
L' D2 R2 L2 U' F' U
L' D2 R2 U' D F' U
L' D2 R2 U' D' F' U
L' D2 R2 U' D2 F' U
L' D2 R2 U' F' U D
L' D2 R2 U' F' U D'
L' D2 R2 U' F' U D2
L' D2 R2 U' F' D U
L' D2 R2 U' F' D' U
L' D2 R2 U' F' D2 U
L' D2 R2 D U' F' U
L' D2 R2 D' U' F' U
L' D2 R2 D2 U' F' U
L' D2 R2 F D' L2 F'
L' D2 R2 F D' F' L2
L' D2 U F B U' R2
L' D2 U F' B U' R2
L' D2 U F2 B U' R2
L' D2 U B U' R2 D
L' D2 U B U' R2 D'
L' D2 U B U' R2 D2
L' D2 U B D' F2 U'
L' D2 U B F U' R2
L' D2 U B F' U' R2
L' D2 U B F2 U' R2
L2 D2 U F2 B U' R
D' U2 R2 L U F' U
L2 D2 U B U L' U2
L2 D2 U B F2 U' R
D2 U2 R2 L U F' U
R' D2 U2 L U F U
U2 D2 R2 L U F' U
F2 U2 L U' B U' F2
R2 D2 U' F' U' L U2
R2 D2 U' F' B2 U R'
L D2 U B U2 B' U
L2 D2 U2 L' U' B U'
R2 D2 U' B2 F' U R'
R2 D2 U2 L U F' U
D U2 R2 L U F' U
F U2 L U' B U' F'
R D2 U2 L U' B' U'
L' D2 F' R2 F D' L2
U D2 B U' B R' B'
U D2 B U2 B U R'
U D2 B D2 F' U' R
B' U2 D B L2 F R
B' U2 D' R2 F' L' U2
U2 F L F' U' B U'
U' F U' L U' B U'
U F U L U' B U'
B' D L' B L' D2 R2
B' D L' B' L' R' B2
B' D L' B' R' L' B2
B' D L' B' R' B2 L'
B' D L2 R B' R' B
