B' L2 U' B' U' R
U' L2 B' U' R F
U2 R F' D' L2 F
B' R' U F U R2
L2 U' B' U' R F
B' R2 U F U R'
F U' F' B' U2 R
F U' B' F' U2 R
B' U2 R U' F U
F' D' L2 F R B'
F' D' L2 F B' R
F' D' L2 B' F R
U2 F' D' L2 F R
R F' D' L2 F B'
R F' D' L2 B' F
R' B' U F U R2
B' D' R2 U F U R'
F' D' R2 L2 F R B'
F' D' R2 L2 F B' R
F' D' R2 L2 B' F R
B D' U R2 F U R'
B' D' U2 R U' F U
F' D' U2 L2 F B' R'
F' D' U2 L2 B' R' F
F' D' U2 L2 B' F R'
F' D' F U2 L2 R F
F' D' F U2 R L2 F
F' D' F B' U2 L2 R
F' D' F B' U2 R L2
R F2 L2 F D' L2 B'
F' D' B' U2 L2 B' R'
F' D' B' F U2 L2 R
F' D' B' F U2 R L2
B' D2 L2 U' B' U' R
B' D2 R' U F U R2
B' D2 R2 U F U R'
B' D2 U2 R U' F U
F D2 U' F' B' L U2
F D2 U' B' L F' U2
F D2 U' B' F' L U2
L2 B U' B2 U' R F
U' B D L2 B' U' R
L2 B U2 R D F L2
L2 B U2 R F D L2
L2 B U2 D R F L2
L2 B D U2 R F L2
L2 B D' R2 U2 R' F
L2 B D' R2 U2 F R'
U B D' R2 F U R'
B2 F R2 U F' B R
B2 F R2 U B F' R
B2 F U R2 F' B R
B2 F U R2 B F' R
B2 F U' F' B U2 R
B2 F U' B F' U2 R
B F U' F' B2 U2 R
R' B' L2 U' B' U' R2
D2 B' L2 U' B' U' R
D' B' L2 U' B' U' R
B F U' B2 F' U2 R
F B U' F' B2 U2 R
F B U' B2 F' U2 R
D B' L2 U' B' U' R
R' B' R' U F U R'
D2 B' R' U F U R2
D' B' R' U F U R2
D2 B' R2 U F U R'
D' B' R2 U F U R'
D B' R' U F U R2
R B' R U F U R'
R' B' U D F B2 U
R' B' U D B2 F U
R' B' U F U R2 D
R' B' U F U R2 D'
R' B' U F U R2 D2
R' B' U F D B2 U
R' B' U F B U R2
R' B' U F B' U R2
R' B' U F B2 U R2
D B' R2 U F U R'
R' B' U B F U R2
R' B' U B' F U R2
R' B' U B2 F U R2
F2 B' L' F2 U F U
R B' R2 U F U R2
R2 B' U F B U R'
D2 B' U2 R U' F U
R2 B' U B F U R'
U' B' U2 F U F' R
R' B' U2 R2 U' F U
D' B' U2 R U' F U
R' B' D U F B2 U
R B' U F U2 F' U'
R' B' D U B2 F U
D B' U2 R U' F U
R' B' D2 L2 U' B' U'
B' F' U2 D' L2 B' R'
F' B' U2 D' L2 B' R'
B' F' D R2 F U2 R
B' F' D F R2 U2 R'
F' B' D R2 F U2 R
F' B' D F R2 U2 R'
B' F' D' U2 L2 B' R'
B' F' D' F U2 L2 R
B' F' D' F U2 R L2
F' B' D' U2 L2 B' R'
F' B' D' F U2 L2 R
F' B' D' F U2 R L2
R2 B2 L D' B R' U2
B' F2 L' F2 U F U
R' B2 R2 F' D' L2 B'
R' B2 U F U R2 F'
U B2 R2 F U R' F2
U B2 R2 F U F2 R'
R' B2 U2 R2 F' D' L2
L2 B2 U' B U' R F
L2 B2 U2 R D' F L'
F B2 R2 U F' B R
F B2 R2 U B F' R
F B2 U R2 F' B R
F B2 U R2 B F' R
R' B2 F U R2 F' B
R' B2 F U R2 B F'
F B2 U' F' B U2 R
F B2 U' B F' U2 R
U B2 F R2 U F' R
U B2 F U R2 F' R
