B L R U L2 U2
B L R U' D2 R2
B L R D F2 U'
B L R D2 U' R2
B L D R F2 U'
B L D2 R U' R
B R L U L2 U2
B R L U' D2 R2
B R L D F2 U'
B R L D2 U' R2
B R F2 L U' R
B' L' U' B2 L R U'
B' L' U' B2 R L U'
U L' U' B L R U'
U L' U' B R L U'
U' L' B' U' R B2 U'
U' L' B' U' B2 R U'
B' L2 B2 L R U' R2
B' L2 B2 R L U' R2
B R L U L2 U2 D
B R L U L2 U2 D'
B R L U L2 U2 D2
B R L U L2 D U2
B R L U L2 D' U2
B R L U L2 D2 U2
B R L U' R D2 R2
B R L U' R' D2 R2
B R L U' R2 D2 R2
B R L U' D2 R2 D
B R L U' D2 R2 D'
B R L U' D2 R2 D2
B R L U2 D' B2 U
B R L D F2 U' D
B R L D F2 U' D'
B R L D F2 U' D2
B R L D F2 D U'
B R L D F2 D' U'
B R L D F2 D2 U'
B R L D' U2 B2 U
B R L D2 U' R2 D
B R L D2 U' R2 D'
B R L D2 U' R2 D2
B R L D2 F U' R2
B R L D2 F' U' R2
B R L D2 F2 U' R2
B R L F U L2 U2
B R L F U' D2 R2
B R L F D F2 U'
B R L F D2 U' R2
B R L F' U L2 U2
B R L F' U' D2 R2
B R L F' D F2 U'
B R L F' D2 U' R2
B R L F2 U L2 U2
B R L F2 U' D2 R2
B R L F2 D F2 U'
B R L F2 D2 U' R2
B R U L' U' L2 U'
B R U L' U2 D F2
B R U L' D U2 F2
B R U L' D' B2 U2
B R D L U L2 U2
B R D L U' D2 R2
B R D L D F2 U'
B R D L D2 U' R2
B R D F2 L U' R
B R D' L U L2 U2
B R D' L U' D2 R2
B R D' L D F2 U'
B R D' L D2 U' R2
B R D' F2 L U' R
L' U' L B R U' F
B R D2 L U L2 U2
B R D2 L U' D2 R2
B R D2 L D F2 U'
B R D2 L D2 U' R2
B R D2 F2 L U' R
B R F L F U' R
B R F' L F' U' R
B R F2 L U' R D
B R F2 L U' R D'
B R F2 L U' R D2
B R F2 L U' D R
B R F2 L U' D' R
B R F2 L U' D2 R
B R F2 L D U' R
B R F2 L D' U' R
B R F2 L D2 U' R
B2 R F2 B' L U' R
B R F2 D L U' R
B R F2 D' L U' R
B R F2 D2 L U' R
B2 R B' L U L2 U2
B2 R B' L U' D2 R2
B2 R B' L D F2 U'
B2 R B' L D2 U' R2
B2 R B' F2 L U' R
B' R B2 U' D' F2 R
B' R B2 D' U' F2 R
B R' L D F2 U' B2
B' R' U D L2 B2 R'
L' U' B L R U' F
L' U' B R L U' F
B' R' D U L2 B2 R'
B' R' D2 F2 L2 U R
B R' F2 L R2 U' R'
B R' F2 R2 L U' R'
B R2 L D R' F2 U'
B R2 L D F2 R' U'
B R2 L D2 R' U' R'
F2 R2 L' F' U R' F'
L' U2 B R U' R' F'
B R2 F2 L R' U' R2
B R2 F2 R' L U' R2
B U L' U' L2 R U'
B U L' U' R L2 U'
L D B L R F2 U'
L D B R L F2 U'
L D B R F2 L U'
L D2 B L R U' R
L D2 B R L U' R
B D L R U L2 U2
B D L R U' D2 R2
B D L R D F2 U'
B D L R D2 U' R2
B D L D R F2 U'
B D L D2 R U' R
B D R L U L2 U2
B D R L U' D2 R2
B D R L D F2 U'
B D R L D2 U' R2
B D R F2 L U' R
B D' L R U L2 U2
B D' L R U' D2 R2
B D' L R D F2 U'
B D' L R D2 U' R2
B D' L D R F2 U'
B D' L D2 R U' R
B D' R L U L2 U2
B D' R L U' D2 R2
B D' R L D F2 U'
B D' R L D2 U' R2
B D' R F2 L U' R
B D2 L R U L2 U2
B D2 L R U' D2 R2
B D2 L R D F2 U'
B D2 L R D2 U' R2
B D2 L D R F2 U'
B D2 L D2 R U' R
B D2 R L U L2 U2
B D2 R L U' D2 R2
B D2 R L D F2 U'
B D2 R L D2 U' R2
B D2 R F2 L U' R
D2 B L R U L2 U2
D2 B L R U' D2 R2
D2 B L R D F2 U'
D' B L R U L2 U2
D2 B L R D2 U' R2
D' B L R U' D2 R2
D' B L R D F2 U'
D' B L R D2 U' R2
L' B L R U L' U2
L' B L R F2 U' R
D2 B L D R F2 U'
D' B L D R F2 U'
D2 B L D2 R U' R
D' B L D2 R U' R
L2 B L D' R F' U'
D B L R U L2 U2
D B L R U' D2 R2
D B L R D F2 U'
D B L R D2 U' R2
D B L D R F2 U'
D B L D2 R U' R
L B L R U L U2
D2 B R L U L2 U2
D2 B R L U' D2 R2
D2 B R L D F2 U'
D2 B R L D2 U' R2
D' B R L U L2 U2
D' B R L U' D2 R2
D' B R L D F2 U'
D' B R L D2 U' R2
L' B R L U L' U2
L' B R L F2 U' R
B' D2 F2 L' R' U R2
B' D2 F2 R' L' U R2
D2 B R F2 L U' R
D' B R F2 L U' R
U2 B R U L' B' U2
D B R L U L2 U2
D B R L U' D2 R2
D B R L D F2 U'
D B R L D2 U' R2
L B R L U L U2
D B R F2 L U' R
U B R U L' B U2
U B R U B L' U2
L B R D L F2 U'
L B R D F2 L U'
L B R D2 L U' R2
L' B U' L R U' L'
L' B U' R L U' L'
F2 B L U' R D' B2
F2 B L U' D' R B2
F2 B L U' D' B2 R
F2 B L U2 L2 U R
F2 B L D' U' R B2
F2 B L D' U' B2 R
F2 B L D2 R2 U' R'
L2 B D' L R F' U'
L2 B D' R L F' U'
L2 B D' R F' L U'
L B D L R F2 U'
L B D R L F2 U'
L B D R F2 L U'
L B D2 L R U' R
L B D2 R L U' R
L' B' U' B2 L R U'
L' B' U' B2 R L U'
B F2 L U' R D' B2
B F2 L U' D' R B2
B F2 L U' D' B2 R
B F2 L U2 L2 U R
B F2 L D' U' R B2
B F2 L D' U' B2 R
B F2 L D2 R2 U' R'
L2 B2 R B' L U' R2
L' B2 U' R B' L U'
L' B2 U' B' L R U'
L' B2 U' B' R L U'
