D' U F L' U2 F'
U' D' F L' U2 L
D' U' F L' U2 L
U D' F L' U2 F'
R2 D2 L2 U' B' R'
U F U2 D' F' R
U F D' U2 F' R
B2 D U B2 L2 B' R'
U F B' U2 D' F' R
U F B' D' U2 F' R
U F B2 U2 D' F' R
U F B2 D' U2 F' R
B2 D B U L2 R' B'
B2 D B U R' L2 B'
R F' R D2 L2 U' B2
D' F' U R D2 B2 L
R F' R' U F2 U2 F2
D' F' U D2 R B2 L
D' F' U F2 L' U2 F2
D' F' U F2 U2 F2 R
D' F' U' F2 L' U2 L
R F' U F2 U R' U
R' F' D R2 F' L' U'
R F' U2 R' U D2 B2
R F' U2 R' U' F2 U2
R F' U2 R' D' L2 U
R F' U2 R' D2 U B2
R F' U2 D' L2 R' U
R F' U2 D' R' L2 U
R F' U2 D2 R' U B2
D' F' D2 U R B2 L
R F' D R2 U2 R U
R F' D' U2 L2 R' U
R F' D' U2 R' L2 U
R F' D2 U2 R' U B2
F2 D' U F' U2 R F
B2 D' U' R2 F L' U2
B2 D' U' F L' R2 U2
B2 D' U' F R2 L' U2
R' F2 L' R2 F' U' B
R' F2 R2 L' F' U' B
B2 D2 L2 F2 U B' R'
B D2 L2 F U B' R'
R' B L2 R F U B'
D2 B L2 F U B' R'
R' B R L2 F U B'
D B L2 F U R' B'
U B D' F L' U2 F'
U B F U2 D' F' R
U B F D' U2 F' R
U B' D' F L' U2 F'
U B' F U2 D' F' R
U B' F D' U2 F' R
L2 B2 U D L2 B R'
L2 B2 U D B L2 R'
L2 B2 U D B R' L2
L2 B2 D U L2 B R'
L2 B2 D U B L2 R'
L2 B2 D U B R' L2
U B2 D' F L' U2 F'
U B2 F U2 D' F' R
U B2 F D' U2 F' R
