B2 R F' L' R' U
B2 R F' R' L' U
B2 U L' D B' L
B2 U D L' B' L
B2 U2 B' R' B U'
B2 D U L' B' L
R F' L' R' B2 U
R F' R' L' B2 U
R F' R' B2 L' U
B2 D2 F' L' F U
B2 F' D2 L' F U
F' B2 D2 L' F U
B2 R F' L' R' D2 U
B2 R F' L' D R' U
B2 R F' L' D' R' U
B2 R F' L' D2 R' U
B' R F' R' B' L' U
B2 R F' R' L' U D
B2 R F' R' L' U D'
B2 R F' R' L' U D2
B2 R F' R' L' D U
B2 R F' R' L' D' U
B2 R F' R' L' D2 U
B2 R F' R' D L' U
B2 R F' R' D' L' U
B2 R F' R' D2 L' U
B R F' L' R' B U
B R F' R' L' B U
B2 R F' D L' R' U
B R F' R' B L' U
B2 R F' D R' L' U
B2 R F' D' L' R' U
B2 R F' D' R' L' U
B2 R F' D2 L' R' U
B2 R F' D2 R' L' U
B2 R F2 R' F L' U
U2 R' B U2 L B U
B2 U L D L2 B' L
D' U L' R2 D2 B' L
B2 U L' D B' L D
B2 U L' D B' L D'
B2 U L' D B' L D2
B2 U L' D B' D L
B2 U L' D B' D' L
B2 U L' D B' D2 L
U' D L2 U2 L' B' L
D U L' B' L D2 R2
U D L' B' L D2 R2
D' U R2 L' D2 B' L
D' U R2 D2 L' B' L
D' U R2 F L' F' B'
D' U R2 F L' B' F'
D' U F L' F' R2 B'
D' U F L' F' B' R2
D' U F L' B' F' R2
B2 U D L' B' L D
B2 U D L' B' L D'
B2 U D L' B' L D2
B2 U D L' B' D L
B2 U D L' B' D' L
B2 U D L' B' D2 L
B2 U D L2 B' L B'
B2 U D B' L' B' L2
B2 U D' L' D2 B' L
B2 U D' F L' F' B'
B2 U D' F L' B' F'
B2 U F' D' F L' B'
B2 U B L' D B' L
B2 U B D L' B' L
B2 U B' L' D B' L
B2 U B' D L' B' L
B2 U B2 L' D B' L
B2 U B2 D L' B' L
U D' L' R2 D2 B' L
D U' L2 U2 L' B' L
U' D' R' F' R U2 R2
D' U' R' F' R U2 R2
B2 U' R U F' U B
R D' F' L' R' U R'
D' U' F U2 L' R2 B'
U' D' F U2 L' R2 B'
D' U' F U2 L' B' R2
U' D' F U2 L' B' R2
U' D' F U2 R2 L' B'
D' U' F U2 R2 L' B'
R D' F' R' L' U R'
U D' R2 L' D2 B' L
U D' R2 D2 L' B' L
U D' R2 F L' F' B'
U D' R2 F L' B' F'
U' D' F' R U2 B R
D' U' F' R U2 B R
U2 D' F U' L' R2 B'
U2 D' F U' L' B' R2
U2 D' F U' R2 L' B'
B2 U' R' F' U' B U'
U D' F L' F' R2 B'
U D' F L' F' B' R2
U D' F L' B' F' R2
B2 U' D' R' F' R U2
B2 U' D' F U2 L' B'
B2 U' D' F' R U2 B
D' U2 F U' L' R2 B'
D' U2 F U' L' B' R2
D' U2 F U' R2 L' B'
B2 U2 R U2 F' L' U
F U2 R U2 F' B2 U
F U2 R U2 B2 F' U
B2 U2 R' B U2 L U
B2 U2 R' B' R' B2 U'
F U2 R' B R2 F' U'
B2 U2 D B' R' U' L
B2 U2 B' R' D B U'
B2 U2 B' R' D' B U'
B2 U2 B' R' D2 B U'
B2 U2 B' R' B U' D
B2 U2 B' R' B U' D'
B2 U2 B' R' B U' D2
B2 U2 B' R' B D U'
B2 U2 B' R' B D' U'
B2 U2 B' R' B D2 U'
B2 U2 B2 R' B R' U'
B2 D L U L' B' L
D' F U2 R U' L' R
D' F U2 R U' R L'
B2 D L' U L' B' L
B2 D L2 U L' B' L
B2 D U L' B' L D
B2 D U L' B' L D'
B2 D U L' B' L D2
B2 D U L' B' D L
B2 D U L' B' D' L
B2 D U L' B' D2 L
B2 D U L2 B' L B'
B2 D U B' L' B' L2
D' F' L' U' R U2 R
D2 F' L' F U D R2
D2 F' L' F U2 F2 U'
D2 F' L' F D U R2
D2 F' L' F D2 B2 U
D' F' L' F2 U L' R2
D' F' L' F2 U R2 L'
B2 D U2 B' R' U' L
R F' L R' B2 L2 U
R F' L' R B2 R2 U
R F' L' R' U D' R2
R F' L' R' D' U R2
R F' L' R' B2 U D
R F' L' R' B2 U D'
R F' L' R' B2 U D2
R F' L' R' B2 D U
R F' L' R' B2 D' U
R F' L' R' B2 D2 U
R F' L' R2 B2 R U
B' D F' B' L' U L2
B2 D F' D L' F U
R F' L' D' R' U R'
R F' L' B2 U2 L U'
R F' R L' B2 R2 U
B' D B' L2 U L' B'
B' D B' U L' B' L2
R F' R B2 L' R2 U
R F' R B2 R2 L' U
R F' R' L B2 L2 U
R F' R' L' U D' R2
R F' R' L' D' U R2
R F' R' L' B2 U D
R F' R' L' B2 U D'
R F' R' L' B2 U D2
R F' R' L' B2 D U
R F' R' L' B2 D' U
R F' R' L' B2 D2 U
B' D B' F' L' U L2
B D B U' R' F' U2
R F' R' D' L' U R2
R F' R' B L' B U
R F' R' B2 L' U D
R F' R' B2 L' U D'
R F' R' B2 L' U D2
R F' R' B2 L' D U
R F' R' B2 L' D' U
R F' R' B2 L' D2 U
R F' R' B2 D L' U
R F' R' B2 D' L' U
R F' R' B2 D2 L' U
R F' R2 L' B2 R U
R F' R2 B2 L' R U
R F' R2 B2 R L' U
F' D' L' F U L' R2
F' D' L' F U R2 L'
U F' D' R2 F L' B'
R F' D' L' R' U R'
U F' D' F L' R2 B'
U F' D' F L' B' R2
U F' D' F R2 L' B'
R F' D' R' L' U R'
B2 D' U L' D2 B' L
B2 D' U F L' F' B'
B2 D' U F L' B' F'
L' F' B2 D2 L' F U
B2 D' U' R' F' R U2
L2 F' B2 D2 L' F U
B2 D' U' F U2 L' B'
B2 D' U' F' R U2 B
R F' B2 L' U D F2
R F' B2 L' U2 L2 U'
R F' B2 L' D U F2
R F' B2 L' D2 R2 U
L F' B2 D2 L' F U
F' D' F U L' R2 B'
F' D' F U L' B' R2
F' D' F U R2 L' B'
B2 D' F U2 R U' L'
B2 D' F' L' U' R U2
B2 D' F' L' F2 U L'
R F2 R' F L' B2 U
R F2 R' F B2 L' U
R F2 R' B2 F L' U
B2 D2 L U2 B' R' U'
F' D2 L' D F U R2
F' D2 L' D2 F B2 U
F' D2 L' D2 B2 F U
F' D2 L' F U2 F U'
B2 D2 L' F U2 R U'
B2 D2 L' F' L' F2 U
B2 D2 F' L' D F U
B2 D2 F' L' D' F U
B2 D2 F' L' D2 F U
B2 D2 F' L' F U D
B2 D2 F' L' F U D'
B2 D2 F' L' F U D2
B2 D2 F' L' F D U
B2 D2 F' L' F D' U
B2 D2 F' L' F D2 U
B' D2 F' B' L' F U
B D2 F' L' F B U
B D2 F' L' B F U
B2 D2 F2 L' F L' U
B D2 F' B L' F U
B' D2 B' F' L' F U
B D2 B F' L' F U
D B U' L2 R' F' U2
R' B U2 B L R U
R' B U2 B R L U
D B U' R' L2 F' U2
D B U' R' F' L2 U2
B2 F U2 R U2 F' U
B2 F U2 R' B R2 U'
F' B D2 L' F B U
F' B D2 L' B F U
F' B D2 B L' F U
B2 F D2 F2 L' F U
U2 B' R' B U' D' R2
U2 B' R' B U2 B2 U
U2 B' R' B D' U' R2
U2 B' R' B D2 F2 U'
B2 F' L' R F' R' U
B2 F' L' D' F U L'
B2 F' R L' F' R' U
D B' U' L2 U2 L' B'
B' F' D B' L' U L2
F' B' D B' L' U L2
B2 F' D' L' F U L'
B2 F' D' F U L' B'
B2 F' D2 L' D F U
B2 F' D2 L' D' F U
B2 F' D2 L' D2 F U
B2 F' D2 L' F U D
B2 F' D2 L' F U D'
B2 F' D2 L' F U D2
B2 F' D2 L' F D U
B2 F' D2 L' F D' U
B2 F' D2 L' F D2 U
B' F' D2 B' L' F U
F' B' D2 B' L' F U
B F' D2 L' F B U
B F' D2 L' B F U
R' B2 R U2 B' R' U'
B F' D2 B L' F U
F' B2 L' R F' R' U
L' B2 R F' L' R' U
L' B2 R F' R' L' U
F' B2 L' D' F U L'
L2 B2 R F' L' R' U
L2 B2 R F' R' L' U
F' B2 R L' F' R' U
L B2 R F' L' R' U
L B2 R F' R' L' U
R2 B2 R' F' L' R' U
R2 B2 R' F' R' L' U
L' B2 U L' D B' L
L' B2 U D L' B' L
L2 B2 U L' D B' L
L2 B2 U D L' B' L
L B2 U L' D B' L
L B2 U D L' B' L
L' B2 U2 B' R' B U'
L' B2 D U L' B' L
L2 B2 U2 B' R' B U'
L2 B2 D U L' B' L
L B2 U2 B' R' B U'
L B2 D U L' B' L
L' B2 D2 F' L' F U
L2 B2 D2 F' L' F U
F B2 U2 R U2 F' U
F' B2 D' L' F U L'
F B2 U2 R' B R2 U'
F' B2 D' F U L' B'
L' B2 F' D2 L' F U
F' B2 D2 L' D F U
F' B2 D2 L' D' F U
F' B2 D2 L' D2 F U
F' B2 D2 L' F U D
F' B2 D2 L' F U D'
F' B2 D2 L' F U D2
F' B2 D2 L' F D U
F' B2 D2 L' F D' U
F' B2 D2 L' F D2 U
L B2 D2 F' L' F U
L2 B2 F' D2 L' F U
R B2 F' L' U D F2
R B2 F' L' U2 L2 U'
R B2 F' L' D U F2
R B2 F' L' D2 R2 U
L B2 F' D2 L' F U
F B2 D2 F2 L' F U
