B' L' R' U L2 U
B' L' R' U2 D' B2
B' L' R' D F2 U2
B' L' R' D' U2 B2
B' L' U2 D' B2 L
B' L' D R' F2 U2
B' L' D F2 R' U2
B' L' D' R' U2 B2
B' L' D' U2 B2 L
B' R' L' U L2 U
B' R' L' U2 D' B2
B' R' L' D F2 U2
B' R' L' D' U2 B2
D' B' L' R' U2 B
D B' L' R' F U2
D B' L' F R' U2
D' B' R' L' U2 B
D B' R' L' F U2
B' R' L' D' U2 B2 D'
B' R' L' D' U2 B2 D2
B' R' L' D' F U2 B2
B' R' L' D' F' U2 B2
B' R' L' D' F2 U2 B2
B' R' L' D2 U' R2 U'
B' R' L' F U L2 U
B' R' L' F U2 D' B2
B' R' L' F D F2 U2
B' R' L' F D' U2 B2
B' R' L' F' U L2 U
B' R' L' F' U2 D' B2
B' R' L' F' D F2 U2
B' R' L' F' D' U2 B2
B' R' L' F2 U L2 U
B' R' L' F2 U2 D' B2
B' R' L' F2 D F2 U2
B' R' L' F2 D' U2 B2
B' R' U L U D2 R2
B' R' U L U' L2 U2
B' R' U L D' B2 U
B' R' U L D2 U R2
B R' U L' B2 U2 L2
B R' U B2 L' R' U2
B R' U B2 R' L' U2
B R' U' L D2 R2 F2
B R' U' L D2 F2 R2
B R' U' D2 F2 L R
B R' U' D2 F2 R L
B' R' D L' U L2 U
B' R' D L' U2 D' B2
B' R' D L' D F2 U2
B' R' D L' D' U2 B2
B' R' D' L' U L2 U
B' R' D' L' U2 D' B2
B' R' D' L' D F2 U2
B' R' D' L' D' U2 B2
B' R' D2 L' U L2 U
B' R' D2 L' U2 D' B2
B' R' D2 L' D F2 U2
B' R' D2 L' D' U2 B2
B R' D2 U' F2 L R
B R' D2 U' F2 R L
B' R' F2 U L U R
D' R' B L D2 R2 F2
D' R' B L D2 F2 R2
D' R' B D2 F2 L R
D' R' B D2 F2 R L
D' R' B' L' R' U2 B2
D' R' B' L' U2 B2 L
D' R' B' R' L' U2 B2
D R' B' L' R' F U2
D R' B' L' F R' U2
D R' B' R' L' F U2
B' R2 L' D R F2 U2
B' R2 L' D F2 U2 L'
B' R2 L' D' R U2 B2
D' R2 B' L' R' F' U2
D' R2 B' R' L' F' U2
D R2 B' L' R' F U2
D R2 B' L' F R' U2
D R2 B' R' L' F U2
B' U L U' L2 R' U2
B' U L U' R' L2 U2
B' U L D' B2 U L
B2 U L' B R' F' U2
R' D B' L' R' F U2
R' D B' L' F R' U2
R' D B' R' L' F U2
R2 D B' L' R' F U2
R2 D B' L' F R' U2
R2 D B' R' L' F U2
R D B' L' R' F U2
R D B' L' F R' U2
R D B' R' L' F U2
U2 D B' L' F R U2
B2 U B L' R' F' U2
B2 U B R' L' F' U2
B2 U' L' B R' U2 B2
B2 U' L' B U2 B2 L
R' D' B' L' R' U2 B
R' D' B' R' L' U2 B
R2 D' B' L' R' U2 B
R2 D' B' R' L' U2 B
R D' B' L' R' U2 B
R D' B' R' L' U2 B
B2 U' B L' R' U2 B'
B2 U' B R' L' U2 B'
D U2 B' L' F R U2
B' D L' R' U L2 U
B' D L' R' U2 D' B2
B' D L' R' D F2 U2
B' D L' R' D' U2 B2
B' D L' U2 D' B2 L
B' D L' D R' F2 U2
B' D L' D F2 R' U2
B' D L' D' R' U2 B2
B' D L' D' U2 B2 L
B' D R' L' U L2 U
B' D R' L' U2 D' B2
B' D R' L' D F2 U2
B' D R' L' D' U2 B2
B' D' L' R' U L2 U
B' D' L' R' U2 D' B2
B' D' L' R' D F2 U2
B' D' L' R' D' U2 B2
B' D' L' U2 D' B2 L
B' D' L' D R' F2 U2
B' D' L' D F2 R' U2
B' D' L' D' R' U2 B2
B' D' L' D' U2 B2 L
B' D' R' L' U L2 U
B' D' R' L' U2 D' B2
B' D' R' L' D F2 U2
B' D' R' L' D' U2 B2
F2 D' B' R' U2 B R2
B' D2 L' R' U L2 U
B' D2 L' R' U2 D' B2
B' D2 L' R' D F2 U2
B' D2 L' R' D' U2 B2
B' D2 L' U2 D' B2 L
B' D2 L' D R' F2 U2
B' D2 L' D F2 R' U2
B' D2 L' D' R' U2 B2
B' D2 L' D' U2 B2 L
B' D2 R' L' U L2 U
B' D2 R' L' U2 D' B2
B' D2 R' L' D F2 U2
B' D2 R' L' D' U2 B2
D' F2 B' R' U2 B R2
B D2 R' U' F2 L R
B D2 R' U' F2 R L
D B L D2 R2 F2 B'
D B L D2 R2 B' F2
D B L D2 F2 R2 B'
D B L D2 F2 B' R2
D B L D2 B' R2 F2
D B L D2 B' F2 R2
D B L' F B2 U2 L2
D B L' B2 U2 L2 B'
D B L' B2 F U2 L2
B D2 F2 L R D B2
B D2 F2 R L D B2
B D2 F2 R D L B2
D' B D2 F2 L R B'
D' B D2 F2 L B' R
D' B D2 F2 R L B'
U' B' L' U L2 F U
R' B' L' R' U L2 U
R' B' L' R' U2 D' B2
R' B' L' R' D F2 U2
R' B' L' R' D' U2 B2
D' B' L' R F' R2 U2
D' B' L' R' U2 D B
D' B' L' R' U2 D' B
D' B' L' R' U2 D2 B
D' B' L' R' U2 B D
D' B' L' R' U2 B D'
D' B' L' R' U2 B D2
D' B' L' R' D U2 B
D' B' L' R' D' U2 B
D' B' L' R' D2 U2 B
D' B' L' R' F U2 B
D' B' L' R' F' U2 B
D' B' L' R' F2 U2 B
R' B' L' U2 D' B2 L
R' B' L' D R' F2 U2
D2 B' L' D R' U2 B
R' B' L' D F2 R' U2
R' B' L' D' R' U2 B2
R' B' L' D' U2 B2 L
D' B' L' F R' U2 B
D' B' L' F' R' U2 B
D' B' L' F2 R' U2 B
R2 B' L' R' U L2 U
R2 B' L' R' U2 D' B2
R2 B' L' R' D F2 U2
R2 B' L' R' D' U2 B2
D B' L' R F R2 U2
D B' L' R' D F U2
D B' L' R' D' F U2
D B' L' R' D2 F U2
D B' L' R' F U2 D
D B' L' R' F U2 D'
D B' L' R' F U2 D2
D B' L' R' F D U2
D B' L' R' F D' U2
D B' L' R' F D2 U2
R2 B' L' U2 D' B2 L
R2 B' L' D R' F2 U2
R2 B' L' D F2 R' U2
R2 B' L' D' R' U2 B2
R2 B' L' D' U2 B2 L
D B' L' D R' F U2
D B' L' D F R' U2
D B' L' D' R' F U2
D B' L' D' F R' U2
D B' L' D2 R' F U2
D B' L' D2 F R' U2
D B' L' F R' U2 D
D B' L' F R' U2 D'
D B' L' F R' U2 D2
D B' L' F R' D U2
D B' L' F R' D' U2
D B' L' F R' D2 U2
D B' L' F D R' U2
D B' L' F D' R' U2
D' B' R L' F' R2 U2
D B' L' F D2 R' U2
D B' L' F' R' F2 U2
R B' L' R' U L2 U
R B' L' R' U2 D' B2
R B' L' R' D F2 U2
R B' L' R' D' U2 B2
R' B' R' L' U L2 U
R' B' R' L' U2 D' B2
R' B' R' L' D F2 U2
R' B' R' L' D' U2 B2
R B' L' U2 D' B2 L
R B' L' D R' F2 U2
R B' L' D F2 R' U2
D' B' R' L' U2 D B
D' B' R' L' U2 D' B
D' B' R' L' U2 D2 B
D' B' R' L' U2 B D
D' B' R' L' U2 B D'
D' B' R' L' U2 B D2
D' B' R' L' D U2 B
D' B' R' L' D' U2 B
D' B' R' L' D2 U2 B
D' B' R' L' F U2 B
D' B' R' L' F' U2 B
D' B' R' L' F2 U2 B
R B' L' D' R' U2 B2
R B' L' D' U2 B2 L
D2 B' R' D' L' F U2
D' B' R' D L' U2 B
D' B' R' D' L' U2 B
D' B' R' D2 L' U2 B
D B' R L' F R2 U2
D' B' R' F2 U2 B R
R2 B' R' L' U L2 U
R2 B' R' L' U2 D' B2
R2 B' R' L' D F2 U2
R2 B' R' L' D' U2 B2
D B' R' L' D F U2
D B' R' L' D' F U2
D B' R' L' D2 F U2
D B' R' L' F U2 D
D B' R' L' F U2 D'
D B' R' L' F U2 D2
D B' R' L' F D U2
D B' R' L' F D' U2
D B' R' L' F D2 U2
R B' R' L' U L2 U
R B' R' L' U2 D' B2
R B' R' L' D F2 U2
R B' R' L' D' U2 B2
D2 B' D L' R' U2 B
D2 B' D R' L' U2 B
F2 B' R' U L U R2
D2 B' D' L' R' F U2
D2 B' D' L' F R' U2
D2 B' D' R' L' F U2
D' B' D2 L' R' F U2
D' B' D2 L' F R' U2
D' B' D2 R' L' F U2
D B' D2 L' R' U2 B
D B' D2 R' L' U2 B
D' B' F2 R' U2 B R2
D' B2 L' B R' U2 B
D B2 L' F B R' U2
D B2 L' B R' F U2
D B2 L' B F R' U2
B' F2 R' U L U R2
