L' U2 L2 D' B2
L' R U' R' U' L2
R' L' U' R U' L2
L' R' U' R U' L2
R2 L' U' R2 U' L2
R L' U' R' U' L2
R2 L' U2 L2 D B2
D' L' U2 L2 D' B2
D2 L' U2 L2 D' B2
D L' U2 L2 D' B2
U L' U2 L2 D F2
L' R2 U' R2 U' L2
L' R2 U2 L2 D B2
U2 L2 D' B2 L' R'
U2 L2 D' B2 R' L'
L' U F' U L2 B'
L' U' D' B2 U' B2
L' U' B U' B' L2
L' U' B' U' L2 B
L' U' B' U' B L2
L' U' B2 U' L2 B2
L' U' B2 U' B2 L2
L' U2 L2 U' L2 U
L' U2 L2 D' B2 D
L' U2 L2 D' B2 D'
L' U2 L2 D' B2 D2
L' U2 L2 B D' B2
L' U2 L2 B' D' B2
L' U2 L2 B2 D' B2
L' U2 B L2 D' B2
L' U2 B' L2 D' B2
L' U2 B2 L2 D' B2
R2 D L' U2 L2 B2
R2 D L' U2 B2 L2
B2 U L' R' B2 U2
B2 U L' B2 U2 L
B2 U R' L' B2 U2
B2 U R' B2 L' U2
R2 D' L' F2 U2 L2
L' D' U' B2 U' B2
B2 U B2 L' U2 L2
B U B' L' U2 L2
R2 D' F2 U2 L R
R2 D' F2 U2 R L
L' D2 R2 U' R2 U'
L' D2 R2 U2 D B2
L' D2 R2 D U2 B2
L' D2 R2 D' F2 U2
L' F U2 L2 D' B2
L' F' U2 L2 D' B2
L' F2 U2 L2 D' B2
U2 F2 U L R F2
U2 F2 U R L F2
U2 F2 U R F2 L
U L' D2 R2 D' U2 F2
D2 L' F U2 L2 D' B2
D' L' F U2 L2 D' B2
D L' F U2 L2 D' B2
L' R2 U D F2 U B2
D' L' F' U2 L2 D' B2
D2 L' F' U2 L2 D' B2
D L' F' U2 L2 D' B2
L' R2 U' R2 U' L2 D
L' R2 U' R2 U' L2 D'
L' R2 U' R2 U' L2 D2
L' R2 U' R2 D' B2 U'
L' R2 U' R2 B U' L2
L' R2 U' R2 B' U' L2
L' R2 U' R2 B2 U' L2
D' L' F2 U2 L2 D' B2
D2 L' F2 U2 L2 D' B2
L' R2 U' B R2 U' L2
L' R2 U' B' R2 U' L2
L' R2 U' B2 R2 U' L2
D L' F2 U2 L2 D' B2
L' R2 U2 L D L B2
L' R2 U2 L' D L' B2
L' R2 U2 L' D B2 L'
L' R2 U2 L2 U R2 U'
L' R2 U2 L2 D B2 D
L' R2 U2 L2 D B2 D'
L' R2 U2 L2 D B2 D2
L' R2 U2 L2 B D B2
L' R2 U2 L2 B' D B2
L' R2 U2 L2 B2 D B2
L' R2 U2 D B2 D' L2
F2 L' B U' L2 R F
F2 L' B U' R L2 F
L2 R2 U2 D B2 L' R'
L2 R2 U2 D B2 R' L'
L' R2 U2 B L2 D B2
R2 L2 U2 D B2 L' R'
R2 L2 U2 D B2 R' L'
L' R2 U2 B' L2 D B2
L' R2 U2 B2 L2 D B2
U L' B U2 L2 D F2
L2 R2 D L U2 L2 B2
L2 R2 D L U2 B2 L2
R2 L2 D L U2 L2 B2
R2 L2 D L U2 B2 L2
L' R2 D U F2 U B2
L' R2 D U2 B2 D' L2
L2 R2 D U2 B2 L' R'
L2 R2 D U2 B2 R' L'
R2 L2 D U2 B2 L' R'
R2 L2 D U2 B2 R' L'
U L' B' U2 L2 D F2
L2 R2 D' L F2 U2 L2
R2 L2 D' L F2 U2 L2
L' R2 D' F2 U' B2 U'
L' R2 D' F2 U2 D L2
L' R2 D' F2 D U2 L2
L' R2 D' F2 D' R2 U2
L2 R2 D' F2 L R U2
L2 R2 D' F2 R L U2
R2 L2 D' F2 L R U2
R2 L2 D' F2 R L U2
U L' B2 U2 L2 D F2
L' R2 D2 R2 U L2 U
L' R2 D2 R2 U2 D' B2
L' R2 D2 R2 D F2 U2
L' R2 D2 R2 D' U2 B2
U2 L2 R D' B2 L' R'
U2 L2 R D' B2 R' L'
L' R2 F U' R2 U' L2
U2 L2 R' D' B2 L' R'
U2 L2 R' D' B2 R' L'
L' R2 F U2 L2 D B2
U2 L2 R2 D' B2 L' R'
U2 L2 R2 D' B2 R' L'
L' R2 F' U' R2 U' L2
L' R2 F' U2 L2 D B2
B2 L2 U L R' B2 U2
B2 L2 U L B2 U2 L
B2 L2 U R' L B2 U2
B2 L2 U R' B2 U2 R'
L' R2 F2 U' R2 U' L2
L' R2 F2 U2 L2 D B2
B2 L2 U B2 U2 L R'
B2 L2 U B2 U2 R' L
U' L2 D L' F2 D2 R2
U' L2 D L2 F2 L R
U' L2 D L2 F2 R L
U2 L2 D L' D2 R2 B2
U2 L2 D L' D2 B2 R2
U' L2 D' L' D2 R2 F2
U' L2 D' L' D2 F2 R2
U2 L2 D' L' B2 D2 R2
U2 L2 D' R B2 L' R'
U2 L2 D' R B2 R' L'
U2 L2 D' R' B2 L' R'
U2 L2 D' R' B2 R' L'
U2 L2 D' R2 B2 L' R'
U2 L2 D' R2 B2 R' L'
U2 L2 D' B L' B R'
L2 U L U2 L2 D F2
U2 L2 D' B2 L' R' D
U2 L2 D' B2 L' R' D'
U2 L2 D' B2 L' R' D2
U2 L2 D' B2 L' D R'
U2 L2 D' B2 L' D' R'
U2 L2 D' B2 L' D2 R'
U2 L2 D' B2 R' L' D
U2 L2 D' B2 R' L' D'
U2 L2 D' B2 R' L' D2
U2 L2 D' B2 R' D L'
U2 L2 D' B2 R' D' L'
U2 L2 D' B2 R' D2 L'
U2 L2 D' B2 D L' R'
U2 L2 D' B2 D R' L'
U2 L2 D' B2 D' L' R'
U2 L2 D' B2 D' R' L'
U2 L2 D' B2 D2 L' R'
U2 L2 D' B2 D2 R' L'
L' U D F2 U D2 B2
L' U D F2 U' F2 U2
L' U D F2 D' L2 U
L' U D F2 D2 U B2
U2 L2 B2 R' D' L' B2
U2 L2 B2 R' D' B2 L'
U2 L2 B2 D' L' R' B2
U2 L2 B2 D' R' L' B2
U2 L2 B2 D' R' B2 L'
D2 R L' U' R' U' L2
D' R L' U' R' U' L2
D R L' U' R' U' L2
L' U F U' F' U2 L2
U R L' U R' U L2
L' U F' L U L B'
U2 R L2 D' B2 L' R'
U2 R L2 D' B2 R' L'
L' U F' U L2 D B'
L' U F' U L2 D' B'
L' U F' U L2 D2 B'
L' U F' U L2 B' D
L' U F' U L2 B' D'
L' U F' U L2 B' D2
L' U F' U B L2 B'
L' U F' U B' L2 B'
L' U F' U B2 L2 B'
L' U F' U' F U2 L2
R' U F2 L' U L2 R
R' U F2 L' U R L2
L' U F2 U L2 D2 B2
L' U F2 U' F2 U2 L2
F R U' R' F' U' L
L' U' L2 D F2 D R2
L' U' L2 F2 D R2 F2
L' U' L2 F2 D F2 R2
L2 U' L2 D F2 L R
L2 U' L2 D F2 R L
R' U' R U L' U2 L2
R' U' R U' L D2 R2
L' U' R U' L2 D' B2
L' U' R D' B2 U' B2
R' U' R F2 U' L R
R' U' R F2 U' R L
L' U' R B U' B' L2
L' U' R B' U' L2 B
L' U' R B' U' B L2
L' U' R B2 U' L2 B2
L' U' R B2 U' B2 L2
L' U' R' U' L2 D' B2
U2 R F2 U L R F2
U2 R F2 U R L F2
U2 R F2 U R F2 L
L' U' R' D' B2 U' B2
L' U' R' B U' B' L2
L' U' R' B' U' L2 B
L' U' R' B' U' B L2
L' U' R' B2 U' L2 B2
L' U' R' B2 U' B2 L2
R U' R' U L' U2 L2
R U' R' U' L D2 R2
L' U' R2 U' L2 D' B2
L' U' R2 D' B2 U' B2
R U' R' F2 U' L R
R U' R' F2 U' R L
R2 U' R2 U L' U2 L2
R2 U' R2 U' L D2 R2
L' U' R2 B U' B' L2
L' U' R2 B' U' L2 B
L' U' R2 B' U' B L2
L' U' R2 B2 U' L2 B2
L' U' R2 B2 U' B2 L2
R2 U' R2 F2 U' L R
R2 U' R2 F2 U' R L
L' U' D' R B2 U' B2
L' U' D' R' B2 U' B2
L' U' D' R2 B2 U' B2
L' U' D' B2 R U' B2
L' U' D' B2 R' U' B2
L' U' D' B2 R2 U' B2
L' U' D' B2 U' B2 D
L' U' D' B2 U' B2 D'
L' U' D' B2 U' B2 D2
L' U' D' B2 D' R2 U'
D2 R' L' U' R U' L2
D' R' L' U' R U' L2
D R' L' U' R U' L2
U R' L' U R U L2
B2 R' L' B2 U' R U'
U2 R' L2 D' B2 L' R'
U2 R' L2 D' B2 R' L'
L' U' F2 L2 D R2 F2
L' U' F2 L2 D F2 R2
R2 U' F2 R2 U' L R'
R2 U' F2 R2 U' R' L
F2 R' U' R U' L R
F2 R' U' R U' R L
L' U' B R U' B' L2
R U' F2 R' U' L R2
R U' F2 R' U' R2 L
L' U' B R' U' B' L2
L' U' B R2 U' B' L2
L' U' B U' B L2 B2
L' U' B U' B' L2 D
L' U' B U' B' L2 D'
L' U' B U' B' L2 D2
L' U' B U' B2 L2 B
L' U' B D' B2 U' B
L' U' B' U' L' B L'
L' U' B' U' L2 D B
L' U' B' U' L2 D' B
L' U' B' U' L2 D2 B
L' U' B' U' L2 B D
L' U' B' U' L2 B D'
L' U' B' U' L2 B D2
L' U' B' U' B L2 D
L' U' B' U' B L2 D'
L' U' B' U' B L2 D2
L' U' B' U' B' L2 B2
L' U' B' D' B2 U' B'
L' U' B2 R U' L2 B2
L' U' B2 R U' B2 L2
L' U' B2 R' U' L2 B2
L' U' B2 R' U' B2 L2
L' U' B2 R2 U' L2 B2
L' U' B2 R2 U' B2 L2
L' U' B2 U' L' B2 L'
L' U' B2 U' L2 B2 D
L' U' B2 U' L2 B2 D'
L' U' B2 U' L2 B2 D2
L' U' B2 U' B L2 B
L' U' B2 U' B2 L2 D
L' U' B2 U' B2 L2 D'
L' U' B2 U' B2 L2 D2
L' U' B2 D' R2 B2 U'
L' U' B2 D' B2 R2 U'
L2 U' B2 U' L' R' B2
L2 U' B2 U' R' L' B2
L2 U' B2 U' R' B2 L'
L' U2 L U' L' U L2
L' U2 L D L D' B2
L' U2 L D' L D' B2
L' U2 L D2 L D' B2
R2 U2 L D B2 D R2
R2 U2 L D2 R2 D' B2
L' U2 L' U' L U L2
L' U2 L' D L' D' B2
L' U2 L' D' L' D' B2
L' U2 L' D2 L' D' B2
L' U2 L2 R D' R' B2
L' U2 L2 R' D' R B2
L' U2 L2 R' D' B2 R
L' U2 L2 U D2 R2 U'
L' U2 L2 U' L2 U D
L' U2 L2 U' L2 U D'
L' U2 L2 U' L2 U D2
L' U2 L2 U' L2 D U
L' U2 L2 U' L2 D' U
L' U2 L2 U' L2 D2 U
L' U2 L2 U2 D F2 U2
L' U2 L2 D U2 F2 U2
L' U2 L2 D B D2 B2
L' U2 L2 D B' D2 B2
L' U2 L2 D B2 D2 B2
L' U2 L2 D' L B2 L'
L' U2 L2 D' L2 B2 L2
L' U2 L2 D' R' B2 R
L' U2 L2 D' R2 B2 R2
L' U2 L2 D' B D B
L' U2 L2 D' B D' B
L' U2 L2 D' B D2 B
L' U2 L2 D' B' D B'
L' U2 L2 D' B' D' B'
L' U2 L2 D' B' D2 B'
L' U2 L2 D2 U R2 U'
L' U2 L2 D2 B D B2
L' U2 L2 D2 B' D B2
L' U2 L2 D2 B2 D B2
L' U2 L2 F D' F' B2
L' U2 L2 F D' B2 F'
L' U2 L2 F' D' F B2
L' U2 L2 F' D' B2 F
L' U2 L2 B U' L2 U
L' U2 L2 B D' B2 D
L' U2 L2 B D' B2 D'
L' U2 L2 B D' B2 D2
L' U2 L2 B' U' L2 U
L' U2 L2 B' D' B2 D
L' U2 L2 B' D' B2 D'
L' U2 L2 B' D' B2 D2
L' U2 L2 B2 U' L2 U
L' U2 L2 B2 D' B2 D
L' U2 L2 B2 D' B2 D'
L' U2 L2 B2 D' B2 D2
R2 U2 L2 D B2 L' R'
R2 U2 L2 D B2 R' L'
L' U2 R L2 D' R' B2
L U2 L2 D F2 U2 F2
L' U2 R' L2 D' R B2
L' U2 R' L2 D' B2 R
U2 R' F2 U L R F2
U2 R' F2 U R L F2
U2 R' F2 U R F2 L
L' U2 D L2 D' L2 B2
L' U2 D L2 D' B2 L2
R2 U2 D L B2 D2 R2
R2 U2 D L2 B2 L' R'
R2 U2 D L2 B2 R' L'
B2 R' B2 L' U' R U'
R2 U2 D' L D2 R2 B2
R2 U2 D' L D2 B2 R2
D2 R2 L' U' R2 U' L2
D' R2 L' U' R2 U' L2
D2 R2 L' U2 L2 D B2
D' R2 L' U2 L2 D B2
L' U2 F L2 D' F' B2
L' U2 F L2 D' B2 F'
L' U2 F L2 F' D' B2
D R2 L' U' R2 U' L2
D R2 L' U2 L2 D B2
U R2 L' U R2 U L2
U R2 L' U2 L2 D' F2
U2 R2 L2 D' B2 L' R'
U2 R2 L2 D' B2 R' L'
L' U2 F2 L2 F2 D' B2
F2 R2 U' R2 U' L R
F2 R2 U' R2 U' R L
L' U2 B L2 U' L2 U
L' U2 B L2 D' B2 D
L' U2 B L2 D' B2 D'
L' U2 B L2 D' B2 D2
L' U2 B L2 B D' B2
L' U2 B L2 B' D' B2
L' U2 B L2 B2 D' B2
F2 R2 U2 L D R' B2
L' U2 B' L2 U' L2 U
F2 R2 U2 D L R' B2
L' U2 B' L2 D' B2 D
L' U2 B' L2 D' B2 D'
L' U2 B' L2 D' B2 D2
F2 R2 U2 D R' L B2
L' U2 B' L2 B D' B2
L' U2 B' L2 B' D' B2
L' U2 B' L2 B2 D' B2
D2 R2 D L' U2 L2 B2
D2 R2 D L' U2 B2 L2
D' R2 D L' U2 L2 B2
D' R2 D L' U2 B2 L2
U R2 U2 D' F2 L R
U R2 U2 D' F2 R L
L' U2 B2 L2 U' L2 U
L' U2 B2 L2 D' B2 D
L' U2 B2 L2 D' B2 D'
L' U2 B2 L2 D' B2 D2
L' U2 B2 L2 B D' B2
L' U2 B2 L2 B' D' B2
L' U2 B2 L2 B2 D' B2
D R2 D L' U2 L2 B2
D R2 D L' U2 B2 L2
F2 R2 D U2 L R' B2
F2 R2 D U2 R' L B2
D2 R2 D' L' F2 U2 L2
D' R2 D' L' F2 U2 L2
U R2 D L' B2 U2 L2
D2 R2 D' F2 U2 L R
D2 R2 D' F2 U2 R L
D' R2 D' F2 U2 L R
D' R2 D' F2 U2 R L
D R2 D' L' F2 U2 L2
F2 R2 D' F2 U2 L R'
F2 R2 D' F2 U2 R' L
U R2 D B2 L' R' U2
U R2 D B2 R' L' U2
U R2 D' L' U2 L2 F2
U R2 D' L' U2 F2 L2
L2 D L U2 L2 D' B2
D R2 D' F2 U2 L R
D R2 D' F2 U2 R L
R' D L' U' R U' L2
U R2 D' U2 F2 L R
U R2 D' U2 F2 R L
R2 D L B2 D2 R2 F2
R2 D L B2 D2 F2 R2
R2 D L' R U2 L2 B2
R2 D L' R U2 B2 L2
R2 D L' R' U2 L2 B2
R2 D L' R' U2 B2 L2
R2 D L' R2 U2 L2 B2
R2 D L' R2 U2 B2 L2
R2 D L' U2 L' B2 L'
R2 D L' U2 L2 B2 D
R2 D L' U2 L2 B2 D'
R2 D L' U2 L2 B2 D2
R2 D L' U2 B L2 B
R2 D L' U2 B2 L2 D
R2 D L' U2 B2 L2 D'
R2 D L' U2 B2 L2 D2
R2 D L' D2 R2 F2 U2
R2 D L' D2 F2 R2 U2
R2 D L' F U2 L2 B2
R2 D L' F U2 B2 L2
R2 D L' F' U2 L2 B2
R2 D L' F' U2 B2 L2
R2 D L' F2 U2 L2 B2
R2 D L' F2 U2 B2 L2
R D L' U' R' U' L2
R2 D L2 U2 B2 L' R'
R2 D L2 U2 B2 R' L'
R2 D R L' U2 L2 B2
R2 D R L' U2 B2 L2
L' D R' U F2 L' U
U2 R2 F2 U L R F2
U2 R2 F2 U R L F2
U2 R2 F2 U R F2 L
R2 D R' L' U2 L2 B2
R2 D R' L' U2 B2 L2
L' D R2 D R2 U2 B2
L' D R2 D' F2 U2 L2
R2 D R2 L' U2 L2 B2
R2 D R2 L' U2 B2 L2
L' D U F2 U D2 B2
L' D U F2 U' F2 U2
L' D U F2 D' L2 U
L' D U F2 D2 U B2
B2 U L R' B2 L2 U2
L' D U2 L2 D' L2 B2
L' D U2 L2 D' B2 L2
R2 D U2 L B2 D2 R2
R2 D U2 L2 B2 L' R'
R2 D U2 L2 B2 R' L'
B2 U L B2 L2 U2 L'
D' U L' U2 L2 D F2
D2 U L' U2 L2 D F2
B2 U L' R B2 R2 U2
B2 U L' R' U2 D2 F2
B2 U L' R' D2 U2 F2
B2 U L' R' B2 U2 D
B2 U L' R' B2 U2 D'
B2 U L' R' B2 U2 D2
B2 U L' R' B2 D U2
B2 U L' R' B2 D' U2
B2 U L' R' B2 D2 U2
B2 U L' R2 B2 R U2
B2 U L' D2 R' U2 F2
D U L' U2 L2 D F2
B2 U L' B2 R U2 L
B2 U L' B2 R' U2 L
B2 U L' B2 R2 U2 L
B2 U L' B2 U2 L D
B2 U L' B2 U2 L D'
B2 U L' B2 U2 L D2
B2 U L' B2 U2 D L
B2 U L' B2 U2 D' L
B2 U L' B2 U2 D2 L
B2 U L' B2 D U2 L
B2 U L' B2 D' U2 L
B2 U L' B2 D2 U2 L
B2 U L2 R' B2 U2 R'
U D L' U2 L2 D F2
U2 D L2 D' B2 L' R'
U2 D L2 D' B2 R' L'
B2 U L2 B2 U2 L R'
B2 U L2 B2 U2 R' L
B2 U R L' B2 R2 U2
B2 U R B2 L' R2 U2
B2 U R B2 R2 L' U2
R2 D F2 U2 L R B2
R2 D F2 U2 L B2 R
R2 D F2 U2 R L B2
B2 U R' L B2 L2 U2
B2 U R' L' U2 D2 F2
B2 U R' L' D2 U2 F2
B2 U R' L' B2 U2 D
B2 U R' L' B2 U2 D'
B2 U R' L' B2 U2 D2
B2 U R' L' B2 D U2
B2 U R' L' B2 D' U2
B2 U R' L' B2 D2 U2
B2 U R' L2 B2 U2 R'
B2 U R' U2 D2 F2 R
B U R B' L' U2 L2
B2 U R' D2 L' U2 F2
B2 U R' D2 U2 F2 R
B2 U R' B L' B U2
B2 U R' B2 L' U2 D
B2 U R' B2 L' U2 D'
B2 U R' B2 L' U2 D2
B2 U R' B2 L' D U2
B2 U R' B2 L' D' U2
B2 U R' B2 L' D2 U2
B2 U R' B2 D L' U2
B2 U R' B2 D' L' U2
B2 U R' B2 D2 L' U2
B2 U R2 L' B2 R U2
B U R' B' L' U2 L2
B2 U R2 B2 L' R U2
B2 U R2 B2 R L' U2
B U R2 B' L' U2 L2
L2 D' L U2 L2 D' B2
B2 U D2 L' R' U2 F2
R' D' L' U' R U' L2
B2 U D2 R' L' U2 F2
B2 U D2 R' U2 F2 R
R2 D' L F2 L2 U2 L2
R2 D' L' R F2 U2 L2
R2 D' L' R' F2 U2 L2
U2 D F2 U L R F2
