D' L R2 F' R' B'
R2 L D F' R' B
R2 L F' R' D B2
D' L B' R D2 F2
D' L B' D2 R F2
L R2 D F' R' B
L R2 F' R' D B2
D' R2 L F' R' B'
R2 D L F' R' B
D' R2 F' L R' B'
D' R2 F' R' L B'
R2 D F' L R' B
R2 D F' R' L B
R2 D' L F' R' B'
R2 D' F' L R' B'
R2 D' F' R' L B'
R2 F' L R' D B2
R2 F' R' L D B2
R2 F' R' D L B2
R2 D L F' R' D B
R2 D L F' R' D' B
R2 D L F' R' D2 B
R2 D L F' R' B D
R2 D L F' R' B D'
R2 D L F' R' B D2
U R2 D' F' R' L B'
R2 D L F2 R' F B
R2 D L F2 R' B F
D' R2 F L R' F2 B'
D' R2 F L R' B' F2
D' R2 F L F2 R' B'
D' R2 F R' L F2 B'
D' R2 F R' L B' F2
D' R2 F R' F2 L B'
R2 D L' F' L2 R' B
R2 D L' F' R' L2 B
R2 D L' F' R' B L2
D' R2 F' L R B' R2
D' R2 F' L R' D B'
D' R2 F' L R' D' B'
D' R2 F' L R' D2 B'
D' R2 F' L R' B' D
D' R2 F' L R' B' D'
D' R2 F' L R' B' D2
D' R2 F' L R2 B' R
D' R2 F' L D R' B'
D' R2 F' L D' R' B'
D' R2 F' L D2 R' B'
D2 R2 F' L D' R' B
U' R2 F' L R' D B2
D' R2 F' R L B' R2
D' R2 F' R' L D B'
D' R2 F' R' L D' B'
D' R2 F' R' L D2 B'
D' R2 F' R' L B' D
D' R2 F' R' L B' D'
D' R2 F' R' L B' D2
D2 R2 F' R' D L B'
D' R2 F' R2 L B' R
U' R2 F' R' L D B2
U' R2 F' R' D L B2
U2 R2 F' L R' D B2
D2 R2 F' D L R' B'
D2 R2 F' D R' L B'
D2 R2 F' D' L R' B
D2 R2 F' D' R' L B
D' R2 F' D2 L R' B
D' R2 F' D2 R' L B
U2 R2 F' R' L D B2
U2 R2 F' R' D L B2
D R2 F' L R B R2
D R2 F' R L B R2
U R2 F' L R' D B2
D' R2 F2 R' F L B'
F R2 F' R D' L B'
U R2 F' R' L D B2
U R2 F' R' D L B2
F R2 F' D' L R B'
F R2 F' D' L B' R
F R2 F' D' R L B'
L D R' B R' F' R'
R2 D U L F' R' B
L D R2 F' R B R2
R2 D U F' L R' B
R2 D U F' R' L B
D' U L R2 F' R' B'
R2 D U' L F' R' B
R2 D U' F' L R' B
R2 D U' F' R' L B
D' U L B' R D2 F2
D' U L B' D2 R F2
R2 D U2 L F' R' B
R2 D U2 F' L R' B
R2 D U2 F' R' L B
R2 D F L R' F2 B
R2 D F L R' B F2
R2 D F L F2 R' B
R2 D F R' L F2 B
R2 D F R' L B F2
R2 D F R' F2 L B
F2 U L' B U2 L2 B2
F2 U L' B U2 B2 L2
L D F R2 F' R B
R2 D F' L R' D B
R2 D F' L R' D' B
R2 D F' L R' D2 B
R2 D F' L R' B D
R2 D F' L R' B D'
R2 D F' L R' B D2
R2 D F' L' R' B L2
R2 D F' L2 R' B L'
R2 D F' R' L D B
R2 D F' R' L D' B
R2 D F' R' L D2 B
R2 D F' R' L B D
R2 D F' R' L B D'
R2 D F' R' L B D2
R2 D F' R' L' B L2
R2 D F' R' L2 B L'
R2 D F' R' D L B
R2 D F' R' D' L B
R2 D F' R' D2 L B
R2 D F' D2 L R' B'
R2 D F' D2 R' L B'
R2 D F2 R' F L B
D' U R2 L F' R' B'
D' U R2 F' L R' B'
D' U R2 F' R' L B'
L D B' R' B R2 F'
R2 D' L D F' R' B'
R2 D' L D' F' R' B'
R2 D' L D2 F' R' B'
R2 D' L F R' F2 B'
R2 D' L F R' B' F2
R2 D' L F' R B' R2
R2 D' L F' R' D B'
R2 D' L F' R' D' B'
R2 D' L F' R' D2 B'
R2 D' L F' R' B' D
R2 D' L F' R' B' D'
R2 D' L F' R' B' D2
R2 D' L F' R2 B' R
R2 D' L F' D R' B'
R2 D' L F' D' R' B'
R2 D' L F' D2 R' B'
R2 D' L F2 R' F B'
R2 D' L F2 R' B' F
R2 D' L B' D2 F' R
R D' L2 D' L' F B'
R D' L2 D' L' B' F
F2 U B L' U2 B' L
D' U' L R2 F' R' B'
U' D' L R2 F' R' B'
U2 D' L R2 F' R' B'
D' U' L B' R D2 F2
U' D' L B' R D2 F2
D' U' L B' D2 R F2
U' D' L B' D2 R F2
U2 D' L B' R D2 F2
U2 D' L B' D2 R F2
U D' L R2 F' R' B'
R2 D' U L F' R' B'
L D' R2 D2 F' R' B
L D' R2 F' D2 R' B
R2 D' U F' L R' B'
U D' L B' R D2 F2
R2 D' U F' R' L B'
U D' L B' D2 R F2
R2 D' U' L F' R' B'
R2 D' U' F' L R' B'
R2 D' U' F' R' L B'
R2 D' U2 L F' R' B'
R2 D' U2 F' L R' B'
R2 D' U2 F' R' L B'
R2 D' F L R' F2 B'
R2 D' F L R' B' F2
R2 D' F L F2 R' B'
R2 D' F R' L F2 B'
R2 D' F R' L B' F2
R2 D' F R' F2 L B'
U' D' R2 L F' R' B'
D' U' R2 L F' R' B'
R D' F L D F2 B'
R D' F L D B' F2
R D' F L B' D F2
R2 D' F' L R B' R2
R2 D' F' L R' D B'
R2 D' F' L R' D' B'
R2 D' F' L R' D2 B'
R2 D' F' L R' B' D
R2 D' F' L R' B' D'
R2 D' F' L R' B' D2
R2 D' F' L R2 B' R
R2 D' F' L D R' B'
R2 D' F' L D' R' B'
R2 D' F' L D2 R' B'
D' U' R2 F' L R' B'
U' D' R2 F' L R' B'
D' U' R2 F' R' L B'
U' D' R2 F' R' L B'
R2 D' F' R L B' R2
R2 D' F' R' L D B'
R2 D' F' R' L D' B'
R2 D' F' R' L D2 B'
R2 D' F' R' L B' D
R2 D' F' R' L B' D'
R2 D' F' R' L B' D2
U2 D' R2 L F' R' B'
R2 D' F' R2 L B' R
R2 D' F' D2 L R' B
R2 D' F' D2 R' L B
U2 D' R2 F' L R' B'
U2 D' R2 F' R' L B'
U D' R2 L F' R' B'
R2 D' F2 R' F L B'
U D' R2 F' L R' B'
U D' R2 F' R' L B'
R2 D2 L D' F' R' B
R2 D2 L F' D' R' B
D' U2 L R2 F' R' B'
D' U2 L B' R D2 F2
D' U2 L B' D2 R F2
L D2 R2 D' F' R' B
D' U2 R2 L F' R' B'
L D2 R2 F' D' R' B
D' U2 R2 F' L R' B'
D' U2 R2 F' R' L B'
R2 D2 F' L D' R' B
R2 D2 F' R' D L B'
R2 D2 F' D L R' B'
R2 D2 F' D R' L B'
R2 D2 F' D' L R' B
R2 D2 F' D' R' L B
B U2 R B' D' L B'
D' F L R2 F' R B'
D' F L R2 F' B' R
D' F L R2 B' F' R
R2 F L R' F2 D' B2
D F L R2 F' R B
R2 F L F2 R' D' B2
R2 F L F2 D' R' B2
R2 F L' U L2 R' F2
R2 F L' U L2 F2 R'
R2 F L' U R' L2 F2
R2 F L' U R' F2 L2
R2 F L' U F2 L2 R'
R2 F L' U F2 R' L2
D' F R2 L F' R B'
D' F R2 L F' B' R
D' F R2 L B' F' R
R2 F R' L F2 D' B2
D' F R2 F' L R B'
D' F R2 F' L B' R
D' F R2 F' R L B'
D F R2 L F' R B
D F R2 F' L R B
D F R2 F' R L B
B U2 B' R D' L B'
B U2 B' D' L R B'
B U2 B' D' L B' R
B U2 B' D' R L B'
B2 D R' B' U2 R2 B2
B2 D R' B' U2 B2 R2
R2 F' L R' U R2 U'
R2 F' L R' D B2 D
R2 F' L R' D B2 D'
R2 F' L R' D B2 D2
R2 F' L R' B D B2
R2 F' L R' B' D B2
R2 F' L R' B2 D B2
R2 F' L U R U' R2
R2 F' L D R' D B2
R2 F' L D' R' D B2
R2 F' L D2 R' D B2
R F' L U R U' F'
R2 F' L2 R' D L' B2
R2 F' L2 R' D B2 L'
R2 F' R' L U R2 U'
R2 F' R' L D B2 D
R2 F' R' L D B2 D'
R2 F' R' L D B2 D2
R2 F' R' L B D B2
R2 F' R' L B' D B2
R2 F' R' L B2 D B2
R2 F' R' L2 D L' B2
R2 F' R' L2 D B2 L'
R2 F' R' U R2 U' L
R F' R U' L F' R'
R F' R U' F' L R'
R F' R U' F' R' L
R2 F' R' D L B2 D
R2 F' R' D L B2 D'
R2 F' R' D L B2 D2
R2 F' R' D L' B2 L2
R2 F' R' D L2 B2 L'
R2 F' R' D' L D2 B2
R2 F' R' B2 D B2 L
R2 F' U R U' L R2
R2 F' U R U' R2 L
R F' U R U' L F'
R F' U R U' F' L
R2 F' D L R' D B2
R2 F' D R' L D B2
R2 F' D R' D L B2
R2 F' D' L R' D B2
R2 F' D' R' L D B2
R2 F' D' R' D L B2
R2 F' D2 L R' D B2
R2 F' D2 R' L D B2
R2 F' D2 R' D L B2
D' F2 L D2 R2 F' B'
D' F2 L D2 R2 B' F'
D' F2 L B' D2 R2 F2
D' F2 L B' D2 F2 R2
D' F2 L' F B U2 L2
D' F2 L' B U2 L2 B'
D' F2 L' B F U2 L2
D' B L U2 R B' L
D' B L U2 B' L R
D' B L U2 B' R L
D' B U2 L R B' L
D' B U2 L B' L R
D' B U2 L B' R L
D' B U2 R L B' L
D' B U2 R B' L B'
D' B U2 B' L R B'
D' B U2 B' L B' R
D' B U2 B' R L B'
D B' R' B L R2 F'
D B' R' B R2 L F'
D B' R' B R2 F' L
D B2 R' B' U2 R2 B2
D B2 R' B' U2 B2 R2
