B L2 R2 U' L R
B L2 R2 U' R L
B R2 L2 U' L R
B R2 L2 U' R L
B D L' R' F2 B2
B D L' R' B2 F2
B D L' F2 R' B2
B D R' L' F2 B2
B D R' L' B2 F2
B D R' B2 L' F2
B' D B2 L' R' F2
B' D B2 L' F2 R'
B' D B2 R' L' F2
R2 B L2 U' L R'
R2 B L2 U' R' L
B U2 R2 L2 U' R L
B' U2 D B2 L' R' F2
B' U2 D B2 L' F2 R'
B' U2 D B2 R' L' F2
B U2 D L' R' F2 B2
B U2 D L' R' B2 F2
B U2 D L' F2 R' B2
B U2 D R' L' F2 B2
B U2 D R' L' B2 F2
B U2 D R' B2 L' F2
B' D L U2 L2 F2 B2
B' D L U2 L2 B2 F2
B' D L U2 F2 L2 B2
B' D L U2 F2 B2 L2
B' D L U2 B2 L2 F2
B' D L U2 B2 F2 L2
B D L R' F2 L2 B2
B D L R' F2 B2 L2
B D L R' B2 L2 F2
B D L R' B2 F2 L2
B' D L' F2 B2 D2 R2
B' D L' B2 F2 D2 R2
B D L F2 L2 R' B2
B D L F2 R' L2 B2
B D L F2 R' B2 L2
B2 D L' F2 B' R' B'
B D L B2 L2 F2 R
B2 D L' B' R' F2 B'
B2 D L' B' R' B' F2
B2 D L' B' F2 R' B'
B D L' R F2 R2 B2
B D L' R F2 B2 R2
B D L' R B2 R2 F2
B D L' R B2 F2 R2
B D L' R' F2 B2 D
B D L' R' F2 B2 D'
B D L' R' F2 B2 D2
B D L' R' B2 F2 D
B D L' R' B2 F2 D'
B D L' R' B2 F2 D2
B D L' R2 B2 R F2
B' D L2 F2 L R B2
B' D L2 F2 L B2 R
B' D L2 F2 R L B2
B D L' F R' F B2
B D L' F R' B2 F
B D L' F2 R B2 R2
B D L' F2 R' B2 D
B D L' F2 R' B2 D'
B D L' F2 R' B2 D2
B D L' F2 R2 B2 R
B D L2 R' F2 L B2
B' D R B2 L' R' F2
B' D R B2 L' F2 R'
B' D R B2 R' L' F2
B D L2 F2 L R' B2
B D L2 F2 R' L B2
B D R L' F2 R2 B2
B D R L' F2 B2 R2
B D R L' B2 R2 F2
B D R L' B2 F2 R2
B' D R' B2 L' R' F2
B' D R' B2 L' F2 R'
B' D R' B2 R' L' F2
B D R F2 R2 B2 L
B D R B2 L' R2 F2
B D R B2 L' F2 R2
B D R B2 R2 L' F2
B D R' L F2 L2 B2
B D R' L F2 B2 L2
B D R' L B2 L2 F2
B D R' L B2 F2 L2
B D R' L' F2 B2 D
B D R' L' F2 B2 D'
B D R' L' F2 B2 D2
B D R' L' B2 F2 D
B D R' L' B2 F2 D'
B D R' L' B2 F2 D2
B D R' L2 F2 L B2
B' D R2 B2 L' R' F2
B' D R2 B2 L' F2 R'
B' D R2 B2 R' L' F2
B D R' B L' F2 B
B D R' B L' B F2
B D R' B2 L F2 L2
B D R' B2 L' F2 D
B D R' B2 L' F2 D'
B D R' B2 L' F2 D2
B D R' B2 L2 F2 L
B D R2 L' B2 R F2
B' D U B2 L' R' F2
B' D U B2 L' F2 R'
B' D U B2 R' L' F2
B D R2 B2 L' R F2
B D R2 B2 R L' F2
B D U L' R' F2 B2
B D U L' R' B2 F2
B D U L' F2 R' B2
B' D U' B2 L' R' F2
B' D U' B2 L' F2 R'
B' D U' B2 R' L' F2
B D U R' L' F2 B2
B D U R' L' B2 F2
B D U R' B2 L' F2
B D U' L' R' F2 B2
B D U' L' R' B2 F2
B D U' L' F2 R' B2
B' D U2 B2 L' R' F2
B' D U2 B2 L' F2 R'
B' D U2 B2 R' L' F2
B D U' R' L' F2 B2
B D U' R' L' B2 F2
B D U' R' B2 L' F2
B D U2 L' R' F2 B2
B D U2 L' R' B2 F2
B D U2 L' F2 R' B2
B D U2 R' L' F2 B2
B D U2 R' L' B2 F2
B D U2 R' B2 L' F2
B' D F2 R2 B2 L R'
B' D F2 R2 B2 R' L
B' D F2 B2 R' D2 L2
B' D B L' F2 B R'
B' D B L' B R' F2
B' D B L' B F2 R'
B D F2 R' B2 D2 L2
B D F2 R2 B2 L R
B D F2 R2 B2 R L
B2 D B' R' B' L' F2
B' D B2 L R' F2 L2
B' D B2 L F2 L2 R'
B' D B2 L F2 R' L2
B' D B2 L' R F2 R2
B' D B2 L' R' F2 D
B' D B2 L' R' F2 D'
B' D B2 L' R' F2 D2
B' D B2 L' F R' F
B' D B2 L' F2 R' D
B' D B2 L' F2 R' D'
B' D B2 L' F2 R' D2
B' D B2 L' F2 D R'
B' D B2 L' F2 D' R'
B' D B2 L' F2 D2 R'
B' D B2 L2 R' F2 L
B' D B2 L2 F2 L R'
B' D B2 L2 F2 R' L
B' D B2 R L' F2 R2
B' D B2 R' L F2 L2
B' D B2 R' L' F2 D
B' D B2 R' L' F2 D'
B' D B2 R' L' F2 D2
B' D B2 R' L2 F2 L
B' D B2 F2 R' D2 L2
B D B2 L' F2 D2 R2
B D B2 L2 F2 L R
B D B2 L2 F2 R L
B' D' L F2 B2 U2 L2
B' D' L B2 F2 U2 L2
B' D' L' D2 R2 F2 B2
B' D' L' D2 R2 B2 F2
B' D' L' D2 F2 R2 B2
B' D' L' D2 F2 B2 R2
B' D' L' D2 B2 R2 F2
B' D' L' D2 B2 F2 R2
B D' L' R' D2 F2 B2
B D' L' R' D2 B2 F2
B D' L' D2 R' F2 B2
B D' L' D2 R' B2 F2
B D' L' D2 F2 R' B2
B D' R' L' D2 F2 B2
B D' R' L' D2 B2 F2
B D' R' D2 L' F2 B2
B D' R' D2 L' B2 F2
B D' R' D2 B2 L' F2
B' D' F2 L R B2 U2
B' D' F2 L B2 R U2
B' D' F2 R L B2 U2
B' D' F2 R B2 U2 R'
D' F2 R B2 U' F' U'
B' D' F2 B2 R U2 R2
B D' F2 R B2 U2 R2
B D' F2 B2 L R U2
B D' F2 B2 R L U2
B' D' B2 F2 R U2 R2
B D' B2 L F2 U2 L2
B D' B2 F2 L R U2
B D' B2 F2 R L U2
B D2 L2 R2 U L R
B D2 L2 R2 U R L
D' F2 B2 R U' F' U'
B D2 R2 L2 U L R
B D2 R2 L2 U R L
L' B L' R2 U' L R
L' B L' R2 U' R L
U' B L2 R2 U' L R
U' B L2 R2 U' R L
U2 B L2 R2 U' L R
U2 B L2 R2 U' R L
R2 B L2 U' L R' D
R2 B L2 U' L R' D'
R2 B L2 U' L R' D2
R2 B L2 U' L D R'
R2 B L2 U' L D' R'
R2 B L2 U' L D2 R'
R2 B L2 U' R' L D
R2 B L2 U' R' L D'
R2 B L2 U' R' L D2
R2 B L2 U' R' D L
R2 B L2 U' R' D' L
R2 B L2 U' R' D2 L
R2 B L2 U' D L R'
R2 B L2 U' D R' L
R2 B L2 U' D' L R'
R2 B L2 U' D' R' L
R2 B L2 U' D2 L R'
R2 B L2 U' D2 R' L
R2 B L2 D U' L R'
R2 B L2 D U' R' L
R2 B L2 D' U' L R'
R2 B L2 D' U' R' L
R2 B L2 D2 U' L R'
R2 B L2 D2 U' R' L
R2 B L2 F U' L R'
R2 B L2 F U' R' L
R2 B L2 F' U' L R'
R2 B L2 F' U' R' L
R2 B L2 F2 U' L R'
R2 B L2 F2 U' R' L
U B L2 R2 U' L R
U B L2 R2 U' R L
L' B R' U L' R' U'
L' B R' U R' L' U'
R B L2 R U' L R2
R B L2 R U' R2 L
U' B R2 L2 U' L R
U' B R2 L2 U' R L
L' B R2 L' U' L R
L' B R2 L' U' R L
R B R L2 U' L R2
R B R L2 U' R2 L
U2 B R2 L2 U' L R
U2 B R2 L2 U' R L
L' B U L' R2 U' R
L' B U R2 L' U' R
L2 B R2 B' U' L R
L2 B R2 B' U' R L
R B R' D L' F2 B2
R B R' D L' B2 F2
R B R' D B2 L' F2
U B R2 L2 U' L R
U B R2 L2 U' R L
R2 B U' R' D L' F2
R2 B U' D L' R' F2
R2 B U' D L' F2 R'
R2 B U' D R' L' F2
U' B D L' R' F2 B2
U' B D L' R' B2 F2
U' B D L' F2 R' B2
U' B D R' L' F2 B2
U' B D R' L' B2 F2
U' B D R' B2 L' F2
U2 B D L' R' F2 B2
U2 B D L' R' B2 F2
U2 B D L' F2 R' B2
U2 B D R' L' F2 B2
U2 B D R' L' B2 F2
U2 B D R' B2 L' F2
R2 B D U' L' R' F2
R2 B D U' L' F2 R'
R2 B D U' R' L' F2
U B D L' R' F2 B2
U B D L' R' B2 F2
U B D L' F2 R' B2
U B D R' L' F2 B2
U B D R' L' B2 F2
U B D R' B2 L' F2
F2 B D F2 L' R' B2
F2 B D F2 R' L' B2
F2 B D F2 R' B2 L'
R2 B' L2 U L' U2 L2
R2 B' L2 U' L D2 R2
R2 B' L2 F2 U' L R
R2 B' L2 F2 U' R L
U' B' D B2 L' R' F2
U' B' D B2 L' F2 R'
U' B' D B2 R' L' F2
U2 B' D B2 L' R' F2
U2 B' D B2 L' F2 R'
U2 B' D B2 R' L' F2
U B' D B2 L' R' F2
U B' D B2 L' F2 R'
U B' D B2 R' L' F2
F2 B' D F2 B2 L' R'
F2 B' D F2 B2 R' L'
F2 B' D B2 F2 L' R'
F2 B' D B2 F2 R' L'
D B2 L' U F U' F
D B2 L' F' D F' R2
D B2 L' F2 U F' U'
B' F2 D F2 B2 L' R'
B' F2 D F2 B2 R' L'
B' F2 D B2 F2 L' R'
B' F2 D B2 F2 R' L'
B F2 D F2 L' R' B2
B F2 D F2 R' L' B2
B F2 D F2 R' B2 L'
D' B2 F2 R U' F' U'
