L2 U' L B' R'
L2 R' F' U' L B'
R' L2 F' U' L B'
B' L2 U' L B' R'
B2 L2 U' L B' R'
B L2 U' L B' R'
L2 U' L R B' R'
L2 U' L R' B' R'
L2 U' L R2 B' R'
L2 U' L D B' R'
L2 U' L D' B' R'
L2 U' L D2 B' R'
L2 U' L B' R' D
L2 U' L B' R' D'
L2 U' L B' R' D2
L2 U' L B' D R'
L2 U' L B' D' R'
L2 U' L B' D2 R'
L2 U' R L B' R'
L2 U' R' L B' R'
L2 U' R2 L B' R'
L2 F U' L B' R'
L2 F' U' L B' R'
L2 F2 U' L B' R'
L2 F U' L B' R' D'
L2 F U' L B' R' D2
L2 F U' L B' D R'
L2 F U' L B' D' R'
L2 F U' L B' D2 R'
L2 F U' R L B' R'
L2 F U' R' L B' R'
L2 F U' R2 L B' R'
L2 F' R' F' U' L B'
L2 F' U' L R B' R'
L2 F' U' L R' B' R'
L2 F' U' L R2 B' R'
L2 F' U' L D B' R'
L2 F' U' L D' B' R'
L2 F' U' L D2 B' R'
L2 F' U' L B' R' D
L2 F' U' L B' R' D'
L2 F' U' L B' R' D2
L2 F' U' L B' D R'
L2 F' U' L B' D' R'
L2 F' U' L B' D2 R'
L2 F' U' R L B' R'
L2 F' U' R' L B' R'
L2 F' U' R2 L B' R'
L2 F2 R' F' U' L B'
L2 F2 U' L R B' R'
L2 F2 U' L R' B' R'
L2 F2 U' L R2 B' R'
L2 F2 U' L D B' R'
L2 F2 U' L D' B' R'
L2 F2 U' L D2 B' R'
L2 F2 U' L B' R' D
L2 F2 U' L B' R' D'
L2 F2 U' L B' R' D2
L2 F2 U' L B' D R'
L2 F2 U' L B' D' R'
L2 F2 U' L B' D2 R'
L2 F2 U' R L B' R'
L2 F2 U' R' L B' R'
L2 F2 U' R2 L B' R'
R' B L2 F' U' L B'
L2 B U' L B' L R'
L2 B U' L B' R' L
L2 B U' B' L R' B'
L2 B U' B' R' L B'
R' B' L2 F' U' L B'
L' B' R' U L' F' U'
L' B' U L' F U' R
R B' D L' F2 R B'
R B' D L' F2 B' R
R B' D L' B' F2 R
R' B2 L2 F' U' L B'
R B2 L2 F U' L B'
