D' L2 B' L D2 F2
D' L2 B' D2 L F2
D' L2 B' D2 F2 L
U2 D F B U2 L'
U2 D B F U2 L'
U2 D' F B R' U2
U2 D' B R' F U2
U2 D' B F R' U2
D' U2 F B R' U2
D U2 F B U2 L'
D' U2 B R' F U2
D' U2 B F R' U2
D U2 B F U2 L'
B2 D L2 F B' L'
B2 D L2 B' F L'
U2 F D' B R' U2
D' F B R' U2 R
B2 D' L2 F B' L
B2 D' L2 B' F L
F D' B R' U2 R
U2 B D F U2 L'
D' B F R' U2 R
D B2 L2 F B' L'
D B2 L2 B' F L'
D U2 B F' R F2 U2
B2 U2 D F B' U2 L'
F2 U2 D F' B R U2
B2 U2 D B' F U2 L'
F2 U2 D B F' R U2
B2 U2 D' F B' U2 L
D' F L B R' U2 R
B U2 D F U2 L' F'
F2 U2 D' F' B R' U2
B2 U2 D' B' F U2 L
F2 U2 D' B F' R' U2
D' F L' B R' U2 R
F U2 D' B R' U2 B'
B2 U2 F D' B' U2 L
D F L' U2 B U2 B'
D' F L2 B R' U2 R
F2 U2 F' D' B R' U2
F' U2 F2 D' B R' U2
F2 U2 B D F' R U2
B2 U2 B' D F U2 L'
D F R2 U2 L' F' R2
F U2 B U2 D' B' L
F U2 B D' U2 B' L
B' U2 B2 D F U2 L'
D' F U2 B R' U2 B'
B2 D L' F L' F B'
B2 D L' F L' B' F
D2 F D B R' U2 R
D F U2 B U2 B' L'
B2 D L2 D2 F B' L
B2 D L2 D2 B' F L
B2 D L2 F D B' L'
B2 D L2 F D' B' L'
B2 D L2 F D2 B' L'
B2 D L2 F B L' B2
B2 D L2 F B' L' D
B2 D L2 F B' L' D'
B2 D L2 F B' L' D2
B2 D L2 F B' D L'
B2 D L2 F B' D' L'
B2 D L2 F B' D2 L'
B2 D L2 F B2 L' B
B2 D L2 B F L' B2
B2 D L2 B' F L' D
B2 D L2 B' F L' D'
B2 D L2 B' F L' D2
B2 D L2 B' F D L'
B2 D L2 B' F D' L'
B2 D L2 B' F D2 L'
B2 D L2 B2 F L' B
U2 F D' B R' U2 D
U2 F D' B R' U2 D'
U2 F D' B R' U2 D2
U2 F D' B R' D U2
U2 F D' B R' D' U2
U2 F D' B R' D2 U2
U2 F D' B D R' U2
U2 F D' B D' R' U2
U2 F D' B D2 R' U2
D' F B L R' U2 R
D' F B L' R' U2 R
D' F B L2 R' U2 R
D' F B R' L U2 R
D' F B R' L' U2 R
D' F B R' L2 U2 R
D' F B R' U2 R D
D' F B R' U2 R D'
D' F B R' U2 R D2
D' F B R' U2 D R
D' F B R' U2 D' R
D' F B R' U2 D2 R
D' F B R' D U2 R
D' F B R' D' U2 R
D' F B R' D2 U2 R
B D R F U2 L' R'
B D R F U2 R' L'
D' F B D R' U2 R
D' F B D' R' U2 R
D' F B D2 R' U2 R
D F B R U2 L' R'
D F B R U2 R' L'
D F B R' U2 L' R
D F B R' U2 R L'
D F B R2 U2 L' R2
D F B R2 U2 R2 L'
B D R2 F U2 L' R2
B D R2 F U2 R2 L'
U2 F B2 D' B' U2 L
B2 D U2 F B' U2 L'
F2 D U2 F' B R U2
B2 D U2 B' F U2 L'
F2 D U2 B F' R U2
B D U2 F U2 L' F'
B D F R U2 L' R'
B D F R U2 R' L'
B D F R' U2 L' R
B D F R' U2 R L'
B D F R2 U2 L' R2
B D F R2 U2 R2 L'
F2 D F' B R U2 R'
B D F' R F2 U2 R'
F2 D B F' R U2 R'
B D B L2 F B' L'
B D B L2 B' F L'
D' F' U2 F2 B R' U2
B2 D' L B' L F B'
B2 D' L B' L B' F
D' F' U2 B R' F2 U2
D' F' U2 B F2 R' U2
F D' L B R' U2 R
D F' U2 F2 B U2 L'
D F' U2 B R F2 U2
D F' U2 B F2 U2 L'
B' D' L2 B' L D' F2
B' D' L2 B' D' L F2
B' D' L2 B' D' F2 L
B2 D' L2 D2 F B' L'
B2 D' L2 D2 B' F L'
B2 D' L2 F B' L D
B2 D' L2 F B' L D'
B2 D' L2 F B' L D2
B2 D' L2 F B' D L
B2 D' L2 F B' D' L
B2 D' L2 F B' D2 L
B2 D' L2 F' B' L F2
B2 D' L2 F2 B' L F'
B2 D' L2 B' D F L
B2 D' L2 B' D' F L
B2 D' L2 B' D2 F L
B2 D' L2 B' F L D
B2 D' L2 B' F L D'
B2 D' L2 B' F L D2
B2 D' L2 B' F D L
B2 D' L2 B' F D' L
B2 D' L2 B' F D2 L
B2 D' L2 B' F' L F2
B2 D' L2 B' F2 L F'
F D' L' B R' U2 R
D' F' D2 B2 L2 F L'
F D' L2 B R' U2 R
D' F' B R' F2 L' U2
D' F' B' L D2 F2 B2
D' F' B' L D2 B2 F2
D' F' B' D2 L F2 B2
D' F' B' D2 L B2 F2
D' F' B' D2 F2 L B2
D F' B R F2 U2 R'
D F' B' D2 F2 L' B2
D F' B' D2 F2 B2 L'
D F' B' D2 B2 F2 L'
B2 D' U2 F B' U2 L
F2 D' U2 F' B R' U2
B2 D' U2 B' F U2 L
F2 D' U2 B F' R' U2
F D' U2 B R' U2 B'
F2 D' F' B R' U2 R
F2 D' B F' R' U2 R
F D' B L R' U2 R
F D' B L' R' U2 R
F D' B L2 R' U2 R
F D' B R' L U2 R
F D' B R' L' U2 R
F D' B R' L2 U2 R
R2 F2 R2 D F L' B
R2 F2 R2 D F B L'
F D' B R' U2 R D
F D' B R' U2 R D'
F D' B R' U2 R D2
F D' B R' U2 D R
F D' B R' U2 D' R
F D' B R' U2 D2 R
R2 F2 R2 D B F L'
F D' B R' D U2 R
F D' B R' D' U2 R
F D' B R' D2 U2 R
F D' B D R' U2 R
R2 F2 R2 B D F L'
F D' B D' R' U2 R
D F2 R2 F' L' B R2
F D' B D2 R' U2 R
D F2 R2 F' B L' R2
D F2 R2 F' B R2 L'
D F2 R2 B F' L' R2
D F2 R2 B F' R2 L'
D' F2 U2 F' B R' U2
D' F2 U2 B F' R' U2
D F2 U2 F' B U2 L
B' D2 L2 F2 D B' L
D F2 U2 B F' U2 L
B2 D2 L2 D F B' L
B2 D2 L2 D B' F L
B2 D2 L2 D' F B' L'
B2 D2 L2 D' B' F L'
U2 F2 D F' B R U2
B2 D2 L2 F D B' L
U2 F2 D B F' R U2
B2 D2 L2 B' D' F L'
U2 F2 D' F' B R' U2
U2 F2 D' B F' R' U2
U2 F2 B D F' R U2
D' B L' R' U2 R B
D' B L2 R' U2 R B'
D' B L2 R' U2 B' R
D' B R F R2 U2 R
D' B R' L' U2 R B
D' B R' L2 U2 R B'
D' B R' L2 U2 B' R
U2 B R D F U2 L'
D' B R' F2 L' F' U2
D B R F U2 L' R'
D B R F U2 R' L'
U2 B R' D F U2 L'
U2 B R2 D F U2 L'
F' D2 B2 L2 D' F L'
D B R2 F U2 L' R2
D B R2 F U2 R2 L'
F' D2 B2 D' L2 F L'
D' B U2 R' F U2 F'
U2 B U2 D' L2 B' L
D' B D F R' U2 R
U2 B D R F U2 L'
D B U2 F U2 L' F'
U2 B D R' F U2 L'
U2 B D R2 F U2 L'
U2 B D F R U2 L'
U2 B D F R' U2 L'
U2 B D F R2 U2 L'
U2 B D F U2 L' D
U2 B D F U2 L' D'
U2 B D F U2 L' D2
U2 B D F U2 D L'
U2 B D F U2 D' L'
U2 B D F U2 D2 L'
U2 B D F D U2 L'
U2 B D F D' U2 L'
U2 B D F D2 U2 L'
U2 B D F' R F2 U2
D' B D' F R' U2 R
U2 B D' U2 L2 B' L
D' B D2 F R' U2 R
D' B F L R' U2 R
D' B F L' R' U2 R
D' B F L2 R' U2 R
D' B F R' L U2 R
D' B F R' L' U2 R
D' B F R' L2 U2 R
D' B F R' U2 R D
D' B F R' U2 R D'
D' B F R' U2 R D2
D' B F R' U2 D R
D' B F R' U2 D' R
D' B F R' U2 D2 R
D' B F R' D U2 R
D' B F R' D' U2 R
D' B F R' D2 U2 R
D' B F D R' U2 R
D' B F D' R' U2 R
D' B F D2 R' U2 R
D' B F' R' F2 L' U2
D B F R U2 L' R'
D B F R U2 R' L'
D B F R' U2 L' R
D B F R' U2 R L'
D B F R2 U2 L' R2
D B F R2 U2 R2 L'
D B F' R F2 U2 R'
U2 B F2 D F' R U2
D' B' L2 D2 B' L' F2
D' B' L2 B' L2 F L
F2 B D F' R U2 R'
D B' L2 D2 F2 B' L
D B' L2 D2 B' L F2
D B' L2 D2 B' F2 L
D B' L2 B' L2 F L'
D' B' U2 F B2 R' U2
D' B' U2 B2 R' F U2
D' B' U2 B2 F R' U2
D B' U2 F B2 U2 L'
D B' U2 B2 F U2 L'
D' B' D2 L2 B' L' F2
D B' D2 L2 F2 B' L
D B' D2 L2 B' L F2
D B' D2 L2 B' F2 L
D' B' F' L D2 F2 B2
D' B' F' L D2 B2 F2
D' B' F' D2 L F2 B2
D' B' F' D2 L B2 F2
D' B' F' D2 F2 L B2
D B' F' D2 F2 L' B2
D B' F' D2 F2 B2 L'
D B' F' D2 B2 F2 L'
D' B2 L B L F B'
D' B2 L B L B' F
D2 B2 L2 D F B' L
D2 B2 L2 D B' F L
D2 B2 L2 D' F B' L'
D2 B2 L2 D' B' F L'
D2 B2 L2 F D B' L
D' B2 L2 F B L B2
D2 B2 L2 B' D' F L'
D' B2 L2 B F L B2
D B2 L' F L' F B'
D B2 L' F L' B' F
L2 B2 L2 D F L' B
L2 B2 L2 D F B L'
L2 B2 L2 D B F L'
L2 B2 L2 B D F L'
D B2 L2 D2 F B' L
D B2 L2 D2 B' F L
D B2 L2 F D B' L'
D B2 L2 F D' B' L'
D B2 L2 F D2 B' L'
D B2 L2 F B L' B2
D B2 L2 F B' L' D
D B2 L2 F B' L' D'
D B2 L2 F B' L' D2
D B2 L2 F B' D L'
D B2 L2 F B' D' L'
D B2 L2 F B' D2 L'
D B2 L2 F B2 L' B
D B2 L2 B F L' B2
D B2 L2 B' F L' D
D B2 L2 B' F L' D'
D B2 L2 B' F L' D2
D B2 L2 B' F D L'
D B2 L2 B' F D' L'
D B2 L2 B' F D2 L'
D B2 L2 B2 F L' B
D' B2 U2 F R B' U2
D' B2 U2 F B' R U2
D' B2 U2 B' F R U2
D2 B2 D L2 F B' L
D2 B2 D L2 B' F L
D2 B2 D' L2 F B' L'
D2 B2 D' L2 B' F L'
D B2 U2 F B' U2 L'
U2 B2 D F B' U2 L'
D B2 U2 B' F U2 L'
U2 B2 D B' F U2 L'
U2 B2 D' F B' U2 L
U2 B2 D' B' F U2 L
D B2 D2 L2 F B' L
D B2 D2 L2 B' F L
U2 B2 F D' B' U2 L
B F2 D F' R U2 R'
