D' R U2 F2 B U
D' R U2 B F2 U
D2 R U2 B U L2
D R B2 U2 B' U
D2 R' F' R2 U' L2
D' R' F' R2 B U'
D R' F' R2 B2 U'
D R' F' B2 R2 U'
D R' B2 F' R2 U'
U R2 U' R' F' U'
R U2 F2 B U L'
R U2 B U' R U2
R U2 B F2 U L'
R' D F' U' B2 L
U2 D' F2 L' B' U
D' U2 F2 L' B' U
R' F R2 F2 U' L'
R' F' R2 U R U2
R' F' U' D B2 L
R' F' D U' B2 L
R F' U2 B U L
R' F' B2 R2 U' L
R F2 U2 B U L'
R B U R U2 R'
U' B' R' D B2 L
R B' D2 F2 U' L'
D B2 R U2 B U
D B2 R' F' R2 U'
R' B2 F' R2 U' L
R' B2 F' R2 U' L
D R' B2 F' D U' B2
D R' B2 F2 R2 F U'
F R' B2 F' R U' L
R U2 D' F2 B U L'
R U2 D' B U' R U2
R U2 D' B F2 U L'
U R2 L U' R' F' U'
R U2 D2 F2 B U L'
R U2 D2 B U' R U2
R U2 D2 B F2 U L'
U R2 L' U' R' F' U'
U R2 L2 U' R' F' U'
R U2 F2 D B U L'
R U2 F2 D' B U L'
R U2 F2 D2 B U L'
U R2 U' R' D F' U'
U R2 U' R' D' F' U'
U R2 U' R' D2 F' U'
U R2 U' R' F' U' D
U R2 U' R' F' U' D'
U R2 U' R' F' U' D2
U R2 U' R' F' D U'
U R2 U' R' F' D' U'
U R2 U' R' F' D2 U'
R U2 F2 B U L' D
R U2 F2 B U L' D'
R U2 F2 B U L' D2
R U2 F2 B U D L'
R U2 F2 B U D' L'
R U2 F2 B U D2 L'
R U2 F2 B D U L'
R U2 F2 B D' U L'
R U2 F2 B D2 U L'
U R2 U' D R' F' U'
U R2 U' D' R' F' U'
U R2 U' D2 R' F' U'
U R2 U' F R' F' U'
U R2 U' F' R' F' U'
U R2 U' F2 R' F' U'
R U2 B U F2 L' F2
R U2 B U' R U2 D
R U2 B U' R U2 D'
R U2 B U' R U2 D2
R U2 B U' R D U2
R U2 B U' R D' U2
R U2 B U' R D2 U2
R U2 B U' D R U2
R U2 B U' D' R U2
R U2 B U' D2 R U2
R U2 B D U' R U2
R U2 B D F2 U L'
R U2 B D' U' R U2
R U2 B D' F2 U L'
R U2 B D2 U' R U2
R U2 B D2 F2 U L'
R U2 B F2 U L' D
R U2 B F2 U L' D'
R U2 B F2 U L' D2
R U2 B F2 U D L'
R U2 B F2 U D' L'
R U2 B F2 U D2 L'
R U2 B F2 D U L'
R U2 B F2 D' U L'
R U2 B F2 D2 U L'
U R2 U2 B' D' R' B
U R2 D U' R' F' U'
U R2 D' U' R' F' U'
U R2 D2 U' R' F' U'
U R2 F U' R' U' R2
U R2 F U2 R D B2
U R2 F' L' U' R' U'
F' U L R2 F U2 R
F' U L F R2 U2 R'
F' U L' R2 U2 B' R'
R D U2 F2 B U L'
R D U2 B U' R U2
R D U2 B F2 U L'
R' D F' U R' U2 B2
R' D F' U' L B2 L
R' D F' U' L' B2 L
R' D F' U' L2 B2 L
R' D F' U' B2 L D
R' D F' U' B2 L D'
R' D F' U' B2 L D2
R' D F' U' B2 D L
R' D F' U' B2 D' L
R' D F' U' B2 D2 L
R' D F' B' U' B' L
R D F' U2 B U L
U2 D R B2 L F U'
F' U R2 L F U2 R
R D F2 U2 B U L'
F' U R2 L' U2 B' R'
B' U R2 U' R' F' U'
F2 U R2 U L' B' U
B2 U R2 U' R' F' U'
F' U R2 F U2 R B
F' U R2 F' L' U2 B'
R' D B' F' U' B' L
R D B U R U2 R'
B U R2 U' R' F' U'
R D B' D2 F2 U' L'
F' U F' L' R2 U2 B'
F' U F' R2 L' U2 B'
U2 D' L' F2 B' L' U
U2 D' L' B' F2 L' U
D2 U' L2 B' R' D B2
R' D' F' U F' R' U2
R D' U2 F2 B U L'
R D' U2 B U' R U2
R D' U2 B F2 U L'
R D' F' U2 B U L
L D' F2 L' R B U
L D' F2 R L' B U
L D' F2 R B L' U
R D' F2 U2 B U L'
R D' B U R U2 R'
U2 D' F2 L' D B' U
U2 D' F2 L' D' B' U
U2 D' F2 L' D2 B' U
U2 D' F2 L' B' U D
U2 D' F2 L' B' U D'
U2 D' F2 L' B' U D2
U2 D' F2 L' B' D U
U2 D' F2 L' B' D' U
U2 D' F2 L' B' D2 U
U2 D' F2 D L' B' U
U2 D' F2 D' L' B' U
U2 D' F2 D2 L' B' U
U2 D' F2 B L' B' U
U2 D' F2 B' L' B' U
U2 D' F2 B2 L' B' U
R D' B' D2 F2 U' L'
D2 U' B' L2 R' D B2
D2 U' B' R' L2 D B2
U2 D' B F2 L' B' U
U2 D' B' F2 L' B' U
U2 D' B2 F2 L' B' U
D' U2 L' F2 B' L' U
D' U2 L' B' F2 L' U
U' D2 L2 B' R' D B2
B' U' B' R' D B2 L
B2 U' B' R' D B2 L
B U' B' R' D B2 L
D U2 R B2 L F U'
F2 U2 L' D' F2 B' U
F2 U2 L' D' B' F2 U
F2 U2 L' D2 B' U L2
F2 U2 L' B' U D2 L2
F2 U2 L' B' U' R2 U2
F2 U2 L' B' D' F2 U
F2 U2 L' B' D2 U L2
R' D2 F' U' D' B2 L
R' D2 F' D' U' B2 L
R D2 U2 F2 B U L'
R D2 U2 B U' R U2
R D2 U2 B F2 U L'
D' U2 F2 L' D B' U
D' U2 F2 L' D' B' U
D' U2 F2 L' D2 B' U
D' U2 F2 L' B' U D
D' U2 F2 L' B' U D'
D' U2 F2 L' B' U D2
D' U2 F2 L' B' D U
D' U2 F2 L' B' D' U
D' U2 F2 L' B' D2 U
D2 U2 F2 L' B' U L'
D' U2 F2 D L' B' U
D' U2 F2 D' L' B' U
D' U2 F2 D2 L' B' U
D' U2 F2 B L' B' U
D' U2 F2 B' L' B' U
U2 D2 F2 L' B' U L'
D' U2 F2 B2 L' B' U
R D2 F' U2 B U L
D' U2 B F2 L' B' U
U' D2 B' L2 R' D B2
U' D2 B' R' L2 D B2
R D2 F2 U2 B U L'
D' U2 B' F2 L' B' U
R D2 B U R U2 R'
D' U2 B2 F2 L' B' U
B' U2 D' F2 L' B' U
F2 U2 D' L' F2 B' U
F2 U2 D' L' B' F2 U
R D2 B' D2 F2 U' L'
B2 U2 D' F2 L' B' U
F2 U2 D2 L' B' U L'
B U2 D' F2 L' B' U
D2 F R' F' R U' L2
R' F R2 F2 U' L' D
R' F R2 F2 U' L' D'
R' F R2 F2 U' L' D2
R' F R2 F2 U' D L'
R' F R2 F2 U' D' L'
R' F R2 F2 U' D2 L'
R' F R2 F2 D U' L'
R' F R2 F2 D' U' L'
R' F R2 F2 D2 U' L'
R' F R2 F2 B U' L'
R' F R2 F2 B' U' L'
R' F R2 F2 B2 U' L'
R' F R2 B F2 U' L'
R' F R2 B' F2 U' L'
R' F R2 B2 F2 U' L'
D F R' F' R B2 U'
D F R' F' B2 R U'
D F R' B2 F' R U'
U F R2 U2 D R' B
U F R2 D U2 R' B
R' F U' D B2 L R2
R' F U' D B2 R2 L
D' F U2 F L' B' U
R' F D U' B2 L R2
R' F D U' B2 R2 L
R F U2 F B U L'
R F U2 B F U L'
B' D R B2 U2 B' U
B2 D R B2 U2 B' U
B' D R' F' R2 B2 U'
B' D R' F' B2 R2 U'
B' D R' B2 F' R2 U'
B2 D R' F' R2 B2 U'
B2 D R' F' B2 R2 U'
B D R B2 U2 B' U
B2 D R' B2 F' R2 U'
B D R' F' R2 B2 U'
B D R' F' B2 R2 U'
B D R' B2 F' R2 U'
F D R' F' B2 U' B'
R' F B2 R2 F2 U' L
F D R' B2 F' U' B'
D F B2 R' F' R U'
R' F' R D R B2 U'
R' F' R D B2 R U'
R' F' R D2 R U' L2
R' F' R2 U R U2 D
R' F' R2 U R U2 D'
R' F' R2 U R U2 D2
R' F' R2 U R D U2
R' F' R2 U R D' U2
R' F' R2 U R D2 U2
R' F' R2 U D R U2
R' F' R2 U D' R U2
R' F' R2 U D2 R U2
R' F' R2 U' F2 L' F2
R' F' R2 U2 F2 U L'
R' F' R2 D U R U2
R' F' R2 D' U R U2
R' F' R2 D2 U R U2
R' F' R2 B U R U2
R' F' R2 B' U R U2
R' F' R2 B2 U R U2
R' F' U R' U' R' U'
R' F' U D R' U2 B2
R' F' U D' R' F2 U2
R' F' U D' F2 R' U2
B' D B2 R U2 B U
B' D B2 R' F' R2 U'
R' F' U' L D B2 L
R' F' U' L' D B2 L
R' F' U' L2 D B2 L
B2 D B2 R U2 B U
B2 D B2 R' F' R2 U'
R' F' U' D L B2 L
R' F' U' D L' B2 L
R' F' U' D L2 B2 L
R' F' U' D B2 L D
R' F' U' D B2 L D'
R' F' U' D B2 L D2
R' F' U' D B2 D L
R' F' U' D B2 D' L
R' F' U' D B2 D2 L
F2 D B2 U2 L' B' U
R' F' U' B2 L D B2
R F' R2 F' R2 U' L'
R' F' U' B2 D L B2
B D B2 R U2 B U
B D B2 R' F' R2 U'
F D B2 R' F' U' B
F D B2 U' B' R' B
R' F' D U R' U2 B2
R' F' D U' L B2 L
R' F' D U' L' B2 L
R' F' D U' L2 B2 L
R' F' D U' B2 L D
R' F' D U' B2 L D'
R' F' D U' B2 L D2
R' F' D U' B2 D L
R' F' D U' B2 D' L
R' F' D U' B2 D2 L
R' F' D B' U' B' L
R' F' D' U R' F2 U2
R' F' D' U F2 R' U2
R F' U2 D B U L
R F' U2 D' B U L
R F' U2 D2 B U L
B' D' R U2 F2 B U
B' D' R U2 B F2 U
R F' U2 F B U L
R F' U2 F' B U L
R F' U2 F2 B U L
R F' U2 B U L D
R F' U2 B U L D'
R F' U2 B U L D2
R F' U2 B U D L
R F' U2 B U D' L
R F' U2 B U D2 L
R F' U2 B D U L
R F' U2 B D' U L
R F' U2 B D2 U L
R F' U2 B F U L
R F' U2 B F' U L
R F' U2 B F2 U L
B2 D' R U2 F2 B U
B2 D' R U2 B F2 U
R F' D U2 B U L
B' D' R' F' R2 B U'
B D' R U2 F2 B U
B D' R U2 B F2 U
R' F' B R2 B U' L
B2 D' R' F' R2 B U'
R F' D' U2 B U L
R' F' B' R2 B' U' L
B D' R' F' R2 B U'
R F' D2 U2 B U L
R' F' B2 R2 U' L D
R' F' B2 R2 U' L D'
R' F' B2 R2 U' L D2
R' F' B2 R2 U' D L
R' F' B2 R2 U' D' L
R' F' B2 R2 U' D2 L
R' F' B2 R2 D U' L
R' F' B2 R2 D' U' L
R' F' B2 R2 D2 U' L
R' F' B2 U' L D B2
R' F' B2 U' D L B2
R' F' B2 D U' L B2
B' D' U2 F2 L' B' U
D' F2 L' U2 L F U'
F2 D' U2 L' F2 B' U
F2 D' U2 L' B' F2 U
B2 D' U2 F2 L' B' U
U2 F2 L' D' F2 B' U
U2 F2 L' D' B' F2 U
U2 F2 L' D2 B' U L2
B D' U2 F2 L' B' U
U2 F2 L' B' U D2 L2
U2 F2 L' B' U' R2 U2
U2 F2 L' B' D' F2 U
U2 F2 L' B' D2 U L2
D2 F2 U2 L' B' U L'
R F2 U' L' U' B U
R' F2 D F U' B2 L
B' D2 R U2 B U L2
R F2 U2 D B U L'
U2 F2 D' L' F2 B' U
U2 F2 D' L' B' F2 U
R F2 U2 D' B U L'
R F2 U2 D2 B U L'
R F2 U2 B U L' D
R F2 U2 B U L' D'
R F2 U2 B U L' D2
R F2 U2 B U D L'
R F2 U2 B U D' L'
R F2 U2 B U D2 L'
R F2 U2 B D U L'
R F2 U2 B D' U L'
R F2 U2 B D2 U L'
B2 D2 R U2 B U L2
U2 F2 D2 L' B' U L'
R F2 D U2 B U L'
B' D2 R' F' R2 U' L2
B D2 R U2 B U L2
B2 D2 R' F' R2 U' L2
R F2 D' U2 B U L'
B D2 R' F' R2 U' L2
R' F2 B2 R2 F U' L
R F2 D2 U2 B U L'
D F2 B2 U2 L' B' U
R F2 B' U' L' D' R2
R F2 B' U' D' L' R2
R F2 B' U' D' R2 L'
F2 D2 U2 L' B' U L'
R F2 B' U2 B2 U L'
R F2 B' D' U' L' R2
R F2 B' D' U' R2 L'
R F2 B2 U2 B' U L'
D2 B R U2 B U L2
D' B R U2 F2 B U
D' B R U2 B F2 U
U' B R' D B2 L R'
U' B R' D B2 R' L
D2 B R' F' R2 U' L2
D' B R' F' R2 B U'
F D2 B R' F' U' L2
R B U L R U2 R'
R B U L' R U2 R'
R B U L2 R U2 R'
D' B U2 F2 L' B' U
R B U R L U2 R'
R B U R L' U2 R'
R B U R L2 U2 R'
R B U R U2 R' D
R B U R U2 R' D'
R B U R U2 R' D2
R B U R U2 D R'
R B U R U2 D' R'
R B U R U2 D2 R'
R B U R D U2 R'
R B U R D' U2 R'
R B U R D2 U2 R'
R B U D R U2 R'
R B U D' R U2 R'
R B U D2 R U2 R'
U2 B D' F2 L' B' U
R B D U R U2 R'
R B D' U R U2 R'
R' B F' R2 B U' L
R B D2 U R U2 R'
U' B' L R' D B2 L
U' B' L' R' D B2 L
U' B' L2 R' D B2 L
D2 B' R U2 B U L2
D' B' R U2 F2 B U
D' B' R U2 B F2 U
U' B' R' L D B2 L
U' B' R' L' D B2 L
U' B' R' L2 D B2 L
U' B' R' D L B2 L
U' B' R' D L' B2 L
U' B' R' D L2 B2 L
U' B' R' D B2 L D
U' B' R' D B2 L D'
U' B' R' D B2 L D2
U' B' R' D B2 D L
U' B' R' D B2 D' L
U' B' R' D B2 D2 L
U' B' R' B2 L D B2
D2 B' R' F' R2 U' L2
U' B' R' B2 D L B2
D' B' R' F' R2 B U'
D B' R B' U' D' R2
D B' R B' U2 B2 U
D B' R B' D' U' R2
D B' R B' D2 F2 U'
D B' R' F' R2 B' U'
D B' R' F' B' R2 U'
D B' R' B' F' R2 U'
D' B' U2 F2 L' B' U
U' B' D R' D L2 B2
U' B' D R' D B2 L2
R B' U R U B2 U
R B' U R U2 D' R2
R B' U R D L2 U2
R B' U R D' U2 R2
R B' U D L2 R U2
R B' U D R L2 U2
R B' U D' R U2 R
U' B' D2 L2 R' D B2
U' B' D2 R' L2 D B2
R B' U2 F2 B2 U L'
U2 B' D' F2 L' B' U
R B' U2 B2 U' R U2
R B' U2 B2 F2 U L'
R B' D U L2 R U2
R B' D U R L2 U2
R' B' F' R2 B' U' L
R B' D' U R U2 R
R B' D' F2 U' L' R2
R B' D' F2 U' R2 L'
R B' D2 F2 U' L' D
R B' D2 F2 U' L' D'
R B' D2 F2 U' L' D2
R B' D2 F2 U' D L'
R B' D2 F2 U' D' L'
R B' D2 F2 U' D2 L'
R B' D2 F2 D U' L'
R B' D2 F2 D' U' L'
R B' D2 F2 D2 U' L'
R B' D2 F2 B U' L'
R B' D2 F2 B' U' L'
R B' D2 F2 B2 U' L'
R B' D2 B F2 U' L'
R B' D2 B' F2 U' L'
R B' D2 B2 F2 U' L'
R B' F2 U' L' D' R2
R B' F2 U' D' L' R2
R B' F2 U' D' R2 L'
R B' F2 U2 B2 U L'
R B' F2 D' U' L' R2
R B' F2 D' U' R2 L'
D2 B2 R U2 B U L2
D' B2 R U2 F2 B U
D' B2 R U2 B F2 U
D2 B2 R' F' R2 U' L2
D' B2 R' F' R2 B U'
D B2 R U2 D B U
D B2 R U2 D' B U
D B2 R U2 D2 B U
D B2 R U2 B U D
D B2 R U2 B U D'
D B2 R U2 B U D2
D B2 R U2 B D U
D B2 R U2 B D' U
D B2 R U2 B D2 U
D B2 R D U2 B U
D B2 R D' U2 B U
D B2 R D2 U2 B U
D B2 R F U2 B U
D B2 R F' U2 B U
D B2 R F2 U2 B U
D B2 R' D F' U' B2
D B2 R' F R2 F2 U'
D B2 R' F' R2 U' D
D B2 R' F' R2 U' D'
D B2 R' F' R2 U' D2
D B2 R' F' R2 D U'
D B2 R' F' R2 D' U'
D B2 R' F' R2 D2 U'
D B2 R' F' U' D B2
D B2 R' F' D U' B2
D B2 R' F2 R2 F U'
D' B2 U2 F2 L' B' U
R B2 U R U B' U
D B2 U' B' R' D B2
R' B2 D F' U' L B2
D B2 D R U2 B U
D B2 D R' F' R2 U'
U2 B2 D' F2 L' B' U
R B2 U2 F2 B' U L'
R B2 U2 B' U' R U2
R B2 U2 B' F2 U L'
D B2 D' R U2 B U
D B2 D' R' F' R2 U'
R' B2 F R2 F2 U' L
D B2 D2 R U2 B U
D B2 D2 R' F' R2 U'
R' B2 F' R2 U' L D
R' B2 F' R2 U' L D'
R' B2 F' R2 U' L D2
R' B2 F' R2 U' L D
R' B2 F' R2 U' L D'
R' B2 F' R2 U' L D2
R' B2 F' R2 U' D L
R' B2 F' R2 U' D' L
R' B2 F' R2 U' D2 L
R' B2 F' R2 D U' L
R' B2 F' R2 D' U' L
R' B2 F' R2 D2 U' L
R' B2 F' U' L D B2
R' B2 F' U' D L B2
R' B2 F' D U' L B2
R' B2 F2 R2 F U' L
D B2 F R' F' R U'
D B2 F2 U2 L' B' U
R B2 F2 U2 B' U L'
