F2 L' R' B' D L2
L' R' F2 B' D L2
R' L' F2 B' D L2
F2 L' D R' B' L
L' R' B' F2 D L2
R' L' B' F2 D L2
F2 R' L' B' D L2
F2 D L' R' B' L
F2 D R' L' B' L
F D' R' F L' B'
R' F2 L' B' D L2
L' F2 R' B' D L2
F D' F L' R' B'
F D' F R' L' B'
L' F2 D R' B' L
D' R' F' D F2 L' B'
U2 R' F2 L2 B' D L2
L' U2 R' F2 B' D L2
U2 R' F2 B' D L2 B'
L' U2 R' B' F2 D L2
F2 R' B' L D L2 B'
F2 R' B' L' D B' L2
F2 R' B' D L' B' L'
U2 R' B' F2 D L2 B'
F2 R' B2 L' D' B' L
F2 R' B2 U B' R' U'
D R2 L' U R B' L
D R2 L' U B' L R
D R2 L' U B' R L
L' U2 F2 R' B' D L2
L' U2 F2 D R' B' L
U' R2 U' R F2 B L
U' R2 U' R B L F2
U' R2 U' R B F2 L
L' D R2 U R B' L
L' D R2 U B' L R
L' D R2 U B' R L
R' D U' R2 F' L' U
F2 U B' R' B U' R'
R' D2 L' B' D L2 F
D' F L2 U' L R' B'
D' F L2 U' R' L B'
D' F R' D L' F2 B'
D' F R' D L' B' F2
L' F R' F B' D L2
L' F R' B' D F L2
L' F R' B' F D L2
D' F D L' R' F2 B'
D' F D L' R' B' F2
F2 D L' R B' L R2
F2 D L' R B' R2 L
D' F D L' F2 R' B'
F2 D L' R' B' L D
F2 D L' R' B' L D'
F2 D L' R' B' L D2
F2 D L' R' B' D L
F2 D L' R' B' D' L
F2 D L' R' B' D2 L
F2 D L' R2 B' L R
F2 D L' R2 B' R L
D' F D R' L' F2 B'
D' F D R' L' B' F2
F' D L' F' R' B' L
L' F D R' F B' L
L' F D R' B' F L
L' F D F R' B' L
F2 D L2 R' B' L B'
F D L' R' B' L F
L F U2 D' R' F L'
L F U2 D' F L' R'
L F U2 D' F R' L'
L' F D' R' F B' L'
L' F D' R' B' F L'
L' F D' F R' B' L'
F2 D R L' B' L R2
F2 D R L' B' R2 L
F2 D R' L' B' L D
F2 D R' L' B' L D'
F2 D R' L' B' L D2
F2 D R' L' B' D L
F2 D R' L' B' D' L
F2 D R' L' B' D2 L
F2 D R' L2 B' L B'
L F D' U2 R' F L'
L F D' U2 F L' R'
L F D' U2 F R' L'
F2 D R' B' L' B' L2
F2 D R2 L' B' L R
F2 D R2 L' B' R L
F D R' L' B' L F
F D R' D2 F L' B'
F D R' F L' B' L
R' F' L' F' B' D L2
R' F' L' B' D L2 F'
R' F' L' B' D F' L2
R' F' L' B' F' D L2
F' D F' L' R' B' L
F' D F' R' L' B' L
F D F L' R' B' L
R F' L' U F' R2 B'
R F' L' U F' B' R2
R F' L' U B' F' R2
F D F R' L' B' L
F2 D' L' R' D2 B' L
F2 D' L' D2 R' B' L
D' F' D F2 L' R' B'
D' F' D F2 R' L' B'
L' F' D F' R' B' L
F2 D' R' L' D2 B' L
F2 D' R' D2 L' B' L
F2 D' R' D2 L' B' L
F2 D' R' F L' F' B'
F2 D' R' F L' B' F'
F D' R F L' R2 B'
F D' R F L' B' R2
F D' R F R2 L' B'
F D' R' F L' D B'
F D' R' F L' D' B'
F D' R' F L' D2 B'
F D' R' F L' B' D
F D' R' F L' B' D'
F D' R' F L' B' D2
F D' R' F D L' B'
F D' R' F D' L' B'
F D' R' F D2 L' B'
F D' R' F B L' B'
F D' R' F B' L' B'
F D' R' F B2 L' B'
F D' R' B F L' B'
F D' R' B' F L' B'
F D' R' B2 F L' B'
R' F2 L B' D L2 B'
L2 F2 L R' B' D L2
R' F2 L' U B U' B2
L2 F2 L D R' B' L
R' F2 L' D B' D L2
R' F2 L' D' B' D L2
R' F2 L' D2 B' D L2
R' F2 L' B' L D L2
R' F2 L' B' L' D L2
F' D' F L' R' F2 B'
F' D' F L' R' B' F2
R' F2 L' B' L2 D L2
R' F2 L' B' U B2 U'
R' F2 L' B' D L2 D
R' F2 L' B' D L2 D'
R' F2 L' B' D L2 D2
F' D' F L' F2 R' B'
F' D' F R' L' F2 B'
F' D' F R' L' B' F2
F2 D' F L' F' R' B'
F D' F L' R B' R2
F D' F L' R' D B'
F D' F L' R' D' B'
F D' F L' R' D2 B'
F D' F L' R' B' D
F D' F L' R' B' D'
F D' F L' R' B' D2
F D' F L' R2 B' R
F D' F L' D R' B'
F D' F L' D' R' B'
F D' F L' D2 R' B'
F D' F R L' B' R2
F D' F R' L' D B'
F D' F R' L' D' B'
F D' F R' L' D2 B'
F D' F R' L' B' D
F D' F R' L' B' D'
F D' F R' L' B' D2
F D' F R' D L' B'
F D' F R' D' L' B'
F D' F R' D2 L' B'
F D' F R' B L' B'
F D' F R' B' L' B'
F D' F R' B2 L' B'
F D' F R2 L' B' R
F D' F D L' R' B'
F D' F D R' L' B'
F D' F D' L' R' B'
F D' F D' R' L' B'
F D' F D2 L' R' B'
F D' F D2 R' L' B'
F D' F B L' B' R'
L' F2 R' U B U' B2
L' F2 R' D B' D L2
L' F2 R' D' B' D L2
L' F2 R' D2 B' D L2
L2 F2 R' L B' D L2
L' F2 R' B' L D L2
L' F2 R' B' L' D L2
L' F2 R' B' L2 D L2
L' F2 R' B' U B2 U'
L' F2 R' B' D L2 D
L' F2 R' B' D L2 D'
L' F2 R' B' D L2 D2
R' F2 U B U2 L U
R' F2 U B' R' B2 U'
F D' B F L' B' R'
R' F2 D L' B' D L2
U' F2 D R' B' L B2
L' F2 D R B' L R2
L' F2 D R B' R2 L
L' F2 D R' B' L D
L' F2 D R' B' L D'
L' F2 D R' B' L D2
L' F2 D R' B' D L
L' F2 D R' B' D' L
L' F2 D R' B' D2 L
L' F2 D R2 B' L R
L' F2 D R2 B' R L
R' F2 D' L' B' D L2
L' F2 D' R' D2 B' L
R' F2 D2 L' B' D L2
L' F2 D2 R' D' B' L
F2 D2 R' D' L' B' L
R' F2 B' L D L2 B'
R' F2 B' L' D B' L2
R' F2 B' D L' B' L'
R' F2 B2 L' D' B' L
F D2 R' D F L' B'
R' F2 B2 U B' R' U'
F2 B L' D B' L R'
F2 B L' D B' R' L
R' B' L' F2 D B' L2
F2 B D L' B' L R'
F2 B D L' B' R' L
B F D' F L' B' R'
F B D' F L' B' R'
U B' R' B U' R' F2
U B' R' B U' F2 R'
R' B' F2 L D L2 B'
R' B' F2 L' D B' L2
R' B' F2 D L' B' L'
D2 B2 L F U' B' U'
R' B2 L' F2 D' B' L
B F2 L' D B' L R'
B F2 L' D B' R' L
R' B2 U B' R' U' F2
D2 B2 D L F U2 L'
B F2 D L' B' L R'
B F2 D L' B' R' L
R' B2 F2 L' D' B' L
R' B2 F2 U B' R' U'
