U' L D R2 F'
U' D L R2 F'
U' D R2 L F'
U' D R2 F' L
D U' L R2 F'
D U' R2 L F'
D U' R2 F' L
L' F2 B2 U' L2 F
B2 F2 U R' B' U2
F2 B2 U R' B' U2
L' B2 F2 U' L2 F
R2 L U F2 R2 U' F
U' L R' D R' F' R'
U' L R2 U F2 U' F
U' L R2 D F R2 F2
U' L R2 D F' R2 D
U' L R2 D F' R2 D'
U' L R2 D F' R2 D2
U' L R2 D F2 R2 F
D' L R2 D F' B2 R'
D' L R2 D B2 F' R'
U' L R2 D' F' D2 R2
D2 L R2 D' F' R2 B
U' L R2 D2 F' D' R2
D L R2 D F' B2 D
D L R2 D F' B2 D'
D L R2 D F' B2 D2
F L R2 D F' R B2
F L R2 D F' B2 R
D L R2 D B2 D F'
D L R2 D B2 D' F'
D L R2 D B2 D2 F'
D L R2 D B2 F' D
D L R2 D B2 F' D'
D L R2 D B2 F' D2
F L R2 D B2 F' R
U' L R2 F' U F' U'
D L R2 D2 F' D' B2
D' L R2 F' D B2 R'
D L R2 F' U R2 U'
D L R2 F' D B2 D
D L R2 F' D B2 D'
D L R2 F' D B2 D2
D L R2 F' B D B2
D L R2 F' B' D B2
D L R2 F' B2 D B2
D L R2 F2 D F B2
D L R2 F2 D B2 F
D L R2 B D F' B2
D L R2 B D B2 F'
D L R2 B F' D B2
D L R2 B' D F' B2
D L R2 B' D B2 F'
D L R2 B' F' D B2
D L R2 B2 D F' B2
D L R2 B2 D B2 F'
D L R2 B2 F' D B2
U' L U F2 U B U2
F2 L U B U' B' U'
R2 L D F R2 F2 B2
R2 L D F R2 B2 F2
R2 L D F B2 R2 F2
R2 L D F' R B2 R
R2 L D F' R2 B2 D
R2 L D F' R2 B2 D'
R2 L D F' R2 B2 D2
R2 L D F' B' R2 B'
R2 L D F' B2 R2 D
R2 L D F' B2 R2 D'
R2 L D F' B2 R2 D2
R2 L D F2 R2 F B2
R2 L D F2 R2 B2 F
R2 L D F2 B2 R2 F
R2 L D B' F' R2 B'
R2 L D B2 F R2 F2
R2 L D B2 F' R2 D
R2 L D B2 F' R2 D'
R2 L D B2 F' R2 D2
R2 L D B2 F2 R2 F
R2 L D' F' D2 R2 B
U' L U2 D B U2 R2
U' L U2 D' L2 B U2
U' L U2 D' B L2 U2
U' L U2 B U' F2 U'
U' L U2 B U2 D R2
U' L U2 B D U2 R2
U' L U2 B D' L2 U2
U' L D L' R2 F' L
U' L D L2 R2 F' L2
R2 L D2 F' D' R2 B2
R2 L D2 F' D' B2 R2
U' L D R' D R' F'
U' L D R' D' R' F'
U' L D R' D2 R' F'
U' L D R' F R' F'
U' L D R' F' R' F'
U' L D R' F2 R' F'
U' L D R2 L' F' L
U' L D R2 L2 F' L2
U' L D R2 D F' D
U' L D R2 D F' D'
U' L D R2 D F' D2
U' L D R2 D' F' D
U' L D R2 D' F' D'
U' L D R2 D' F' D2
U' L D R2 D2 F' D
U' L D R2 D2 F' D'
U' L D R2 D2 F' D2
U' L D R2 F2 D F
U' L D R2 F2 D' F
U' L D R2 F2 D2 F
U' L D U2 B U2 R2
U' L D F R2 D F'
U' L D F R2 D' F'
U' L D F R2 D2 F'
U' L D F R2 F' D
U' L D F R2 F' D'
U' L D F R2 F' D2
U' L D F' R2 D F'
U' L D F' R2 D' F'
U' L D F' R2 D2 F'
U' L D F' R2 F' D
U' L D F' R2 F' D'
U' L D F' R2 F' D2
U' L D F2 R2 D F'
U' L D F2 R2 D' F'
U' L D F2 R2 D2 F'
U' L D F2 R2 F' D
U' L D F2 R2 F' D'
U' L D F2 R2 F' D2
U L D F R2 F' B
U L D F R2 B F'
D2 L D' R2 D F' B2
D2 L D' R2 D B2 F'
D2 L D' R2 F' D B2
U' L D' R2 D2 F' R2
U' L D' R2 F' D2 R2
U L D' L2 B U2 L2
U' L D' U2 L2 B U2
U' L D' U2 B L2 U2
U' L D' F D2 R2 F'
U' L D' F' D2 R2 F'
U' L D' F2 D2 R2 F'
R2 L F' U F' R2 U'
U L D' B L2 U2 L2
U' L D2 R2 D' F' R2
U' L D2 R2 F' D' R2
U' L D2 F D' R2 F'
U' L D2 F' D' R2 F'
U' L D2 F2 D' R2 F'
D L F R2 D F' B2
D L F R2 D B2 F'
D L F R2 F' D B2
U' L F R2 F' D R2
R2 L B D F' R2 B2
R2 L B D F' B2 R2
R2 L B D B2 F' R2
D L F' R2 D F' B2
D L F' R2 D B2 F'
D L F' R2 F' D B2
R2 L B' D F' R2 B2
R2 L B' D F' B2 R2
R2 L B' D B2 F' R2
D L F2 R2 D F' B2
D L F2 R2 D B2 F'
D L F2 R2 F' D B2
R2 L B2 D F' R2 B2
R2 L B2 D F' B2 R2
R2 L B2 D B2 F' R2
U' L B D B' R2 F'
U L B D' L2 U2 L2
F2 L B' D L2 U' L2
F2 L B2 L2 U' F L2
D L' R2 F' L2 D B2
D' L' U L' B U2 L'
F2 L' U R2 U2 L2 F'
F2 L' U R2 U2 F' L2
D L' U R2 F' L2 B'
F2 L' U D2 R2 U2 F'
F2 L' U D2 B R2 U2
D' L' U B L' U2 L'
F2 L' U B R U2 L2
F2 L' U B R' U2 L2
F2 L' U B R2 U2 L2
F2 L' U B U2 L2 D
F2 L' U B U2 L2 D'
F2 L' U B U2 L2 D2
F2 L' U B D2 R2 U2
D L' U B U2 L2 R2
D L' U B U2 R2 L2
F L' U B L U2 L
F2 L' U B2 U2 L2 F
D2 L' U' L2 D' R2 F'
D L' U' L R2 F' L
F2 L' U' L2 R2 F' R2
F2 L' U' L2 U2 B U2
D L' U' L2 R2 D F'
D L' U' L2 R2 D' F'
D L' U' L2 R2 D2 F'
D L' U' L2 R2 F' D
D L' U' L2 R2 F' D'
D L' U' L2 R2 F' D2
D L' U' L2 F R2 F'
D L' U' L2 F' R2 F'
D L' U' L2 F2 R2 F'
F2 L' U' R2 L2 F' R2
F2 L' U' R2 F' L2 R2
F2 L' U' R2 F' R2 L2
D L' U' R2 L F' L
D L' U' R2 L2 D F'
D L' U' R2 L2 D' F'
D L' U' R2 L2 D' F'
D L' U' R2 L2 D2 F'
D L' U' R2 L2 F' D
D L' U' R2 L2 F' D'
D L' U' R2 L2 F' D2
D L' U' R2 F L2 F2
D L' U' R2 F' L2 D
D L' U' R2 F' L2 D'
D L' U' R2 F' L2 D2
D L' U' F L2 R2 F'
D L' U' F R2 L2 F'
D L' U' F R2 F' L2
D L' U' F' L2 R2 F'
D L' U' F' R2 L2 F'
D L' U' F' R2 F' L2
D L' U' F2 L2 R2 F'
D L' U' F2 R2 L2 F'
D L' U' F2 R2 F' L2
F2 L' U' B2 L2 F B2
F2 L' U' B2 L2 B2 F
F2 L' U2 R2 U L2 F'
F2 L' U2 R2 U F' L2
U L' U2 L2 D R2 F'
D2 L' U2 B2 U L2 F
U' L' D R2 D' L2 F'
U' L' D R2 D' F' L2
R2 L' F2 R2 U' F L2
F2 L' D' B2 L2 U' F
F2 L' D' B2 U B' U2
F2 L' D2 U R2 U2 F'
F2 L' D2 U B R2 U2
D L' F U' L2 R2 F'
D L' F U' R2 L2 F'
D L' F U' R2 F' L2
F' L' F' U B U2 L2
D L' F' U' L2 R2 F'
D L' F' U' R2 L2 F'
D L' F' U' R2 F' L2
L R2 U F2 R2 U' F
F' L' F' B2 U' L2 F
D L' F2 U' L2 R2 F'
D L' F2 U' R2 L2 F'
D L' F2 U' R2 F' L2
F2 L' B U' L2 D F2
U L' B U' F2 U' L2
U L' B U2 L2 D R2
L2 R2 D L' F' R2 B2
L2 R2 D L' F' B2 R2
L2 R2 D L' B2 F' R2
R2 L2 D L' F' R2 B2
R2 L2 D L' F' B2 R2
R2 L2 D L' B2 F' R2
F2 L' B' U B2 U2 L2
F2 L' B' U' L2 D2 F2
L R2 D F R2 F2 B2
L R2 D F R2 B2 F2
L R2 D F B2 R2 F2
L R2 D F' R B2 R
L R2 D F' R2 B2 D
L R2 D F' R2 B2 D'
L R2 D F' R2 B2 D2
L R2 D F' B' R2 B'
L R2 D F' B2 R2 D
L R2 D F' B2 R2 D'
L R2 D F' B2 R2 D2
L R2 D F2 R2 F B2
L R2 D F2 R2 B2 F
L R2 D F2 B2 R2 F
L2 R2 D B2 L' F' R2
R2 L2 D B2 L' F' R2
L R2 D B' F' R2 B'
F2 L' B2 L' U' L' F
L R2 D B2 F R2 F2
L R2 D B2 F' R2 D
L R2 D B2 F' R2 D'
L R2 D B2 F' R2 D2
L R2 D B2 F2 R2 F
F2 L' B2 U B' U2 L2
F2 L' B2 U' L2 D F
F2 L' B2 U' L2 D' F
F2 L' B2 U' L2 D2 F
F2 L' B2 U' L2 F D
F2 L' B2 U' L2 F D'
F2 L' B2 U' L2 F D2
F2 L' B2 U' F L2 F
F2 L' B2 U' F' L2 F
F2 L' B2 U' F2 L2 F
D L' B2 U' L2 R2 F
D L' B2 U' L2 F R2
D L' B2 U' R2 L2 F
F L' B2 U' L2 F R
F' L' B2 F' U' L2 F
L R2 D' F' D2 R2 B
L R2 D2 F' D' R2 B2
L R2 D2 F' D' B2 R2
U' L2 R2 D L' F' R2
D L2 R2 D L' F' B2
D L2 R2 D L' B2 F'
D L2 R2 D B2 L' F'
L R2 F' U F' R2 U'
F2 L2 U R2 U2 L' F'
F2 L2 U D B U2 L'
F2 L2 U D' B U2 L'
F2 L2 U D2 B U2 L'
L' R2 F2 R2 U' F L2
F2 L2 U B R U2 L'
F2 L2 U B R' U2 L'
F2 L2 U B R2 U2 L'
F2 L2 U B U2 L' D
F2 L2 U B U2 L' D'
F2 L2 U B U2 L' D2
F2 L2 U B U2 D L'
F2 L2 U B U2 D' L'
F2 L2 U B U2 D2 L'
F2 L2 U B D U2 L'
F2 L2 U B D' U2 L'
F2 L2 U B D2 U2 L'
D2 L2 U' L' D' R2 F'
D L2 U B U2 L' R2
D L2 U B U2 R2 L'
F2 L2 U' L' R2 F' R2
F2 L2 U' L' U2 B U2
D L2 U' L R2 F' L2
D L2 U' L' R2 D F'
D L2 U' L' R2 D' F'
D L2 U' L' R2 D2 F'
D L2 U' L' R2 F' D
D L2 U' L' R2 F' D'
D L2 U' L' R2 F' D2
D2 L2 U' D' L' R2 F'
D2 L2 U' D' R2 L' F'
D L2 U' L' F R2 F'
D L2 U' L' F' R2 F'
D L2 U' L' F2 R2 F'
D L2 U' L2 R2 F' L
F2 L2 U' R2 L' F' R2
D L2 U' R2 L F' L2
D L2 U' R2 L' D F'
D L2 U' R2 L' D' F'
D L2 U' R2 L' D2 F'
D L2 U' R2 L' F' D
D L2 U' R2 L' F' D'
D L2 U' R2 L' F' D2
D L2 U' R2 L2 F' L
D L2 U' R2 D L' F'
D L2 U' R2 D' L' F'
D L2 U' R2 D2 L' F'
D L2 U' F R2 F' L'
F2 L2 U2 R2 U L' F'
L R2 B D F' R2 B2
L R2 B D F' B2 R2
L R2 B D B2 F' R2
U L2 U2 L' D R2 F'
U L2 U2 D L' R2 F'
U' L2 D L R2 F' L2
U L2 U2 D R2 L' F'
U' L2 D L' R2 D F'
U' L2 D L' R2 D' F'
U' L2 D L' R2 D2 F'
U' L2 D L' R2 F' D
U' L2 D L' R2 F' D'
U' L2 D L' R2 F' D2
U' L2 D L' F R2 F'
U' L2 D L' F' R2 F'
U' L2 D L' F2 R2 F'
U' L2 D L2 R2 F' L
U' L2 D R2 L F' L2
U' L2 D R2 L' D F'
U' L2 D R2 L' D' F'
U' L2 D R2 L' D2 F'
U' L2 D R2 L' F' D
U' L2 D R2 L' F' D'
U' L2 D R2 L' F' D2
U' L2 D R2 L2 F' L
U' L2 D R2 D L' F'
U' L2 D R2 D' L' F'
U' L2 D R2 D2 L' F'
L R2 B' D F' R2 B2
L R2 B' D F' B2 R2
L R2 B' D B2 F' R2
F2 L2 D U B U2 L'
U' L2 D F R2 F' L'
U L2 D U2 L' R2 F'
U L2 D U2 R2 L' F'
D2 L2 D' U' L' R2 F'
D2 L2 D' U' R2 L' F'
U L2 D B U2 L' R2
U L2 D B U2 R2 L'
L R2 B2 D F' R2 B2
L R2 B2 D F' B2 R2
L R2 B2 D B2 F' R2
F2 L2 D' U B U2 L'
U' L2 D2 L' D' R2 F'
R2 U L D F' R2 B2
R2 U L D F' B2 R2
R2 U L D B2 F' R2
U L2 D' B L2 U2 L
F2 L2 D2 U B U2 L'
B2 L2 F2 B2 U' L F'
B2 L2 F2 B2 U' F' L
U L2 B U2 L' D R2
U L2 B U2 D L' R2
U L2 B U2 D R2 L'
U L2 B D U2 L' R2
U L2 B D U2 R2 L'
U L2 B D' L2 U2 L
F2 L2 B' U B2 U2 L'
F2 L2 B' U' L' D2 F2
F2 L2 B' U' D2 L' F2
F2 L2 B' D L2 U' L
R2 U D L F' R2 B2
R2 U D L F' B2 R2
R2 U D L B2 F' R2
F2 L2 B' D2 U' L' F2
F2 L2 B2 L2 U' F L
R2 U D F' L R2 B2
R2 U D F' L B2 R2
L2 U D B U2 L' R2
L2 U D B U2 R2 L'
R2 U D F' R2 L B2
F2 L2 B2 U B' U2 L'
F2 L2 B2 U' L2 F L
B2 L2 B2 F2 U' L F'
B2 L2 B2 F2 U' F' L
L2 U D' B L2 U2 L
R2 U F2 R2 U' F L
L U F2 U F2 B U2
L U F2 U B F2 U2
L U F2 D R2 U' F'
L' U B U' F2 U' L2
L' U B U2 L2 D R2
L2 U B U2 L' D R2
L2 U B U2 D L' R2
L2 U B U2 D R2 L'
L2 U B D U2 L' R2
L2 U B D U2 R2 L'
L2 U B D' L2 U2 L
L U B U' F2 B' U'
L U B U' B' F2 U'
L' U' L D L R2 F'
L' U' L D R2 L F'
L' U' L D R2 F' L
R2 U' L D F' R2 B2
R2 U' L D F' B2 R2
R2 U' L D B2 F' R2
L' U' L' D L' R2 F'
L' U' L' D R2 L' F'
L2 U' L' R2 D F' R2
L2 U' L' D R2 D F'
L2 U' L' D R2 D' F'
L2 U' L' D R2 D2 F'
L2 U' L' D R2 F' D
L2 U' L' D R2 F' D'
L2 U' L' D R2 F' D2
L2 U' L' D F R2 F'
L2 U' L' D F' R2 F'
L2 U' L' D F2 R2 F'
L' U' L2 R2 D F' R2
L' U' L2 D R2 D F'
L' U' L2 D R2 D' F'
L' U' L2 D R2 D2 F'
L' U' L2 D R2 F' D
L' U' L2 D R2 F' D'
L' U' L2 D R2 F' D2
L' U' L2 D F R2 F'
L' U' L2 D F' R2 F'
L' U' L2 D F2 R2 F'
L2 U' L2 D L R2 F'
L2 U' L2 D R2 L F'
L2 U' L2 D R2 F' L
R' U' R F2 U' L F
L' U' R2 L2 D F' R2
L2 U' R2 L' D F' R2
L2 U' R2 D L' F' R2
L2 U' D L R2 F' L2
L' U' D R2 D' L2 F'
L' U' D R2 D' F' L2
L2 U' D L' R2 D F'
L2 U' D L' R2 D' F'
L2 U' D L' R2 D2 F'
L2 U' D L' R2 F' D
L2 U' D L' R2 F' D'
L2 U' D L' R2 F' D2
L2 U' D L' F R2 F'
L2 U' D L' F' R2 F'
L2 U' D L' F2 R2 F'
L2 U' D L2 R2 F' L
R2 U' D L F' R2 B2
R2 U' D L F' B2 R2
R2 U' D L B2 F' R2
L2 U' D R2 L F' L2
L2 U' D R2 L' D F'
L2 U' D R2 L' D' F'
L2 U' D R2 L' D2 F'
L2 U' D R2 L' F' D
L2 U' D R2 L' F' D'
L2 U' D R2 L' F' D2
L2 U' D R2 L2 F' L
L2 U' D R2 D L' F'
L2 U' D R2 D' L' F'
L2 U' D R2 D2 L' F'
L2 U' D F R2 F' L'
R2 U' D F' L R2 B2
R2 U' D F' L B2 R2
R2 U' D F' R2 L B2
U' R' L D R' F' R'
L2 U' D2 L' D' R2 F'
R2 U' F2 R2 U' F L
U R' U' F2 U' L F
U R' U2 L D R2 F
U R' U2 L D F R2
U' R' D L R' F' R'
U' R' D R' L F' R'
U R' U2 D L R2 F
U R' U2 D L F R2
U' R' D R' F' L R'
U' R' D R' F' R' L
U R' U2 D R2 L F
U R' D U2 L R2 F
U R' D U2 L F R2
U R' D U2 R2 L F
R2 U2 L D F' R2 B2
R2 U2 L D F' B2 R2
R2 U2 L D B2 F' R2
B2 R' B' U' R F2 U'
L' U2 D F2 U R2 F'
R2 U2 D L F' R2 B2
R2 U2 D L F' B2 R2
R2 U2 D L B2 F' R2
R2 U2 D F' L R2 B2
R2 U2 D F' L B2 R2
R2 U2 D F' R2 L B2
U' R2 L U F2 U' F
D' R2 L D F' B2 R'
D' R2 L D B2 F' R'
D2 R2 L D' F' R2 B
U' R2 L D F R2 F2
U' R2 L D F' R2 D
U' R2 L D F' R2 D'
U' R2 L D F' R2 D2
U' R2 L D F2 R2 F
U' R2 L D' F' D2 R2
U' R2 L D2 F' D' R2
D' R2 L F' D B2 R'
U' R2 L F' U F' U'
D R2 L D F' B2 D
D R2 L D F' B2 D'
D R2 L D F' B2 D2
D R2 L D B2 D F'
D R2 L D B2 D' F'
D R2 L D B2 D2 F'
D R2 L D B2 F' D
D R2 L D B2 F' D'
D R2 L D B2 F' D2
D R2 L D2 F' D' B2
D R2 L F' U R2 U'
D R2 L F' D B2 D
D R2 L F' D B2 D'
D R2 L F' D B2 D2
F R2 L D F' R B2
F R2 L D F' B2 R
D R2 L F' B D B2
D R2 L F' B' D B2
D R2 L F' B2 D B2
F R2 L D B2 F' R
D R2 L F2 D F B2
D R2 L F2 D B2 F
D R2 L B D F' B2
D R2 L B D B2 F'
D R2 L B F' D B2
D R2 L B' D F' B2
D R2 L B' D B2 F'
D R2 L B' F' D B2
D R2 L B2 D F' B2
D R2 L B2 D B2 F'
D R2 L B2 F' D B2
U' R2 L2 D L' F' R2
D R2 L' F' L2 D B2
D R2 L2 D L' F' B2
D R2 L2 D L' B2 F'
D R2 L2 D B2 L' F'
U2 R2 U L D F' R2
U' R2 U F2 U' F L
U2 R2 U D L F' R2
U2 R2 U D F' L R2
U2 R2 U D F' R2 L
F2 R2 U' L D F' B2
F2 R2 U' L D B2 F'
F2 R2 U' L F' D B2
R2 U2 F2 R2 U' F L
F2 R2 U' D L F' B2
F2 R2 U' D L B2 F'
F2 R2 U' D F' L B2
F2 R2 U' F' L D B2
F2 R2 U' F' D L B2
U R2 U' F2 U' F L
D2 R2 D L F' B2 R'
D2 R2 D L B2 F' R'
U' R2 D L F R2 F2
U' R2 D L F' R2 D
U' R2 D L F' R2 D'
U' R2 D L F' R2 D2
U' R2 D L F2 R2 F
U' R2 D L' F' L2 R2
U' R2 D L' F' R2 L2
U2 R2 U2 F2 U' F L
U R2 U2 L D F' R2
U R2 U2 D L F' R2
U R2 U2 D F' L R2
U R2 U2 D F' R2 L
D2 R2 D F' L B2 R'
U' R2 D F L R2 F2
U' R2 D F L F2 R2
U' R2 D F R2 L F2
U' R2 D F R2 F2 L
U' R2 D F' L R2 D
U' R2 D F' L R2 D'
U' R2 D F' L R2 D2
U' R2 D F' R2 L D
U' R2 D F' R2 L D'
U' R2 D F' R2 L D2
U' R2 D F' R2 D L
U' R2 D F' R2 D' L
U' R2 D F' R2 D2 L
D R2 D L F' B2 D
D R2 D L F' B2 D'
D R2 D L F' B2 D2
D R2 D L B2 D F'
D R2 D L B2 D' F'
D R2 D L B2 D2 F'
D R2 D L B2 F' D
D R2 D L B2 F' D'
D R2 D L B2 F' D2
F2 R2 D U' L F' B2
F2 R2 D U' L B2 F'
U' R2 D F2 R2 F L
F2 R2 D U' F' L B2
U2 R2 D U L F' R2
D R2 D L' F' L2 B2
D R2 D L' F' B2 L2
D R2 D L' B2 L2 F'
U2 R2 D U F' L R2
U2 R2 D U F' R2 L
D R2 D L' B2 F' L2
D R2 D L2 B2 L' F'
D2 R2 D' L F' R2 B
D R2 D F L F2 B2
D R2 D F L B2 F2
D R2 D F' L B2 D
D R2 D F' L B2 D'
D R2 D F' L B2 D2
D R2 D F' L' B2 L2
D R2 D F' L2 B2 L'
D2 R2 D' F' L R2 B
D2 R2 D' F' R2 L B
U R2 D U2 L F' R2
U R2 D U2 F' L R2
U R2 D U2 F' R2 L
U' R2 D' F' D2 L R2
U' R2 D' F' D2 R2 L
D R2 D' L D2 F' B2
D R2 D' L D2 B2 F'
U' R2 D2 L D' F' R2
U' R2 D2 L F' D' R2
L2 D L U' L2 R2 F'
L2 D L U' R2 L2 F'
L2 D L U' R2 F' L2
U R2 D' L2 U2 L' F'
U' R2 D2 F' L D' R2
U' R2 D2 F' D' L R2
U' R2 D2 F' D' R2 L
R2 D L F R2 F2 B2
R2 D L F R2 B2 F2
R2 D L F B2 R2 F2
R2 D L F' R B2 R
R2 D L F' R2 B2 D
R2 D L F' R2 B2 D'
R2 D L F' R2 B2 D2
L D L U' L' R2 F'
R2 D L F' B' R2 B'
R2 D L F' B2 R2 D
R2 D L F' B2 R2 D'
R2 D L F' B2 R2 D2
L D L U' R2 L' F'
R2 D L F2 R2 F B2
R2 D L F2 R2 B2 F
R2 D L F2 B2 R2 F
R2 D L B' F' R2 B'
L2 D L' R2 D F' B2
L2 D L' R2 D B2 F'
L2 D L' R2 F' D B2
R2 D L B2 F R2 F2
R2 D L B2 F' R2 D
R2 D L B2 F' R2 D'
R2 D L B2 F' R2 D2
R2 D L B2 F2 R2 F
R2 D L' R2 B2 L2 F
D R2 D2 F' D' L B2
D R2 F L F2 D B2
R2 D L' F' L2 R2 B2
R2 D L' F' L2 B2 R2
R2 D L' F' R2 L2 B2
R2 D L' F' R2 B2 L2
R2 D L' F' B2 L2 R2
R2 D L' F' B2 R2 L2
L D L' U' L R2 F'
L D L' U' R2 L F'
L D L' U' R2 F' L
D' R2 F' L D B2 R'
U' R2 F' L U F' U'
R2 D L' B2 L2 F' R2
R2 D L' B2 F' L2 R2
R2 D L' B2 F' R2 L2
L2 D L2 U' L R2 F'
L2 D L2 U' R2 L F'
L2 D L2 U' R2 F' L
F R2 F R2 U' L F2
F R2 F R2 U' F2 L
U' R2 F' U F' U' L
D2 R2 F' D L B2 R'
D R2 F' L U R2 U'
D R2 F' L D B2 D
D R2 F' L D B2 D'
D R2 F' L D B2 D2
D R2 F' L B D B2
D R2 F' L B' D B2
D R2 F' L B2 D B2
L D L2 U' L2 R2 F'
L D L2 U' R2 L2 F'
L D L2 U' R2 F' L2
D R2 F' L2 D L' B2
D R2 F' L2 D B2 L'
F R2 F' L D R2 B2
F R2 F' L D B2 R2
R2 D L2 B2 L' F' R2
D R2 F' U R2 U' L
D R2 F' D L B2 D
D R2 F' D L B2 D'
D R2 F' D L B2 D2
D R2 F' D L' B2 L2
D R2 F' D L2 B2 L'
D R2 F' D' L D2 B2
F R2 F' D L R2 B2
F R2 F' D L B2 R2
F R2 F' D R2 L B2
D R2 F' B2 D B2 L
D R2 F2 D F L B2
L2 D R2 L' D F' B2
L2 D R2 L' D B2 F'
L2 D R2 L' F' D B2
R2 D R2 L' B2 L2 F
L2 D R2 D L' F' B2
L2 D R2 D L' B2 F'
L2 D R2 D B2 L' F'
L D R2 D F' B2 D
L D R2 D F' B2 D'
L D R2 D F' B2 D2
L D R2 D B2 D F'
L D R2 D B2 D' F'
L D R2 D B2 D2 F'
L D R2 D B2 F' D
L D R2 D B2 F' D'
L D R2 D B2 F' D2
R2 D U L F' R2 B2
R2 D U L F' B2 R2
R2 D U L B2 F' R2
L D R2 D2 F' D' B2
L D R2 F' U R2 U'
L D R2 F' D B2 D
L D R2 F' D B2 D'
L D R2 F' D B2 D2
L D R2 F' B D B2
L D R2 F' B' D B2
L D R2 F' B2 D B2
L D R2 F2 D F B2
L D R2 F2 D B2 F
L D R2 B D F' B2
L D R2 B D B2 F'
L D R2 B F' D B2
L D R2 B' D F' B2
L D R2 B' D B2 F'
L D R2 B' F' D B2
R2 D U F' L R2 B2
R2 D U F' L B2 R2
R2 D U F' R2 L B2
