D' L' R' F' B R2
D' L' R' B F' R2
D' R' L' F' B R2
D' R' L' B F' R2
B R' U' L' F' R2
D' R' B L' F' R2
L' D' R' F' B R2
L' D' R' B F' R2
D' B R' L' B F' R2
L' B R' F' R2 D B2
D' B R' B L' F' R2
L B R' U' L2 F' R2
L B R' U' F' L2 R2
L B R' U' F' R2 L2
U' B' L R' U L2 R2
U' B' L R' U R2 L2
R' B' L U L2 F' R2
R' B' L U F' L2 R2
R' B' L U F' R2 L2
U' B' L' R D' F2 B2
U' B' L' R D' B2 F2
U2 B' L U R F L2
D' B' L' R' F' B R2
D' B' L' R' B F' R2
R' B' L' F' R2 D' B2
U' B' R L' D' F2 B2
U' B' R L' D' B2 F2
U' B' R' L U L2 R2
U' B' R' L U R2 L2
D' B' R' L' F' B R2
D' B' R' L' B F' R2
R B' L' D' B2 D' F2
R B' L' D2 F2 D B2
D' B' R' B L' F' R2
R B' D' L' D' F2 B2
R B' D' L' D' B2 F2
R B' D2 L' F2 D' B2
D' B2 L' R' F' B R2
D' B2 L' R' B F' R2
D' B2 R' L' F' B R2
D' B2 R' L' B F' R2
D' B2 R' B L' F' R2
R' B2 U' L' F' R2 B'
R' B2 U' L' F' B' R2
R' B2 U' L' B' F' R2
