U2 R' F' U' F
U2 L R' F' U' F
U2 L' R' F' U' F
B2 L' B' L2 U F
U2 L2 R' F' U' F
U2 R' L F' U' F
U2 R' L' F' U' F
U2 R' L2 F' U' F
U2 R' D F' U' F
U2 R' D' F' U' F
U2 R' D2 F' U' F
U2 R' F' U' D F
U2 R' F' U' D' F
U2 R' F' U' D2 F
U2 R' F' U' F D
U2 R' F' U' F D'
U2 R' F' U' F D2
U2 R' F' D U' F
U2 R' F' D' U' F
U2 R' F' D2 U' F
L U2 R' F U' F'
U2 D R' F' U' F
U2 D' R' F' U' F
D2 U2 R' F' U' F
U2 D2 R' F' U' F
D' U2 R' F' U' F
D U2 R' F' U' F
U2 F' R' F' U' F2
U2 F2 R' F' U' F'
U2 D R' L2 F' U' F
U2 D R' D F' U' F
U2 D R' D' F' U' F
U2 D R' D2 F' U' F
U2 D R' F' U' D F
U2 D R' F' U' D' F
U2 D R' F' U' D2 F
U2 D R' F' U' F D
U2 D R' F' U' F D'
U2 D R' F' U' F D2
U2 D R' F' D U' F
U2 D R' F' D' U' F
U2 D R' F' D2 U' F
U2 D F' R' F' U' F2
U2 D F2 R' F' U' F'
U2 D' L R' F' U' F
U2 D' L' R' F' U' F
U2 D' L2 R' F' U' F
L D' U2 R' F U' F'
U2 D' R' L F' U' F
U2 D' R' L' F' U' F
U2 D' R' L2 F' U' F
U2 D' R' D F' U' F
U2 D' R' D' F' U' F
U2 D' R' D2 F' U' F
U2 D' R' F' U' D F
U2 D' R' F' U' D' F
U2 D' R' F' U' D2 F
U2 D' R' F' U' F D
U2 D' R' F' U' F D'
U2 D' R' F' U' F D2
U2 D' R' F' D U' F
U2 D' R' F' D' U' F
U2 D' R' F' D2 U' F
U2 D' F' R' F' U' F2
U2 D' F2 R' F' U' F'
D' U2 L R' F' U' F
D2 U2 L R' F' U' F
U2 D2 L R' F' U' F
D' U2 L' R' F' U' F
D2 U2 L' R' F' U' F
B U' F B' U2 R B
D U2 L R' F' U' F
U2 D2 L' R' F' U' F
D' U2 L2 R' F' U' F
B U' F' B' L' U2 B'
D2 U2 L2 R' F' U' F
D U2 L' R' F' U' F
B' U' B U' R' F' U'
U2 D2 L2 R' F' U' F
D U2 L2 R' F' U' F
D' U2 R' L F' U' F
D' U2 R' L' F' U' F
D' U2 R' L2 F' U' F
D2 U2 R' L F' U' F
D2 U2 R' L' F' U' F
D2 U2 R' L2 F' U' F
D' U2 R' D F' U' F
B U' B' L F U2 R
D' U2 R' D' F' U' F
B U' B' L' U2 B' R'
D' U2 R' D2 F' U' F
D2 U2 R' D F' U' F
D' U2 R' F' U' D F
D2 U2 R' D' F' U' F
D' U2 R' F' U' D' F
D' U2 R' F' U' D2 F
D' U2 R' F' U' F D
D' U2 R' F' U' F D'
D' U2 R' F' U' F D2
D' U2 R' F' D U' F
D' U2 R' F' D' U' F
D' U2 R' F' D2 U' F
D2 U2 R' D2 F' U' F
U2 D2 R' L F' U' F
D2 U2 R' F' U' D F
D2 U2 R' F' U' D' F
D2 U2 R' F' U' D2 F
D2 U2 R' F' U' F D
D2 U2 R' F' U' F D'
D2 U2 R' F' U' F D2
D2 U2 R' F' D U' F
D2 U2 R' F' D' U' F
D2 U2 R' F' D2 U' F
U2 D2 R' L' F' U' F
U2 D2 R' L2 F' U' F
B2 U' B2 U' R' F' U'
U2 D2 R' D F' U' F
B U' B' F U2 R B
B U' B' F' L' U2 B'
U2 D2 R' D' F' U' F
U2 D2 R' D2 F' U' F
D U2 R' L F' U' F
D U2 R' L' F' U' F
D U2 R' L2 F' U' F
U2 D2 R' F' U' D F
U2 D2 R' F' U' D' F
U2 D2 R' F' U' D2 F
U2 D2 R' F' U' F D
U2 D2 R' F' U' F D'
U2 D2 R' F' U' F D2
U2 D2 R' F' D U' F
U2 D2 R' F' D' U' F
U2 D2 R' F' D2 U' F
D U2 R' D F' U' F
D U2 R' D' F' U' F
D U2 R' D2 F' U' F
D U2 R' F' U' D F
D U2 R' F' U' D' F
D U2 R' F' U' D2 F
D U2 R' F' U' F D
D U2 R' F' U' F D'
D U2 R' F' U' F D2
D U2 R' F' D U' F
D U2 R' F' D' U' F
D U2 R' F' D2 U' F
D' U2 F' R' F' U' F2
L D2 U2 R' F U' F'
D2 U2 F' R' F' U' F2
U2 D2 F' R' F' U' F2
D' U2 F2 R' F' U' F'
D2 U2 F2 R' F' U' F'
D U2 F' R' F' U' F2
U2 D2 F2 R' F' U' F'
D U2 F2 R' F' U' F'
U' F R' U R U2 R
U' F R' D' F2 U' L'
U' F R' F2 U' L' R2
U' F R' F2 U' R2 L'
U F U R' F' U' F
B2 D L U2 F L U'
R' F U2 F' U F R
U' F' L' U' L R' U'
U' F' L' U' R' L U'
U' F' R' U L' R U2
U' F' R' U R L' U2
U' F' R' F2 U' L' R
U' F' R' F2 U' R L'
U' F' R' F2 U' R L'
U2 F' R' U' F D R2
U2 F' R' D F' U' F2
U2 F' R' D' F' U' F2
U2 F' R' D2 F' U' F2
U2 F' R' F' L U' F2
U2 F' R' F' L' U' F2
U2 F' R' F' L2 U' F2
U2 F' R' F' U' F2 D
U2 F' R' F' U' F2 D'
U2 F' R' F' U' F2 D2
U2 F' R' F' D' L2 U'
B2 D' L R2 U2 F U'
U F' U R' F' U' F
B2 D' L' R2 B' L2 U
B2 D' L' B' L2 R2 U
B2 D' L' B' R2 L2 U
U2 F' D R' F' U' F2
U2 F' D' R' F' U' F2
U2 F' D2 R' F' U' F2
B2 D' R2 L U2 F U'
B2 D' R2 L' B' L2 U
U2 F2 L R' F' U' F'
U2 F2 L' R' F' U' F'
U2 F2 L2 R' F' U' F'
U2 F2 R' L F' U' F'
U2 F2 R' L' F' U' F'
U2 F2 R' L2 F' U' F'
U2 F2 R' D' L2 F' U'
U2 F2 R' D' F' L2 U'
U2 F2 R' F' L U' F'
U2 F2 R' F' L' U' F'
U2 F2 R' F' L2 U' F'
U2 F2 R' F' U' D F'
U2 F2 R' F' U' D' F'
U2 F2 R' F' U' D2 F'
U2 F2 R' F' U' F' D
U2 F2 R' F' U' F' D'
U2 F2 R' F' U' F' D2
U2 F2 R' F' D U' F'
U2 F2 R' F' D' U' F'
U2 F2 R' F' D2 U' F'
B2 D2 L U2 F U' F
U F2 U R' F' U' F
B2 D2 L' B' L2 U F2
U2 F2 D' L2 R' F' U'
U2 F2 D' R' L2 F' U'
U2 F2 D' R' F' L2 U'
R' B' U B L U2 L'
R' B' U' B U2 B' R'
L' B' U' B U' R' U'
L' B2 L D' B R2 U
L' B2 L D2 B U F2
L' B2 L B R2 U F'
L' B2 L B U' B U2
L2 B2 L D' R2 B' U
L2 B2 L D' B' R2 U
L2 B2 L D2 B' U F2
L2 B2 L B' U' B' U2
D2 B2 L' B' L2 U F
D' B2 L' B' L2 U F
U B2 L B U L' R'
U B2 L B U R' L'
D B2 L' B' L2 U F
L' B2 D' L B R2 U
L' B2 D2 L B U F2
U B2 D L B' U L'
