R2 U F' R U2
U R2 F' R U2
D2 U' B' L B2
B2 U' D2 B' L
U' D2 B' L B2
U' F L' F' B
U' F L' B F'
U F U2 L' B
U2 F U L' B
U F U2 B L'
U2 F U B L'
U2 F U B L'
U' F B L' F'
U F2 U2 B L
B2 D2 U' B' L
U' B F L' F'
D2 B' U' L B2
U' B2 D2 B' L
U' F L B L2 F'
U' F L B F' L2
U2 F L U L2 B
U2 F L U B L2
R D2 B' U' L B'
U' F L' D F' B
U' F L' D B F'
U' F L' D' F' B
U' F L' D' B F'
U' F L' D2 F' B
U' F L' D2 B F'
U' F L' F' D B
U' F L' F' D' B
U' F L' F' D2 B
U' F L' F' B D
U' F L' F' B D'
U' F L' F' B D2
U' F L' B D F'
U' F L' B D' F'
U' F L' B D2 F'
U' F L' B F' D
U' F L' B F' D'
U' F L' B F' D2
B2 U2 F U B' L'
B' U2 F U L' B2
U' F L2 F' L B
B' U2 F U B2 L'
U2 F L2 U L B
U F R' U2 L' B'
U2 F U L B L2
U2 F U L' D B
U2 F U L' D' B
U2 F U L' D2 B
U2 F U L' B D
U2 F U L' B D'
U2 F U L' B D2
U2 F U D L' B
U2 F U D B L'
U2 F U D' L' B
U2 F U D' B L'
U2 F U D2 L' B
U2 F U D2 B L'
U2 F U B L' D
U2 F U B L' D'
U2 F U B L' D2
U2 F U B D L'
U2 F U B D' L'
U2 F U B D2 L'
U2 F U B' L' B2
U' F D L' F' B
U' F D L' B F'
U' F D B L' F'
U' F D' L' F' B
U' F D' L' B F'
U2 F D U L' B
U2 F D U B L'
U F U2 L B L2
U F U2 L' D B
U F U2 L' D' B
U F U2 L' D2 B
U F U2 L' B D
U F U2 L' B D'
U F U2 L' B D2
U F U2 D L' B
U F U2 D B L'
U F U2 D' L' B
U' F D' B L' F'
U F U2 D' B L'
U F U2 D2 L' B
U F U2 D2 B L'
U' F D2 L' F' B
U' F D2 L' B F'
U F U2 B L' D
U F U2 B L' D'
U F U2 B L' D2
U F U2 B D L'
U F U2 B D' L'
U F U2 B D2 L'
U F U2 B' L' B2
U2 F D' U L' B
U2 F D' U B L'
U' F D2 B L' F'
U F D U2 L' B
U F D U2 B L'
U' F B L F' L2
U' F B L' D F'
U' F B L' D' F'
U' F B L' D2 F'
U' F B L' F' D
U' F B L' F' D'
U' F B L' F' D2
U' F B L2 F' L
U2 F D2 U L' B
U2 F D2 U B L'
U' F B D L' F'
U' F B D' L' F'
U' F B D2 L' F'
B2 D R' B U' B2
U' F B' L' F' B2
U' F B' L' B2 F'
U F D' U2 L' B
U F D' U2 B L'
U F D2 U2 L' B
U F D2 U2 B L'
B D R' B U' B'
U F' R2 F' R' U2
U F2 R2 F' U2 L'
U F2 U2 L B L
U F2 U2 L' B L
U F2 U2 L2 B L
U F2 U2 D B L
U F2 U2 D' B L
U F2 U2 D2 B L
U F2 U2 B L D
U F2 U2 B L D'
U F2 U2 B L D2
B2 D2 R U' B' L
U F2 U2 B D L
U F2 U2 B D' L
U F2 U2 B D2 L
U F2 D U2 B L
B2 D2 R' U' B' L
U F2 D' U2 B L
B2 D2 R2 U' B' L
U F2 D2 U2 B L
U' B L F L' F'
B2 D2 U' B' L D
B2 D2 U' B' L D'
B2 D2 U' B' L D2
B2 D2 U' B' D L
B2 D2 U' B' D' L
B2 D2 U' B' D2 L
U' B L' F L' F'
U' B L2 F L' F'
B2 D2 B U' B2 L
D B R' B U' B'
R2 B U F' R U2
U' B U' F U L'
B D2 B' U' L B
U' B D2 B' L B
U' B F L F' L2
U' B F L' D F'
U' B F L' D' F'
U' B F L' D2 F'
U' B F L' F' D
U' B F L' F' D'
U' B F L' F' D2
U' B F L2 F' L
U' B F D L' F'
U' B F D' L' F'
U' B F D2 L' F'
D2 B' R U' L B2
D2 B' R' U' L B2
D2 B' R2 U' L B2
D B' R' B U' B
R2 B' U F' R U2
D2 B' U' L B2 D
D2 B' U' L B2 D'
D2 B' U' L B2 D2
D2 B' U' L' B2 L2
D2 B' U' L2 B2 L'
D2 B' D' R2 U' L
U' B' F L' F' B2
U' B' F L' B2 F'
D B2 R' B U' B2
R2 B2 U F' R U2
D' B2 U' D' B' L
D B2 U' D B' L
D' B2 D' U' B' L
D B2 D U' B' L
U' B2 D2 B' L D
U' B2 D2 B' L D'
U' B2 D2 B' L D2
U' B2 D2 B' D L
U' B2 D2 B' D' L
U' B2 D2 B' D2 L
U2 L U D2 B' L B2
U2 L U F L' F' B
U2 L U F L' B F'
U2 L U F B L' F'
U2 L U B F L' F'
U2 L U B2 D2 B' L
U2 L U' R2 F' R U2
U' L U' F U L' B
U' L U' F U B L'
U2 L U' F U2 L' B
U2 L U' F U2 B L'
U2 L U' F2 U2 B L
L' R D2 L U' B' L
U' L U2 R2 F' R U2
U' L U2 F U2 L' B
U' L U2 F U2 B L'
U' L U2 F2 U2 B L
D' L D B' L' U' B2
U' L D B2 D B' L
U' L D' L B D L2
U2 L D' L' F U B
U2 L D' L2 U B L
D' L D' B' L' U' B2
U' L D' B2 D' B' L
U' L D2 L B' L B2
U' L D2 L' B' L B2
B2 L D2 L' U' B' L
U' L D2 L2 B' L B2
U2 L D2 U B' L B2
D' L D2 B' L' U' B2
U' L D2 B U2 R' U2
U' L D2 B' L B2 D
U' L D2 B' L B2 D'
U' L D2 B' L B2 D2
U' L D2 B' L' B2 L2
U' L D2 B' L2 B2 L'
U2 L F L U L2 B
U2 L F L U B L2
U' L F L F' L2 B
U' L F L F' B L2
U' L F L B L2 F'
U' L F L B F' L2
U' L F L' D F' B
U' L F L' D B F'
U' L F L' D' F' B
U' L F L' D' B F'
U' L F L' D2 F' B
U' L F L' D2 B F'
U' L F L' F' D B
U' L F L' F' D' B
U' L F L' F' D2 B
U' L F L' F' B D
U' L F L' F' B D'
U' L F L' F' B D2
U' L F L' B D F'
U' L F L' B D' F'
U' L F L' B D2 F'
U' L F L' B F' D
U' L F L' B F' D'
U' L F L' B F' D2
U2 L F L2 U L B
U' L F L2 F' L B
U2 L F U L B L2
U2 L F U L' D B
U2 L F U L' D' B
U2 L F U L' D2 B
U2 L F U L' B D
U2 L F U L' B D'
U2 L F U L' B D2
U2 L F U D L' B
U2 L F U D B L'
U2 L F U D' L' B
U2 L F U D' B L'
U2 L F U D2 L' B
U2 L F U D2 B L'
U2 L F U B L' D
U2 L F U B L' D'
U2 L F U B L' D2
U2 L F U B D L'
U2 L F U B D' L'
U2 L F U B D2 L'
U2 L F U B' L' B2
U2 L F D U L' B
U2 L F D U B L'
U' L F D L' F' B
U' L F D L' B F'
U' L F D B L' F'
U2 L F D' U L' B
U2 L F D' U B L'
U' L F D' L' F' B
U' L F D' L' B F'
U' L F D' B L' F'
U2 L F D2 U L' B
U2 L F D2 U B L'
U' L F D2 L' F' B
U' L F D2 L' B F'
U' L F D2 B L' F'
U' L F B L F' L2
U' L F B L' D F'
U' L F B L' D' F'
U' L F B L' D2 F'
U' L F B L' F' D
U' L F B L' F' D'
U' L F B L' F' D2
U' L F B L2 F' L
U' L F B D L' F'
U' L F B D' L' F'
U' L F B D2 L' F'
U' L F B' L' F' B2
U' L F B' L' B2 F'
U L F2 U2 B L R
U L F2 U2 B R L
D' L B L' B2 U' B2
U' L B L F L' F'
U' L B L' F L' F'
U' L B L2 F L' F'
U' L B U' F U L'
U' L B D2 B' L B
U' L B F L F' L2
U' L B F L' D F'
U' L B F L' D' F'
U' L B F L' D2 F'
U' L B F L' F' D
U' L B F L' F' D'
U' L B F L' F' D2
U' L B F L2 F' L
U' L B F D L' F'
U' L B F D' L' F'
U' L B F D2 L' F'
D2 L B' L' U' L2 B2
D2 L B' L' U' B2 L2
D' L B' L' R U' B2
D' L B' L' R' U' B2
D' L B' L' R2 U' B2
D' L B' L' U' B2 D
D' L B' L' U' B2 D'
D' L B' L' U' B2 D2
D' L B' L' D' R2 U'
D' L B' R L' U' B2
D' L B' R' L' U' B2
D' L B' R2 L' U' B2
D' L B' D' L' R2 U'
D' L B' D' R2 L' U'
U' L B' F L' F' B2
U' L B' F L' B2 F'
U' L B2 D2 B' L D
U' L B2 D2 B' L D'
U' L B2 D2 B' L D2
U' L B2 D2 B' D L
U' L B2 D2 B' D' L
U' L B2 D2 B' D2 L
U L' R2 F' L R U2
U L' R2 F' R L U2
R L' D2 L U' B' L
F L' U L F' U' B
U2 L' U D2 B' L B2
U2 L' U F L' F' B
U2 L' U F L' B F'
U2 L' U F B L' F'
F L' U F' L U' B
U2 L' U B F L' F'
U2 L' U B2 D2 B' L
U2 L' U' R2 F' R U2
U' L' U' F U L' B
U' L' U' F U B L'
U2 L' U' F U2 L' B
U2 L' U' F U2 B L'
U2 L' U' F2 U2 B L
U' L' U2 R2 F' R U2
U' L' U2 F U2 L' B
U' L' U2 F U2 B L'
U' L' U2 F2 U2 B L
D2 L' D L B' U' B2
U' L' D B2 D B' L
B' L' D' L R2 B' U'
U' L' D' L B D L2
B' L' D' L B' R2 U'
U2 L' D' L' F U B
U2 L' D' L2 U B L
B L' D' L B' U' B
B' L' D' R2 L B' U'
U' L' D' B2 D' B' L
U' L' D2 L B' L B2
U' L' D2 L' B' L B2
U' L' D2 L2 B' L B2
D L' D2 L B' U' B2
U2 L' D2 U B' L B2
U' L' D2 B U2 R' U2
U' L' D2 B' L B2 D
U' L' D2 B' L B2 D'
U' L' D2 B' L B2 D2
U' L' D2 B' L' B2 L2
U' L' D2 B' L2 B2 L'
U' L' F L F' L2 B
U' L' F L F' B L2
U' L' F L B L2 F'
U' L' F L B F' L2
U' L' F L' D F' B
U' L' F L' D B F'
U' L' F L' D' F' B
U' L' F L' D' B F'
U' L' F L' D2 F' B
U' L' F L' D2 B F'
U' L' F L' F' D B
U' L' F L' F' D' B
U' L' F L' F' D2 B
U' L' F L' F' B D
U' L' F L' F' B D'
U' L' F L' F' B D2
U2 L' F L U L2 B
U' L' F L' B D F'
U' L' F L' B D' F'
U' L' F L' B D2 F'
U2 L' F L U B L2
U' L' F L' B F' D
U' L' F L' B F' D'
U' L' F L' B F' D2
U' L' F L2 F' L B
U2 L' F L2 U L B
U L' F L U2 L2 B
U L' F L U2 B L2
U2 L' F U L B L2
U2 L' F U L' D B
U2 L' F U L' D' B
U2 L' F U L' D2 B
U2 L' F U L' B D
U2 L' F U L' B D'
U2 L' F U L' B D2
U2 L' F U D L' B
U2 L' F U D B L'
U2 L' F U D' L' B
U2 L' F U D' B L'
U2 L' F U D2 L' B
U2 L' F U D2 B L'
U2 L' F U B L' D
U2 L' F U B L' D'
U2 L' F U B L' D2
U2 L' F U B D L'
U2 L' F U B D' L'
U2 L' F U B D2 L'
U2 L' F U B' L' B2
U' L' F D L' F' B
U' L' F D L' B F'
U' L' F D B L' F'
U' L' F D' L' F' B
U' L' F D' L' B F'
U' L' F D' B L' F'
U2 L' F D U L' B
U2 L' F D U B L'
U' L' F D2 L' F' B
U' L' F D2 L' B F'
U' L' F D2 B L' F'
U2 L' F D' U L' B
U2 L' F D' U B L'
U' L' F B L F' L2
U' L' F B L' D F'
U' L' F B L' D' F'
U' L' F B L' D2 F'
U' L' F B L' F' D
U' L' F B L' F' D'
U' L' F B L' F' D2
U' L' F B L2 F' L
U' L' F B D L' F'
U' L' F B D' L' F'
U' L' F B D2 L' F'
U' L' F B' L' F' B2
U' L' F B' L' B2 F'
U2 L' F D2 U L' B
U2 L' F D2 U B L'
F L' F' L U' L' B
F L' F' L U' B L'
U L' F2 L U2 B L
U' L' B L F L' F'
U' L' B L' F L' F'
U' L' B L2 F L' F'
U' L' B U' F U L'
U' L' B D2 B' L B
U' L' B F L F' L2
U' L' B F L' D F'
U' L' B F L' D' F'
U' L' B F L' D2 F'
U' L' B F L' F' D
U' L' B F L' F' D'
U' L' B F L' F' D2
U' L' B F L2 F' L
U' L' B F D L' F'
U' L' B F D' L' F'
U' L' B F D2 L' F'
D2 L' B' U' L F B2
D2 L' B' U' L B2 F
U' L' B' F L' F' B2
U' L' B' F L' B2 F'
U' L' B2 D2 B' L D
U' L' B2 D2 B' L D'
U' L' B2 D2 B' L D2
U' L' B2 D2 B' D L
U' L' B2 D2 B' D' L
U' L' B2 D2 B' D2 L
U L2 R2 F' L2 R U2
U L2 R2 F' R L2 U2
U2 L2 U D2 B' L B2
U2 L2 U F L' F' B
U2 L2 U F L' B F'
U2 L2 U F B L' F'
U2 L2 U B F L' F'
U2 L2 U B2 D2 B' L
U2 L2 U' R2 F' R U2
U' L2 U' F U L' B
U' L2 U' F U B L'
U2 L2 U' F U2 L' B
U2 L2 U' F U2 B L'
U2 L2 U' F2 U2 B L
U' L2 U2 R2 F' R U2
U' L2 U2 F U2 L' B
U' L2 U2 F U2 B L'
U' L2 U2 F2 U2 B L
U' L2 D B2 D B' L
U' L2 D' L B D L2
U2 L2 D' L' F U B
U2 L2 D' L2 U B L
U' L2 D' B2 D' B' L
U' L2 D2 L B' L B2
U' L2 D2 L' B' L B2
U' L2 D2 L2 B' L B2
U2 L2 D2 U B' L B2
U' L2 D2 B U2 R' U2
U' L2 D2 B' L B2 D
U' L2 D2 B' L B2 D'
U' L2 D2 B' L B2 D2
U' L2 D2 B' L' B2 L2
U' L2 D2 B' L2 B2 L'
U' L2 F L F' L2 B
U' L2 F L F' B L2
U' L2 F L B L2 F'
U' L2 F L B F' L2
U' L2 F L' D F' B
U' L2 F L' D B F'
U' L2 F L' D' F' B
U' L2 F L' D' B F'
U' L2 F L' D2 F' B
U' L2 F L' D2 B F'
U' L2 F L' F' D B
U' L2 F L' F' D' B
U' L2 F L' F' D2 B
U' L2 F L' F' B D
U' L2 F L' F' B D'
U' L2 F L' F' B D2
U' L2 F L' B D F'
U' L2 F L' B D' F'
U' L2 F L' B D2 F'
U' L2 F L' B F' D
U' L2 F L' B F' D'
U' L2 F L' B F' D2
U' L2 F L2 F' L B
U2 L2 F L U L2 B
U2 L2 F L U B L2
U2 L2 F L2 U L B
R2 U L' F' L R U2
R2 U L' F' R L U2
U2 L2 F U L B L2
U2 L2 F U L' D B
U2 L2 F U L' D' B
U2 L2 F U L' D2 B
U2 L2 F U L' B D
U2 L2 F U L' B D'
U2 L2 F U L' B D2
U2 L2 F U D L' B
U2 L2 F U D B L'
U2 L2 F U D' L' B
U2 L2 F U D' B L'
U2 L2 F U D2 L' B
U2 L2 F U D2 B L'
U' L2 F D L' F' B
U' L2 F D L' B F'
U2 L2 F U B L' D
U2 L2 F U B L' D'
U2 L2 F U B L' D2
U2 L2 F U B D L'
U2 L2 F U B D' L'
U2 L2 F U B D2 L'
U2 L2 F U B' L' B2
U' L2 F D B L' F'
U' L2 F D' L' F' B
U' L2 F D' L' B F'
U' L2 F D' B L' F'
U' L2 F D2 L' F' B
U' L2 F D2 L' B F'
U' L2 F D2 B L' F'
U L2 F L2 U2 L B
U2 L2 F D U L' B
U2 L2 F D U B L'
U' L2 F B L F' L2
U' L2 F B L' D F'
U' L2 F B L' D' F'
U' L2 F B L' D2 F'
U' L2 F B L' F' D
U' L2 F B L' F' D'
U' L2 F B L' F' D2
U' L2 F B L2 F' L
U' L2 F B D L' F'
U' L2 F B D' L' F'
U' L2 F B D2 L' F'
U2 L2 F D' U L' B
U' L2 F B' L' F' B2
U2 L2 F D' U B L'
U' L2 F B' L' B2 F'
U2 L2 F D2 U L' B
U2 L2 F D2 U B L'
R2 U L2 F' L2 R U2
R2 U L2 F' R L2 U2
F L2 F' L2 U' L' B
F L2 F' L2 U' B L'
R2 U R F U2 L' B'
R2 U R F' R U2 B
R U R F' R U2 D
R U R F' R U2 D'
R U R F' R U2 D2
R U R F' R D U2
R U R F' R D' U2
R U R F' R D2 U2
R U R F' D R U2
R U R F' D' R U2
U L2 F2 L2 U2 B L
R U R F' D2 R U2
U' L2 B L F L' F'
U' L2 B L' F L' F'
U' L2 B L2 F L' F'
U' L2 B U' F U L'
R2 U R' F' R F' U2
R U R' F U2 L' B
R U R' F U2 B L'
U' L2 B D2 B' L B
U' L2 B F L F' L2
U' L2 B F L' D F'
U' L2 B F L' D' F'
U' L2 B F L' D2 F'
U' L2 B F L' F' D
U' L2 B F L' F' D'
U' L2 B F L' F' D2
U' L2 B F L2 F' L
U' L2 B F D L' F'
U' L2 B F D' L' F'
U' L2 B F D2 L' F'
R U R' F2 U2 B L
D2 L2 B' L2 U' L' B2
D2 L2 B' L2 U' B2 L'
R2 U R2 F U2 L' B
R2 U R2 F U2 B L'
R2 U R2 F2 U2 B L
R U R2 F U2 L' B'
U' L2 B' F L' F' B2
U' L2 B' F L' B2 F'
R U R2 F' R U2 B
U' L2 B2 D2 B' L D
U' L2 B2 D2 B' L D'
U' L2 B2 D2 B' L D2
U' L2 B2 D2 B' D L
U' L2 B2 D2 B' D' L
U' L2 B2 D2 B' D2 L
R' U F U' R U' L'
R2 U F R F2 R U2
R2 U F R' F2 R U2
R2 U F R2 F2 R U2
R2 U F U2 L' D2 B2
R U F R' U2 L' B
R U F R' U2 B L'
R2 U F U2 D2 L' B2
R2 U F U2 D2 B2 L'
R' U F' R U L' U
R U F R2 U2 L' B'
R2 U F D2 U2 L' B2
R2 U F D2 U2 B2 L'
R2 U F' R' U2 D2 L2
R2 U F' R' D2 U2 L2
R2 U F' R2 D R' U2
R2 U F' R2 D' R' U2
R2 U F' R2 D2 R' U2
R2 U F' U F2 U L'
R U F' R D F' U2
R U F' R D' F' U2
R U F' R D2 F' U2
R U F' R F' U2 D
R U F' R F' U2 D'
R U F' R F' U2 D2
R U F' R F' D U2
R U F' R F' D' U2
R U F' R F' D2 U2
R2 U F' U2 F2 L' F2
R2 U F' D R U2 D
R2 U F' D R U2 D'
R2 U F' D R U2 D2
R2 U F' D R D U2
R2 U F' D R D' U2
R2 U F' D R D2 U2
B' R U F U2 L' B2
B' R U F U2 B2 L'
B' R U F' R U2 B2
R2 U F' D' R U2 D
R2 U F' D' R U2 D'
R2 U F' D' R U2 D2
R2 U F' D' R D U2
R2 U F' D' R D' U2
R2 U F' D' R D2 U2
R2 U F' D2 R U2 D
R2 U F' D2 R U2 D'
R2 U F' D2 R U2 D2
R2 U F' D2 R D U2
R2 U F' D2 R D' U2
R2 U F' D2 R D2 U2
B2 R U F U2 B' L'
R2 U F' B R B' U2
B2 R U F' R U2 B'
R2 U F' B2 R B2 U2
R2 U F2 R F R U2
R2 U F2 R' F R U2
R2 U F2 R2 F R U2
R U F2 R F' U2 L'
R U F2 R' U2 B L
B' R U' F L' F' B2
B' R U' F L' B2 F'
R2 U F2 D F R U2
B' R U' F B2 L' F'
R2 U F2 D' F R U2
B2 R U' D2 B' L D
B2 R U' D2 B' L D'
B2 R U' D2 B' L D2
B2 R U' D2 B' D L
B2 R U' D2 B' D' L
B2 R U' D2 B' D2 L
F R U' L' B' R' B
R2 U F2 D2 F R U2
D2 R U' B' D2 L B'
B2 R U' F B' L' F'
B' R U' B' D2 B' L
B' R U' B2 F L' F'
B2 R U' B' F L' F'
F R U' B' L' R' B
F R U' B' R' L' B
F R U' B' R' B L'
B' R U2 F U L' B2
B' R U2 F U B2 L'
B2 R U2 F U B' L'
R2 U B F' R B' U2
U R U2 D2 L B' L
U R U2 D2 B' L B'
B2 R D R' B U' B2
D R D R2 B R' U'
B R D R' B U' B'
R2 U B2 F' R B2 U2
U' R D2 L R' B' L
U' R D2 R' L B' L
U' R D2 R' B' L B'
R2 U' L U2 F' R U2
B2 R D2 R U' B' L
B2 R D2 R' U' B' L
B2 R D2 R2 U' B' L
B2 R D2 U' B' L D
B2 R D2 U' B' L D'
B2 R D2 U' B' L D2
B2 R D2 U' B' D L
B2 R D2 U' B' D' L
B2 R D2 U' B' D2 L
R U' L D2 L B' L
R U' L D2 B' L B'
B2 R D2 B U' B2 L
U' R F L' F' R' B
U R D2 U2 L B' L
U R D2 U2 B' L B'
R2 U' L' U2 F' R U2
B R D2 B' U' L B
U2 R F R' U L' B
U2 R F R' U B L'
R U' L' D2 L B' L
R U' L' D2 B' L B'
U R F R' U2 L' B
U R F R' U2 B L'
U R F R2 U2 L' B'
R2 U' L2 U2 F' R U2
R U' L2 D2 L B' L
R U' L2 D2 B' L B'
U R F' R D F' U2
U R F' R D' F' U2
U R F' R D2 F' U2
U R F' R F' U2 D
U R F' R F' U2 D'
U R F' R F' U2 D2
U R F' R F' D U2
U R F' R F' D' U2
U R F' R F' D2 U2
U R F2 R F' U2 L'
U R F2 R' U2 B L
D2 R B U R' U2 B
B R B U' D2 B' L
D2 R B' R' U' L B
B R B D2 U' B' L
D2 R B' U' D2 L B'
B' R B' U' D2 B' L
D2 R B' D2 U' L B'
B' R B' D2 U' B' L
L' U' F L' D F2 B
L' U' F L' D B F2
L' U' F L' B D F2
R U' D2 L B' L D
R U' D2 L B' L D'
R U' D2 L B' L D2
R U' D2 L B' D L
R U' D2 L B' D' L
R U' D2 L B' D2 L
R2 U' F L' D2 F' B2
R2 U' F L' D2 B2 F'
R U' D2 B' L D B'
R U' D2 B' L D' B'
R U' D2 B' L D2 B'
R U' D2 B' L B' D
R U' D2 B' L B' D'
R U' D2 B' L B' D2
L' U' F B D L' F
L2 U' F D L' F2 B
L2 U' F D L' B F2
L2 U' F D B L' F2
L2 U' F B D L' F2
R2 U' F D2 L' F' B2
R2 U' F D2 L' B2 F'
R2 U' F D2 B2 L' F'
R2 U' F' R U2 R' F
R2 U' F' R U2 F R'
L2 U' F' D F2 L' B
L2 U' F' D F2 B L'
L2 U' F' D B F2 L'
B' R' U F U2 L' B2
B' R' U F U2 B2 L'
L2 U' F' B D F2 L'
B' R' U F' R U2 B2
B2 R' U F U2 B' L'
B2 R' U F' R U2 B'
B' R' U' F L' F' B2
B' R' U' F L' B2 F'
B' R' U' F B2 L' F'
B2 R' U' D2 B' L D
B2 R' U' D2 B' L D'
B2 R' U' D2 B' L D2
B2 R' U' D2 B' D L
B2 R' U' D2 B' D' L
B2 R' U' D2 B' D2 L
B2 R' U' F B' L' F'
B' R' U' B' D2 B' L
B' R' U' B2 F L' F'
D2 R' U2 L' U B' L
D' R' U2 L' F U B'
B2 R' U' B' F L' F'
L' U' B F D L' F
B' R' U2 F U L' B2
B' R' U2 F U B2 L'
R2 U' B U2 F' R U2
L2 U' B F D L' F2
L2 U' B F' D F2 L'
B2 R' U2 F U B' L'
U R' U2 L' D2 B' L
R U' B D2 L B' L
R U' B D2 B' L B'
U R' U2 D2 L' B' L
U R' U2 F L' F' B'
U R' U2 F L' B' F'
B2 R' D R' B U' B2
U2 R' D R F' U B
R2 U' B' U2 F' R U2
B R' D R' B U' B'
R U' B' D2 L B' L
R U' B' D2 B' L B'
D R' D B R U' B
R' U2 L U' F U2 L'
R2 U' B2 U2 F' R U2
R U' B2 D2 L B' L
R U' B2 D2 B' L B'
U' R' D2 R B' L B2
R2 U2 L U' F' R U2
D R' D' B R U' B
B2 R' D2 R U' B' L
R' U2 L' U D2 B' L
B2 R' D2 R' U' B' L
B2 R' D2 R2 U' B' L
B2 R' D2 U' B' L D
B2 R' D2 U' B' L D'
B2 R' D2 U' B' L D2
B2 R' D2 U' B' D L
B2 R' D2 U' B' D' L
B2 R' D2 U' B' D2 L
R' U2 L' D2 U B' L
U' R' D2 B' L R B
U' R' D2 B' R L B
R' U2 L' F U B' L'
U' R' D2 B2 R B L
B2 R' D2 B U' B2 L
U' R' F L' F' R B
R2 U2 L' U' F' R U2
D R' D2 B R U' B
U R' D2 U2 L' B' L
B R' D2 B' U' L B
U R' F R U2 L' B
U R' F R U2 B L'
R2 U2 L2 U' F' R U2
U R' F U2 L' D B'
U R' F U2 L' D' B'
U R' F U2 L' D2 B'
U R' F U2 L' B' D
U R' F U2 L' B' D'
U R' F U2 L' B' D2
U R' F U2 D L' B'
U R' F U2 D' L' B'
U R' F U2 D2 L' B'
U R' F U2 B L' B'
U R' F U2 B' L' B'
U R' F U2 B2 L' B'
U R' F D U2 L' B'
U R' F D' U2 L' B'
U R' F D2 U2 L' B'
U R' F' R U2 D B
U R' F' R U2 D' B
U R' F' R U2 D2 B
U R' F' R U2 B D
U R' F' R U2 B D'
U R' F' R U2 B D2
U R' F' R D U2 B
U R' F' R D' U2 B
U R' F' R D2 U2 B
U R' F' R F U2 B
U R' F' R F' U2 B
U R' F' R F2 U2 B
U R' F' R' F' R2 U2
U R' F' D R U2 B
U R' F' D' R U2 B
U R' F' D2 R U2 B
U R' F2 R U2 B L
U R' F2 R' F' U2 L'
D R' B R U' D B
D R' B R U' D' B
D R' B R U' D2 B
D R' B R U' B D
D R' B R U' B D'
D R' B R U' B D2
D R' B R D U' B
D R' B R D' U' B
D R' B R D2 U' B
D R' B R' U F' U2
D2 R' B' R U' L B
B R' B U' D2 B' L
D R' B U2 L' U B'
D R' B D R U' B
