F' U F2 U2 L F
F' U' L D2 F B2
F' U' L D2 B2 F
F' U' D2 L F B2
F' U' D2 L B2 F
F' D R2 U' L F
F' D2 U' L F B2
F' D2 U' L B2 F
F' D2 U' F L B2 F
F' D2 U' F' L F B2
F' D2 U' F' L B2 F
F' D2 U' F2 L F B2
F' D2 U' F2 L B2 F
L2 B L F' U' L2 B2
L2 B L F' U' B2 L2
L B U L F' U' B'
L B U F' L U' B'
L B F' L U' B' L'
F' B D L R2 B' U'
F' B D L B' R2 U'
F' B D R2 L B' U'
B2 F D' L2 R' B U2
B2 F D' R' L2 B U2
B2 F D' R' B L2 U2
B F' D L R2 B' U'
B F' D L B' R2 U'
B F' D R2 L B' U'
F B2 D' L2 R' B U2
F B2 D' R' L2 B U2
F B2 D' R' B L2 U2
