B2 L2 F' R U B'
F' R D' L2 U R2
F' R B2 U D2 B2
F' R B2 U' F2 U2
F' R B2 D' L2 U
F' R B2 D2 U B2
F U F2 R B2 U
F U F2 B2 R U
F U B2 F2 R U
L2 F' R B2 U B
F' D' L2 R U R
F' D' R L2 U R
B2 F' R U D2 B2
B2 F' R U' F2 U2
B2 F' R D' L2 U
B2 F' R D2 U B2
B2 F' D' L2 R U
B2 F' D' R L2 U
B2 F' D2 R U B2
F' B2 R U D2 B2
F' B2 R U' F2 U2
F' B2 R D' L2 U
F' B2 R D2 U B2
F' B2 D' L2 R U
F' B2 D' R L2 U
F' B2 D2 R U B2
F' R B2 D U2 R2 U'
F' R B2 D' L2 U D
F' R B2 D' L2 U D'
F' R B2 D' L2 U D2
F' R B2 D' L2 D U
F' R B2 D' L2 D' U
F' R B2 D' L2 D2 U
F' R B2 D2 L U B2
F' R B2 D2 L' U B2
F' R B2 D2 L2 U B2
F' R B2 D2 U B2 D
F' R B2 D2 U B2 D'
F' R B2 D2 U B2 D2
F2 R B2 F R U B
L' U' F' L' R B2 U
L' U' F' L' B2 R U
L' U' F' R L' B2 U
L' U' F' R B2 L' U
L2 U' F' R B2 U B
L' U' F' B2 L' R U
L' U' F' B2 R L' U
F R' U F2 R B2 U
F R' U F2 B2 R U
F R' U B2 F2 R U
F' R' D' L2 U R2 F2
F' R' D' L2 U F2 R2
L' U' B2 F' L' R U
L' U' B2 F' R L' U
F' R' B2 R2 U D2 B2
F' R' B2 R2 U' F2 U2
F' R' B2 R2 D' L2 U
F' R' B2 R2 D2 U B2
F' R' B2 D' L2 U F2
L' U2 F' R B2 U B'
L2 U2 F' R B2 U B
L' U2 F' B2 R U B
F R2 U F2 R B2 U
F R2 U F2 B2 R U
F R2 U B2 F2 R U
F' R2 D' L2 R' U R'
F' R2 D' R' L2 U R'
L' U2 B2 F' R U B
F2 R2 F B2 R U B'
F2 R2 B2 F R U B'
F U R F2 R B2 U
F U R F2 B2 R U
F U R B2 F2 R U
F U R' F2 R B2 U
F U R' F2 B2 R U
F U R' B2 F2 R U
F U R2 F2 R B2 U
F U R2 F2 B2 R U
F U R2 B2 F2 R U
R' D' L' R2 F L' B'
R' D' L' F L' R2 B'
R' D' L' F L' B' R2
R' D' L' F R2 L' B'
R' D' R2 L' F L' B'
F U F2 R U D' R2
F U F2 R D' U R2
F U F2 R B2 U D
F U F2 R B2 U D'
F U F2 R B2 U D2
F U F2 R B2 D U
F U F2 R B2 D' U
F U F2 R B2 D2 U
F U F2 R' B2 R2 U
F U F2 D' R U R
F U F2 B' R B' U
F U F2 B2 R U D
F U F2 B2 R U D'
F U F2 B2 R U D2
F U F2 B2 R D U
F U F2 B2 R D' U
F U F2 B2 R D2 U
F U F2 B2 D R U
F U F2 B2 D' R U
F U F2 B2 D2 R U
F U B' F2 R B' U
F U B2 R F2 R U
F U B2 R' F2 R U
F U B2 R2 F2 R U
R' D' F L' F R2 B
R' D' F U2 L' R2 F
R' D' F U2 L' F R2
R' D' F U2 R2 L' F
F U B2 F2 R U D
F U B2 F2 R U D'
F U B2 F2 R U D2
F U B2 F2 R D U
F U B2 F2 R D' U
F U B2 F2 R D2 U
F U B2 F2 D R U
F U B2 F2 D' R U
F U B2 F2 D2 R U
F U' L' U' D' L2 R2
F U' L' U' D' R2 L2
F U' L' U2 F2 B2 U
F U' L' U2 B2 F2 U
F U' L' D' U' L2 R2
F U' L' D' U' R2 L2
F U' L' D2 F2 B2 U'
F U' L' D2 B2 F2 U'
F U' D' L' U' L' R2
F U' D' L' U' R2 L'
B2 U' F U F2 R U
F U' D2 L' F2 B2 U'
F U' D2 L' B2 F2 U'
F U' D2 B2 L' F2 U'
F U' F2 R B2 L U
F' U2 D2 F2 L' U' B2
F U2 F2 R B2 U B2
F U2 F2 B2 R U B2
U' F U F2 R B2 U
U' F U F2 B2 R U
U' F U B2 F2 R U
U2 F U F2 R B2 U
U2 F U F2 B2 R U
U2 F U B2 F2 R U
U F U F2 R B2 U
U F U F2 B2 R U
U F U B2 F2 R U
F U2 B2 F2 R U B2
F D L2 R2 U' L U'
F D R2 L2 U' L U'
L' F' L' R B2 U B
L F' L R B2 U B
U' F' R D' L2 U R2
L' F' R L' B2 U B
U' F' R B2 U D2 B2
U' F' R B2 U' F2 U2
U' F' R B2 D' L2 U
U' F' R B2 D2 U B2
L2 F' R U D' R2 B'
L2 F' R U D' B' R2
L' F' R B2 L' U B'
U2 F' R D' L2 U R2
L2 F' R D' U R2 B'
L2 F' R D' U B' R2
L2 F' R B2 L U B
L2 F' R B2 L' U B
L2 F' R B2 L2 U B
L2 F' R B2 U D B
L2 F' R B2 U D' B
L2 F' R B2 U D2 B
L2 F' R B2 U B D
L2 F' R B2 U B D'
L2 F' R B2 U B D2
U2 F' R B2 U D2 B2
U2 F' R B2 U' F2 U2
L2 F' R B2 D U B
L2 F' R B2 D' U B
U2 F' R B2 D' L2 U
L2 F' R B2 D2 U B
U2 F' R B2 D2 U B2
L F' R L B2 U B
U F' R D' L2 U R2
U F' R B2 U D2 B2
U F' R B2 U' F2 U2
U F' R B2 D' L2 U
U F' R B2 D2 U B2
L F' R B2 L U B'
F' D' L2 R U R D
F' D' L2 R U R D'
F' D' L2 R U R D2
F' D' L2 R U D R
F' D' L2 R U D' R
F' D' L2 R U D2 R
F' D' L2 R D U R
F' D' L2 R D' U R
F' D' L2 R D2 U R
F' D' L2 R B U R
F' D' L2 R B' U R
F' D' L2 R B2 U R
U' F' D' L2 R U R
U' F' D' R L2 U R
F' D' L2 D R B2 U
F' D' L2 D B2 R U
F' D' L2 B R U R
F' D' L2 B' R U R
F' D' L2 B2 R U R
F' D' R L2 U R D
F' D' R L2 U R D'
F' D' R L2 U R D2
F' D' R L2 U D R
F' D' R L2 U D' R
F' D' R L2 U D2 R
F' D' R L2 D U R
F' D' R L2 D' U R
F' D' R L2 D2 U R
F' D' R L2 B U R
F' D' R L2 B' U R
F' D' R L2 B2 U R
U2 F' D' L2 R U R
F' D' R U R D' B2
F' D' R U D' R B2
F' D' R U D' B2 R
U2 F' D' R L2 U R
L2 F' D' R U R B'
L2 F' D' R U B' R
F' D' R D' U R B2
F' D' R D' U B2 R
F' D' R B L2 U R
F' D' R B' L2 U R
F' D' R B2 L2 U R
U F' D' L2 R U R
U F' D' R L2 U R
U' F' B2 R U D2 B2
U' F' B2 R U' F2 U2
U' F' B2 R D' L2 U
U' F' B2 R D2 U B2
L2 F' B' R B' U B
L' F' B2 L' R U B'
L' F' B2 R L' U B'
U' F' B2 D' L2 R U
U' F' B2 D' R L2 U
U' F' B2 D2 R U B2
U2 F' B2 R U D2 B2
U2 F' B2 R U' F2 U2
U2 F' B2 R D' L2 U
U2 F' B2 R D2 U B2
U2 F' B2 D' L2 R U
U2 F' B2 D' R L2 U
U2 F' B2 D2 R U B2
L F' B2 L R U B'
U F' B2 R U D2 B2
U F' B2 R U' F2 U2
U F' B2 R D' L2 U
U F' B2 R D2 U B2
L F' B2 R L U B'
F D' U' L' U' L' R2
F D' U' L' U' R2 L'
U F' B2 D' L2 R U
U F' B2 D' R L2 U
U F' B2 D2 R U B2
F' D' B L2 R U R
F' D' B R L2 U R
F' D' B' L2 R U R
F' D' B' R L2 U R
F' D' B2 L2 R U R
F' D' B2 R L2 U R
F' D2 R U B2 D R2
F' D2 R U2 F2 U' B2
F' D2 R D L2 U R2
F' D2 U2 F2 L' U' B2
F D2 U' L' F2 B2 U'
F D2 U' L' B2 F2 U'
F D2 U' B2 L' F2 U'
B' F U F2 R B' U
B' F U F2 B' R U
B' F U B' F2 R U
B2 F U F2 R U R'
B F U F2 B R U
B F U B F2 R U
F B U F2 B R U
F B U B F2 R U
F' B D' L2 B R U
F' B D' B L2 R U
F' B D' B R L2 U
B2 F' L R U D2 B2
B2 F' L R U' F2 U2
B2 F' L R D' L2 U
B2 F' L R D2 U B2
B2 F' L D' L2 R U
B2 F' L D' R L2 U
B2 F' L D2 R U B2
B2 F' L' R U D2 B2
B2 F' L' R U' F2 U2
B2 F' L' R D' L2 U
B2 F' L' R D2 U B2
B2 F' L' D' L2 R U
B2 F' L' D' R L2 U
B2 F' L' D2 R U B2
B2 F' L2 R U D2 B2
B2 F' L2 R U' F2 U2
B2 F' L2 R D' L2 U
B2 F' L2 R D2 U B2
B2 F' L2 D' L2 R U
B2 F' L2 D' R L2 U
B2 F' L2 D2 R U B2
B' F' R D' B' L2 U
B' F' R D2 B' U B'
B2 F' R L U D2 B2
B2 F' R L U' F2 U2
B2 F' R L D' L2 U
B2 F' R L D2 U B2
L2 B' U' F' R B' U
B2 F' R L' U D2 B2
B2 F' R L' U' F2 U2
L2 B' U' F' B' R U
B2 F' R L' D' L2 U
B2 F' R L' D2 U B2
B2 F' R L2 U D2 B2
B2 F' R L2 U' F2 U2
B2 F' R L2 D' L2 U
B2 F' R L2 D2 U B2
B2 F' R U D2 B2 D
B2 F' R U D2 B2 D'
B2 F' R U D2 B2 D2
B2 F' R U B D2 B2
B2 F' R U B' D2 B2
B2 F' R U B2 D2 B2
B' F' R B' U D2 B2
L2 B' U' B' F' R U
B' F' R B' U' F2 U2
B' F' R B' D' L2 U
B' F' R B' D2 U B2
B2 F' R U' F2 U2 D
B2 F' R U' F2 U2 D'
B2 F' R U' F2 U2 D2
B2 F' R U' F2 D U2
B2 F' R U' F2 D' U2
B2 F' R U' F2 D2 U2
F' B' R D' B' L2 U
B2 F' R U2 D R2 U'
F' B' R D2 B' U B'
B2 F' R D U2 R2 U'
B2 F' R D' L2 U D
B2 F' R D' L2 U D'
B2 F' R D' L2 U D2
B2 F' R D' L2 D U
B2 F' R D' L2 D' U
B2 F' R D' L2 D2 U
B2 F' R D2 L U B2
B2 F' R D2 L' U B2
B2 F' R D2 L2 U B2
B2 F' R D2 U B2 D
B2 F' R D2 U B2 D'
B2 F' R D2 U B2 D2
F' B' R B' U D2 B2
F' B' R B' U' F2 U2
F' B' R B' D' L2 U
F' B' R B' D2 U B2
B2 F' R' D' L2 U F2
B2 F' R2 D' L2 R' U
B2 F' R2 D' R' L2 U
B2 F' R2 D2 R' U B2
B2 F' U' F2 U' L' U'
F B' U F2 R B' U
F B' U F2 B' R U
L2 B' F' R B' U B
F B' U B' F2 R U
B2 F' D R U2 R U'
B' F' D' R B' L2 U
F' B' D' R B' L2 U
B2 F' D' L2 R U D
B2 F' D' L2 R U D'
B2 F' D' L2 R U D2
B2 F' D' L2 R D U
B2 F' D' L2 R D' U
B2 F' D' L2 R D2 U
B2 F' D' L2 D R U
B2 F' D' L2 D' R U
B2 F' D' L2 D2 R U
B' F' D' B' L2 R U
B' F' D' B' R L2 U
B2 F' D' R L2 U D
B2 F' D' R L2 U D'
B2 F' D' R L2 U D2
B2 F' D' R L2 D U
B2 F' D' R L2 D' U
B2 F' D' R L2 D2 U
B2 F' D' R U D' B2
B2 F' D' R D' U B2
B' F' D2 R B' U B'
F' B' D' B' L2 R U
F' B' D' B' R L2 U
L' B2 L' F' R U B'
B2 F' D2 L R U B2
F' B' D2 R B' U B'
B2 F' D2 L' R U B2
B2 F' D2 L2 R U B2
B' F' D2 B' R U B'
B F' D' L2 B R U
B2 F' D2 R L U B2
B2 F' D2 R L' U B2
B2 F' D2 R L2 U B2
B2 F' D2 R U B2 D
B2 F' D2 R U B2 D'
B2 F' D2 R U B2 D2
B2 F' D2 R D L2 U
U' B2 L2 F' R U B'
F' B' D2 B' R U B'
F' B2 L R U D2 B2
F' B2 L R U' F2 U2
B F' D' B L2 R U
F' B2 L R D' L2 U
B F' D' B R L2 U
F' B2 L R D2 U B2
L B2 L F' R U B'
F' B2 L D' L2 R U
F' B2 L D' R L2 U
F' B2 L D2 R U B2
U2 B2 L2 F' R U B'
F' B2 L' R U D2 B2
F' B2 L' R U' F2 U2
F' B2 L' R D' L2 U
F' B2 L' R D2 U B2
F' B2 L' D' L2 R U
F' B2 L' D' R L2 U
F' B2 L' D2 R U B2
F' B2 L2 R U D2 B2
F' B2 L2 R U' F2 U2
F' B2 L2 R D' L2 U
F' B2 L2 R D2 U B2
U B2 L2 F' R U B'
F' B2 L2 D' L2 R U
F' B2 L2 D' R L2 U
F' B2 L2 D2 R U B2
F' B2 R L U D2 B2
F' B2 R L U' F2 U2
F' B2 R L D' L2 U
F' B2 R L D2 U B2
F' B2 R L' U D2 B2
F' B2 R L' U' F2 U2
F' B2 R L' D' L2 U
F' B2 R L' D2 U B2
F' B2 R L2 U D2 B2
F' B2 R L2 U' F2 U2
F' B2 R L2 D' L2 U
F' B2 R L2 D2 U B2
F' B2 R U D2 B2 D
F' B2 R U D2 B2 D'
F' B2 R U D2 B2 D2
F' B2 R U B D2 B2
F' B2 R U B' D2 B2
F' B2 R U B2 D2 B2
F' B2 R U' F2 U2 D
F' B2 R U' F2 U2 D'
F' B2 R U' F2 U2 D2
F' B2 R U' F2 D U2
F' B2 R U' F2 D' U2
F' B2 R U' F2 D2 U2
F' B2 R U2 D R2 U'
F' B2 R D U2 R2 U'
F' B2 R D' L2 U D
F' B2 R D' L2 U D'
F' B2 R D' L2 U D2
F' B2 R D' L2 D U
F' B2 R D' L2 D' U
F' B2 R D' L2 D2 U
F' B2 R D2 L U B2
F' B2 R D2 L' U B2
F' B2 R D2 L2 U B2
F' B2 R D2 U B2 D
F' B2 R D2 U B2 D'
F' B2 R D2 U B2 D2
B2 F2 R F R U B
F2 B2 R F R U B
F' B2 R' D' L2 U F2
F' B2 R2 D' L2 R' U
F' B2 R2 D' R' L2 U
F' B2 R2 D2 R' U B2
F' B2 U' F2 U' L' U'
F B2 U F2 R U R'
F' B2 D R U2 R U'
U' B2 F' R U D2 B2
U' B2 F' R U' F2 U2
U' B2 F' R D' L2 U
U' B2 F' R D2 U B2
F' B2 D' L2 R U D
F' B2 D' L2 R U D'
F' B2 D' L2 R U D2
F' B2 D' L2 R D U
F' B2 D' L2 R D' U
F' B2 D' L2 R D2 U
F' B2 D' L2 D R U
F' B2 D' L2 D' R U
F' B2 D' L2 D2 R U
F' B2 D' R L2 U D
F' B2 D' R L2 U D'
F' B2 D' R L2 U D2
F' B2 D' R L2 D U
F' B2 D' R L2 D' U
F' B2 D' R L2 D2 U
F' B2 D' R U D' B2
F' B2 D' R D' U B2
L' B2 F' L' R U B'
U' B2 F' D' L2 R U
U' B2 F' D' R L2 U
U' B2 F' D2 R U B2
L' B2 F' R L' U B'
F' B2 D2 L R U B2
F' B2 D2 L' R U B2
F' B2 D2 L2 R U B2
U2 B2 F' R U D2 B2
U2 B2 F' R U' F2 U2
U2 B2 F' R D' L2 U
U2 B2 F' R D2 U B2
F' B2 D2 R L U B2
F' B2 D2 R L' U B2
F' B2 D2 R L2 U B2
F' B2 D2 R U B2 D
F' B2 D2 R U B2 D'
F' B2 D2 R U B2 D2
F' B2 D2 R D L2 U
U2 B2 F' D' L2 R U
U2 B2 F' D' R L2 U
U2 B2 F' D2 R U B2
L B2 F' L R U B'
L B2 F' R L U B'
U B2 F' R U D2 B2
U B2 F' R U' F2 U2
U B2 F' R D' L2 U
U B2 F' R D2 U B2
U B2 F' D' L2 R U
U B2 F' D' R L2 U
U B2 F' D2 R U B2
