F2 R U B U2
R' F2 R U' F
R2 F2 R U' F'
F2 L R U B U2
F2 L' R U B U2
F2 L2 R U B U2
F2 R L U B U2
F2 R L' U B U2
F2 R L2 U B U2
F2 R U D B U2
F2 R U D' B U2
F2 R U D2 B U2
F2 R U B U2 D
F2 R U B U2 D'
F2 R U B U2 D2
F2 R U B D U2
F2 R U B D' U2
F2 R U B D2 U2
F2 R U' R2 F' R2
F2 R U2 R2 U F'
F2 R D U B U2
F2 R D' U B U2
F2 R D2 U B U2
F2 R' U' D F' B2
F2 R' U' D B2 F'
F2 R' U' F' D B2
F2 R' D U' F' B2
F2 R' D U' B2 F'
F R' F R U' F2
F R2 F R U' F'
F2 D R U B U2
F2 D' R U B U2
R2 F2 L R U' F'
R2 F2 L' R U' F'
R' F2 R U' D F
R' F2 R U' D' F
R' F2 R U' D2 F
R' F2 R U' F D
R' F2 R U' F D
R' F2 R U' F D'
R' F2 R U' F D2
R' F2 R D U' F
R' F2 R D' U' F
R' F2 R D2 U' F
R2 F2 L2 R U' F'
R2 F2 R L U' F'
R2 F2 R L' U' F'
R2 F2 R L2 U' F'
R2 F2 R U' D F'
R2 F2 R U' D' F'
R2 F2 R U' D2 F'
R2 F2 R U' F' D
R2 F2 R U' F' D'
R2 F2 R U' F' D2
R2 F2 R D U' F'
R2 F2 R D' U' F'
R2 F2 R D2 U' F'
R' F2 D R U' F
L2 F2 U2 L U F
R' F2 D' R U' F
R' F2 D2 R U' F
F2 D2 R U B U2
F2 R' L2 U' D B2 F'
F2 R' L2 U' F' D B2
F2 R' L2 D U' F' B2
F2 R' L2 D U' B2 F'
R' U' F' U F' R U'
F2 R' U D' F2 U2 F
F2 R' U' D F' B2 D
F2 R' U' D F' B2 D'
F2 R' U' D F' B2 D2
F2 R' U' D B2 D F'
F2 R' U' D B2 D' F'
F2 R' U' D B2 D2 F'
F2 R' U' D B2 F' D
F2 R' U' D B2 F' D'
F2 R' U' D B2 F' D2
F2 R' U' D2 F' D' B2
F2 R' U' F' U R2 U'
F2 R' U' F' D B2 D
F2 R' U' F' D B2 D'
F2 R' U' F' D B2 D2
F2 R' U' F' B D B2
F2 R' U' F' B' D B2
F2 R' U' F' B2 D B2
D2 R' U2 L' B2 U F'
F2 R' U' F2 D F B2
F2 R' U' F2 D B2 F
F2 R' U' B D F' B2
F2 R' U' B D B2 F'
F2 R' U' B F' D B2
F2 R' U' B' D F' B2
F2 R' U' B' D B2 F'
D R' U' F' D R' B
F2 R' U' B' F' D B2
F2 R' U' B2 D F' B2
F2 R' U' B2 D B2 F'
F2 R' U' B2 F' D B2
D R' U2 L' U F' R'
D2 R' U2 B2 L' U F'
F2 R' U2 D2 L2 U F'
F2 R' D L U' F' B2
F2 R' D L U' B2 F'
F2 R' D L' U' F' B2
F2 R' D L' U' B2 F'
F2 R' D L2 U' F' B2
F2 R' D L2 U' B2 F'
D' R' D F2 R U' F
F2 R' D U' F' B2 D
F2 R' D U' F' B2 D'
F2 R' D U' F' B2 D2
F2 R' D U' B2 D F'
F2 R' D U' B2 D' F'
F2 R' D U' B2 D2 F'
F2 R' D U' B2 F' D
F2 R' D U' B2 F' D'
F2 R' D U' B2 F' D2
F R' D F R U' F2
F2 R' D' U F2 U2 F
L2 U2 L U D R2 F
L2 U2 L U D F R2
L2 U2 L U2 F2 U' F'
L2 U2 L D U R2 F
L2 U2 L D U F R2
L2 U2 L D2 B2 U F
F R' D' F R U' F2
R' U2 L' U D F' R2
D2 R' D2 F2 R U' F
R' U2 L' U2 F2 U' F
R' U2 L' D U F' R2
F2 R' D2 U' F' D' B2
R' U2 L' D2 B2 U F'
F2 R' D2 U2 L2 U F'
F R' D2 F R U' F2
R U2 L' U D R2 F'
R U2 L' D U R2 F'
F R' F L R U' F2
F R' F L' R U' F2
F R' F L2 R U' F2
F R' F R L U' F2
F R' F R L' U' F2
F R' F R L2 U' F2
F R' F R U' F2 D
F R' F R U' F2 D'
F R' F R U' F2 D2
F R' F R D' L2 U'
F' R' F' R F' U' F
F R' F D' L2 R U'
F R' F D' R L2 U'
F2 R' F' R2 F U' F'
B' R' F2 R B U' F
B2 R' F2 R B2 U' F
F2 R' F2 R2 F2 U' F'
D R' F2 R U' R2 F
D R' F2 R U' F R2
B R' F2 R B' U' F
B2 R' F2 B2 R U' F
B R' F2 B' R U' F
R' U2 D L' U F' R2
L2 U2 D L U R2 F
L2 U2 D L U F R2
B R' B' F2 R U' F
R U2 D L' U R2 F'
R' U2 D2 L' B2 U F'
B2 R' B2 F2 R U' F
L2 U2 D2 L B2 U F
R' U2 D2 B2 L' U F'
R2 U2 D2 L' B2 U F
R2 U2 D2 B2 L' U F
F2 R2 D2 L' R' U' F
F2 R2 D2 R' L' U' F
F R2 D' F L' R U'
F R2 D' F R L' U'
F R2 F L R U' F'
F R2 F L' R U' F'
F R2 F L2 R U' F'
F R2 F R L U' F'
F R2 F R L' U' F'
F R2 F R L2 U' F'
F R2 F R U' D F'
F R2 F R U' D' F'
F R2 F R U' D2 F'
F R2 F R U' F' D
F R2 F R U' F' D'
F R2 F R U' F' D2
F R2 F R D U' F'
F R2 F R D' U' F'
F R2 F R D2 U' F'
B2 R2 F2 R B2 U' F'
D R2 F2 R U' F' R'
B R2 F2 R B' U' F'
B2 R2 F2 B2 R U' F'
B R2 F2 B' R U' F'
B R2 B' F2 R U' F'
R' D U2 L' U F' R2
B2 R2 B2 F2 R U' F'
L2 D U2 L U R2 F
L2 D U2 L U F R2
R D U2 L' U R2 F'
U2 D L' U' B' U2 R2
D' U L2 U L U F
U2 D L' B2 U R2 F'
R' D F2 R U' R F
R D F2 R U' R F'
U2 D' L' U' B' L' U2
U D' L2 U L U F
D' U2 L' U' B' L' U2
B' U' F2 B L R U'
B' U' F2 B R L U'
D2 U2 L' B2 R2 U F'
D2 U2 L' B2 U' B U2
D U2 L' U' B' U2 R2
U2 D2 L' B2 R2 U F'
U2 D2 L' B2 U' B U2
F2 U' B U L R U'
F2 U' B U R L U'
B' U' B F2 L R U'
B' U' B F2 R L U'
D U2 L' B2 U R2 F'
R' D2 U2 L' B2 U F'
F2 U2 L U2 R U' F
R' D2 U2 B2 L' U F'
L2 D2 U2 L B2 U F
R2 D2 U2 L' B2 U F
R2 D2 U2 B2 L' U F
F2 U2 R2 U2 R' U' F'
D2 U2 B2 L' U' B' U2
U2 D2 B2 L' U' B' U2
R' F R F R U' F
R' F R' F R U' F
R2 F R F R U' F2
R' F R2 F R U' F
R F R F R U' F'
R F R2 F R U' F2
F2 D L R U B U2
F2 D L' R U B U2
F2 D L2 R U B U2
R' F D' F L2 R U'
R' F D' F R L2 U'
F2 D R L U B U2
F2 D R L' U B U2
F2 D R L2 U B U2
F2 D R U D B U2
F2 D R U D' B U2
F2 D R U D2 B U2
F2 D R U B U2 D
F2 D R U B U2 D'
F2 D R U B U2 D2
F2 D R U B D U2
F2 D R U B D' U2
F2 D R U B D2 U2
F2 D R U' R2 F' R2
F2 D R U2 R2 U F'
F2 D R D U B U2
F2 D R D' U B U2
F2 D R D2 U B U2
R2 F D' F L' R U'
R2 F D' F R L' U'
F2 D R' U' D F' B2
F2 D R' U' D B2 F'
F2 D R' U' F' D B2
F2 D R' D U' F' B2
F2 D R' D U' B2 F'
F D R' F R U' F2
F D R2 F R U' F'
R' F' L F' R U' F
R' F' L' F' R U' F
R2 F' L F' R U' F'
R' F' L2 F' R U' F
R2 F' L' F' R U' F'
F' D F' R' U' F' B
F' D F' R' U' B F'
F D F R U B U2
R2 F' L2 F' R U' F'
F2 D' L R U B U2
U F' U' L' F' R U'
F2 D' L' R U B U2
F2 D' L2 R U B U2
F2 D' R L U B U2
F2 D' R L' U B U2
F2 D' R L2 U B U2
F2 D' R U D B U2
F2 D' R U D' B U2
F2 D' R U D2 B U2
F2 D' R U B U2 D
F2 D' R U B U2 D'
F2 D' R U B U2 D2
F2 D' R U B D U2
F2 D' R U B D' U2
F2 D' R U B D2 U2
F2 D' R U' R2 F' R2
F2 D' R U2 R2 U F'
F2 D' R D U B U2
F2 D' R D' U B U2
F2 D' R D2 U B U2
F2 D' R' U' D F' B2
F2 D' R' U' D B2 F'
F2 D' R' U' F' D B2
F2 D' R' D U' F' B2
F2 D' R' D U' B2 F'
F D' R' F R U' F2
F D' R2 F R U' F'
R' F2 L D2 R U' F'
U' F2 L' R U' L F
R2 F2 L R U' D F'
R2 F2 L R U' D' F'
R2 F2 L R U' D2 F'
R2 F2 L R U' F' D
R2 F2 L R U' F' D'
R2 F2 L R U' F' D2
R2 F2 L R D U' F'
R2 F2 L R D' U' F'
R2 F2 L R D2 U' F'
L' F2 L' U2 L U F
R' F2 L2 R U B' U2
R2 F2 L' R U' D F'
R2 F2 L' R U' D' F'
R2 F2 L' R U' D2 F'
R2 F2 L' R U' F' D
R2 F2 L' R U' F' D'
R2 F2 L' R U' F' D2
R2 F2 L' R D U' F'
R2 F2 L' R D' U' F'
R2 F2 L' R D2 U' F'
L F2 L U2 L U F
U' F2 R L' U' L F
R' F2 R L2 U B' U2
R' F2 R U B U2 F
R' F2 R U B' U2 F
R' F2 R U B2 U2 F
D' F2 R U L2 B U2
R' F2 R U' R F R'
R' F2 R U' R2 F R2
R' F2 R U' D F D
R' F2 R U' D F D'
R' F2 R U' D F D2
R' F2 R U' D' F D
R' F2 R U' D' F D'
R' F2 R U' D' F D2
R' F2 R U' D2 F D
R' F2 R U' D2 F D'
R' F2 R U' D2 F D2
R2 F2 L2 R U' D F'
R2 F2 L2 R U' D' F'
R2 F2 L2 R U' D2 F'
R2 F2 L2 R U' F' D
R2 F2 L2 R U' F' D'
R2 F2 L2 R U' F' D2
R' F2 R U' F2 D F'
R' F2 R U' F2 D' F'
R' F2 R U' F2 D2 F'
D' F2 R U B L2 U2
R2 F2 L2 R D U' F'
R2 F2 L2 R D' U' F'
R2 F2 L2 R D2 U' F'
D2 F2 R U' D' R2 F'
R' F2 R U2 R U F
R' F2 R U2 R' U F
R' F2 R U2 R2 U F
D' F2 R U' D2 R2 F'
R' F2 R D U' F D
R' F2 R D U' F D'
R' F2 R D U' F D2
L' F2 R U B U2 B'
R' F2 R D' U' F D
R' F2 R D' U' F D'
R' F2 R D' U' F D2
D2 F2 R D' U' R2 F'
R' F2 R D2 U' F D
R' F2 R D2 U' F D'
R' F2 R D2 U' F D2
U' F2 R B L U' L'
D' F2 R D2 U' R2 F'
F D' F R U B U2
R' F2 R' U' D F B2
R' F2 R' U' D B2 F
R' F2 R' U' F D B2
R2 F2 R L U' D F'
R2 F2 R L U' D' F'
R2 F2 R L U' D2 F'
R2 F2 R L U' F' D
R2 F2 R L U' F' D'
R2 F2 R L U' F' D2
R2 F2 R L D U' F'
R2 F2 R L D' U' F'
R2 F2 R L D2 U' F'
R2 F2 R L' U' D F'
R2 F2 R L' U' D' F'
R2 F2 R L' U' D2 F'
R2 F2 R L' U' F' D
R2 F2 R L' U' F' D'
R2 F2 R L' U' F' D2
R2 F2 R L' D U' F'
R2 F2 R L' D' U' F'
R2 F2 R L' D2 U' F'
R2 F2 R L2 U' D F'
R2 F2 R L2 U' D' F'
R2 F2 R L2 U' D2 F'
R2 F2 R L2 U' F' D
R2 F2 R L2 U' F' D'
R2 F2 R L2 U' F' D2
R' F2 R' D U' F B2
R' F2 R' D U' B2 F
R2 F2 R L2 D U' F'
R2 F2 R L2 D' U' F'
R2 F2 R L2 D2 U' F'
R2 F2 R U B U2 F'
R2 F2 R U B' U2 F'
R2 F2 R U B2 U2 F'
R2 F2 R U' L' F' L
R2 F2 R U' L2 F' L2
R2 F2 R U' D F' D
R2 F2 R U' D F' D'
R2 F2 R U' D F' D2
R2 F2 R U' D' F' D
R2 F2 R U' D' F' D'
R2 F2 R U' D' F' D2
R2 F2 R U' D2 F' D
R2 F2 R U' D2 F' D'
R2 F2 R U' D2 F' D2
R2 F2 R U' F2 D F
R2 F2 R U' F2 D' F
R2 F2 R U' F2 D2 F
R2 F2 R D L U' F'
R2 F2 R D L' U' F'
R2 F2 R D L2 U' F'
R2 F2 R D U' F' D
R2 F2 R D U' F' D'
R2 F2 R D U' F' D2
R2 F2 R D' L U' F'
R2 F2 R D' L' U' F'
D F2 R U B U2 R
R2 F2 R D' L2 U' F'
R2 F2 R D' U' F' D
R2 F2 R D' U' F' D'
R2 F2 R D' U' F' D2
D F2 R U' R2 F' R'
R2 F2 R D2 L U' F'
R2 F2 R D2 L' U' F'
R2 F2 R D2 L2 U' F'
R2 F2 R D2 U' F' D
R2 F2 R D2 U' F' D'
R2 F2 R D2 U' F' D2
L2 F2 R' U2 L U F'
R' F2 R2 D R' U' F
R' F2 R2 D' R' U' F
R' F2 R2 D2 R' U' F
L F2 R D2 R2 U' F'
R F2 R U' R F' R'
R F2 R U2 R U F'
R F2 R D2 L' U' F
L F2 R' U' D' F' B2
L F2 R' U' D' B2 F'
L F2 R' U' F' D' B2
L F2 R' U2 L2 U F'
L F2 R' D' U' F' B2
L F2 R' D' U' B2 F'
R2 F2 R2 D R' U' F'
R2 F2 R2 D' R' U' F'
R2 F2 R2 D2 R' U' F'
F2 D2 L R U B U2
L2 F2 U2 L R U F
L2 F2 U2 L R' U F
L2 F2 U2 L R2 U F
L2 F2 U2 L U D F
L2 F2 U2 L U D' F
L2 F2 U2 L U D2 F
L2 F2 U2 L U F D
L2 F2 U2 L U F D'
L2 F2 U2 L U F D2
L2 F2 U2 L D U F
L2 F2 U2 L D' U F
L2 F2 U2 L D2 U F
L2 F2 U2 R L U F
L2 F2 U2 R' L U F
F2 D2 L' R U B U2
R' F2 D R U' D F
R' F2 D R U' D' F
R' F2 D R U' D2 F
R' F2 D R U' F D
R' F2 D R U' F D'
R' F2 D R U' F D2
L2 F2 U2 R2 L U F
R' F2 D R D U' F
R' F2 D R D' U' F
R' F2 D R D2 U' F
L2 F2 U2 D L U F
R F2 U B U' R U'
L2 F2 U2 D' L U F
L2 F2 U2 D2 L U F
F2 D2 L2 R U B U2
R' F2 D' R U' D F
R' F2 D' R U' D' F
R' F2 D' R U' D2 F
R' F2 D' R U' F D
R' F2 D' R U' F D'
R' F2 D' R U' F D2
R' F2 D' R D U' F
R' F2 D' R D' U' F
R' F2 D' R D2 U' F
L2 F2 D U2 L U F
F2 D2 R L U B U2
R' F2 D2 R U' D F
R' F2 D2 R U' D' F
R' F2 D2 R U' D2 F
R' F2 D2 R U' F D
R' F2 D2 R U' F D'
R' F2 D2 R U' F D2
F2 D2 R L' U B U2
R' F2 D2 R D U' F
R' F2 D2 R D' U' F
R' F2 D2 R D2 U' F
F2 D2 R L2 U B U2
F2 D2 R U D B U2
F2 D2 R U D' B U2
F2 D2 R U D2 B U2
F2 D2 R U B U2 D
F2 D2 R U B U2 D'
F2 D2 R U B U2 D2
F2 D2 R U B D U2
F2 D2 R U B D' U2
F2 D2 R U B D2 U2
L2 F2 D' U2 L U F
F2 D2 R U' R2 F' R2
F2 D2 R U2 R2 U F'
F2 D2 R D U B U2
F2 D2 R D' U B U2
F2 D2 R D2 U B U2
U' F2 B L R U' L'
U' F2 B R L U' L'
R' F2 B R B' U' F
R2 F2 D2 L' R U' F
L2 F2 D2 U2 L U F
L F2 D' R' U' F' B2
L F2 D' R' U' B2 F'
F2 D2 R' U' D F' B2
F2 D2 R' U' D B2 F'
F2 D2 R' U' F' D B2
R2 F2 D2 R L' U' F
F2 D2 R' D U' F' B2
F2 D2 R' D U' B2 F'
R2 F2 B R B' U' F'
R' F2 B2 R B2 U' F
F D2 R' F R U' F2
L2 F2 B2 R' B2 U' F'
F D2 R2 F R U' F'
R2 F2 B2 R B2 U' F'
F D2 F R U B U2
U' B U F2 L R U'
U' B U F2 R L U'
R B U' F2 R B' U'
R B U' F2 B' R U'
R B U' B' F2 R U'
F2 B R B' U B2 U2
F2 B R B' U' D2 F2
F2 B R B' D L2 U'
F2 B R B' D2 U' F2
U' B F2 L R U' L'
U' B F2 R L U' L'
R' B F2 R B' U' F
R2 B F2 R B' U' F'
L2 B2 R' F2 B2 U' F
L2 B2 R' B2 F2 U' F
B2 F2 R B2 L2 U' F
B2 F2 R B2 U B' U2
F2 B2 R B2 L2 U' F
F2 B2 R B2 U B' U2
B F2 R B' U B2 U2
B F2 R B' U' D2 F2
B F2 R B' D L2 U'
B F2 R B' D2 U' F2
R' B2 F2 R B2 U' F
L2 B2 F2 R' B2 U' F'
R2 B2 F2 R B2 U' F'
