F2 R2 U' L' F
F2 L R2 U' L2 F
F2 R2 L U' L2 F
F2 R2 U' L' D F
F2 R2 U' L' D' F
F2 R2 U' L' D2 F
F2 R2 U' L' F D
F2 R2 U' L' F D'
F2 R2 U' L' F D2
L' D R2 F B2 L
F R2 F U' L' F
L' D R2 B2 F L
F2 R2 B U' L' F
F2 R2 B' U' L' F
L2 D R2 B2 L F
F2 R2 B2 U' L' F
F2 U' L' D F B2
F2 U' L' D B2 F
F2 U' L' F D B2
U' F2 R2 U' L' F
U2 F2 R2 U' L' F
U F2 R2 U' L' F
F2 B R2 U' L' F
F2 B' R2 U' L' F
B' F2 R2 U' L' F
B2 F2 R2 U' L' F
F2 B2 R2 U' L' F
B F2 R2 U' L' F
F R2 F L U' L2 F
F R2 F U' L' D F
F R2 F U' L' D' F
F R2 F U' L' D2 F
F R2 F U' L' F D
F R2 F U' L' F D'
F R2 F U' L' F D2
D R2 F B2 L D F2
L D L2 R2 F B2 L
L D L2 R2 B2 F L
L' D R U2 R F B2
L' D R U2 R B2 F
L' D R U2 B2 R F
F R2 F B U' L' F
F R2 F B' U' L' F
F R2 F B2 U' L' F
L' D R' F R' B2 L
F2 R2 B L U' L2 F
L D R B' U2 R B'
L D R B' U2 B' R
L' D R2 L' B2 L F
F2 R2 B U' L' D F
F2 R2 B U' L' D' F
F2 R2 B U' L' D2 F
F2 R2 B U' L' F D
F2 R2 B U' L' F D'
F2 R2 B U' L' F D2
L2 D R2 L F B2 L
L2 D R2 L B2 F L
L' D R2 F L B2 L
L' D R2 F L' B2 L
L' D R2 F L2 B2 L
L' D R2 F B2 L D
L' D R2 F B2 L D'
L' D R2 F B2 L D2
L' D R2 F B2 D L
L' D R2 F B2 D' L
L' D R2 F B2 D2 L
L' D R2 F' B2 L F2
L' D R2 F2 B2 L F'
F2 R2 B' L U' L2 F
L' D R2 B2 D F L
L' D R2 B2 D' F L
L' D R2 B2 D2 F L
L' D R2 B2 F L D
L' D R2 B2 F L D'
L' D R2 B2 F L D2
L' D R2 B2 F D L
L' D R2 B2 F D' L
L' D R2 B2 F D2 L
L' D R2 B2 F' L F2
L' D R2 B2 F2 L F'
L2 D R2 F B2 L F
L D R2 L B2 L F
L2 D R2 F' B2 L F
F2 R2 B' U' L' D F
F2 R2 B' U' L' D' F
F2 R2 B' U' L' D2 F
F2 R2 B' U' L' F D
F2 R2 B' U' L' F D'
F2 R2 B' U' L' F D2
L2 D R2 F2 B2 L F
L D R2 L2 F B2 L
L D R2 L2 B2 F L
L' D U R2 F B2 L
F R2 B F U' L' F
L' D U R2 B2 F L
L2 D R2 B2 L D F
L2 D R2 B2 L D' F
L2 D R2 B2 L D2 F
L2 D R2 B2 L F D
L2 D R2 B2 L F D'
L2 D R2 B2 L F D2
L2 D R2 B2 D L F
L2 D R2 B2 D' L F
L2 D R2 B2 D2 L F
L2 D R2 B2 F L F
L2 D R2 B2 F' L F
L2 D R2 B2 F2 L F
F2 R2 B2 L U' L2 F
L' D U' R2 F B2 L
L' D U' R2 B2 F L
F2 R2 B2 U' L' D F
F2 R2 B2 U' L' D' F
F2 R2 B2 U' L' D2 F
F2 R2 B2 U' L' F D
F2 R2 B2 U' L' F D'
F2 R2 B2 U' L' F D2
F R2 B' F U' L' F
D R2 B2 L2 D' L' F
D R2 B2 D' L' F L2
L' D U2 R2 F B2 L
L' D U2 R2 B2 F L
D R2 B2 F L D F2
F R2 B2 F U' L' F
F2 U L' D F B2 R'
F2 U L' D B2 R' F
F2 U L' D B2 F R'
F2 U L' F D B2 R'
L' D F2 L' F' R2 B2
L' D F2 L' F' B2 R2
L' D F2 L' B2 F' R2
L2 D F2 L' B2 R2 F'
L' D F2 B2 L' F' R2
L D F' B2 R2 F' L'
L D F2 B2 L' R2 F'
L D F2 B2 R2 L' F'
L D B' R U2 R B'
L D B' R U2 B' R
F U R2 F U' L' F
L' D B2 F2 L' F' R2
L D B2 F' R2 F' L'
L D B2 F2 L' R2 F'
L D B2 F2 R2 L' F'
L' D' L2 R F2 B' U2
L' D' L2 R B' F2 U2
L' D' L2 F2 B' U2 L'
L' D' L2 B' R F2 U2
L' D' L2 B' F2 U2 L'
F U F R2 U' L' F
L' D' R L2 F2 B' U2
L' D' R L2 B' F2 U2
L2 D' L2 F2 U2 L' F
L D' L2 R F2 U2 F'
L' D' R F2 L2 U2 F'
B' U F2 R2 U' L' F
B2 U F2 R2 U' L' F
L D' L2 F2 U2 L' F'
L D' R L2 F2 U2 F'
B U F2 R2 U' L' F
L D' R F2 L2 U2 F
L D' R F2 B' L2 U2
L D' R B' L2 F2 U2
L D' R B' F2 L2 U2
F2 U' L' U R2 U' F
F2 U' L' D F B2 D
F2 U' L' D F B2 D'
F2 U' L' D F B2 D2
F2 U' L' D B2 D F
F2 U' L' D B2 D' F
F2 U' L' D B2 D2 F
F2 U' L' D B2 F D
F2 U' L' D B2 F D'
F2 U' L' D B2 F D2
F2 U' L' D2 F D' B2
F2 U' L' F U R2 U'
F2 U' L' F D B2 D
F2 U' L' F D B2 D'
F2 U' L' F D B2 D2
F2 U' L' F B D B2
F2 U' L' F B' D B2
F2 U' L' F B2 D B2
F2 U' L' F2 D F' B2
F2 U' L' F2 D B2 F'
F2 U' L' B D F B2
F2 U' L' B D B2 F
F2 U' L' B F D B2
F2 U' L' B' D F B2
F2 U' L' B' D B2 F
F2 U' L' B' F D B2
F2 U' L' B2 D F B2
F2 U' L' B2 D B2 F
F2 U' L' B2 F D B2
F2 U' L2 D L F B2
F2 U' L2 D L B2 F
L' D' F2 L2 U2 L F'
L' D' F2 L2 U2 F' L
L D' F2 L2 U2 F L
L D' F2 B' L2 U2 L
F2 U' R2 U' L' R2 F
F2 U' R2 U' L' F R2
F2 U' R2 U' R2 L' F
L D' B' L2 R F2 U2
L D' B' L2 F2 U2 L'
L D' B' R L2 F2 U2
L D' B' R F2 L2 U2
F U' R2 F U' L' F
F2 U' D B2 D' L' F
L D' B' F2 L2 U2 L
F U' F R2 U' L' F
B' U' F2 R2 U' L' F
B2 U' F2 R2 U' L' F
F2 U' B L' D F B2
F2 U' B L' D B2 F
F2 U' B L' F D B2
B U' F2 R2 U' L' F
F2 U' B' L' D F B2
F2 U' B' L' D B2 F
F2 U' B' L' F D B2
F2 U' B2 L' D F B2
F2 U' B2 L' D B2 F
F2 U' B2 L' F D B2
F U2 R2 F U' L' F
F U2 F R2 U' L' F
B' U2 F2 R2 U' L' F
B2 U2 F2 R2 U' L' F
B U2 F2 R2 U' L' F
U' F R2 F U' L' F
L' F R2 F U' L' F'
U2 F R2 F U' L' F
L' F U R2 F U' L'
L' F U F R2 U' L'
U F R2 F U' L' F
F2 D U' B2 D' L' F
U' F2 L R2 U' L2 F
U2 F2 L R2 U' L2 F
L2 F2 L R2 U' F L2
R2 F2 L U R' B' U2
U F2 L R2 U' L2 F
R2 F2 L' U R' U2 F
R2 F2 L' B2 U' F L
L F2 L2 R2 U' F L
U' F2 R2 L U' L2 F
U' F2 R2 U' L' D F
U' F2 R2 U' L' D' F
U' F2 R2 U' L' D2 F
U' F2 R2 U' L' F D
U' F2 R2 U' L' F D'
U' F2 R2 U' L' F D2
L' F2 R2 U B U2 L'
U' F2 R2 B U' L' F
U' F2 R2 B' U' L' F
U' F2 R2 B2 U' L' F
U2 F2 R2 L U' L2 F
L2 F2 R2 L U' F L2
U2 F2 R2 U' L' D F
U2 F2 R2 U' L' D' F
U2 F2 R2 U' L' D2 F
U2 F2 R2 U' L' F D
U2 F2 R2 U' L' F D'
U2 F2 R2 U' L' F D2
U2 F2 R2 B U' L' F
U2 F2 R2 B' U' L' F
U2 F2 R2 B2 U' L' F
U' F2 U' L' D F B2
U' F2 U' L' D B2 F
U' F2 U' L' F D B2
U F2 R2 L U' L2 F
L F2 R2 L2 U' F L
U F2 R2 U' L' D F
U F2 R2 U' L' D' F
U F2 R2 U' L' D2 F
U F2 R2 U' L' F D
U F2 R2 U' L' F D'
U F2 R2 U' L' F D2
L' F2 U' L' D F' B2
L' F2 U' L' D B2 F'
L F2 R2 U B' U2 L'
L' F2 U' L' F' D B2
L F2 R2 U' L2 F L
L' F2 U' D L' F' B2
L' F2 U' D L' B2 F'
D F2 U L' B2 R2 F'
L' F2 U' D B2 L' F'
R2 F2 U D2 R' B U2
U F2 R2 B U' L' F
U2 F2 U' L' D F B2
U2 F2 U' L' D B2 F
U2 F2 U' L' F D B2
U F2 R2 B' U' L' F
U F2 R2 B2 U' L' F
U F2 U' L' D F B2
U F2 U' L' D B2 F
U F2 U' L' F D B2
L' F2 D U' L' F' B2
L' F2 D U' L' B2 F'
L' F2 D U' B2 L' F'
R F2 U2 L' U F L
U' F2 B R2 U' L' F
R2 F2 D' B2 U' L F
R2 F2 D2 U R' B U2
U' F2 B' R2 U' L' F
U2 F2 B R2 U' L' F
U' F2 B2 R2 U' L' F
U2 F2 B' R2 U' L' F
U F2 B R2 U' L' F
U2 F2 B2 R2 U' L' F
R2 F2 B2 L' U' F L2
U F2 B' R2 U' L' F
R2 F2 B2 U' L' F L2
L F2 B2 R2 U' L' F'
U F2 B2 R2 U' L' F
F2 B L R2 U' L2 F
L' B D R2 F B2 L
L' B D R2 B2 F L
L2 B D R2 B2 L F
B' F R2 F U' L' F
F2 B R2 L U' L2 F
F2 B R2 U' L' D F
F2 B R2 U' L' D' F
F2 B R2 U' L' D2 F
F2 B R2 U' L' F D
F2 B R2 U' L' F D'
F2 B R2 U' L' F D2
B2 F R2 F U' L' F
U' B F2 R2 U' L' F
F2 B R2 B U' L' F
F2 B R2 B' U' L' F
F2 B R2 B2 U' L' F
B F R2 F U' L' F
U2 B F2 R2 U' L' F
F B R2 F U' L' F
F2 B U' L' D F B2
F2 B U' L' D B2 F
F2 B U' L' F D B2
U B F2 R2 U' L' F
L B' R U' R F2 U'
F2 B' L R2 U' L2 F
L' B' D R2 F B2 L
L' B' D R2 B2 F L
L B' U' F2 R2 U' L'
L2 B' D R2 B2 L F
F2 B' R2 L U' L2 F
L B' U2 D R2 B2 L
F2 B' R2 U' L' D F
F2 B' R2 U' L' D' F
F2 B' R2 U' L' D2 F
F2 B' R2 U' L' F D
F2 B' R2 U' L' F D'
F2 B' R2 U' L' F D2
F2 B' R2 B U' L' F
L B' D R U2 R B2
L B' D R U2 B2 R
F2 B' R2 B' U' L' F
F2 B' R2 B2 U' L' F
L B' D U2 R2 B2 L
L B' D' L2 R F2 U2
L B' D' L2 F2 U2 L'
L B' D' R L2 F2 U2
L B' D' R F2 L2 U2
F B' R2 F U' L' F
F2 B' U' L' D F B2
F2 B' U' L' D B2 F
F2 B' U' L' F D B2
L B' D' F2 L2 U2 L
U' B' F2 R2 U' L' F
U2 B' F2 R2 U' L' F
U B' F2 R2 U' L' F
D2 B2 L2 U' R U2 F'
B' F2 L R2 U' L2 F
B2 F2 L R2 U' L2 F
R2 B2 L' F2 U' L2 F'
R2 B2 L' F2 U' F' L2
F2 B2 L R2 U' L2 F
B F2 L R2 U' L2 F
B' F2 R2 L U' L2 F
B' F2 R2 U' L' D F
B' F2 R2 U' L' D' F
B' F2 R2 U' L' D2 F
B' F2 R2 U' L' F D
B' F2 R2 U' L' F D'
B' F2 R2 U' L' F D2
B2 F2 R2 L U' L2 F
B' F2 R2 B U' L' F
F2 B2 R2 L U' L2 F
B' F2 R2 B' U' L' F
B' F2 R2 B2 U' L' F
B2 F2 R2 U' L' D F
B2 F2 R2 U' L' D' F
B2 F2 R2 U' L' D2 F
B2 F2 R2 U' L' F D
B2 F2 R2 U' L' F D'
B2 F2 R2 U' L' F D2
F2 B2 R2 U' L' D F
F2 B2 R2 U' L' D' F
F2 B2 R2 U' L' D2 F
F2 B2 R2 U' L' F D
F2 B2 R2 U' L' F D'
F2 B2 R2 U' L' F D2
B2 F2 R2 B U' L' F
B2 F2 R2 B' U' L' F
B2 F2 R2 B2 U' L' F
F2 B2 R2 B U' L' F
B F2 R2 L U' L2 F
F2 B2 R2 B' U' L' F
F2 B2 R2 B2 U' L' F
B F2 R2 U' L' D F
B F2 R2 U' L' D' F
B F2 R2 U' L' D2 F
B F2 R2 U' L' F D
B F2 R2 U' L' F D'
B F2 R2 U' L' F D2
B' F2 U' L' D F B2
B' F2 U' L' D B2 F
B' F2 U' L' F D B2
L' B2 D R2 F B2 L
L' B2 D R2 B2 F L
B F2 R2 B U' L' F
B F2 R2 B' U' L' F
B F2 R2 B2 U' L' F
B2 F2 U' L' D F B2
B2 F2 U' L' D B2 F
B2 F2 U' L' F D B2
F B2 R2 F U' L' F
F2 B2 U' L' D F B2
F2 B2 U' L' D B2 F
L2 B2 D R2 B2 L F
F2 B2 U' L' F D B2
B F2 U' L' D F B2
B F2 U' L' D B2 F
B F2 U' L' F D B2
L B2 D R2 F' B2 L
L B2 D R2 B2 L F'
L B2 D R2 B2 F' L
U' B2 F2 R2 U' L' F
U2 B2 F2 R2 U' L' F
R2 B2 F2 L' U' F L2
R2 B2 F2 U' L' F L2
L B2 F2 R2 U' L' F'
U B2 F2 R2 U' L' F
