U' L2 D' R U2 F'
B R' U D2 L2 R2
B R' U D2 R2 L2
B R' U' L2 R2 U2
B R' U' R2 L2 U2
B R' D' F2 B2 U
B R' D' B2 F2 U
B R' D2 U L2 R2
B R' D2 U R2 L2
L2 D F2 U2 L' F
U2 D F2 U' L' F
L2 D' R U2 F' B2
L2 D' R U2 B2 F'
D U2 F2 U' L' F
D' B2 U' R U2 F'
B R' B D' F2 B2 U
B R' B D' B2 F2 U
B R' B D2 U L2 R2
B R' B D2 U R2 L2
B R' B' U D2 L2 R2
B R' B' U D2 R2 L2
B R' B' U' L2 R2 U2
B R' B' U' R2 L2 U2
B R' B' D' F2 B2 U
D' R' B2 U D2 L2 F
B R' B' D' B2 F2 U
B R' B' D2 U L2 R2
B R' B' D2 U R2 L2
D' R' B2 U' R2 B' U2
D' R' B2 U' B' R2 U2
D' R' B2 D2 U L2 F
B R' B2 U D2 L2 R2
B R' B2 U D2 R2 L2
B R' B2 U' L2 R2 U2
B R' B2 U' R2 L2 U2
B R' B2 D' F2 B2 U
B R' B2 D' B2 F2 U
B R' B2 D2 U L2 R2
B R' B2 D2 U R2 L2
U' R2 L2 D' R' B U2
B' R2 D' B2 R' U L
B R2 D' B2 R U L
D' R2 B2 R' U L F'
D' R2 B2 R' U F' L
B' U L' D F2 L' R
B' U L' D F2 R L'
F2 U L' D' F2 R F'
F2 U L' F2 D' R F'
U2 D L' F2 U' L' F'
B2 U L2 R B U2 B'
B2 U R L2 B U2 B'
L2 D F2 R U2 L' F
L2 D F2 R' U2 L' F
L2 D F2 R2 U2 L' F
B2 U R B L2 F U2
L2 D F2 U2 L' D F
L2 D F2 U2 L' D' F
L2 D F2 U2 L' D2 F
L2 D F2 U2 L' F D
L2 D F2 U2 L' F D'
L2 D F2 U2 L' F D2
L2 D F2 B U2 L' F
L2 D F2 B' U2 L' F
L2 D F2 B2 U2 L' F
B2 U R' D2 L2 F' R2
B2 U R' D2 F' L2 R2
B2 U R' D2 F' R2 L2
B2 U R' F' D2 L2 R2
B2 U R' F' D2 R2 L2
L2 D B F2 U2 L' F
F2 U D L' D R2 F
F2 U D L' D F R2
L2 D B' F2 U2 L' F
L2 D B2 F2 U2 L' F
F2 U D2 R2 D' L' F
U2 D F2 L U' L2 F
U2 D F2 U' L' D F
U2 D F2 U' L' D' F
U2 D F2 U' L' D2 F
U2 D F2 U' L' F D
U2 D F2 U' L' F D'
U2 D F2 U' L' F D2
U2 D F2 B U' L' F
U2 D F2 B' U' L' F
U2 D F2 B2 U' L' F
U2 D B F2 U' L' F
R' D' R F2 B2 U F
B' U F2 L' D F2 R
R' D' R B2 F2 U F
L2 D' R U2 F' B2 D
L2 D' R U2 F' B2 D'
L2 D' R U2 F' B2 D2
L2 D' R U2 B2 D F'
L2 D' R U2 B2 D' F'
L2 D' R U2 B2 D2 F'
L2 D' R U2 B2 F' D
L2 D' R U2 B2 F' D'
L2 D' R U2 B2 F' D2
L2 D' R D2 F2 U2 F
L2 D' R F U2 F2 B2
L2 D' R F U2 B2 F2
L2 D' R F2 U2 F B2
L2 D' R F2 U2 B2 F
L2 D' R B U2 F' B
L2 D' R B U2 B F'
U2 D B' F2 U' L' F
L2 D' R B' U2 F' B'
L2 D' R B' U2 B' F'
L2 D' R' B R2 F' U2
R D' R B2 U L F'
U2 D B2 F2 U' L' F
R D' R B2 U F' L
L2 D' R2 U2 B2 L F
U' D' R U B2 U F'
D' U' R U B2 U F'
U' D' R U2 D' F' R2
D' U' R U2 D' F' R2
U' D' R U2 F' D' R2
D' U' R U2 F' D' R2
U' D' R D L2 U2 F'
D' U' R D L2 U2 F'
D2 U' R U2 D R F'
D' U' R D' U2 F' R2
U' D' R D' U2 F' R2
D2 U' R D U2 R F'
B2 U' L' R B' L' U2
B' U' L2 R U' L' U'
B2 U' L' B' L' R U2
B2 U' L' B' R L' U2
B2 U' L2 U2 F2 L' F
B2 U' L2 D2 R U2 F'
R' D' F2 R B2 U F'
B U' L2 R U R2 U
B U' L2 R U2 D' F2
B U' L2 R D B2 U2
B U' L2 R D' U2 F2
B' U' R L2 U' L' U'
B2 U' R L' B' L' U2
R' D' F2 B2 R U F'
B U' R L2 U R2 U
B U' R L2 U2 D' F2
B U' R L2 D B2 U2
B U' R L2 D' U2 F2
L2 D' B' R U2 F' B'
L2 D' B' R U2 B' F'
R' D' B2 R F2 U F
R' D' B2 F2 R U F'
R2 D' B2 R U L F'
R2 D' B2 R U F' L
D U2 L' F2 U' L' F'
U' D2 R U2 D R F'
U' D2 R D U2 R F'
B' U2 L U L R U2
B' U2 L U R L U2
R' D2 F' R U L2 R
R' D2 F' R U R L2
D U2 F2 L U' L2 F
D U2 F2 U' L' D F
D U2 F2 U' L' D' F
D U2 F2 U' L' D2 F
D U2 F2 U' L' F D
D U2 F2 U' L' F D'
D U2 F2 U' L' F D2
D U2 F2 B U' L' F
D U2 F2 B' U' L' F
D U2 F2 B2 U' L' F
B' U2 D L F2 U' L'
D U2 B F2 U' L' F
B' U2 D F2 L U' L2
D U2 B' F2 U' L' F
D U2 B2 F2 U' L' F
B' D L F2 R U' L'
D F U2 F U' L' F
B D R' D2 B2 U L2
F2 D U L' D R2 F
F2 D U L' D F R2
B' D U2 L F2 U' L'
B' D U2 F2 L U' L2
F2 D' R B2 U L' F'
B D' R' D' F2 U R2
B' D' R2 B2 R' U L
B D' R' B2 U D2 L2
B D' R' B2 U' R2 U2
B D' R' B2 D' F2 U
B D' R' B2 D2 U L2
B D' R2 B2 R U L
L' F2 L' D' R F' B2
L' F2 L' D' R B2 F'
L' F2 L' D' B2 R F'
U F2 L' D' F2 R F'
U F2 L' F2 D' R F'
D' F2 R B2 U L' F'
B' D' F2 B2 R' U L'
B D' F2 R' B2 U L'
D2 F2 U L R2 F L2
D2 F2 U L F L2 R2
D2 F2 U L F R2 L2
D2 F2 U R2 L F L2
B' D' B2 R' U D2 L2
B' D' B2 R' U' R2 U2
B' D' B2 R' D' F2 U
B' D' B2 R' D2 U L2
F2 D' B2 R U L' F'
B' D' B2 F2 R' U L'
F2 D' B2 U D2 L' F
F2 D' B2 D2 U L' F
U F2 D L' D R2 F
U F2 D L' D F R2
B D2 R' U D2 L2 R'
B D2 R' U D2 R' L2
B D2 R' U' R2 U2 R
B D2 R' D' F2 U R'
U F2 D2 R2 D' L' F
B D2 R' D2 U L2 R'
B D2 R' D2 U R' L2
D' F2 B2 R U L' F'
D' F2 B2 U D2 L' F
D' F2 B2 D2 U L' F
F2 D2 U R2 D' L' F
U' B L2 R U R2 U
U' B L2 R U2 D' F2
U' B L2 R D B2 U2
U' B L2 R D' U2 F2
U' B R L2 U R2 U
U' B R L2 U2 D' F2
U' B R L2 D B2 U2
U' B R L2 D' U2 F2
F' D2 F' R U L' R
F' D2 F' R U R L'
L2 B R U L2 R2 U
L2 B R U R2 L2 U
R' B R' U' L2 R' U2
R' B R' U' R' L2 U2
L2 B R U2 D' F2 B2
L2 B R U2 D' B2 F2
L2 B R D F2 B2 U2
L2 B R D B2 F2 U2
L2 B R D' U2 F2 B2
L2 B R D' U2 B2 F2
R' B R' D' B2 U L
R B L2 U L2 R' U
R B L2 U R' L2 U
B D2 F2 R' U L' R'
B D2 F2 R' U R' L'
R B R' U' L2 R U2
R B R' U' R L2 U2
D B U2 F2 U' L' F
R' B D' R' F2 B2 U
R' B D' R' B2 F2 U
R' B D' F2 R' B2 U
R' B D2 R' U L2 R'
R' B D2 R' U R' L2
F2 B R' U D2 L' R2
F2 B R' U D2 R2 L'
F2 B R' U' L2 U2 L
F2 B R' D' B2 U L'
F2 B R' D2 U L' R2
F2 B R' D2 U R2 L'
U2 B' L U L R U2
U2 B' L U R L U2
U' B' L2 R U' L' U'
U' B' R L2 U' L' U'
F2 B D' R' B2 U L'
F2 B D2 R' U L' R'
F2 B D2 R' U R' L'
U2 B' D L F2 U' L'
D B' U2 F2 U' L' F
U2 B' D F2 L U' L2
R' B' D' F2 B2 R' U
R' B' D' B2 R' F2 U
R' B' D' B2 F2 R' U
F2 B' U L' D F2 R
F2 B' D' B2 R' U L'
D' B2 R' U' R2 U2 F'
D' B2 R' U' B R2 U2
D' B2 U D2 F2 L' F
D' B2 U F2 D2 L' F
U2 B2 U L2 R B U2
U2 B2 U R L2 B U2
U2 B2 U R B L2 U2
D' B2 U' R U2 D F'
D' B2 U' R U2 D' F'
D' B2 U' R U2 D2 F'
D' B2 U' R U2 F' D
D' B2 U' R U2 F' D'
D' B2 U' R U2 F' D2
D' B2 U' R D U2 F'
D' B2 U' R D' U2 F'
D' B2 U' R D2 U2 F'
D' B2 U' R B U2 F'
D' B2 U' R B' U2 F'
D' B2 U' R B2 U2 F'
D' B2 U' R' B R2 U2
D' B2 U' B R U2 F'
D' B2 U' B' R U2 F'
D' B2 U' B2 R U2 F'
B F2 R' U D2 L' R2
B F2 R' U D2 R2 L'
B F2 R' U' L2 U2 L
B' F2 U L' D F2 R
B F2 R' D' B2 U L'
B F2 R' D2 U L' R2
B F2 R' D2 U R2 L'
R2 B2 U' L2 U2 L' F
D B2 U2 F2 U' L' F
D' B2 D2 U F2 L' F
D' B2 D2 F2 U L' F
B' F2 D' B2 R' U L'
D' B2 F2 R U L' F'
D' B2 F2 U D2 L' F
B F2 D' R' B2 U L'
D' B2 F2 D2 U L' F
B F2 D2 R' U L' R'
B F2 D2 R' U R' L'
