F L' R2 F2 B' U
F L' R2 B' F2 U
F L' F2 R2 B' U
F L' F2 B' R2 U
F L' B' R2 F2 U
F L' B' F2 R2 U
F R2 L' F2 B' U
F R2 L' B' F2 U
F' R2 U2 R' F' U'
R2 F L' B' U2 B2 U'
R2 F L' B' D U L2
R2 F L' B' D2 F2 U
U' F R2 L' F2 U R'
L' F R2 B' L' F2 U
L F U2 L' R2 F2 U
L F U2 L' F2 R2 U
L F U2 R2 L' F2 U
L F D2 L2 B2 R' U'
L' F B' L' R2 F2 U
L' F B' L' F2 R2 U
L' F B' R2 L' F2 U
L' F' R2 B2 L B U
L2 F' R2 B2 L B' U
L F' R2 U2 R' F2 U'
L F' R2 U2 F2 R' U'
L F' R2 D2 B2 L U
L F' U2 R F2 L' U'
F D' L' B' U L' F2
L' F' B R2 B2 L U
L' F' B' R2 U2 R' U'
B' F L' R2 F2 B' U
B' F L' R2 B' F2 U
B2 F L' R2 F2 B' U
B2 F L' R2 B' F2 U
B' F L' F2 R2 B' U
B' F L' F2 B' R2 U
B' F L' B' R2 F2 U
B' F L' B' F2 R2 U
B2 F L' F2 R2 B' U
B2 F L' F2 B' R2 U
B2 F L' B' R2 F2 U
B2 F L' B' F2 R2 U
B F L' R2 F2 B' U
B F L' R2 B' F2 U
F B L' R2 F2 B' U
F B L' R2 B' F2 U
B F L' F2 R2 B' U
B F L' F2 B' R2 U
B F L' B' R2 F2 U
B F L' B' F2 R2 U
F B L' F2 R2 B' U
F B L' F2 B' R2 U
F B L' B' R2 F2 U
F B L' B' F2 R2 U
B' F R2 L' F2 B' U
B' F R2 L' B' F2 U
B2 F R2 L' F2 B' U
B2 F R2 L' B' F2 U
F' B R2 U2 R' F' U'
L' B F' R2 B2 L U
B F R2 L' F2 B' U
B F R2 L' B' F2 U
F B R2 L' F2 B' U
F B R2 L' B' F2 U
F B' L' R2 F2 B' U
F B' L' R2 B' F2 U
F B' L' F2 R2 B' U
F B' L' F2 B' R2 U
F B' L' B' R2 F2 U
F B' L' B' F2 R2 U
B' F' R2 U2 R' F' U'
F' B' R2 U2 R' F' U'
B2 F' R2 U2 R' F' U'
B F' R2 U2 R' F' U'
F B' R2 L' F2 B' U
F B' R2 L' B' F2 U
L' B' F L' R2 F2 U
L' B' F L' F2 R2 U
L' B' F R2 L' F2 U
L' B' F' R2 U2 R' U'
F B2 L' R2 F2 B' U
F B2 L' R2 B' F2 U
F B2 L' F2 R2 B' U
F B2 L' F2 B' R2 U
F B2 L' B' R2 F2 U
F B2 L' B' F2 R2 U
F' B2 R2 U2 R' F' U'
F B2 R2 L' F2 B' U
F B2 R2 L' B' F2 U
