F2 L U B L2 F
U L' D F2 L' B
U L' D F2 B L'
U L' D B F2 L'
U L' B D F2 L'
L U R U2 R' B
L' U D F2 L' B
L' U D F2 B L'
L' U D B F2 L'
L' U B D F2 L'
L' D U F2 L' B
L' D U F2 B L'
L' D U B F2 L'
F2 U L' D F2 B
F2 U L' D B F2
F2 U L' B D F2
F2 U B D L' F
F2 U2 L U' L2 B
F2 U2 L U' B L2
U F2 L' D F2 B
U F2 L' D B F2
U F2 L' B D F2
U F2 B D L' F
U B D F2 L' F
U B F2 D L' F
L' U B D L F2 L'
L' U B D L' F2 L'
L' U B D L2 F2 L'
L' U B D F2 L' D
L' U B D F2 L' D'
L' U B D F2 L' D2
L' U B D F2 D L'
L' U B D F2 D' L'
L' U B D F2 D2 L'
L U B L' F2 L' F
L U B L2 F2 L' F'
L' U B F2 D L' F2
B2 R U2 D' R2 F2 B'
B2 R U2 D' R2 B' F2
B2 R U2 D' F2 R2 B'
B2 R U2 D' F2 B' R2
B2 R U2 D' B' R2 F2
B2 R U2 D' B' F2 R2
L U B U2 R B' U2
L U B U2 B' R U2
L U B F L2 F L'
L U B F2 L2 F L
B2 R D L2 F B2 U2
B2 R D L2 B2 F U2
B2 R D B2 L2 U2 B
L' U B2 D F2 B' L'
L' U B2 D B' F2 L'
R U B2 R' U B R
B2 R D' U2 R2 F2 B'
B2 R D' U2 R2 B' F2
B2 R D' U2 F2 R2 B'
B2 R D' U2 F2 B' R2
B2 R D' U2 B' R2 F2
B2 R D' U2 B' F2 R2
L U B2 D2 F2 B' L'
L U B2 D2 B' F2 L'
U' R D2 U' L U' B'
L U' R2 F' R' U2 F
U' R B2 U R' U B
L' U' D' B2 R U2 B'
R2 U' F' R' U' L U'
L U' F' U2 F B L
L U' F' U2 B F L
L U' F2 U2 L' F2 B
L U' F2 U2 L' B F2
L U' F2 U2 B L' F2
F2 R' U2 L U' L2 B'
L U' B U2 R U2 R'
R' U2 L U R2 F U2
R' U2 L U F R2 U2
R' U2 L U' D2 L2 B'
R' U2 L D2 U' L2 B'
B2 R' D' F2 U R2 B'
B2 R' D' F2 U B' R2
R2 U2 L U F' R' U2
R U2 L R' U' L' B
R U2 L R' U' B L'
R U2 R' L U' L' B
R U2 R' L U' B L'
B2 R' B2 U D2 L2 B
B2 R' B2 U D2 B L2
B2 R' B2 U B D2 L2
B2 R' B2 U' R2 F' U2
B2 R' B2 D' F2 U B
B2 R' B2 D2 U L2 B
B2 R' B2 D2 U B L2
U2 R2 L U F' R' U2
R U2 D2 L U' B' L'
L' D L U F2 L' B
L' D L U F2 B L'
L' D L U B F2 L'
L' D L' U F2 L' B
L' D L' U F2 B L'
L' D L' U B F2 L'
L' D L2 U F2 L' B
L' D L2 U F2 B L'
L' D L2 U B F2 L'
U' R2 F' R' U' L U'
B' R2 F' U' B2 L F
L' D U L F2 L' B
L' D U L F2 B L'
L' D U L B F2 L'
L' D U L' F2 L' B
L' D U L' F2 B L'
L' D U L' B F2 L'
L' D U L2 F2 L' B
L' D U L2 F2 B L'
L' D U L2 B F2 L'
L' D U F2 L B L2
L' D U F2 L' D B
L' D U F2 L' D' B
L' D U F2 L' D2 B
L' D U F2 L' B D
L' D U F2 L' B D'
L' D U F2 L' B D2
L' D U F2 D L' B
L' D U F2 D B L'
L' D U F2 D' L' B
L' D U F2 D' B L'
L' D U F2 D2 L' B
L' D U F2 D2 B L'
L' D U F2 B L' D
L' D U F2 B L' D'
L' D U F2 B L' D2
L' D U F2 B D L'
L' D U F2 B D' L'
L' D U F2 B D2 L'
L' D U F2 B' L' B2
L' D U B L F2 L'
L' D U B L' F2 L'
L' D U B L2 F2 L'
L' D U B F2 L' D
L' D U B F2 L' D'
L' D U B F2 L' D2
L' D U B F2 D L'
L' D U B F2 D' L'
L' D U B F2 D2 L'
L' D U B' F2 L' B2
L D U R U2 R' B
F2 U L B L2 D F2
D' U L' D F2 L' B
D' U L' D F2 B L'
D' U L' D B F2 L'
D2 U L' D F2 L' B
D2 U L' D F2 B L'
D2 U L' D B F2 L'
F2 U L' U L2 U' B
L' D F U F L' B
L' D F U F B L'
L' D F U B F L'
D' U L' B D F2 L'
F2 U L' D F2 D B
F2 U L' D F2 D' B
F2 U L' D F2 D2 B
F2 U L' D F2 B D
F2 U L' D F2 B D'
F2 U L' D F2 B D2
D2 U L' B D F2 L'
F2 U L' D B F2 D
F2 U L' D B F2 D'
F2 U L' D B F2 D2
F' U L' B D L2 F2
F' U L' B D F2 L2
F2 U L' D2 B D' F2
F2 U L' F D F2 B
F2 U L' F D B F2
F2 U L' F B D F2
F2 U L' F' D F2 B
F2 U L' F' D B F2
F2 U L' F' B D F2
F2 U L' F2 D F2 B
F2 U L' F2 D B F2
F2 U L' F2 B D F2
F2 U L' B U L2 U'
F2 U L' B D F2 D
F2 U L' B D F2 D'
F2 U L' B D F2 D2
F2 U L' B F D F2
F2 U L' B F' D F2
F2 U L' B F2 D F2
D U L' D F2 L' B
D U L' D F2 B L'
D U L' D B F2 L'
F2 U L' B2 D F2 B'
F2 U L' B2 D B' F2
D U L' B D F2 L'
U D L' D F2 L' B
U D L' D F2 B L'
U D L' D B F2 L'
U D L' B D F2 L'
F2 U D L' D F2 B
F2 U D L' D B F2
F2 U D L' B D F2
F2 U D B D L' F
F2 U D' L' D F2 B
F2 U D' L' D B F2
F2 U D' L' B D F2
F2 U D' B D L' F
D' U F2 L' D F2 B
D' U F2 L' D B F2
D' U F2 L' B D F2
D2 U F2 L' D F2 B
D2 U F2 L' D B F2
F2 U D2 L' D F2 B
F2 U D2 L' D B F2
D2 U F2 L' B D F2
F2 U D2 L' B D F2
F2 U D2 B D L' F
D' U F2 B D L' F
D2 U F2 B D L' F
D U F2 L' D F2 B
D U F2 L' D B F2
D U F2 L' B D F2
U D F2 L' D F2 B
U D F2 L' D B F2
U D F2 L' B D F2
R' D' L2 F2 R U B
D' U B D F2 L' F
D2 U B D F2 L' F
D U F2 B D L' F
F U F L' D F2 B
F U F L' D B F2
F U F L' B D F2
D' U B F2 D L' F
D2 U B F2 D L' F
U D F2 B D L' F
D U B D F2 L' F
F U F B D L' F
D U B F2 D L' F
U D B D F2 L' F
U D B F2 D L' F
F2 U B D L' D F
F2 U B D L' D' F
F2 U B D L' D2 F
F2 U B D L' F D
F2 U B D L' F D'
F2 U B D L' F D2
F U B F D L' F
L' D' U' B2 R U2 B'
L D' U R U2 R' B
U D' L' D F2 L' B
U D' L' D F2 B L'
U D' L' D B F2 L'
U D' L' B D F2 L'
U D' F2 L' D F2 B
U D' F2 L' D B F2
U D' F2 L' B D F2
U D' F2 B D L' F
U D' B D F2 L' F
U D' B F2 D L' F
L' D2 R2 U' F' R' U2
U D2 L' D F2 L' B
U D2 L' D F2 B L'
U D2 L' D B F2 L'
U D2 L' B D F2 L'
L' D2 U B D' F2 L'
L D2 U R U2 R' B
F2 U2 L U' L' B L'
F2 U2 L U' L2 D B
F2 U2 L U' L2 D' B
F2 U2 L U' L2 D2 B
F2 U2 L U' L2 B D
F2 U2 L U' L2 B D'
F2 U2 L U' L2 B D2
F2 U2 L U' B L2 D
F2 U2 L U' B L2 D'
F2 U2 L U' B L2 D2
F2 U2 L U' B' L2 B2
F2 U2 L D' B2 U' B'
F' U2 L B' U' B2 L
F' U2 L B2 U' B' L
F2 U2 L B' U' L2 B2
F2 U2 L B' U' B2 L2
F2 U2 L B2 U' B' L2
R D2 U2 L U' B' L'
U D2 F2 L' D F2 B
U D2 F2 L' D B F2
U D2 F2 L' B D F2
U D2 F2 B D L' F
U D2 B D F2 L' F
F2 U2 D L U' L2 B
F2 U2 D L U' B L2
U D2 B F2 D L' F
F2 U2 D' L U' L2 B
F2 U2 D' L U' B L2
F2 U2 D2 L U' L2 B
F2 U2 D2 L U' B L2
F U2 D' L B' U' B2
F' U2 B' U' B2 L F
L2 F U L F L' B
L2 F U L F B L'
L2 F U L B F L'
L2 F U B L F L'
F2 D L U B L2 F
L F U B L2 F L'
F2 D U L' D F2 B
F2 D U L' D B F2
F2 D U L' B D F2
F2 D U B D L' F
F2 D U2 L U' L2 B
F2 D U2 L U' B L2
U' F' U' L U' B L
F2 D' L U B L2 F
F2 D' U L' D F2 B
F2 D' U L' D B F2
F2 D' U L' B D F2
U F' B D F' L' F
D2 F2 L U B L2 F
D' F2 L U B L2 F
F2 D' U B D L' F
F2 D' U2 L U' L2 B
F2 D' U2 L U' B L2
U2 F2 L F2 U' L2 B
U2 F2 L F2 U' B L2
D F2 L U B L2 F
U2 F2 L' D F2 B R2
U2 F2 L' D B R2 F2
U2 F2 L' D B F2 R2
F D' U2 L B' U' B2
U2 F2 L' B D R2 F2
U2 F2 L' B D F2 R2
U F2 L B L2 D F2
U F2 L' U L2 U' B
U F2 L' D F2 D B
U F2 L' D F2 D' B
U F2 L' D F2 D2 B
U F2 L' D F2 B D
U F2 L' D F2 B D'
U F2 L' D F2 B D2
U F2 L' D B F2 D
U F2 L' D B F2 D'
U F2 L' D B F2 D2
U F2 L' D2 B D' F2
U F2 L' F D F2 B
U F2 L' F D B F2
U F2 L' F B D F2
U F2 L' F' D F2 B
U F2 L' F' D B F2
U F2 L' F' B D F2
U F2 L' F2 D F2 B
U F2 L' F2 D B F2
U F2 L' F2 B D F2
U F2 L' B U L2 U'
U F2 L' B D F2 D
U F2 L' B D F2 D'
U F2 L' B D F2 D2
U F2 L' B F D F2
U F2 L' B F' D F2
U F2 L' B F2 D F2
U F2 L' B2 D F2 B'
U F2 L' B2 D B' F2
D2 F2 U L' D F2 B
D2 F2 U L' D B F2
D2 F2 U L' B D F2
D' F2 U L' D F2 B
D' F2 U L' D B F2
D' F2 U L' B D F2
L' F2 U D L' F2 B
L' F2 U D L' B F2
L' F2 U D B L' F2
U' F2 U' L U' L2 B
U' F2 U' L U' B L2
D2 F2 U B D L' F
D' F2 U B D L' F
L' F2 U B D L' F2
D F2 U L' D F2 B
D F2 U L' D B F2
D F2 U L' B D F2
U' F2 U2 L' D F2 B
U' F2 U2 L' D B F2
U' F2 U2 L' B D F2
D2 F2 U2 L U' L2 B
D2 F2 U2 L U' B L2
D' F2 U2 L U' L2 B
D' F2 U2 L U' B L2
U F2 U L U' L2 B
U F2 U L U' B L2
L F2 U L B L2 F
D F2 U B D L' F
F2 D2 L U B L2 F
L' F2 U2 L2 U' L B
U' F2 U2 B D L' F
L F2 U B L2 F L
L F2 U' L' B2 R' B'
D F2 U2 L U' L2 B
D F2 U2 L U' B L2
L' F2 D U L' F2 B
L' F2 D U L' B F2
L' F2 D U B L' F2
L F2 U' B' L' B2 R'
U F2 D L' D F2 B
U F2 D L' D B F2
U F2 D L' B D F2
U F2 D B D L' F
U F2 D' L' D F2 B
U F2 D' L' D B F2
U F2 D' L' B D F2
U F2 D' B D L' F
U F2 D2 L' D F2 B
U F2 D2 L' D B F2
U F2 D2 L' B D F2
U2 F2 B D L' R2 F
U2 F2 B D L' F R2
U2 F2 B D R2 L' F
U F2 D2 B D L' F
F2 D2 U L' D F2 B
F2 D2 U L' D B F2
F2 D2 U L' B D F2
U F2 B D L' D F
U F2 B D L' D' F
U F2 B D L' D2 F
U F2 B D L' F D
U F2 B D L' F D'
U F2 B D L' F D2
F2 D2 U B D L' F
F2 D2 U2 L U' L2 B
F2 D2 U2 L U' B L2
U B L D F2 L' F
U B L F2 D L' F
U B L' D F2 L' F
U B L' F2 D L' F
U B L2 D F2 L' F
U B L2 F2 D L' F
U B U2 D' R U2 F'
U B D L' F2 L' F'
U B D F L' F L'
U B D F2 L' D F
U B D F2 L' D' F
U B D F2 L' D2 F
U B D F2 L' F D
U B D F2 L' F D'
U B D F2 L' F D2
U B D' U2 R U2 F'
U B D' F2 D2 L' F
U2 B F2 D L' R2 F
U2 B F2 D L' F R2
U2 B F2 D R2 L' F
U B F' D F' L' F
U B F2 D L' D F
U B F2 D L' D' F
U B F2 D L' D2 F
U B F2 D L' F D
U B F2 D L' F D'
U B F2 D L' F D2
U2 B' R2 U' B2 L F
U2 B' U R B U2 B
L B' R2 F' U' B2 L
U' B2 R U R2 U B'
U' B2 R U2 D' F2 B'
U' B2 R U2 D' B' F2
U' B2 R U2 B' D' F2
U' B2 R D B2 U2 B
U' B2 R D' U2 F2 B'
U' B2 R D' U2 B' F2
B2 F2 R' B2 U L' B
B2 F2 R' B2 U B L'
F2 B2 R' B2 U L' B
F2 B2 R' B2 U B L'
R B2 U R' B2 U B'
L B2 D2 F2 U' B' L'
