L2 U F' B' U F'
L2 U B' F' U F'
R2 U' F B U' F
R2 U' B F U' F
U' F U' D' F L2
U' F U2 F2 U F'
U' F D' U' F L2
U' F D2 B2 U' F
U F' U D F' R2
U F' U2 F2 U' F
U F' D U F' R2
U F' D2 B2 U F'
F' U' D F U2 R2 F2
F' U' D F U2 F2 R2
U D' F' D U R2 F2
U D' F' D U F2 R2
U D' F' D2 R2 B2 U
U D' F' D2 B2 R2 U
F' U' D' L2 U2 F' B'
F' U' D' L2 U2 B' F'
F' U' D' F L2 U2 F2
F U' D F D2 L2 B2
F U' D F D2 B2 L2
F U' D' F L2 D2 B2
F U' D' F2 L2 F' B'
F U' D' F2 L2 B' F'
B' U' F U' D' F L2
B' U' F U2 F2 U F'
F' U' F U' F U' F
B' U' F D' U' F L2
B2 U' F U' D' F L2
B' U' F D2 B2 U' F
B2 U' F U2 F2 U F'
B2 U' F D' U' F L2
B2 U' F D2 B2 U' F
B U' F U' D' F L2
B U' F U2 F2 U F'
B U' F D' U' F L2
B U' F D2 B2 U' F
U' D2 F D2 B2 U' F2
F' U2 L2 F2 U' F B'
F' U2 L2 F2 U' B' F
U D2 F' D2 B2 U F2
L2 D2 B2 U F' B U
L2 D2 B2 U B F' U
F U2 R2 F2 U F' B
F U2 R2 F2 U B F'
R2 D2 B2 U' F B' U'
R2 D2 B2 U' B' F U'
U' F L2 U' D' L2 F
U' F L2 D' U' L2 F
F' U2 F2 R2 U' F B
F' U2 F2 R2 U' B F
F' U2 F2 U F' U2 F2
F' U2 F2 U' F D2 B2
R' F R2 U' F B L
R' F R2 U' B F L
F U2 F2 L2 U F' B'
F U2 F2 L2 U B' F'
F U2 F2 U F' D2 B2
F U2 F2 U' F U2 F2
U' F U D R2 U2 F
U' F U' L2 D' L2 F
U' F U' D F D2 L2
U' F U' D' F L2 D
U' F U' D' F L2 D'
U' F U' D' F L2 D2
U' F U' D' F' L2 F2
U' F U' D' F2 L2 F'
U' F U' D2 F D L2
U' F U' F U' F U
U' F U2 R F2 U F'
U' F U2 R' F2 U F'
U' F U2 R2 F2 U F'
U' F U2 F2 U D F'
U' F U2 F2 U D' F'
U' F U2 F2 U D2 F'
U' F U2 F2 U F' D
U' F U2 F2 U F' D'
U' F U2 F2 U F' D2
U' F U2 F2 D U F'
U' F U2 F2 D' U F'
U' F U2 F2 D2 U F'
R F U F' U2 L' F2
D F U' D' F2 L2 B'
U' F D U R2 U2 F
U' F D U' F D2 L2
D F U2 R2 F2 U B
F' D L2 U F' R2 B'
F' D L2 U F' B' R2
F' D L2 U B' F' R2
U' F D' U' F L2 D
U' F D' U' F L2 D'
U' F D' U' F L2 D2
U' F D' U' F' L2 F2
U' F D' U' F2 L2 F'
U' F D' B U' F L2
U' F D' B' U' F L2
U' F D' B2 U' F L2
U' F D2 U' F D L2
U' F D2 B2 U' D F
U' F D2 B2 U' D' F
U' F D2 B2 U' D2 F
U' F D2 B2 U' F D
U' F D2 B2 U' F D'
U' F D2 B2 U' F D2
U' F D2 B2 D U' F
U' F D2 B2 D' U' F
U' F D2 B2 D2 U' F
D F D' U' F2 L2 B'
U' F B U' D' F L2
U' F B U2 F2 U F'
U' F B D' U' F L2
U' F B D2 B2 U' F
U2 F D2 B2 U' F B2
U2 F D2 B2 U' B2 F
U' F B' U' D' F L2
U' F B' U2 F2 U F'
U' F B' D' U' F L2
U' F B' D2 B2 U' F
R2 F B R2 U' F B
R2 F B R2 U' B F
R2 F B U F' U2 F2
R2 F B U' F D2 B2
U' F B2 U' D' F L2
U' F B2 U2 F2 U F'
U' F B2 D' U' F L2
F' D U F' R2 D2 B2
U' F B2 D2 B2 U' F
F' D U F2 R2 F B
F' D U F2 R2 B F
F' D U' F U2 R2 F2
F' D U' F U2 F2 R2
F D U R2 U2 F B
F D U R2 U2 B F
F D U F' R2 U2 F2
F D U' F D2 L2 B2
F D U' F D2 B2 L2
L F' L2 U F' B' R'
L F' L2 U B' F' R'
D' F' U D F2 R2 B
U F' R2 U D R2 F'
U F' R2 D U R2 F'
L' F' U' F U2 R F2
D' F' U2 L2 F2 U' B'
U F' U R2 D R2 F'
U F' U D F R2 F2
U F' U D F' R2 D
U F' U D F' R2 D'
U F' U D F' R2 D2
U F' U D F2 R2 F
U F' U D' F' D2 R2
U F' U D2 F' D' R2
U F' U F' U F' U'
U F' U' D' L2 U2 F'
D' F' D U F2 R2 B
U F' U2 L F2 U' F
U F' U2 L' F2 U' F
U F' U2 L2 F2 U' F
U F' U2 F2 U' D F
U F' U2 F2 U' D' F
U F' U2 F2 U' D2 F
U F' U2 F2 U' F D
U F' U2 F2 U' F D'
U F' U2 F2 U' F D2
U F' U2 F2 D U' F
U F' U2 F2 D' U' F
U F' U2 F2 D2 U' F
U F' D U F R2 F2
U F' D U F' R2 D
U F' D U F' R2 D'
U F' D U F' R2 D2
U F' D U F2 R2 F
U F' D B U F' R2
U F' D B' U F' R2
U F' D B2 U F' R2
U F' D' U F' D2 R2
U F' D' U' L2 U2 F'
U2 F' D2 B2 U F' B2
U2 F' D2 B2 U B2 F'
U F' D2 U F' D' R2
L2 F' B' L2 U F' B'
L2 F' B' L2 U B' F'
U F' D2 B2 U D F'
U F' D2 B2 U D' F'
U F' D2 B2 U D2 F'
U F' D2 B2 U F' D
U F' D2 B2 U F' D'
U F' D2 B2 U F' D2
U F' D2 B2 D U F'
U F' D2 B2 D' U F'
U F' D2 B2 D2 U F'
L2 F' B' U F' D2 B2
L2 F' B' U' F U2 F2
F' D' U F' D2 R2 B2
F' D' U F' D2 B2 R2
U F' B U D F' R2
U F' B U2 F2 U' F
U F' B D U F' R2
F D' R2 U' F L2 B
F D' R2 U' F B L2
F D' R2 U' B F L2
F' D' U' L2 U2 F' B'
F' D' U' L2 U2 B' F'
U F' B D2 B2 U F'
F' D' U' F L2 U2 F2
U F' B' U D F' R2
U F' B' U2 F2 U' F
U F' B' D U F' R2
U F' B' D2 B2 U F'
F D' U F' U2 L2 F2
F D' U F' U2 F2 L2
U F' B2 U D F' R2
U F' B2 U2 F2 U' F
U F' B2 D U F' R2
U F' B2 D2 B2 U F'
F D' U' F L2 D2 B2
F D' U' F2 L2 F' B'
F D' U' F2 L2 B' F'
U' F2 L2 F' B' U' F
U' F2 L2 B' F' U' F
U2 F2 L2 U F' B' U'
U2 F2 L2 U B' F' U'
U2 F2 R2 U' F B U
U2 F2 R2 U' B F U
U2 F2 U F' U' D' L2
U2 F2 U F' U2 F2 U
U2 F2 U F' D' U' L2
U2 F2 U F' D2 B2 U'
U F2 R2 F B U F'
U F2 R2 B F U F'
U2 F2 U' F U D R2
U2 F2 U' F U2 F2 U'
U2 F2 U' F D U R2
U2 F2 U' F D2 B2 U
F' D2 L2 B2 U F' B
F' D2 L2 B2 U B F'
F D2 R2 B2 U' F B'
F D2 R2 B2 U' B' F
F' D2 B2 L2 U F' B'
F' D2 B2 L2 U B' F'
F' D2 B2 U F' D2 B2
F' D2 B2 U' F U2 F2
L2 B U F' B2 U F'
L2 B U B2 F' U F'
F D2 B2 R2 U' F B
F D2 B2 R2 U' B F
F D2 B2 U F' U2 F2
F D2 B2 U' F D2 B2
U' B F U' D' F L2
U' B F U2 F2 U F'
U' B F D' U' F L2
U' B F D2 B2 U' F
R2 B F R2 U' F B
R2 B F R2 U' B F
R2 B F U F' U2 F2
R2 B F U' F D2 B2
U B F' U D F' R2
U B F' U2 F2 U' F
U B F' D U F' R2
U B F' D2 B2 U F'
R2 B' U' F B2 U' F
R2 B' U' B2 F U' F
U' B' F U' D' F L2
U' B' F U2 F2 U F'
U' B' F D' U' F L2
U' B' F D2 B2 U' F
L2 B' F' L2 U F' B'
L2 B' F' L2 U B' F'
L2 B' F' U F' D2 B2
L2 B' F' U' F U2 F2
U B' F' U D F' R2
U B' F' U2 F2 U' F
U B' F' D U F' R2
U B' F' D2 B2 U F'
D2 B2 L2 U F' B' U
D2 B2 L2 U B' F' U
D2 B2 R2 U' F B U'
D2 B2 R2 U' B F U'
D2 B2 U F' U D R2
D2 B2 U F' U2 F2 U'
D2 B2 U F' D U R2
D2 B2 U F' D2 B2 U
D2 B2 U' F U' D' L2
D2 B2 U' F U2 F2 U
L2 B2 U F' B U F'
D2 B2 U' F D' U' L2
D2 B2 U' F D2 B2 U'
L2 B2 U B F' U F'
R2 B2 U' F B' U' F
R2 B2 U' B' F U' F
U' B2 F U' D' F L2
U' B2 F U2 F2 U F'
U' B2 F D' U' F L2
U' B2 F D2 B2 U' F
U B2 F' U D F' R2
U B2 F' U2 F2 U' F
U B2 F' D U F' R2
U B2 F' D2 B2 U F'
