D' L U R2 F B'
D' L U R2 B' F
D' L U F R2 B'
D' L U F B' R2
D' L U B' R2 F
D' L U B' F R2
B2 D' L U F B'
B2 D' L U B' F
B' D2 B' L U F
B2 D' L U B' D2 F
B2 D' L U B' F D
B2 D' L U B' F D'
B2 D' L U B' F D2
B2 D' L D U F B'
B2 D' L D U B' F
B2 D' L D' U F B'
B2 D' L D' U B' F
B2 D' L D2 U F B'
B2 D' L D2 U B' F
B2 D' L' U' F B' U2
B2 D' L' U' B' F U2
B D' L B U F B2
B D' L B U B2 F
B2 D' R L U F B'
B2 D' R L U B' F
B2 D' R' L U F B'
B2 D' R' L U B' F
B2 D' R2 L U F B'
B2 D' R2 L U B' F
B' D' B' L U F B'
B' D' B' L U B' F
B D' B L U F B'
B D' B L U B' F
B' D2 R B' L U F
B' D2 R' B' L U F
B' D2 R2 B' L U F
D' B L U R2 F B'
D' B L U R2 B' F
D' B L U F R2 B'
D' B L U F B' R2
D' B L U B' R2 F
D' B L U B' F R2
B' D2 B' L R U F
B' D2 B' L R' U F
B' D2 B' L R2 U F
B' D2 B' L U D F
B' D2 B' L U D' F
B' D2 B' L U D2 F
B' D2 B' L U F D
B' D2 B' L U F D'
B' D2 B' L U F D2
B' D2 B' L D U F
B' D2 B' L D' U F
B' D2 B' L D2 U F
B' D2 B' R L U F
B' D2 B' R' L U F
B' D2 B' R2 L U F
B' D2 B' D L U F
B2 D2 B' L B U F
B' D2 B' D' L U F
B' D2 B' D2 L U F
B D2 B U2 R' U' F'
B D2 B' L B2 U F
D2 B U2 R' F2 U' F
B2 F L F' L2 U F2
D2 B U2 F2 R' U' F'
B2 F L' F' U' B' U2
D2 B D2 B2 L U F
D2 B' L U D R2 F
D2 B' L U D F R2
D' B' L U R2 F B'
D' B' L U R2 B' F
D' B' L U F R2 B'
D' B' L U F B' R2
D' B' L U B' R2 F
D' B' L U B' F R2
D2 B' L U2 F2 U' F'
D2 B' L D U R2 F
D2 B' L D U F R2
D2 B' L D2 B2 U F
D2 B' D L U R2 F
D2 B' D L U F R2
D2 B' D2 L B2 U F
R' B' D2 B' L U F
R2 B' D2 B' L U F
R B' D2 B' L U F
D' B2 L U R2 F B'
D' B2 L U R2 B' F
D' B2 L U F R2 B'
D' B2 L U F B' R2
D' B2 L U B' R2 F
D' B2 L U B' F R2
F B2 L F' L2 U F2
F B2 L' F' U' B' U2
L B2 U F U' L' U
R' B2 D' L U F B'
R' B2 D' L U B' F
R2 B2 D' L U F B'
R2 B2 D' L U B' F
L B2 D R' U F B
L B2 D R' U B F
R B2 D' L U F B'
R B2 D' L U B' F
L2 B2 F L' F' U F2
L B2 F L' F' U F
