U L R F L2 U'
L' R F U' L R
L' R F U' R L
U L' R U2 B' U
R L' F U' L R
R L' F U' R L
U R L F L2 U'
U R L' U2 B' U
R2 U L F L2 R' U'
R' U L' R2 U2 B' U
R2 U L F R' L2 U'
U L2 D2 L R F' U'
U L2 D2 R L F' U'
U L2 D2 R F' L U'
R2 U L' R' U2 B' U
R U L' U2 B' U B
L2 U R L F U' L
R2 U R' L F L2 U'
R2 U R' L' U2 B' U
R' U R2 L F L2 U'
R' U R2 L' U2 B' U
U R L D F U' F
U R L F L2 U' D
U R L F L2 U' D'
U R L F L2 U' D2
U R L F L2 D U'
U R L F L2 D' U'
U R L F L2 D2 U'
D2 R L' F U' L R
D2 R L' F U' R L
U R L F U' D F2
U R L F D U' F2
U R L F' L2 F2 U'
D' R L' F U' L R
D' R L' F U' R L
B' R L' F U' L R
B' R L' F U' R L
U R L F2 L2 F' U'
B2 R L' F U' L R
B2 R L' F U' R L
F2 R L' F' U L R
F2 R L' F' U R L
D R L' F U' L R
D R L' F U' R L
B R L' F U' L R
B R L' F U' R L
U R L' U2 D B' U
U R L' U2 D' B' U
U R L' U2 D2 B' U
U R L' U2 B' U D
U R L' U2 B' U D'
U R L' U2 B' U D2
U R L' U2 B' D U
U R L' U2 B' D' U
U R L' U2 B' D2 U
U R L' D U2 B' U
U R L' D' U2 B' U
U R L' D2 U2 B' U
U R L' F U2 B' U
U R L' F' U2 B' U
U R L' F2 U2 B' U
U R D L F L2 U'
U R D L' U2 B' U
U R D' L F L2 U'
U R D' L' U2 B' U
U R D2 L F L2 U'
U R D2 L' U2 B' U
F R F U' L' R U
F R F U' R L' U
U R F' L F L' U'
F R F' U L' R U'
F R F' U R L' U'
U R F2 U2 R B U
U R' L F L2 R2 U'
U R' L F R2 L2 U'
U' R' U2 L' F' R2 U'
U R2 L F L2 R' U'
U R2 L F R' L2 U'
R D L' F U' L R
R D L' F U' R L
L' D R F U' L R
L' D R F U' R L
D' U L R F L2 U'
D2 U L R F L2 U'
B' U L R F L2 U'
B2 U L R F L2 U'
B U L R F L2 U'
D U L R F L2 U'
D' U L' R U2 B' U
D2 U L' R U2 B' U
B' U L' R U2 B' U
B2 U L' R U2 B' U
U D L R F L2 U'
B U L' R U2 B' U
D U L' R U2 B' U
U D L' R U2 B' U
D' U R L F L2 U'
D' U R L' U2 B' U
D2 U R L F L2 U'
D2 U R L' U2 B' U
B' U R L F L2 U'
B' U R L' U2 B' U
B2 U R L F L2 U'
B2 U R L' U2 B' U
B U R L F L2 U'
D U R L F L2 U'
B U R L' U2 B' U
D U R L' U2 B' U
U D R L F L2 U'
U D R L' U2 B' U
R D' L' F U' L R
R D' L' F U' R L
L' D' R F U' L R
L' D' R F U' R L
U D' L R F L2 U'
U D' L' R U2 B' U
U D' R L F L2 U'
U D' R L' U2 B' U
R D2 L' F U' L R
R D2 L' F U' R L
L' D2 R F U' L R
L' D2 R F U' R L
U D2 L R F L2 U'
U D2 L' R U2 B' U
U D2 R L F L2 U'
U D2 R L' U2 B' U
L' F U' R D' L B'
L' F U' D' L R B'
L' F U' D' L B' R
L' F U' D' R L B'
L' F D' U' L R B'
L' F D' U' L B' R
L' F D' U' R L B'
U F' L F L' R U'
U F' L F R L' U'
L' F' U L' U2 B' L2
R' F' D F2 R F' B2
R' F' D F2 R B2 F'
R' F' D F2 B2 R F'
R' F' D B2 F2 R F'
U' F2 L' R F2 B U
U' F2 L' R B F2 U
U' F2 R L' F2 B U
U' F2 R L' B F2 U
U' F2 R B L' F2 U
U2 F2 U L' R B U
U2 F2 U R L' B U
U2 F2 U R B L' U
U F2 U2 L' R B U
U F2 U2 R L' B U
U F2 U2 R B L' U
U2 B L U' L2 R U'
U2 B L U' R L2 U'
R B L' F U' L R
R B L' F U' R L
R B' L' F U' L R
R B' L' F U' R L
U2 B' U' L' R U' R2
U2 B' U' R L' U' R2
R B2 L' F U' L R
R B2 L' F U' R L
