R' F L' B R2 U
R F L' U D R2
R F L' U2 F2 U'
R F L' D U R2
R F L' D2 B2 U
R' F B L' R2 U
R' F B R2 L' U
R F U2 F2 R U'
R F D L' U R2
R F D2 L' B2 U
R F D2 B2 L' U
R' B R2 F L' U
R' B F L' R2 U
R' B F R2 L' U
F R' D' L' B U F
F R' D' B L' U F
F R' D2 L' B R' U
B' R' F L' B R2 U
U' R' F L' B R2 U
B2 R' F L' B R2 U
U2 R' F L' B R2 U
F R' D2 B L' R' U
F R' D2 B R' L' U
B R' F L' B R2 U
B' R' F B L' R2 U
U' R' F B L' R2 U
B' R' F B R2 L' U
U' R' F B R2 L' U
U R' F L' B R2 U
B2 R' F B L' R2 U
B2 R' F B R2 L' U
U2 R' F B L' R2 U
U2 R' F B R2 L' U
B R' F B L' R2 U
B R' F B R2 L' U
U R' F B L' R2 U
U R' F B R2 L' U
U' R' B R2 F L' U
B' R' B R2 F L' U
B2 R' B R2 F L' U
R2 U2 R' F L' B' U
U2 R' B R2 F L' U
B' R' B F L' R2 U
U' R' B F L' R2 U
B' R' B F R2 L' U
U' R' B F R2 L' U
B R' B R2 F L' U
B2 R' B F L' R2 U
B2 R' B F R2 L' U
U2 R' B F L' R2 U
U2 R' B F R2 L' U
U R' B R2 F L' U
B R' B F L' R2 U
B R' B F R2 L' U
F R' B D' L' U F
U R' B F L' R2 U
U R' B F R2 L' U
R' U2 F L' B R2 U
R' U2 F B L' R2 U
R' U2 F B R2 L' U
R2 U2 F L' R' B' U
R2 U2 F R' L' B' U
R U2 F' R U' D' L2
R U2 F' R U2 F2 U
R U2 F' R D' U' L2
R U2 F' R D2 B2 U'
R U2 F' U2 F2 L' U
R U2 F' D' R U' L2
R U2 F' D2 R B2 U'
R U2 F' D2 B2 R U'
R' U2 B R2 F L' U
R' U2 B F L' R2 U
R' U2 B F R2 L' U
F R2 D' L' U F R
R' F L B L2 R2 U
R' F L B R2 L2 U
R' F L' R2 U2 F' U'
R' F L' D' B U F2
R' F L' B R2 U D
R' F L' B R2 U D'
R' F L' B R2 U D2
R' F L' B R2 D U
R' F L' B R2 D' U
R' F L' B R2 D2 U
R' F L' B U D' F2
R' F L' B D' U F2
R' F L' B' R2 B2 U
R' F L' B2 R2 B' U
R2 F L' R B R2 U
R2 F L' R' U2 F' U'
R F L' U R D R2
R F L' U R' D R2
R F L' U R2 D R2
R F L' U D R2 D
R F L' U D R2 D'
R F L' U D R2 D2
R F L' U' D' L2 U2
R F L' U2 F2 U' D
R F L' U2 F2 U' D'
R F L' U2 F2 U' D2
R F L' U2 F2 D U'
R F L' U2 F2 D' U'
R F L' U2 F2 D2 U'
R F L' D U R2 D
R F L' D U R2 D'
R F L' D U R2 D2
R F L' D B U R2
R F L' D B' U R2
R F L' D B2 U R2
R F L' D' U' L2 U2
R F L' D2 B2 U D
R F L' D2 B2 U D'
R F L' D2 B2 U D2
R F L' D2 B2 D U
R F L' D2 B2 D' U
R F L' D2 B2 D2 U
R F L' B U D R2
R F L' B U2 F2 U'
R F L' B D U R2
R F L' B D2 B2 U
R F L' B' U D R2
R F L' B' U2 F2 U'
R F L' B' D U R2
R F L' B' D2 B2 U
R F L' B2 U D R2
R F L' B2 U2 F2 U'
R F L' B2 D U R2
R F L' B2 D2 B2 U
R2 F R L' B R2 U
R F L2 D L U R2
R F L2 D2 L B2 U
R2 F R B L' R2 U
R2 F R B R2 L' U
R' F R2 L' U2 F' U'
R2 F R' L' U2 F' U'
F U2 F2 R F' L' U'
R' F D' L' B U F2
R F U2 R F2 R U'
R F U2 R' F2 R U'
R F U2 R2 F2 R U'
R' F D' B L' U F2
R F U2 F2 R U' D
R F U2 F2 R U' D'
R F U2 F2 R U' D2
R F U2 F2 R D U'
R F U2 F2 R D' U'
R F U2 F2 R D2 U'
R F U2 F2 D R U'
R F U2 F2 D' R U'
R F U2 F2 D2 R U'
R F D L' U R2 D
R F D L' U R2 D'
R F D L' U R2 D2
R F D L' D B2 U
R F D L' B U R2
R F D L' B' U R2
R F D L' B2 U R2
R F D B L' U R2
R F D B' L' U R2
R' F B L' R2 U D
R' F B L' R2 U D'
R' F B L' R2 U D2
R' F B L' R2 D U
R' F B L' R2 D' U
R' F B L' R2 D2 U
R F D B2 L' U R2
R' F B L' U D' F2
R' F B L' D' U F2
R F D' L' U' L' U2
R' F B R2 L' U D
R' F B R2 L' U D'
R' F B R2 L' U D2
R' F B R2 L' D U
R' F B R2 L' D' U
R' F B R2 L' D2 U
R' F B R2 D L' U
R' F B R2 D' L' U
R' F B R2 D2 L' U
R' F B D' L' U F2
R' F B' L' R2 B2 U
R' F B' L' B2 R2 U
R' F B' R2 L' B2 U
R F D2 L B2 L2 U
R F D2 L' U D' R2
R' F B' R2 B2 L' U
R F D2 L' D' U R2
R F D2 L' B2 U D
R F D2 L' B2 U D'
R F D2 L' B2 U D2
R F D2 L' B2 D U
R F D2 L' B2 D' U
R F D2 L' B2 D2 U
R F D2 B L' B U
R' F B2 R2 B' L' U
R F D2 B2 L' U D
R F D2 B2 L' U D'
R F D2 B2 L' U D2
R F D2 B2 L' D U
R F D2 B2 L' D' U
R F D2 B2 L' D2 U
R F D2 B2 D L' U
R F D2 B2 D' L' U
R F D2 B2 D2 L' U
R F B L' U D R2
R F B L' U2 F2 U'
R F B L' D U R2
R F B L' D2 B2 U
R F B U2 F2 R U'
R F B D L' U R2
R F B D2 L' B2 U
R F B D2 B2 L' U
R F B' L' U D R2
R F B' L' U2 F2 U'
R F B' L' D U R2
R F B' L' D2 B2 U
R F B' U2 F2 R U'
R F B' D L' U R2
R F B' D2 L' B2 U
R F B' D2 B2 L' U
R F B2 L' U D R2
R F B2 L' U2 F2 U'
R F B2 L' D U R2
R F B2 L' D2 B2 U
R F B2 U2 F2 R U'
R F B2 D L' U R2
R F B2 D2 L' B2 U
R F B2 D2 B2 L' U
L' F' R F' L' B' U'
L2 F' R F' B' L' U'
L2 F' R B' F' L' U'
R F' R U2 R' F2 U
R F' R U2 F2 R' U
R F' R D2 B2 L U'
F D' L' U F' R F2
R F' D2 R B2 L U'
L2 F' B' R F' L' U'
R F2 L' F' L' B' U
R F2 L2 F' B' L' U
R F2 L2 B' F' L' U
R' B R' F L' R' U
R' B R' F R' L' U
R' B R2 F L' U D
R' B R2 F L' U D'
R' B R2 F L' U D2
R' B R2 F L' D U
R' B R2 F L' D' U
R' B R2 F L' D2 U
R' B R2 F D L' U
R' B R2 F D' L' U
R' B R2 F D2 L' U
R' B F L' R2 U D
R' B F L' R2 U D'
R' B F L' R2 U D2
R' B F L' R2 D U
R' B F L' R2 D' U
R' B F L' R2 D2 U
R' B F L' U D' F2
R' B F L' D' U F2
R' B F R2 L' U D
R' B F R2 L' U D'
R' B F R2 L' U D2
R' B F R2 L' D U
R' B F R2 L' D' U
R' B F R2 L' D2 U
R' B F R2 D L' U
R' B F R2 D' L' U
R' B F R2 D2 L' U
R' B F D' L' U F2
R B F L' U D R2
R B F L' U2 F2 U'
R B F L' D U R2
R B F L' D2 B2 U
R B F U2 F2 R U'
R B F D L' U R2
R B F D2 L' B2 U
R B F D2 B2 L' U
D2 B' R F L B' U
R' B' R2 F L' B2 U
R' B' R2 F B2 L' U
R' B' R2 B2 F L' U
R' B' F L' R2 B2 U
R' B' F L' B2 R2 U
R' B' F R2 L' B2 U
R' B' F R2 B2 L' U
L2 B' F' R F' L' U'
R B' F L' U D R2
R B' F L' U2 F2 U'
R B' F L' D U R2
R B' F L' D2 B2 U
R B' F U2 F2 R U'
R B' F D L' U R2
R B' F D2 L' B2 U
R B' F D2 B2 L' U
R' B2 R2 F B' L' U
R' B2 R2 B' F L' U
R' B2 F R2 B' L' U
R B2 F L' U D R2
R B2 F L' U2 F2 U'
R B2 F L' D U R2
R B2 F L' D2 B2 U
R B2 F U2 F2 R U'
R B2 F D L' U R2
R B2 F D2 L' B2 U
R B2 F D2 B2 L' U
