R2 L' F' R B2 U'
R2 L' F' B2 R U'
R2 L' B2 F' R U'
L' R2 F' R B2 U'
L' R2 F' B2 R U'
L' R2 B2 F' R U'
R2 B2 L' F' R U'
L R2 B2 F' L2 R U'
L R2 B2 F' R L2 U'
B2 L2 F L U' D' B2
B2 L2 F L U2 L2 U
B2 L2 F L D' U' B2
B2 L2 F L D2 R2 U'
R2 U L' F' R B2 U'
R2 U L' F' B2 R U'
R2 U L' B2 F' R U'
B' L2 F B2 L' R' U
B' L2 F B2 R' L' U
B2 L2 F' L R F2 U'
B2 L2 F' R L F2 U'
B2 L2 F' R F2 L U'
B' L2 B2 R' F L' U
B' L2 B2 F L' R' U
B' L2 B2 F R' L' U
R2 U B2 L' F' R U'
R2 U' L' F' R B2 U'
R2 U' L' F' B2 R U'
R2 U' L' B2 F' R U'
B R F2 R F' L' U
R2 U' B2 L' F' R U'
R2 U2 L' F' R B2 U'
R2 U2 L' F' B2 R U'
R2 U2 L' B2 F' R U'
U' R2 L' F' R B2 U'
U' R2 L' F' B2 R U'
U' R2 L' B2 F' R U'
U2 R2 L' F' R B2 U'
U2 R2 L' F' B2 R U'
U2 R2 L' B2 F' R U'
U R2 L' F' R B2 U'
U R2 L' F' B2 R U'
U R2 L' B2 F' R U'
R2 U2 B2 L' F' R U'
U' R2 B2 L' F' R U'
U2 R2 B2 L' F' R U'
U R2 B2 L' F' R U'
B U2 L' D2 B R' U'
L D2 B R2 F2 L' U
B U2 D2 L' B R' U'
B U2 D2 B L' R' U'
B U2 D2 B R' L' U'
L' F B2 U2 B' L' U
L' F' R2 F' R' B2 U'
R2 F' D R U' L2 F'
R2 F' D R U' F' L2
L' F' B2 R U2 B' U
R2 F' B2 D R U' F'
L F' B2 L2 R F U'
L F' B2 R L2 F U'
D2 F2 B R U D B2
D2 F2 B R U2 R2 U'
D2 F2 B R D U B2
D2 F2 B R D2 L2 U
D2 F2 B' L R B2 U
D2 F2 B' L B2 R U
D2 F2 B' R L B2 U
L F2 B2 L2 F R U'
B D2 U2 L' B R' U'
B D2 U2 B L' R' U'
B D2 U2 B R' L' U'
R2 B L' F' B R U'
R2 B L' B F' R U'
F' D2 F2 L' B R' U
F' D2 F2 B L' R' U
F' D2 F2 B R' L' U
F' D2 B F2 L' R' U
F' D2 B F2 R' L' U
D2 B R2 F2 L' R U
D2 B R2 F2 R L' U
B F L' U2 B L U'
F B L' U2 B L U'
F2 B R2 F' L' R' U
F2 B R2 F' R' L' U
D2 B F2 R U D B2
D2 B F2 R U2 R2 U'
D2 B F2 R D U B2
D2 B F2 R D2 L2 U
B2 F U2 B' L' R' U
B2 F U2 B' R' L' U
B2 F' L2 R F L' U'
B2 F' R L2 F L' U'
D2 B' F2 L R B2 U
D2 B' F2 L B2 R U
D2 B' F2 R L B2 U
R' B2 L' R' F' R U'
R2 B2 L F' L2 R U'
R2 B2 L F' R L2 U'
R2 B2 L' F' R U' D
R2 B2 L' F' R U' D'
R2 B2 L' F' R U' D2
R2 B2 L' F' R D U'
R2 B2 L' F' R D' U'
R2 B2 L' F' R D2 U'
R2 B2 L' F' D R U'
R2 B2 L' F' D' R U'
R2 B2 L' F' D2 R U'
R B2 L' R F' R U'
R' B2 R' L' F' R U'
R2 B2 L2 F' L R U'
R2 B2 L2 F' R L U'
R B2 L' F' R F' U'
F' B2 L2 R F L' U'
L B2 L2 F U2 L' U
L B2 L2 F' R F2 U'
R B2 R L' F' R U'
F' B2 R L2 F L' U'
L' B2 U2 D2 B' L U
B F2 R2 F' L' R' U
B F2 R2 F' R' L' U
L' B2 D2 U2 B' L U
L' B2 F U2 B' L' U
L' B2 F' R U2 B' U
F B2 U2 B' L' R' U
F B2 U2 B' R' L' U
R2 B2 F' D R U' F'
L B2 F' L2 R F U'
L B2 F' R L2 F U'
L B2 F2 L2 F R U'
