B2 L R F2 D' B2
R2 L' U F2 L' R'
R2 L' U F2 R' L'
B2 L' U L2 R F2
B2 L' U L2 R F2
B2 L' U R L2 F2
B2 L' U R F2 L2
L' R2 U F2 L' R'
L' R2 U F2 R' L'
R' U L' U R2 F2
R' U L' U F2 R2
L' U R F2 D2 L2
L' U R2 F2 L' R'
L' U R2 F2 R' L'
B2 R L F2 D' B2
L' U' R' U2 R2 F2
L' U' R' U2 F2 R2
R2 F2 L' R' D B2
R2 F2 R' L' D B2
R2 F2 R' D L' B2
R2 F2 R' D B2 L'
L' B2 U L R F2
L' B2 U R L F2
L' B2 U R F2 L
B2 R2 L' U F2 L2 R'
B2 R2 L' U F2 R' L2
U2 R2 L' U F2 L' R'
U2 R2 L' U F2 R' L'
D R2 L' U R' D2 L2
D R2 L' U' R U2 R2
U R2 L' U F2 L' R'
U R2 L' U F2 R' L'
D R2 L' F2 U L' R'
D R2 L' F2 U R' L'
R' U2 F2 R' D R' B2
R' U2 F2 R2 U R' U'
R' U2 F2 U R U' R
R2 U2 F2 L' R' D B2
R2 U2 F2 R' L' D B2
R2 U2 F2 R' D L' B2
R2 U2 F2 R' D B2 L'
L' U2 B2 U' L R F2
L' U2 B2 U' R L F2
L' U2 B2 U' R F2 L
U' R2 F2 L' R' D B2
B2 R2 F2 L R' D B2
U' R2 F2 R' L' D B2
U' R2 F2 R' D L' B2
U' R2 F2 R' D B2 L'
U2 R2 F2 L' R' D B2
B2 R2 F2 R' L D B2
B2 R2 F2 R' D L B2
U2 R2 F2 R' L' D B2
U2 R2 F2 R' D L' B2
U2 R2 F2 R' D B2 L'
U R2 F2 L' R' D B2
U R2 F2 R' L' D B2
U R2 F2 R' D L' B2
U R2 F2 R' D B2 L'
L' D R2 U R' D2 L2
L' D R2 U' R U2 R2
L' D R2 F2 U L' R'
L' D R2 F2 U R' L'
R' D U L' R2 B2 U
R' D U L' B2 R2 U
R' D U R2 L' B2 U
R' D U R2 B2 L' U
R' D U B2 L' R2 U
R' D U B2 R2 L' U
B2 U L R F2 D' B2
B2 U L' U L2 R F2
B2 U L' U R L2 F2
B2 U L' U R F2 L2
B2 U R L F2 D' B2
F2 U R U L' R2 U2
F2 U R U R2 L' U2
L' D B2 R2 U L R'
L' D B2 R2 U R' L
R D' L' F2 R U R'
L D' L2 U' B2 L R
L D' L2 U' B2 R L
R' D' U' F2 L2 R U'
R' D' U' F2 R L2 U'
B2 U' L R F2 D' B2
R D' U' L' F2 R U
B2 U' L' U L2 R F2
B2 U' L' U R L2 F2
B2 U' L' U R F2 L2
B2 U' R L F2 D' B2
F U' R' F' U2 R F2
L D' B2 R D L F2
L D' B2 R D F2 L
L D' B2 D L R F2
L D' B2 D R L F2
L D' B2 D R F2 L
R' D2 L2 B2 U' R' U'
L' D2 U R D2 L2 F2
L' D2 U R D2 F2 L2
L' D2 U' R' B2 U2 R2
L' D2 U' B2 U2 L R
L' D2 U' B2 U2 R L
B2 U2 L R F2 D' B2
B2 U2 L' U L2 R F2
B2 U2 L' U R L2 F2
B2 U2 L' U R F2 L2
F2 U2 L' R' U' R2 U'
F2 U2 L' R' U2 D B2
F2 U2 L' R' D U2 B2
F2 U2 L' R' D' F2 U2
B2 U2 R L F2 D' B2
F2 U2 R' L' U' R2 U'
F2 U2 R' L' U2 D B2
F2 U2 R' L' D U2 B2
F2 U2 R' L' D' F2 U2
F2 U2 R' D L' U2 B2
F2 U2 R' D' L' F2 U2
F2 U2 R' D' F2 U2 R
R' D2 B2 L2 U L U
R2 F U R' F L' B'
R2 F U F L' R' B'
R2 F U F R' L' B'
B2 D L D' R F2 B2
B2 D L D' R B2 F2
B2 D L D' B2 R F2
B' D L' R2 F U R'
B2 D L' R2 U L2 R'
B2 D L' R2 U R' L2
B' D R2 L' F U R'
B2 D R2 L' U L2 R'
B2 D R2 L' U R' L2
R2 F' D F' L' R' B
R2 F' D F' R' L' B
R2 F' D F' R' B L'
R2 F2 L' R' U R2 U'
R2 F2 L' R' D B2 D
R2 F2 L' R' D B2 D'
R2 F2 L' R' D B2 D2
R2 F2 L' R' B D B2
R2 F2 L' R' B' D B2
R2 F2 L' R' B2 D B2
R2 F2 L' U R U' R2
R2 F2 L' D R' D B2
L' F2 L2 D' B2 L R'
L' F2 L2 D' B2 R' L
R2 F2 L' D' R' D B2
R2 F2 L' D2 R' D B2
R2 F2 L2 R' D L B2
R2 F2 R' L' U R2 U'
R2 F2 R' L' D B2 D
R2 F2 R' L' D B2 D'
R2 F2 R' L' D B2 D2
R2 F2 R' L' B D B2
R2 F2 R' L' B' D B2
R2 F2 R' L' B2 D B2
R2 F2 R' L2 D L B2
R2 F2 R' U R2 U' L'
R2 F2 R' D L B2 L2
R2 F2 R' D L' B2 D
R2 F2 R' D L' B2 D'
R2 F2 R' D L' B2 D2
R2 F2 R' D B L' B
R2 F2 R' D B2 L' D
R2 F2 R' D B2 L' D'
R2 F2 R' D B2 L' D2
R2 F2 R' D B2 D L'
R2 F2 R' D B2 D' L'
R2 F2 R' D B2 D2 L'
R2 F2 R' D' L' D2 B2
R2 F2 R' B L' D B2
R2 F2 R' B D L' B2
R2 F2 R' B D B2 L'
R2 F2 R' B' L' D B2
R2 F2 R' B' D L' B2
R2 F2 R' B' D B2 L'
R2 F2 R' B2 L' D B2
R2 F2 R' B2 D L' B2
R2 F2 R' B2 D B2 L'
R F2 R' D B2 L R
R F2 R' D B2 R L
R2 F2 U R U' L' R2
R2 F2 U R U' R2 L'
R F2 U R U R U2
R F2 U D R B2 U'
R F2 U D B2 R U'
R F2 U D2 R U' L2
R F2 U' D' F2 L' U
R2 F2 D L' R' D B2
R2 F2 D R' L' D B2
R2 F2 D R' D L' B2
R2 F2 D R' D B2 L'
R F2 U2 R2 U' R' U'
R2 F2 D' L' R' D B2
R2 F2 D' R' L' D B2
R2 F2 D' R' D L' B2
R2 F2 D' R' D B2 L'
R F2 D U R B2 U'
R F2 D U B2 R U'
L F2 D' L2 B2 L R'
L F2 D' L2 B2 R' L
R2 F2 D2 L' R' D B2
R2 F2 D2 R' L' D B2
R2 F2 D2 R' D L' B2
R2 F2 D2 R' D B2 L'
R F2 D' U' F2 L' U
L F2 D' B2 L D2 R2
R F2 D2 L2 U R U'
R F2 D2 U R U' L2
R' B U L' U R2 F2
R' B U L' U F2 R2
R' B' U L' U R2 F2
R' B' U L' U F2 R2
U' B2 L R F2 D' B2
U' B2 L' U L2 R F2
U' B2 L' U R L2 F2
U' B2 L' U R F2 L2
L2 B2 L R F2 D B2
U2 B2 L R F2 D' B2
D B2 L D' R F2 B2
D B2 L D' R B2 F2
U2 B2 L' U L2 R F2
U2 B2 L' U R L2 F2
U2 B2 L' U R F2 L2
D B2 L D' B2 R F2
U B2 L R F2 D' B2
U' B2 R L F2 D' B2
D B2 L' R2 U L2 R'
D B2 L' R2 U R' L2
U B2 L' U L2 R F2
U B2 L' U R L2 F2
U B2 L' U R F2 L2
L2 B2 R L F2 D B2
U2 B2 R L F2 D' B2
L' B2 R' U L R2 F2
L' B2 R' U L F2 R2
L' B2 R' U R2 L F2
L' B2 R' U R2 F2 L
L' B2 R' U F2 L R2
L' B2 R' U F2 R2 L
L B2 L2 U L' R F2
L B2 L2 U R L' F2
L2 B2 R F2 L D B2
L2 B2 R F2 D L B2
L2 B2 R' U' L R2 F2
L2 B2 R' U' L F2 R2
L2 B2 R' U' R2 L F2
L2 B2 R' U' R2 F2 L
L2 B2 R' U' F2 L R2
L2 B2 R' U' F2 R2 L
L' B2 R2 U L R' F2
L' B2 R2 U L F2 R'
U B2 R L F2 D' B2
L' B2 R2 U R' L F2
L' B2 R2 U R' F2 L
L' B2 R2 U F2 L R'
L' B2 R2 U F2 R' L
R' B2 U L' U R2 F2
R' B2 U L' U F2 R2
D2 B2 U L' U L2 R
D2 B2 U L' U R L2
L B2 R F2 D' L B2
L' B2 U L R F2 D
L' B2 U L R F2 D'
L' B2 U L R F2 D2
L' B2 U L R' F2 R2
L' B2 U L R2 F2 R'
L' B2 U L' R F2 L2
L' B2 U R L F2 D
L' B2 U R L F2 D'
L' B2 U R L F2 D2
L' B2 U R L' F2 L2
L' B2 U R F' L F'
L' B2 U R F2 L D
L' B2 U R F2 L D'
L' B2 U R F2 L D2
L' B2 U R F2 D L
L' B2 U R F2 D' L
L' B2 U R F2 D2 L
L' B2 U R' L F2 R2
L' B2 U R' F2 L R2
L' B2 U R' F2 R2 L
L' B2 U R2 L F2 R'
L' B2 U R2 F2 L R'
L' B2 U R2 F2 R' L
D B2 R2 L' U L2 R'
D B2 R2 L' U R' L2
L' B2 U F2 L D2 R2
D2 B2 U2 L R D' B2
D2 B2 U2 L D' R B2
D2 B2 U2 L D' B2 R
D2 B2 U2 R L D' B2
L' B2 D R2 U L R'
L' B2 D R2 U R' L
